sample_collect_date,pcr_target_flowpop_lin
2021-11-15,174158.43269
2021-12-06,328741.44288
2021-12-13,112276.3664
2021-12-20,112276.3664
2021-12-27,146014.20322
2022-01-03,114819.84396
2022-01-10,386765.66365500004
2022-01-17,535581.431555
2022-01-24,196801.5759
2022-02-07,196801.5759
2022-02-14,178854.96659999999
2022-02-21,165125.53393
2022-02-28,196801.5759
2022-03-07,213374.98424
2022-03-14,295208.09605
2022-03-21,175864.82401500002
2022-03-28,160471.05502
2022-04-04,165934.97283
2022-04-11,183742.62845
2022-04-18,226260.33644
2022-04-25,158283.29957
2022-05-02,184150.04602
2022-05-09,368293.59555
2022-05-16,199415.88974
2022-05-23,200374.61998
2022-05-30,197089.30013
2022-06-06,187807.531435
2022-06-13,370161.81119
2022-06-20,257448.11614
2022-09-26,119496.03011
2022-10-10,116957.66464
2022-10-17,112084.42861
2022-10-31,187939.07345
2022-11-07,264373.17019
2022-11-14,150351.25876
2022-11-21,190056.20503
2022-11-28,278864.03833
2022-12-05,258072.918605
2022-12-12,203644.44543000002
2022-12-19,318070.03663
2022-12-26,537626.057305
2023-01-02,385960.2933
2023-01-09,401475.21484
2023-01-16,888189.64726
2023-01-30,200304.89541
2023-02-13,220558.33756
2023-02-20,106262.71866
2023-03-06,312374.4293
2023-09-18,314907.92892
2023-09-25,229713.87246500002
2023-10-02,277728.49867
2023-10-09,287670.72896
2023-10-16,500800.50429
2023-10-23,312509.45084
2023-10-30,3268299.24331
2023-11-06,286283.654205
2023-11-13,373043.01597
2023-11-20,371338.01725
2023-11-27,353813.99453
2023-12-04,408110.175755
2023-12-11,437388.458155
2023-12-18,387989.6509
2023-12-25,462760.05145
2024-01-01,465908.73097
2024-01-08,634071.76168
2024-01-15,250333.57175
2024-01-22,350726.98781
2024-01-29,298159.23461
2024-02-05,357975.64268
2024-02-12,671330.190655
2024-02-19,364739.39577
2024-02-26,297270.52492999996
2024-03-04,680865.000285
2024-03-11,444771.926325
2024-03-18,586226.73813
2024-03-25,227452.21387
2024-04-01,420507.862445
2024-04-08,337028.19775
2024-04-15,236739.69644
2024-04-22,293410.59079499997
2024-04-29,310733.07458
2024-05-06,503336.21998
2024-05-13,371413.83174
2024-05-20,690652.77759
2024-05-27,370978.14916
2024-06-03,647123.62729
2024-06-10,533635.06854
2024-06-17,230689.19668
2024-06-24,230689.19668
2024-07-01,234975.83739
2024-07-08,314070.08492
2024-07-15,327769.21429
2024-07-22,496368.33926
2024-07-29,452846.23132
2024-08-05,230689.19668
2024-08-12,258311.12566
2024-08-19,369603.977625
2024-08-26,516498.2199
2024-09-02,490570.93276500003
2024-09-09,333518.21706
2024-09-16,333518.21706
2024-09-23,303988.04814
2024-09-30,309203.46535
2024-10-07,309203.46535
2024-10-14,303988.04814
2024-10-21,333101.68071
2024-10-28,313222.63901
2024-11-04,303988.04814
2024-11-11,371249.7085
2024-11-18,389659.6125
2024-11-25,489491.37931
2024-12-02,390369.375
2024-12-09,390369.375
2024-12-16,427747.43683
2024-12-23,527652.38487
2024-12-30,500558.050215
2025-01-06,429731.25055999996
2025-01-13,370310.86957
2025-01-20,373611.36017500004
2025-01-27,361919.82973
2025-02-03,425857.5
2025-02-10,441630.0
2025-02-17,485793.0
2025-02-24,473175.0
2025-03-03,397467.0
2025-03-10,370310.86957
2025-03-17,359975.239235
2025-03-24,354881.25
2025-03-31,342205.038665
2025-04-07,340686.0
2025-04-14,333101.68071
2025-04-21,331222.5
2025-04-28,319406.22713
2025-05-05,310143.22401999997
2025-05-12,347922.79412
2025-05-19,345008.282625
2025-05-26,333101.68071
2025-06-02,309203.46535
2025-06-09,283905.0
2025-06-16,295734.375
2025-06-23,295261.2
2025-06-30,315450.0
2025-07-07,276902.01
2025-07-14,309413.969115
2025-07-21,295734.375
2025-07-28,304557.611235
2025-08-04,312520.12384
2025-08-11,340686.0
2025-08-18,355011.753025
2025-08-25,352151.39423
2025-09-01,347074.20194
2025-09-08,356869.95923
2025-09-15,352198.04594
2025-09-22,362475.24655
2025-09-29,374894.85425
2025-10-06,360125.5969
2025-10-13,347922.79412
2025-10-20,360197.29008
2025-10-27,361333.63636
2025-11-03,388949.85
2025-11-10,361333.63636
2025-11-17,390369.375
2025-11-24,404018.65385
2025-12-01,407378.79773
2025-12-08,509952.58294
2025-12-15,604230.0442349999
2025-12-22,615636.26701
2025-12-29,683241.37644
2026-01-05,762488.98172
2026-01-12,635947.2
2026-01-19,537698.86364
2026-01-26,581870.36755
2026-02-02,507290.40783499996
2026-02-09,557973.682085
2026-02-16,568522.77482
2026-02-23,498954.3058
2026-03-02,494490.73942
2026-03-09,473175.0
2026-03-16,492962.31818
2026-03-23,447259.56923
2026-03-30,467243.60205
2026-04-06,394697.19512
2026-04-13,391827.794985
2026-04-20,347922.79412
2026-04-27,370310.86957
2026-05-04,389644.21722999995
2026-05-11,432625.7952
2026-05-18,388046.51590999996
2026-05-25,371249.7085
2026-06-01,427337.247275
2026-06-08,398769.84875
2026-06-15,404018.65385
2026-06-22,407378.79773
2026-06-29,397467.0
2026-07-06,446136.42857
2026-07-13,453956.81538
2026-07-20,424260.53437
2026-07-27,400742.826925
2026-08-03,258385.13558
