sample_collect_date,pcr_target_flowpop_lin
2022-08-15,166335.61477500002
2022-09-12,182177.1019
2022-09-26,160588.49738
2022-10-03,243621.68185
2022-10-10,238648.17734
2022-10-17,232526.23828
2022-10-24,345699.832305
2022-10-31,282340.54825500003
2022-11-07,221940.34408
2022-11-14,223692.43631
2022-11-21,202854.16753
2022-11-28,219337.635375
2022-12-05,248858.505
2022-12-12,240426.12381
2022-12-19,237946.4586
2022-12-26,251203.223315
2023-01-02,257403.695
2023-01-09,264352.187905
2023-01-16,249572.98423
2023-01-23,252527.40172
2023-01-30,252527.40172
2023-02-06,247322.37228
2023-02-13,255051.172315
2023-02-20,255686.30503
2023-02-27,261143.10358
2023-03-06,253211.715
2023-03-13,280898.62838
2023-03-20,271842.41732
2023-03-27,272487.43517
2023-04-03,267685.208075
2023-04-10,271250.76109
2023-04-17,259843.626245
2023-04-24,264161.24737500004
2023-05-01,277168.17275
2023-05-08,271964.76686
2023-05-15,274740.95218
2023-05-22,288245.97575
2023-05-29,247547.497465
2023-06-05,257072.35027
2023-06-12,261192.6
2023-06-19,260266.146795
2023-06-26,282242.181765
2023-07-03,288414.085585
2023-07-10,286124.36221
2023-07-17,300832.77897
2023-07-24,283520.92443
2023-07-31,289941.17838
2023-08-07,296899.74235
2023-08-14,287527.507295
2023-08-21,277718.26378000004
2023-08-28,288039.21031
2023-09-04,261192.6
2023-09-11,300314.45957
2023-09-18,1145435.00143
2023-09-25,1078271.19
2023-10-02,1686395.7
2023-10-09,1444272.20392
2023-10-16,1609741.35
2023-10-23,1382342.54542
2023-10-30,1334873.163045
2023-11-06,1207438.17517
2023-11-13,844110.401785
2023-11-20,465264.86592999997
2023-11-27,506865.06
2023-12-04,467667.96403000003
2023-12-11,451090.36743
2023-12-18,466582.996285
2023-12-25,398900.86364
2024-01-01,444383.01818
2024-01-08,412769.57706
2024-01-15,407990.412
2024-01-22,451090.36743
2024-01-29,424260.53437
2024-02-05,477129.99193
2024-02-12,404798.61264
2024-02-19,417861.70282
2024-02-26,387143.18182
2024-03-04,388046.51590999996
2024-03-11,374892.25091
2024-03-18,379452.82217
2024-03-25,388706.16114
2024-04-01,381379.05
2024-04-08,397467.0
2024-04-15,371649.49046
2024-04-22,388949.85
2024-04-29,390369.375
2024-05-06,388949.85
2024-05-13,388046.51590999996
2024-05-20,388949.85
2024-05-27,361795.958995
2024-06-03,361935.664885
2024-06-10,354881.25
2024-06-17,340686.0
2024-06-24,340686.0
2024-07-01,356749.04605500004
2024-07-08,340686.0
2024-07-15,344207.094665
2024-07-22,343724.07733
2024-07-29,333690.81495
2024-08-05,340686.0
2024-08-12,346719.825635
2024-08-19,340686.0
2024-08-26,340686.0
2024-09-02,327273.19608
2024-09-09,332671.872575
2024-09-16,329396.42686500004
2024-09-23,331222.5
2024-09-30,331222.5
2024-10-07,333385.0679
2024-10-14,331222.5
2024-10-21,361333.63636
2024-10-28,333518.21706
2024-11-04,315636.87796
2024-11-11,333518.21706
2024-11-18,343724.07733
2024-11-25,349421.53846
2024-12-02,333518.21706
2024-12-09,325142.727
2024-12-16,343915.478665
2024-12-23,367950.2377
2024-12-30,310661.97516
2025-01-06,310661.97516
2025-01-13,296575.846005
2025-01-20,309203.46535
2025-01-27,302095.3175
2025-02-03,303988.04814
2025-02-10,283905.0
2025-02-17,270110.43711
2025-02-24,286627.690795
2025-03-03,302832.0
2025-03-10,299700.60942
2025-03-17,302832.0
2025-03-24,290549.27303499996
2025-03-31,303988.04814
2025-04-07,303503.9085
2025-04-14,302832.0
2025-04-21,310661.97516
2025-04-28,312520.12384
2025-05-05,309203.46535
2025-05-12,295734.375
2025-05-19,306982.17491
2025-05-26,309203.46535
2025-06-02,310661.97516
2025-06-09,312520.12384
2025-06-16,313222.63901
2025-06-23,310824.035445
2025-06-30,312230.23448
2025-07-07,312520.12384
2025-07-14,315636.87796
2025-07-21,312864.524145
2025-07-28,321793.25674
2025-08-04,331222.5
2025-08-11,333518.21706
2025-08-18,340686.0
2025-08-25,333518.21706
2025-09-01,336281.48163
2025-09-08,347922.79412
2025-09-15,342853.21326
2025-09-22,347922.79412
2025-09-29,347922.79412
2025-10-06,322179.64337
2025-10-13,313011.106935
2025-10-20,337871.28083
2025-10-27,333518.21706
2025-11-03,333101.68071
2025-11-10,370352.32
2025-11-17,347922.79412
2025-11-24,338928.522855
2025-12-01,358616.84211
2025-12-08,361333.63636
2025-12-15,368664.241365
2025-12-22,358616.84211
2025-12-29,359520.468
2026-01-05,371249.7085
2026-01-12,366240.183365
2026-01-19,353613.141
2026-01-26,341231.97115
2026-02-02,349421.53846
2026-02-09,333518.21706
2026-02-16,354881.25
2026-02-23,333518.21706
2026-03-02,357231.981435
2026-03-09,387143.18182
2026-03-16,378540.0
2026-03-23,388949.85
2026-03-30,358616.84211
2026-04-06,349421.53846
2026-04-13,343724.07733
2026-04-20,331222.5
2026-04-27,346225.60976
2026-05-04,354881.25
2026-05-11,349421.53846
2026-05-18,361333.63636
2026-05-25,368619.548145
2026-06-01,388949.85
2026-06-08,358616.84211
2026-06-15,361333.63636
2026-06-22,354881.25
2026-06-29,350125.165285
2026-07-06,371249.7085
2026-07-13,397467.0
2026-07-20,387143.18182
2026-07-27,404018.65385
2026-08-03,401879.21423499996
2026-08-10,404018.65385
2026-08-17,404018.65385
2026-08-24,354881.25
2026-08-31,264978.0
