sample_collect_date,pcr_target_flowpop_lin
2022-08-01,8876506.205515001
2022-08-08,9225974.95376
2022-08-15,6267502.906789999
2022-08-22,6074732.999399999
2022-08-29,733166.59879
2022-09-05,740559.905885
2022-09-12,1490097.14735
2022-09-19,1303511.99835
2022-09-26,1070734.69771
2022-10-03,1224598.93935
2022-10-10,11283650.39926
2022-10-17,9565569.97671
2022-10-24,14975179.536125
2022-10-31,10652478.911869999
2022-11-07,6090534.43742
2022-11-14,13213662.00381
2022-11-21,1932131.84442
2022-11-28,7118337.167915
2022-12-05,3389786.09181
2022-12-12,4523773.69606
2022-12-19,4425291.65892
2022-12-26,4668420.325999999
2023-01-02,3831181.17672
2023-01-09,3132525.3317299997
2023-01-16,3816493.54996
2023-01-23,1968365.58558
2023-01-30,1924421.13697
2023-02-06,2473660.65367
2023-02-13,3170741.93288
2023-02-20,4166300.9658699995
2023-02-27,2100633.95103
2023-03-06,1852459.14711
2023-03-13,1634528.34367
2023-03-20,1312272.0
2023-03-27,1466593.54663
2023-04-03,1502570.4197550002
2023-04-10,1169384.29952
2023-04-17,1115879.73047
2023-04-24,987638.77474
2023-05-01,941145.075
2023-05-08,864328.85752
2023-05-15,837234.8937850001
2023-05-22,742079.34574
2023-05-29,634779.422255
2023-06-05,1129493.185085
2023-06-12,847777.172635
2023-06-19,674717.97656
2023-06-26,716823.83368
2023-07-03,672987.93047
2023-07-10,688855.15939
2023-07-17,713714.889365
2023-07-24,698935.234055
2023-07-31,849623.3687700001
2023-08-07,819099.28198
2023-08-14,952512.686475
2023-08-21,968483.4014099999
2023-08-28,1035195.40735
2023-09-04,822323.70494
2023-09-11,850907.39322
2023-09-18,854231.55778
2023-09-25,880055.3723
2023-10-02,938662.980805
2023-10-09,923813.037455
2023-10-16,1256935.61797
2023-10-23,1497882.78
2023-10-30,1743182.84937
2023-11-06,3074234.589015
2023-11-13,4413643.23077
2023-11-20,3512915.10739
2023-11-27,6505168.55649
2023-12-04,5933439.0219
2023-12-11,5591499.37792
2023-12-18,5149028.080375
2023-12-25,7073417.02902
2024-01-01,8040251.24794
2024-01-08,6792992.364795
2024-01-15,4377271.98115
2024-01-22,3425251.64397
2024-01-29,2764198.942805
2024-02-05,2737663.40966
2024-02-12,2163960.22552
2024-02-19,1813727.52928
2024-02-26,1910555.0523700002
2024-03-04,1716557.57116
2024-03-11,1457314.2803
2024-03-18,1196679.972375
2024-03-25,1094407.99181
2024-04-01,1097886.5350549999
2024-04-08,987026.39424
2024-04-15,850743.234595
2024-04-22,737089.24932
2024-04-29,760865.4
2024-05-06,772881.2577150001
2024-05-13,718488.2704350001
2024-05-20,678903.26087
2024-05-27,630426.825
2024-06-03,630426.825
2024-06-10,591763.8840900001
2024-06-17,593484.88696
2024-06-24,577307.66426
2024-07-01,567810.0
2024-07-08,588252.06104
2024-07-15,581840.585755
2024-07-22,567810.0
2024-07-29,532259.81112
2024-08-05,560763.07733
2024-08-12,603428.37838
2024-08-19,611993.86475
2024-08-26,578729.42308
2024-09-02,691251.4896450001
2024-09-09,625600.44
2024-09-16,615127.5
2024-09-23,676317.90888
2024-09-30,651311.47059
2024-10-07,623024.3491199999
2024-10-14,696186.35758
2024-10-21,733421.25
2024-10-28,757183.77951
2024-11-04,945905.12678
2024-11-11,1196466.5566850002
2024-11-18,1338869.7129
2024-11-25,1502293.689115
2024-12-02,1958663.94794
2024-12-09,2258114.5479
2024-12-16,2747467.74194
2024-12-23,2640740.5606150003
2024-12-30,3690195.73815
2025-01-06,3777222.94453
2025-01-13,3304433.826785
2025-01-20,3695496.787475
2025-01-27,3607534.81711
2025-02-03,3139638.64113
2025-02-10,2921319.94157
2025-02-17,2716504.54929
2025-02-24,2859988.13139
2025-03-03,2445550.22795
2025-03-10,2147936.15662
2025-03-17,1854407.18821
2025-03-24,1739000.46404
2025-03-31,1525755.98652
2025-04-07,1259346.7492399998
2025-04-14,1078159.712855
2025-04-21,1015414.39006
2025-04-28,871096.97708
2025-05-05,863012.868185
2025-05-12,859658.52874
2025-05-19,723799.96161
2025-05-26,728310.96
2025-06-02,823354.70266
2025-06-09,742287.601265
2025-06-16,668077.6752
2025-06-23,615127.5
2025-06-30,632681.770475
2025-07-07,675820.08
2025-07-14,727682.74468
2025-07-21,677429.36031
2025-07-28,655565.36357
2025-08-04,655895.08986
2025-08-11,680925.5470499999
2025-08-18,666533.232
2025-08-25,603600.41893
2025-09-01,575121.12601
2025-09-08,615127.5
2025-09-15,616858.84572
2025-09-22,641110.78905
2025-09-29,685824.58422
2025-10-06,673412.267
2025-10-13,729099.728
2025-10-20,743084.80839
2025-10-27,798264.15866
2025-11-03,883963.67479
2025-11-10,932403.78947
2025-11-17,1061668.61678
2025-11-24,884932.717025
2025-12-01,1457149.72137
2025-12-08,1606653.99694
2025-12-15,1607501.48696
2025-12-22,1510909.28775
2025-12-29,1906199.343695
2026-01-05,2425367.493785
2026-01-12,2187618.75971
2026-01-19,2481007.686655
2026-01-26,2581742.4168499997
2026-02-02,2601845.98817
2026-02-09,2602150.270715
2026-02-16,2904748.57813
2026-02-23,2920905.657165
2026-03-02,2747645.1041
2026-03-09,2800063.06924
2026-03-16,2828915.83253
2026-03-23,2548853.923295
2026-03-30,2281355.611625
2026-04-06,1874197.61728
2026-04-13,1814881.2285850001
2026-04-20,1554718.9367499999
2026-04-27,1463769.93506
2026-05-04,1502352.598255
2026-05-11,1329079.461505
2026-05-18,1260735.6717
2026-05-25,1152929.69956
2026-06-01,1104913.40532
2026-06-08,1050287.566495
2026-06-15,985420.57098
2026-06-22,1038007.4730400001
2026-06-29,830012.04
2026-07-06,1038164.6215
2026-07-13,1054272.152395
2026-07-20,1034499.9152299999
2026-07-27,1050084.189025
2026-08-03,1124804.57143
2026-08-10,1113415.13966
2026-08-17,1221226.821
2026-08-24,1050964.69091
2026-08-31,744378.63107
2026-09-07,306238.86
