week_end,median_percentile
2021-11-29,59.0
2021-12-06,80.0
2021-12-13,78.75
2021-12-20,79.0
2021-12-27,82.33
2022-01-03,91.5
2022-01-10,96.0
2022-01-17,97.0
2022-01-24,96.33
2022-01-31,92.0
2022-02-07,84.6
2022-02-14,63.85
2022-02-21,52.4
2022-02-28,42.2
2022-03-07,31.67
2022-03-14,25.67
2022-03-21,21.8
2022-03-28,20.0
2022-04-04,20.5
2022-04-11,26.33
2022-04-18,34.6
2022-04-25,41.0
2022-05-02,50.8
2022-05-09,59.33
2022-05-16,65.6
2022-05-23,70.67
2022-05-30,73.0
2022-06-06,72.0
2022-06-13,72.6
2022-06-20,74.6
2022-06-27,77.0
2022-07-04,78.33
2022-07-11,79.67
2022-07-18,79.14
2022-07-25,79.67
2022-08-01,82.0
2022-08-08,82.0
2022-08-15,80.0
2022-08-22,76.12
2022-08-29,73.59
2022-09-05,69.8
2022-09-12,65.65
2022-09-19,61.73
2022-09-26,57.8
2022-10-03,55.0
2022-10-10,52.8
2022-10-17,53.33
2022-10-24,55.67
2022-10-31,60.2
2022-11-07,60.0
2022-11-14,59.8
2022-11-21,64.0
2022-11-28,71.12
2022-12-05,77.5
2022-12-12,79.57
2022-12-19,80.5
2022-12-26,81.0
2023-01-02,79.5
2023-01-09,74.67
2023-01-16,69.5
2023-01-23,68.8
2023-01-30,68.8
2023-02-06,69.33
2023-02-13,69.67
2023-02-20,70.2
2023-02-27,68.67
2023-03-06,65.0
2023-03-13,62.67
2023-03-20,61.83
2023-03-27,59.4
2023-04-03,54.8
2023-04-10,50.6
2023-04-17,45.71
2023-04-24,42.0
2023-05-01,37.73
2023-05-08,36.6
2023-05-15,34.5
2023-05-22,32.0
2023-05-29,28.5
2023-06-05,25.0
2023-06-12,22.5
2023-06-19,21.77
2023-06-26,22.21
2023-07-03,22.75
2023-07-10,24.2
2023-07-17,27.29
2023-07-24,31.57
2023-07-31,36.4
2023-08-07,42.53
2023-08-14,51.0
2023-08-21,58.2
2023-08-28,61.6
2023-09-04,63.5
2023-09-11,65.57
2023-09-18,64.0
2023-09-25,61.12
2023-10-02,57.67
2023-10-09,53.25
2023-10-16,49.29
2023-10-23,49.67
2023-10-30,52.33
2023-11-06,55.4
2023-11-13,59.14
2023-11-20,61.8
2023-11-27,67.33
2023-12-04,71.75
2023-12-11,75.4
2023-12-18,77.8
2023-12-25,82.0
2024-01-01,85.86
2024-01-08,84.6
2024-01-15,80.67
2024-01-22,76.29
2024-01-29,73.0
2024-02-05,71.6
2024-02-12,72.0
2024-02-19,71.0
2024-02-26,67.57
2024-03-04,61.0
2024-03-11,52.4
2024-03-18,44.31
2024-03-25,39.6
2024-04-01,37.23
2024-04-08,34.67
2024-04-15,31.0
2024-04-22,26.82
2024-04-29,24.6
2024-05-06,23.6
2024-05-13,24.6
2024-05-20,26.33
2024-05-27,28.2
2024-06-03,30.5
2024-06-10,34.25
2024-06-17,37.86
2024-06-24,44.67
2024-07-01,51.4
2024-07-08,58.0
2024-07-15,65.25
2024-07-22,69.4
2024-07-29,73.6
2024-08-05,76.55
2024-08-12,77.67
2024-08-19,78.2
2024-08-26,77.14
2024-09-02,76.8
2024-09-09,75.2
2024-09-16,71.6
2024-09-23,63.8
2024-09-30,54.6
2024-10-07,45.0
2024-10-14,38.5
2024-10-21,35.0
2024-10-28,33.57
2024-11-04,32.0
2024-11-11,31.5
2024-11-18,31.0
2024-11-25,31.4
2024-12-02,37.67
2024-12-09,45.0
2024-12-16,51.75
2024-12-23,56.0
2024-12-30,62.0
2025-01-06,64.0
2025-01-13,62.5
2025-01-20,61.86
2025-01-27,60.8
2025-02-03,60.0
2025-02-10,59.0
2025-02-17,56.2
2025-02-24,52.75
2025-03-03,48.6
2025-03-10,47.0
2025-03-17,45.6
2025-03-24,44.0
2025-03-31,41.6
2025-04-07,38.6
2025-04-14,36.5
2025-04-21,34.2
2025-04-28,32.0
2025-05-05,29.29
2025-05-12,27.4
2025-05-19,25.25
2025-05-26,25.0
2025-06-02,25.0
2025-06-09,24.67
2025-06-16,24.0
2025-06-23,23.75
2025-06-30,24.0
2025-07-07,25.0
2025-07-14,27.0
2025-07-21,29.4
2025-07-28,33.5
2025-08-04,39.0
2025-08-11,44.0
2025-08-18,49.14
2025-08-25,52.4
2025-09-01,55.2
