year,cause,deaths
1993,Infectious and parasitic diseases,70143
1993,Neoplasms,537345
1993,"Endocrine, nutritional and metabolic diseases, and immunity disorders",72666
1993,Diseases of the blood and blood-forming organs,9709
1993,Mental disorders,33516
1993,Diseases of the nervous system and sense organs,45004
1993,Diseases of the circulatory system,952210
1993,Diseases of the respiratory system,212020
1993,Diseases of the digestive system,76746
1993,Diseases of the genitourinary system,42305
1993,"Complications of pregnancy, childbirth, and the puerperium",302
1993,Diseases of the skin and subcutaneous tissue,3222
1993,Diseases of the musculoskeletal system and connective tissue,8223
1993,Congenital anomalies,12444
1993,Certain conditions originating in the perinatal period,15097
1993,"Symptoms, signs, and ill-defined conditions",26540
1993,External causes of injury and poisoning,151061
1994,Infectious and parasitic diseases,75300
1994,Neoplasms,541827
1994,"Endocrine, nutritional and metabolic diseases, and immunity disorders",76165
1994,Diseases of the blood and blood-forming organs,9712
1994,Mental disorders,37003
1994,Diseases of the nervous system and sense organs,47900
1994,Diseases of the circulatory system,944775
1994,Diseases of the respiratory system,211523
1994,Diseases of the digestive system,77432
1994,Diseases of the genitourinary system,42253
1994,"Complications of pregnancy, childbirth, and the puerperium",328
1994,Diseases of the skin and subcutaneous tissue,3330
1994,Diseases of the musculoskeletal system and connective tissue,8744
1994,Congenital anomalies,12030
1994,Certain conditions originating in the perinatal period,14487
1994,"Symptoms, signs, and ill-defined conditions",25245
1994,External causes of injury and poisoning,150940
1995,Infectious and parasitic diseases,77128
1995,Neoplasms,546214
1995,"Endocrine, nutritional and metabolic diseases, and immunity disorders",79620
1995,Diseases of the blood and blood-forming organs,10197
1995,Mental disorders,40718
1995,Diseases of the nervous system and sense organs,51240
1995,Diseases of the circulatory system,955591
1995,Diseases of the respiratory system,215081
1995,Diseases of the digestive system,76861
1995,Diseases of the genitourinary system,43356
1995,"Complications of pregnancy, childbirth, and the puerperium",277
1995,Diseases of the skin and subcutaneous tissue,3231
1995,Diseases of the musculoskeletal system and connective tissue,9164
1995,Congenital anomalies,11891
1995,Certain conditions originating in the perinatal period,13471
1995,"Symptoms, signs, and ill-defined conditions",27283
1995,External causes of injury and poisoning,150809
1996,Infectious and parasitic diseases,65791
1996,Neoplasms,547180
1996,"Endocrine, nutritional and metabolic diseases, and immunity disorders",82767
1996,Diseases of the blood and blood-forming organs,10013
1996,Mental disorders,44010
1996,Diseases of the nervous system and sense organs,53821
1996,Diseases of the circulatory system,954407
1996,Diseases of the respiratory system,220368
1996,Diseases of the digestive system,77429
