year,cause,deaths
2014,Diseases of the ear and mastoid process,56
2014,Diseases of the circulatory system,807775
2014,Diseases of the respiratory system,258333
2014,Diseases of the digestive system,100975
2014,Diseases of the skin and subcutaneous tissue,4457
2014,Diseases of the musculoskeletal system and connective tissue,13344
2014,Diseases of the genitourinary system,66165
2014,"Pregnancy, childbirth and the puerperium",1123
2014,Certain conditions originating in the perinatal period,11897
2014,"Congenital malformations, deformations and chromosomal abnormalities",9609
2014,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",32242
2014,Codes for special purposes,0
2014,External causes of morbidity and mortality,202292
2015,Certain infectious and parasitic diseases,72090
2015,Neoplasms,612207
2015,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,10699
2015,"Endocrine, nutritional and metabolic diseases",118532
2015,Mental and behavioural disorders,136656
2015,Diseases of the nervous system,190512
2015,Diseases of the eye and adnexa,45
2015,Diseases of the ear and mastoid process,81
2015,Diseases of the circulatory system,836546
2015,Diseases of the respiratory system,271229
2015,Diseases of the digestive system,104624
2015,Diseases of the skin and subcutaneous tissue,4759
2015,Diseases of the musculoskeletal system and connective tissue,13669
2015,Diseases of the genitourinary system,69373
2015,"Pregnancy, childbirth and the puerperium",1140
2015,Certain conditions originating in the perinatal period,11715
2015,"Congenital malformations, deformations and chromosomal abnormalities",10017
2015,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",32042
2015,External causes of morbidity and mortality,216689
2016,Certain infectious and parasitic diseases,70052
2016,Neoplasms,613832
2016,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,10927
2016,"Endocrine, nutritional and metabolic diseases",121258
2016,Mental and behavioural disorders,132604
2016,Diseases of the nervous system,202352
2016,Diseases of the eye and adnexa,47
2016,Diseases of the ear and mastoid process,83
2016,Diseases of the circulatory system,840678
2016,Diseases of the respiratory system,266037
2016,Diseases of the digestive system,105916
2016,Diseases of the skin and subcutaneous tissue,4925
2016,Diseases of the musculoskeletal system and connective tissue,13799
2016,Diseases of the genitourinary system,70316
2016,"Pregnancy, childbirth and the puerperium",1231
2016,Certain conditions originating in the perinatal period,11493
2016,"Congenital malformations, deformations and chromosomal abnormalities",10131
2016,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",33373
2016,Codes for special purposes,0
2016,External causes of morbidity and mortality,235194
2017,Certain infectious and parasitic diseases,69385
2017,Neoplasms,614932
2017,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,10790
2017,"Endocrine, nutritional and metabolic diseases",127947
2017,Mental and behavioural disorders,135772
2017,Diseases of the nervous system,216353
2017,Diseases of the eye and adnexa,48
2017,Diseases of the ear and mastoid process,73
2017,Diseases of the circulatory system,859125
2017,Diseases of the respiratory system,278673
2017,Diseases of the digestive system,107653
2017,Diseases of the skin and subcutaneous tissue,4993
2017,Diseases of the musculoskeletal system and connective tissue,13840
2017,Diseases of the genitourinary system,71453
2017,"Pregnancy, childbirth and the puerperium",1208
2017,Certain conditions originating in the perinatal period,11108
2017,"Congenital malformations, deformations and chromosomal abnormalities",9902
2017,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",32750
2017,External causes of morbidity and mortality,247496
2018,Certain infectious and parasitic diseases,67971
2018,Neoplasms,614914
2018,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,10906
2018,"Endocrine, nutritional and metabolic diseases",133156
2018,Mental and behavioural disorders,135426
2018,Diseases of the nervous system,224937
2018,Diseases of the eye and adnexa,66
2018,Diseases of the ear and mastoid process,80
2018,Diseases of the circulatory system,868662
2018,Diseases of the respiratory system,282641
2018,Diseases of the digestive system,109780
2018,Diseases of the skin and subcutaneous tissue,5208
2018,Diseases of the musculoskeletal system and connective tissue,13788
2018,Diseases of the genitourinary system,72526
2018,"Pregnancy, childbirth and the puerperium",973
2018,Certain conditions originating in the perinatal period,10718
2018,"Congenital malformations, deformations and chromosomal abnormalities",9729
2018,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",32537
2018,External causes of morbidity and mortality,245186
2019,Certain infectious and parasitic diseases,64706
2019,Neoplasms,615191
2019,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,10815
2019,"Endocrine, nutritional and metabolic diseases",140107
2019,Mental and behavioural disorders,133959
2019,Diseases of the nervous system,233715
2019,Diseases of the eye and adnexa,56
2019,Diseases of the ear and mastoid process,90
2019,Diseases of the circulatory system,874613
2019,Diseases of the respiratory system,271026
2019,Diseases of the digestive system,112894
2019,Diseases of the skin and subcutaneous tissue,5229
2019,Diseases of the musculoskeletal system and connective tissue,14553
2019,Diseases of the genitourinary system,72871
2019,"Pregnancy, childbirth and the puerperium",1103
2019,Certain conditions originating in the perinatal period,10412
2019,"Congenital malformations, deformations and chromosomal abnormalities",9713
2019,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",32408
2019,Codes for special purposes,27
2019,External causes of morbidity and mortality,251350
2020,Certain infectious and parasitic diseases,68316
2020,Neoplasms,618579
2020,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,11466
2020,"Endocrine, nutritional and metabolic diseases",164128
2020,Mental and behavioural disorders,148432
2020,Diseases of the nervous system,262344
2020,Diseases of the eye and adnexa,52
2020,Diseases of the ear and mastoid process,86
2020,Diseases of the circulatory system,928741
2020,Diseases of the respiratory system,270506
2020,Diseases of the digestive system,123940
2020,Diseases of the skin and subcutaneous tissue,5689
2020,Diseases of the musculoskeletal system and connective tissue,15421
2020,Diseases of the genitourinary system,76772
2020,"Pregnancy, childbirth and the puerperium",1288
2020,Certain conditions originating in the perinatal period,9672
2020,"Congenital malformations, deformations and chromosomal abnormalities",9573
2020,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",34098
2020,Codes for special purposes,350921
2020,External causes of morbidity and mortality,283705
