year,disease,cases
2021,"Babesiosis, Total",2674
2021,"Babesiosis, Confirmed",2429
2021,"Babesiosis, Probable",245
2021,"Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection",6729
2021,"Ehrlichiosis and Anaplasmosis, Ehrlichia chaffeensis infection",1337
2021,"Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection",19
2021,"Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis",77
2021,"Lyme disease, Total",24610
2021,"Lyme disease, Confirmed",16211
2021,"Lyme disease, Probable",8399
2021,"Spotted fever rickettsiosis, Total",1257
2021,"Spotted fever rickettsiosis, Confirmed",43
2021,"Spotted fever rickettsiosis, Probable",1214
2021,Tularemia,162
2022,"Arboviral diseases, Powassan virus disease, Neuroinvasive",42
2022,"Arboviral diseases, Powassan virus disease, Non-neuroinvasive",4
2022,"Babesiosis, Total",2111
2022,"Babesiosis, Confirmed",1812
2022,"Babesiosis, Probable",299
2022,"Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection",5651
2022,"Ehrlichiosis and Anaplasmosis, Ehrlichia chaffeensis infection",1569
2022,"Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection",25
2022,"Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis",95
2022,"Lyme disease, Total",62428
2022,"Lyme disease, Confirmed",2066
2022,"Lyme disease, Probable",60362
2022,"Spotted fever rickettsiosis, Total",1292
2022,"Spotted fever rickettsiosis, Confirmed",47
2022,"Spotted fever rickettsiosis, Probable",1245
2022,Tularemia,167
2023,"Arboviral diseases, Powassan virus disease, Neuroinvasive",47
2023,"Arboviral diseases, Powassan virus disease, Non-neuroinvasive",2
2023,"Babesiosis, Total",3586
2023,"Babesiosis, Confirmed",3116
2023,"Babesiosis, Probable",470
2023,"Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection",7279
2023,"Ehrlichiosis and Anaplasmosis, Ehrlichia chaffeensis infection",1907
2023,"Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection",26
2023,"Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis",89
2023,"Lyme disease, Total",89468
2023,"Lyme disease, Confirmed",3530
2023,"Lyme disease, Probable",85938
2023,"Spotted fever rickettsiosis, Total",1204
2023,"Spotted fever rickettsiosis, Confirmed",56
2023,"Spotted fever rickettsiosis, Probable",1148
2023,Tularemia,196
