year,month,place,deaths
2022,8,Medical Facility - Inpatient,75891
2022,8,Medical Facility - Outpatient or ER,15514
2022,8,Nursing home/long term care,40627
2022,8,Other,21038
2022,8,Place of death unknown,31
2022,9,Decedent's home,88129
2022,9,Hospice facility,16710
2022,9,Medical Facility - Dead on Arrival,647
2022,9,Medical Facility - Inpatient,73648
2022,9,Medical Facility - Outpatient or ER,15153
2022,9,Nursing home/long term care,39273
2022,9,Other,20134
2022,9,Place of death unknown,19
2022,10,Decedent's home,92068
2022,10,Hospice facility,17240
2022,10,Medical Facility - Dead on Arrival,715
2022,10,Medical Facility - Inpatient,77778
2022,10,Medical Facility - Outpatient or ER,15916
2022,10,Nursing home/long term care,43721
2022,10,Other,20432
2022,10,Place of death unknown,29
2022,11,Decedent's home,92844
2022,11,Hospice facility,17413
2022,11,Medical Facility - Dead on Arrival,710
2022,11,Medical Facility - Inpatient,80043
2022,11,Medical Facility - Outpatient or ER,16497
2022,11,Nursing home/long term care,43246
2022,11,Other,20194
2022,11,Place of death unknown,23
2022,12,Decedent's home,102303
2022,12,Hospice facility,18657
2022,12,Medical Facility - Dead on Arrival,764
2022,12,Medical Facility - Inpatient,92349
2022,12,Medical Facility - Outpatient or ER,19186
2022,12,Nursing home/long term care,48051
2022,12,Other,22238
2022,12,Place of death unknown,24
2023,1,Decedent's home,97867
2023,1,Hospice facility,18879
2023,1,Medical Facility - Dead on Arrival,721
2023,1,Medical Facility - Inpatient,89596
2023,1,Medical Facility - Outpatient or ER,17475
2023,1,Nursing home/long term care,47661
2023,1,Other,19712
2023,1,Place of death unknown,28
2023,2,Decedent's home,86405
2023,2,Hospice facility,16727
2023,2,Medical Facility - Dead on Arrival,612
2023,2,Medical Facility - Inpatient,74064
2023,2,Medical Facility - Outpatient or ER,14942
2023,2,Nursing home/long term care,41040
2023,2,Other,17588
2023,2,Place of death unknown,20
2023,3,Decedent's home,93531
2023,3,Hospice facility,18257
2023,3,Medical Facility - Dead on Arrival,666
2023,3,Medical Facility - Inpatient,79540
2023,3,Medical Facility - Outpatient or ER,15959
2023,3,Nursing home/long term care,44697
2023,3,Other,18976
2023,3,Place of death unknown,16
2023,4,Decedent's home,87417
2023,4,Hospice facility,17427
2023,4,Medical Facility - Dead on Arrival,620
2023,4,Medical Facility - Inpatient,73791
2023,4,Medical Facility - Outpatient or ER,14930
2023,4,Nursing home/long term care,41692
2023,4,Other,18536
2023,4,Place of death unknown,25
2023,5,Decedent's home,88142
2023,5,Hospice facility,17290
2023,5,Medical Facility - Dead on Arrival,634
2023,5,Medical Facility - Inpatient,73536
2023,5,Medical Facility - Outpatient or ER,14936
2023,5,Nursing home/long term care,41317
2023,5,Other,19014
2023,5,Place of death unknown,24
2023,6,Decedent's home,84125
2023,6,Hospice facility,16996
2023,6,Medical Facility - Dead on Arrival,601
2023,6,Medical Facility - Inpatient,69768
2023,6,Medical Facility - Outpatient or ER,14173
2023,6,Nursing home/long term care,39384
2023,6,Other,18630
2023,6,Place of death unknown,31
2023,7,Decedent's home,87411
2023,7,Hospice facility,16910
2023,7,Medical Facility - Dead on Arrival,622
2023,7,Medical Facility - Inpatient,70169
2023,7,Medical Facility - Outpatient or ER,14769
2023,7,Nursing home/long term care,39700
2023,7,Other,19782
2023,7,Place of death unknown,22
2023,8,Decedent's home,87756
2023,8,Hospice facility,17420
2023,8,Medical Facility - Dead on Arrival,599
2023,8,Medical Facility - Inpatient,71827
2023,8,Medical Facility - Outpatient or ER,14495
2023,8,Nursing home/long term care,40917
2023,8,Other,19722
2023,8,Place of death unknown,26
2023,9,Decedent's home,84528
2023,9,Hospice facility,16743
2023,9,Medical Facility - Dead on Arrival,610
2023,9,Medical Facility - Inpatient,71328
2023,9,Medical Facility - Outpatient or ER,14289
2023,9,Nursing home/long term care,41195
2023,9,Other,18537
2023,9,Place of death unknown,25
2023,10,Decedent's home,89656
2023,10,Hospice facility,17238
2023,10,Medical Facility - Dead on Arrival,609
