year,rank,cause,deaths
1998,4,External causes of injury and poisoning,150445
1998,5,"Endocrine, nutritional and metabolic diseases, and immunity disorders",88158
1999,1,Diseases of the circulatory system,954339
1999,2,Neoplasms,563065
1999,3,Diseases of the respiratory system,229863
1999,4,External causes of morbidity and mortality,151109
1999,5,"Endocrine, nutritional and metabolic diseases",92872
2000,1,Diseases of the circulatory system,941526
2000,2,Neoplasms,566637
2000,3,Diseases of the respiratory system,231079
2000,4,External causes of morbidity and mortality,151268
2000,5,"Endocrine, nutritional and metabolic diseases",94345
2001,1,Diseases of the circulatory system,926999
2001,2,Neoplasms,567444
2001,3,Diseases of the respiratory system,230009
2001,4,External causes of morbidity and mortality,157173
2001,5,"Endocrine, nutritional and metabolic diseases",96820
2002,1,Diseases of the circulatory system,923339
2002,2,Neoplasms,570570
2002,3,Diseases of the respiratory system,234629
2002,4,External causes of morbidity and mortality,164111
2002,5,Diseases of the nervous system,103064
2003,1,Diseases of the circulatory system,907180
2003,2,Neoplasms,570465
2003,3,Diseases of the respiratory system,235935
2003,4,External causes of morbidity and mortality,166857
2003,5,Diseases of the nervous system,109640
2004,1,Diseases of the circulatory system,865863
2004,2,Neoplasms,567468
2004,3,Diseases of the respiratory system,227093
2004,4,External causes of morbidity and mortality,170067
2004,5,Diseases of the nervous system,111751
2005,1,Diseases of the circulatory system,860843
2005,2,Neoplasms,573022
2005,3,Diseases of the respiratory system,239680
2005,4,External causes of morbidity and mortality,176406
2005,5,Diseases of the nervous system,120713
2006,1,Diseases of the circulatory system,827741
2006,2,Neoplasms,574010
2006,3,Diseases of the respiratory system,226661
2006,4,External causes of morbidity and mortality,181586
2006,5,Diseases of the nervous system,122965
2007,1,Diseases of the circulatory system,810257
2007,2,Neoplasms,577079
2007,3,Diseases of the respiratory system,227307
2007,4,External causes of morbidity and mortality,185076
2007,5,Diseases of the nervous system,126997
2008,1,Diseases of the circulatory system,808525
2008,2,Neoplasms,579939
2008,3,Diseases of the respiratory system,245099
2008,4,External causes of morbidity and mortality,183816
2008,5,Diseases of the nervous system,136607
2009,1,Diseases of the circulatory system,784742
2009,2,Neoplasms,582233
2009,3,Diseases of the respiratory system,238636
2009,4,External causes of morbidity and mortality,179770
2009,5,Diseases of the nervous system,134168
2010,1,Diseases of the circulatory system,784454
2010,2,Neoplasms,589660
2010,3,Diseases of the respiratory system,237433
2010,4,External causes of morbidity and mortality,183301
2010,5,Diseases of the nervous system,141106
2011,1,Diseases of the circulatory system,783475
2011,2,Neoplasms,591688
2011,3,Diseases of the respiratory system,248742
2011,4,External causes of morbidity and mortality,190048
2011,5,Diseases of the nervous system,144920
2012,1,Diseases of the circulatory system,787431
2012,2,Neoplasms,597679
2012,3,Diseases of the respiratory system,246311
2012,4,External causes of morbidity and mortality,192988
2012,5,Mental and behavioural disorders,147917
2013,1,Diseases of the circulatory system,800937
2013,2,Neoplasms,600113
2013,3,Diseases of the respiratory system,261071
2013,4,External causes of morbidity and mortality,195710
2013,5,Mental and behavioural disorders,156415
2014,1,Diseases of the circulatory system,807775
2014,2,Neoplasms,607739
2014,3,Diseases of the respiratory system,258333
2014,4,External causes of morbidity and mortality,202292
2014,5,Diseases of the nervous system,165434
2015,1,Diseases of the circulatory system,836546
2015,2,Neoplasms,612207
2015,3,Diseases of the respiratory system,271229
2015,4,External causes of morbidity and mortality,216689
2015,5,Diseases of the nervous system,190512
2016,1,Diseases of the circulatory system,840678
2016,2,Neoplasms,613832
2016,3,Diseases of the respiratory system,266037
2016,4,External causes of morbidity and mortality,235194
2016,5,Diseases of the nervous system,202352
2017,1,Diseases of the circulatory system,859125
2017,2,Neoplasms,614932
2017,3,Diseases of the respiratory system,278673
