year,month,deaths,provisional
1999,1,62,false
1999,2,72,false
1999,3,61,false
1999,4,73,false
1999,5,68,false
1999,6,51,false
1999,7,54,false
1999,8,59,false
1999,9,68,false
1999,10,92,false
1999,11,63,false
1999,12,49,false
2000,1,59,false
2000,2,77,false
2000,3,79,false
2000,4,62,false
2000,5,79,false
2000,6,69,false
2000,7,68,false
2000,8,77,false
2000,9,59,false
2000,10,48,false
2000,11,65,false
2000,12,79,false
2001,1,68,false
2001,2,72,false
2001,3,77,false
2001,4,95,false
2001,5,92,false
2001,6,78,false
2001,7,97,false
2001,8,90,false
2001,9,80,false
2001,10,85,false
2001,11,99,false
2001,12,77,false
2002,1,117,false
2002,2,100,false
2002,3,124,false
2002,4,109,false
2002,5,128,false
2002,6,112,false
2002,7,110,false
2002,8,108,false
2002,9,113,false
2002,10,108,false
2002,11,122,false
2002,12,115,false
2003,1,126,false
2003,2,124,false
2003,3,135,false
2003,4,114,false
2003,5,112,false
2003,6,96,false
2003,7,146,false
2003,8,121,false
2003,9,123,false
2003,10,115,false
2003,11,132,false
2003,12,126,false
2004,1,128,false
2004,2,150,false
2004,3,167,false
2004,4,136,false
2004,5,163,false
2004,6,130,false
2004,7,157,false
2004,8,122,false
2004,9,138,false
2004,10,161,false
2004,11,123,false
2004,12,144,false
2005,1,151,false
2005,2,174,false
2005,3,177,false
2005,4,150,false
2005,5,144,false
2005,6,136,false
2005,7,123,false
2005,8,122,false
2005,9,147,false
2005,10,153,false
2005,11,156,false
2005,12,175,false
2006,1,176,false
2006,2,191,false
2006,3,213,false
2006,4,221,false
2006,5,287,false
2006,6,286,false
2006,7,285,false
2006,8,256,false
2006,9,237,false
2006,10,263,false
2006,11,229,false
2006,12,195,false
2007,1,197,false
2007,2,193,false
2007,3,214,false
2007,4,187,false
2007,5,204,false
2007,6,175,false
2007,7,187,false
2007,8,174,false
2007,9,178,false
2007,10,185,false
2007,11,199,false
2007,12,204,false
2008,1,201,false
2008,2,191,false
2008,3,212,false
2008,4,191,false
2008,5,218,false
2008,6,192,false
2008,7,202,false
2008,8,186,false
2008,9,185,false
2008,10,190,false
2008,11,196,false
2008,12,213,false
2009,1,280,false
2009,2,253,false
2009,3,277,false
2009,4,252,false
2009,5,263,false
2009,6,224,false
2009,7,239,false
2009,8,227,false
2009,9,218,false
2009,10,244,false
2009,11,277,false
2009,12,288,false
2010,1,290,false
2010,2,277,false
2010,3,271,false
2010,4,277,false
2010,5,268,false
2010,6,232,false
2010,7,267,false
2010,8,238,false
2010,9,247,false
2010,10,276,false
2010,11,249,false
2010,12,234,false
2011,1,229,false
2011,2,230,false
2011,3,253,false
2011,4,236,false
2011,5,235,false
2011,6,233,false
2011,7,243,false
2011,8,210,false
2011,9,216,false
2011,10,229,false
2011,11,237,false
2011,12,218,false
2012,1,232,false
2012,2,221,false
2012,3,214,false
2012,4,224,false
2012,5,230,false
2012,6,220,false
2012,7,245,false
2012,8,249,false
2012,9,205,false
2012,10,240,false
2012,11,205,false
2012,12,249,false
2013,1,265,false
2013,2,244,false
2013,3,248,false
2013,4,250,false
2013,5,286,false
2013,6,260,false
2013,7,231,false
2013,8,222,false
2013,9,243,false
2013,10,270,false
2013,11,296,false
2013,12,405,false
2014,1,517,false
2014,2,435,false
2014,3,472,false
2014,4,377,false
2014,5,416,false
2014,6,419,false
2014,7,424,false
2014,8,418,false
2014,9,433,false
2014,10,564,false
2014,11,578,false
2014,12,642,false
2015,1,719,false
2015,2,748,false
2015,3,791,false
2015,4,871,false
2015,5,813,false
2015,6,729,false
2015,7,757,false
2015,8,756,false
2015,9,889,false
2015,10,1003,false
2015,11,861,false
2015,12,866,false
2016,1,1056,false
2016,2,1403,false
2016,3,1550,false
2016,4,1564,false
2016,5,1571,false
2016,6,1485,false
2016,7,1639,false
2016,8,1604,false
2016,9,1733,false
2016,10,1907,false
2016,11,2018,false
2016,12,2190,false
2017,1,2480,false
2017,2,2312,false
2017,3,2380,false
2017,4,2270,false
2017,5,2372,false
2017,6,2371,false
2017,7,2316,false
2017,8,2428,false
2017,9,2514,false
2017,10,2433,false
2017,11,2419,false
2017,12,2574,false
2018,1,2561,false
2018,2,2393,false
2018,3,2704,false
2018,4,2612,false
2018,5,2699,false
2018,6,2755,false
2018,7,2745,false
2018,8,2738,false
2018,9,2640,false
2018,10,2704,false
2018,11,2580,false
2018,12,2683,false
2019,1,2634,false
2019,2,2553,false
2019,3,2966,false
2019,4,2772,false
2019,5,2881,false
2019,6,2961,false
2019,7,3178,false
2019,8,3227,false
2019,9,3179,false
2019,10,3422,false
2019,11,3513,false
2019,12,3597,false
2020,1,3607,false
2020,2,3715,false
2020,3,4262,false
2020,4,4928,false
2020,5,6213,false
2020,6,5309,false
2020,7,5247,false
2020,8,5095,false
2020,9,4775,false
2020,10,4676,false
2020,11,4711,false
2020,12,4852,false
2021,1,5656,true
2021,2,5005,true
2021,3,6373,true
2021,4,6409,true
2021,5,6294,true
2021,6,6080,true
2021,7,6218,true
2021,8,6293,true
2021,9,6118,true
2021,10,6057,true
2021,11,5728,true
2021,12,5973,true
2022,1,6138,true
2022,2,5908,true
2022,3,6436,true
2022,4,6000,true
2022,5,6135,true
2022,6,6096,true
2022,7,6534,true
2022,8,6479,true
2022,9,6143,true
2022,10,6594,true
2022,11,6336,true
2022,12,6773,true
2023,1,6645,true
2023,2,6078,true
2023,3,6826,true
2023,4,6713,true
2023,5,6842,true
2023,6,6401,true
2023,7,6500,true
2023,8,6318,true
2023,9,5749,true
2023,10,5718,true
2023,11,5285,true
2023,12,5462,true
2024,1,5268,true
2024,2,3412,true
2024,3,3971,true
2024,4,3567,true
2024,5,3498,true
2024,6,3330,true
2024,7,3287,true
2024,8,2938,true
2024,9,2648,true
2024,10,2646,true
2024,11,2561,true
2024,12,1704,true
