year,drug_code,drug_name,deaths,provisional
2005,T40.3,Methadone,4638,false
2005,T40.4,Synthetic opioids excl. methadone (fentanyl),1808,false
2005,T40.5,Cocaine,7283,false
2005,T40.7,Cannabis,141,false
2005,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",2023,false
2006,T40.1,Heroin,2192,false
2006,T40.2,Other opioids (natural & semi-synthetic),7402,false
2006,T40.3,Methadone,5633,false
2006,T40.4,Synthetic opioids excl. methadone (fentanyl),2839,false
2006,T40.5,Cocaine,8591,false
2006,T40.7,Cannabis,162,false
2006,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",1848,false
2007,T40.1,Heroin,2443,false
2007,T40.2,Other opioids (natural & semi-synthetic),8532,false
2007,T40.3,Methadone,5698,false
2007,T40.4,Synthetic opioids excl. methadone (fentanyl),2297,false
2007,T40.5,Cocaine,7463,false
2007,T40.7,Cannabis,177,false
2007,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",1724,false
2008,T40.1,Heroin,3086,false
2008,T40.2,Other opioids (natural & semi-synthetic),9515,false
2008,T40.3,Methadone,5105,false
2008,T40.4,Synthetic opioids excl. methadone (fentanyl),2377,false
2008,T40.5,Cocaine,5865,false
2008,T40.7,Cannabis,169,false
2008,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",1560,false
2009,T40.1,Heroin,3343,false
2009,T40.2,Other opioids (natural & semi-synthetic),10216,false
2009,T40.3,Methadone,4854,false
2009,T40.4,Synthetic opioids excl. methadone (fentanyl),3042,false
2009,T40.5,Cocaine,4988,false
2009,T40.7,Cannabis,170,false
2009,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",2007,false
2010,T40.1,Heroin,3094,false
2010,T40.2,Other opioids (natural & semi-synthetic),11504,false
2010,T40.3,Methadone,4729,false
2010,T40.4,Synthetic opioids excl. methadone (fentanyl),3126,false
2010,T40.5,Cocaine,4824,false
2010,T40.7,Cannabis,261,false
2010,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",2330,false
2011,T40.1,Heroin,4456,false
2011,T40.2,Other opioids (natural & semi-synthetic),12251,false
2011,T40.3,Methadone,4585,false
2011,T40.4,Synthetic opioids excl. methadone (fentanyl),2769,false
2011,T40.5,Cocaine,5324,false
2011,T40.7,Cannabis,312,false
2011,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",2724,false
2012,T40.1,Heroin,5997,false
2012,T40.2,Other opioids (natural & semi-synthetic),11676,false
2012,T40.3,Methadone,4075,false
2012,T40.4,Synthetic opioids excl. methadone (fentanyl),2734,false
2012,T40.5,Cocaine,4998,false
2012,T40.7,Cannabis,343,false
2012,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",3247,false
2013,T40.1,Heroin,8377,false
2013,T40.2,Other opioids (natural & semi-synthetic),11873,false
2013,T40.3,Methadone,3740,false
2013,T40.4,Synthetic opioids excl. methadone (fentanyl),3220,false
2013,T40.5,Cocaine,5495,false
2013,T40.7,Cannabis,388,false
2013,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",4374,false
2014,T40.1,Heroin,10754,false
2014,T40.2,Other opioids (natural & semi-synthetic),12657,false
2014,T40.3,Methadone,3540,false
2014,T40.4,Synthetic opioids excl. methadone (fentanyl),5695,false
2014,T40.5,Cocaine,5992,false
2014,T40.7,Cannabis,421,false
2014,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",5114,false
2015,T40.1,Heroin,13150,false
2015,T40.2,Other opioids (natural & semi-synthetic),13294,false
2015,T40.3,Methadone,3406,false
2015,T40.4,Synthetic opioids excl. methadone (fentanyl),9803,false
2015,T40.5,Cocaine,7406,false
