sex,sex_label,race,race_label,age_range,age_range_label,site,site_label,year,rate,rate_lower_ci,rate_upper_ci,modeled_rate,count,rate_type,rate_type_label,stage,stage_label,subtype,subtype_label
1,Both Sexes,1,All Races / Ethnicities,9,Ages < 50,1,All Cancer Sites Combined,2000,20.946588,20.747832,21.146769,21.206609,42478,,,,,,
1,Both Sexes,1,All Races / Ethnicities,9,Ages < 50,1,All Cancer Sites Combined,2001,20.930800,20.733299,21.129712,20.775445,42960,,,,,,
1,Both Sexes,1,All Races / Ethnicities,9,Ages < 50,1,All Cancer Sites Combined,2002,20.502314,20.307810,20.698219,20.353048,42530,,,,,,
1,Both Sexes,1,All Races / Ethnicities,9,Ages < 50,1,All Cancer Sites Combined,2003,20.087729,19.895839,20.281013,19.939239,41996,,,,,,
1,Both Sexes,1,All Races / Ethnicities,9,Ages < 50,1,All Cancer Sites Combined,2004,19.369133,19.181188,19.558465,19.533843,40747,,,,,,
1,Both Sexes,1,All Races / Ethnicities,9,Ages < 50,1,All Cancer Sites Combined,2005,19.292981,19.105750,19.481595,19.136689,40788,,,,,,
1,Both Sexes,1,All Races / Ethnicities,9,Ages < 50,1,All Cancer Sites Combined,2006,18.752936,18.568456,18.938797,18.747611,39751,,,,,,
1,Both Sexes,1,All Races / Ethnicities,9,Ages < 50,1,All Cancer Sites Combined,2007,18.237786,18.055557,18.421396,18.366442,38577,,,,,,
1,Both Sexes,1,All Races / Ethnicities,9,Ages < 50,1,All Cancer Sites Combined,2008,17.930677,17.749617,18.113122,17.993024,37822,,,,,,
1,Both Sexes,1,All Races / Ethnicities,9,Ages < 50,1,All Cancer Sites Combined,2009,17.777724,17.596872,17.959967,17.627198,37326,,,,,,
1,Both Sexes,1,All Races / Ethnicities,9,Ages < 50,1,All Cancer Sites Combined,2010,17.198861,17.020559,17.378560,17.268809,35941,,,,,,
1,Both Sexes,1,All Races / Ethnicities,9,Ages < 50,1,All Cancer Sites Combined,2011,16.788924,16.611979,16.967273,16.917707,34745,,,,,,
1,Both Sexes,1,All Races / Ethnicities,9,Ages < 50,1,All Cancer Sites Combined,2012,16.525054,16.349003,16.702515,16.573744,33966,,,,,,
1,Both Sexes,1,All Races / Ethnicities,9,Ages < 50,1,All Cancer Sites Combined,2013,16.249165,16.073774,16.425974,16.236774,33061,,,,,,
1,Both Sexes,1,All Races / Ethnicities,9,Ages < 50,1,All Cancer Sites Combined,2014,15.949966,15.775545,16.125812,15.906655,32204,,,,,,
1,Both Sexes,1,All Races / Ethnicities,9,Ages < 50,1,All Cancer Sites Combined,2015,15.428086,15.256432,15.601166,15.583248,31123,,,,,,
1,Both Sexes,1,All Races / Ethnicities,9,Ages < 50,1,All Cancer Sites Combined,2016,15.394188,15.222900,15.566898,15.266416,31164,,,,,,
1,Both Sexes,1,All Races / Ethnicities,9,Ages < 50,1,All Cancer Sites Combined,2017,14.911350,14.742889,15.081230,14.956026,30235,,,,,,
1,Both Sexes,1,All Races / Ethnicities,9,Ages < 50,1,All Cancer Sites Combined,2018,14.655857,14.489226,14.823903,14.651947,29823,,,,,,
1,Both Sexes,1,All Races / Ethnicities,9,Ages < 50,1,All Cancer Sites Combined,2019,14.419028,14.253777,14.585693,14.354050,29319,,,,,,
1,Both Sexes,1,All Races / Ethnicities,9,Ages < 50,1,All Cancer Sites Combined,2020,14.268753,14.104205,14.434720,14.316944,28912,,,,,,
1,Both Sexes,1,All Races / Ethnicities,9,Ages < 50,1,All Cancer Sites Combined,2021,14.413167,14.247365,14.580395,14.279935,29028,,,,,,
1,Both Sexes,1,All Races / Ethnicities,9,Ages < 50,1,All Cancer Sites Combined,2022,14.253501,14.089161,14.419258,14.243021,28888,,,,,,
1,Both Sexes,1,All Races / Ethnicities,9,Ages < 50,1,All Cancer Sites Combined,2023,14.144401,13.981656,14.308548,14.206203,28995,,,,,,
1,Both Sexes,1,All Races / Ethnicities,9,Ages < 50,1,All Cancer Sites Combined,2024,14.169527,14.008006,14.332433,14.169480,29535,,,,,,
3,Female,1,All Races / Ethnicities,9,Ages < 50,1,All Cancer Sites Combined,2000,21.714923,21.429933,22.002767,21.971931,22163,,,,,,
3,Female,1,All Races / Ethnicities,9,Ages < 50,1,All Cancer Sites Combined,2001,21.903050,21.618393,22.190532,21.584162,22609,,,,,,
3,Female,1,All Races / Ethnicities,9,Ages < 50,1,All Cancer Sites Combined,2002,21.404437,21.124299,21.687381,21.203236,22314,,,,,,
3,Female,1,All Races / Ethnicities,9,Ages < 50,1,All Cancer Sites Combined,2003,20.771537,20.496377,21.049490,20.829033,21809,,,,,,
3,Female,1,All Races / Ethnicities,9,Ages < 50,1,All Cancer Sites Combined,2004,20.222825,19.951876,20.496557,20.461433,21346,,,,,,
3,Female,1,All Races / Ethnicities,9,Ages < 50,1,All Cancer Sites Combined,2005,20.292053,20.021141,20.565739,20.100322,21528,,,,,,
3,Female,1,All Races / Ethnicities,9,Ages < 50,1,All Cancer Sites Combined,2006,19.909047,19.640728,20.180138,19.745583,21156,,,,,,
3,Female,1,All Races / Ethnicities,9,Ages < 50,1,All Cancer Sites Combined,2007,19.413120,19.147623,19.681392,19.397105,20567,,,,,,
3,Female,1,All Races / Ethnicities,9,Ages < 50,1,All Cancer Sites Combined,2008,18.799313,18.537380,19.064030,19.054777,19841,,,,,,
3,Female,1,All Races / Ethnicities,9,Ages < 50,1,All Cancer Sites Combined,2009,18.879000,18.615726,19.145069,18.718491,19839,,,,,,
3,Female,1,All Races / Ethnicities,9,Ages < 50,1,All Cancer Sites Combined,2010,18.137976,17.879255,18.399502,18.388140,18959,,,,,,
3,Female,1,All Races / Ethnicities,9,Ages < 50,1,All Cancer Sites Combined,2011,17.912066,17.653746,18.173211,18.063618,18525,,,,,,
3,Female,1,All Races / Ethnicities,9,Ages < 50,1,All Cancer Sites Combined,2012,17.645927,17.388644,17.906047,17.744824,18099,,,,,,
3,Female,1,All Races / Ethnicities,9,Ages < 50,1,All Cancer Sites Combined,2013,17.425483,17.168487,17.685335,17.431657,17668,,,,,,
3,Female,1,All Races / Ethnicities,9,Ages < 50,1,All Cancer Sites Combined,2014,17.123544,16.867685,17.382275,17.124016,17204,,,,,,
3,Female,1,All Races / Ethnicities,9,Ages < 50,1,All Cancer Sites Combined,2015,16.659870,16.407180,16.915436,16.821804,16701,,,,,,
