sex,sex_label,race,race_label,site,site_label,age_range,rate,rate_lower_ci,rate_upper_ci,count,rate_se,rate_type,rate_type_label,subtype,subtype_label
1,Both Sexes,1,All Races / Ethnicities,50,Bones and Joints,217,2.637025,2.465459,2.817382,878,0.088995,,,,
1,Both Sexes,1,All Races / Ethnicities,50,Bones and Joints,218,4.205323,3.917328,4.508889,791,0.149524,,,,
1,Both Sexes,1,All Races / Ethnicities,50,Bones and Joints,219,5.618179,5.204088,6.056456,681,0.215289,,,,
1,Both Sexes,1,All Races / Ethnicities,76,Brain and Other Nervous System,200,0.285317,0.213088,0.374155,52,0.039566,,,,
1,Both Sexes,1,All Races / Ethnicities,76,Brain and Other Nervous System,201,0.436308,0.390565,0.485936,331,0.023981,,,,
1,Both Sexes,1,All Races / Ethnicities,76,Brain and Other Nervous System,202,0.861519,0.805343,0.920582,874,0.029141,,,,
1,Both Sexes,1,All Races / Ethnicities,76,Brain and Other Nervous System,203,0.645917,0.598480,0.696115,686,0.024661,,,,
1,Both Sexes,1,All Races / Ethnicities,76,Brain and Other Nervous System,204,0.560968,0.517503,0.607109,615,0.022620,,,,
1,Both Sexes,1,All Races / Ethnicities,76,Brain and Other Nervous System,205,0.576698,0.532539,0.623542,630,0.022976,,,,
1,Both Sexes,1,All Races / Ethnicities,76,Brain and Other Nervous System,206,0.721890,0.673025,0.773364,810,0.025364,,,,
1,Both Sexes,1,All Races / Ethnicities,76,Brain and Other Nervous System,207,1.070523,1.012108,1.131431,1255,0.030218,,,,
1,Both Sexes,1,All Races / Ethnicities,76,Brain and Other Nervous System,208,1.566544,1.494366,1.641308,1768,0.037256,,,,
1,Both Sexes,1,All Races / Ethnicities,76,Brain and Other Nervous System,209,2.289145,2.199679,2.381317,2466,0.046097,,,,
1,Both Sexes,1,All Races / Ethnicities,76,Brain and Other Nervous System,210,3.413534,3.299980,3.529999,3414,0.058421,,,,
1,Both Sexes,1,All Races / Ethnicities,76,Brain and Other Nervous System,211,5.117544,4.980839,5.257050,5312,0.070215,,,,
1,Both Sexes,1,All Races / Ethnicities,76,Brain and Other Nervous System,212,7.668515,7.502464,7.837314,8105,0.085179,,,,
1,Both Sexes,1,All Races / Ethnicities,76,Brain and Other Nervous System,213,10.889492,10.691827,11.089893,11554,0.101307,,,,
1,Both Sexes,1,All Races / Ethnicities,76,Brain and Other Nervous System,214,14.071569,13.832547,14.313685,13202,0.122468,,,,
1,Both Sexes,1,All Races / Ethnicities,76,Brain and Other Nervous System,215,17.782535,17.485032,18.083830,13611,0.152422,,,,
1,Both Sexes,1,All Races / Ethnicities,76,Brain and Other Nervous System,216,21.028058,20.642248,21.419266,11308,0.197745,,,,
1,Both Sexes,1,All Races / Ethnicities,76,Brain and Other Nervous System,217,22.528843,22.021862,23.044552,7501,0.260123,,,,
1,Both Sexes,1,All Races / Ethnicities,76,Brain and Other Nervous System,218,24.328139,23.628310,25.043433,4576,0.359638,,,,
1,Both Sexes,1,All Races / Ethnicities,76,Brain and Other Nervous System,219,20.492743,19.694701,21.314824,2484,0.411172,,,,
1,Both Sexes,1,All Races / Ethnicities,660,Diffuse Astrocytoma and Anaplastic Astrocytoma of the Brain and ONS,200,,,,,,1,Observed SEER Incidence Rate,660,Diffuse Astrocytoma and Anaplastic Astrocytoma
1,Both Sexes,1,All Races / Ethnicities,660,Diffuse Astrocytoma and Anaplastic Astrocytoma of the Brain and ONS,201,0.102684,0.072299,0.141537,37,0.016881,1,Observed SEER Incidence Rate,660,Diffuse Astrocytoma and Anaplastic Astrocytoma
1,Both Sexes,1,All Races / Ethnicities,660,Diffuse Astrocytoma and Anaplastic Astrocytoma of the Brain and ONS,202,0.131625,0.101144,0.168406,63,0.016583,1,Observed SEER Incidence Rate,660,Diffuse Astrocytoma and Anaplastic Astrocytoma
1,Both Sexes,1,All Races / Ethnicities,660,Diffuse Astrocytoma and Anaplastic Astrocytoma of the Brain and ONS,203,0.141267,0.110330,0.178189,71,0.016765,1,Observed SEER Incidence Rate,660,Diffuse Astrocytoma and Anaplastic Astrocytoma
1,Both Sexes,1,All Races / Ethnicities,660,Diffuse Astrocytoma and Anaplastic Astrocytoma of the Brain and ONS,204,0.235005,0.194682,0.281218,119,0.021542,1,Observed SEER Incidence Rate,660,Diffuse Astrocytoma and Anaplastic Astrocytoma
1,Both Sexes,1,All Races / Ethnicities,660,Diffuse Astrocytoma and Anaplastic Astrocytoma of the Brain and ONS,205,0.521653,0.460280,0.588930,261,0.032289,1,Observed SEER Incidence Rate,660,Diffuse Astrocytoma and Anaplastic Astrocytoma
1,Both Sexes,1,All Races / Ethnicities,660,Diffuse Astrocytoma and Anaplastic Astrocytoma of the Brain and ONS,206,0.875245,0.797572,0.958439,466,0.040544,1,Observed SEER Incidence Rate,660,Diffuse Astrocytoma and Anaplastic Astrocytoma
1,Both Sexes,1,All Races / Ethnicities,660,Diffuse Astrocytoma and Anaplastic Astrocytoma of the Brain and ONS,207,1.158991,1.070518,1.252825,634,0.046029,1,Observed SEER Incidence Rate,660,Diffuse Astrocytoma and Anaplastic Astrocytoma
1,Both Sexes,1,All Races / Ethnicities,660,Diffuse Astrocytoma and Anaplastic Astrocytoma of the Brain and ONS,208,1.128673,1.039793,1.223119,595,0.046271,1,Observed SEER Incidence Rate,660,Diffuse Astrocytoma and Anaplastic Astrocytoma
1,Both Sexes,1,All Races / Ethnicities,660,Diffuse Astrocytoma and Anaplastic Astrocytoma of the Brain and ONS,209,0.990002,0.904274,1.081666,490,0.044723,1,Observed SEER Incidence Rate,660,Diffuse Astrocytoma and Anaplastic Astrocytoma
1,Both Sexes,1,All Races / Ethnicities,660,Diffuse Astrocytoma and Anaplastic Astrocytoma of the Brain and ONS,210,0.806285,0.726940,0.891927,377,0.041525,1,Observed SEER Incidence Rate,660,Diffuse Astrocytoma and Anaplastic Astrocytoma
1,Both Sexes,1,All Races / Ethnicities,660,Diffuse Astrocytoma and Anaplastic Astrocytoma of the Brain and ONS,211,0.752307,0.676386,0.834417,358,0.039760,1,Observed SEER Incidence Rate,660,Diffuse Astrocytoma and Anaplastic Astrocytoma
1,Both Sexes,1,All Races / Ethnicities,660,Diffuse Astrocytoma and Anaplastic Astrocytoma of the Brain and ONS,212,0.781580,0.704467,0.864831,375,0.040360,1,Observed SEER Incidence Rate,660,Diffuse Astrocytoma and Anaplastic Astrocytoma
1,Both Sexes,1,All Races / Ethnicities,660,Diffuse Astrocytoma and Anaplastic Astrocytoma of the Brain and ONS,213,0.837528,0.755947,0.925513,385,0.042684,1,Observed SEER Incidence Rate,660,Diffuse Astrocytoma and Anaplastic Astrocytoma
1,Both Sexes,1,All Races / Ethnicities,660,Diffuse Astrocytoma and Anaplastic Astrocytoma of the Brain and ONS,214,0.856463,0.767194,0.953267,335,0.046793,1,Observed SEER Incidence Rate,660,Diffuse Astrocytoma and Anaplastic Astrocytoma
1,Both Sexes,1,All Races / Ethnicities,660,Diffuse Astrocytoma and Anaplastic Astrocytoma of the Brain and ONS,215,0.964204,0.858342,1.079516,301,0.055575,1,Observed SEER Incidence Rate,660,Diffuse Astrocytoma and Anaplastic Astrocytoma
1,Both Sexes,1,All Races / Ethnicities,660,Diffuse Astrocytoma and Anaplastic Astrocytoma of the Brain and ONS,216,0.971310,0.843490,1.113027,207,0.067510,1,Observed SEER Incidence Rate,660,Diffuse Astrocytoma and Anaplastic Astrocytoma
1,Both Sexes,1,All Races / Ethnicities,660,Diffuse Astrocytoma and Anaplastic Astrocytoma of the Brain and ONS,217,1.060764,0.893473,1.250283,142,0.089017,1,Observed SEER Incidence Rate,660,Diffuse Astrocytoma and Anaplastic Astrocytoma
1,Both Sexes,1,All Races / Ethnicities,660,Diffuse Astrocytoma and Anaplastic Astrocytoma of the Brain and ONS,218,0.740317,0.562154,0.957032,58,0.097208,1,Observed SEER Incidence Rate,660,Diffuse Astrocytoma and Anaplastic Astrocytoma
1,Both Sexes,1,All Races / Ethnicities,660,Diffuse Astrocytoma and Anaplastic Astrocytoma of the Brain and ONS,219,0.307887,0.175984,0.499989,16,0.076971,1,Observed SEER Incidence Rate,660,Diffuse Astrocytoma and Anaplastic Astrocytoma
1,Both Sexes,1,All Races / Ethnicities,661,Glioblastoma of the Brain and ONS,200,,,,,,1,Observed SEER Incidence Rate,661,Glioblastoma
1,Both Sexes,1,All Races / Ethnicities,661,Glioblastoma of the Brain and ONS,201,0.044404,0.025380,0.072109,16,0.011101,1,Observed SEER Incidence Rate,661,Glioblastoma
1,Both Sexes,1,All Races / Ethnicities,661,Glioblastoma of the Brain and ONS,202,0.081482,0.057941,0.111389,39,0.013047,1,Observed SEER Incidence Rate,661,Glioblastoma
1,Both Sexes,1,All Races / Ethnicities,661,Glioblastoma of the Brain and ONS,203,0.123359,0.094579,0.158141,62,0.015666,1,Observed SEER Incidence Rate,661,Glioblastoma
