"geoid","name","intent","period","count_sup","rate","data_as_of","ttm_date_range"
"02","Alaska","Drug_OD","TTM","322","43.90000000000000","2026-05-14T00:00:00.000","November, 2024 to October, 2025"
"02","Alaska","FA_Deaths","2019","179","24.50000000000000","2026-05-14T00:00:00.000",
"02","Alaska","FA_Deaths","2020","175","23.90000000000000","2026-05-14T00:00:00.000",
"02","Alaska","FA_Deaths","2021","182","24.80000000000000","2026-05-14T00:00:00.000",
"02","Alaska","FA_Deaths","2022","164","22.40000000000000","2026-05-14T00:00:00.000",
"02","Alaska","FA_Deaths","2023","176","24.00000000000000","2026-05-14T00:00:00.000",
"02","Alaska","FA_Deaths","2024","182","24.80000000000000","2026-05-14T00:00:00.000",
"02","Alaska","FA_Deaths","TTM","196","26.70000000000000","2026-05-14T00:00:00.000","January, 2025 to December, 2025"
"02","Alaska","FA_Homicide","2019","51","7.000000000000000","2026-05-14T00:00:00.000",
"02","Alaska","FA_Homicide","2020","27","3.700000000000000","2026-05-14T00:00:00.000",
"02","Alaska","FA_Homicide","2021","31","4.200000000000000","2026-05-14T00:00:00.000",
"02","Alaska","FA_Homicide","2022","41","5.600000000000000","2026-05-14T00:00:00.000",
"02","Alaska","FA_Homicide","2023","47","6.400000000000000","2026-05-14T00:00:00.000",
"02","Alaska","FA_Homicide","2024","33","4.500000000000000","2026-05-14T00:00:00.000",
"02","Alaska","FA_Homicide","TTM","39","5.300000000000000","2026-05-14T00:00:00.000","January, 2025 to December, 2025"
"02","Alaska","FA_Suicide","2019","117","16.00000000000000","2026-05-14T00:00:00.000",
"02","Alaska","FA_Suicide","2020","133","18.10000000000000","2026-05-14T00:00:00.000",
"02","Alaska","FA_Suicide","2021","142","19.30000000000000","2026-05-14T00:00:00.000",
"02","Alaska","FA_Suicide","2022","114","15.50000000000000","2026-05-14T00:00:00.000",
"02","Alaska","FA_Suicide","2023","120","16.40000000000000","2026-05-14T00:00:00.000",
"02","Alaska","FA_Suicide","2024","141","19.20000000000000","2026-05-14T00:00:00.000",
"02","Alaska","FA_Suicide","TTM","148","20.20000000000000","2026-05-14T00:00:00.000","January, 2025 to December, 2025"
"04","Arizona","All_Homicide","2019","414","5.700000000000000","2026-05-14T00:00:00.000",
"04","Arizona","All_Homicide","2020","525","7.300000000000000","2026-05-14T00:00:00.000",
"04","Arizona","All_Homicide","2021","562","7.700000000000000","2026-05-14T00:00:00.000",
"04","Arizona","All_Homicide","2022","629","8.500000000000000","2026-05-14T00:00:00.000",
"04","Arizona","All_Homicide","2023","531","7.100000000000000","2026-05-14T00:00:00.000",
"04","Arizona","All_Homicide","2024","467","6.300000000000000","2026-05-14T00:00:00.000",
"04","Arizona","All_Homicide","TTM","427","5.700000000000000","2026-05-14T00:00:00.000","January, 2025 to December, 2025"
"04","Arizona","All_Suicide","2019","1419","19.50000000000000","2026-05-14T00:00:00.000",
"04","Arizona","All_Suicide","2021","1475","20.30000000000000","2026-05-14T00:00:00.000",
"04","Arizona","All_Suicide","2022","1603","21.80000000000000","2026-05-14T00:00:00.000",
"04","Arizona","All_Suicide","2023","1506","20.30000000000000","2026-05-14T00:00:00.000",
"04","Arizona","All_Suicide","2024","1516","20.40000000000000","2026-05-14T00:00:00.000",
"04","Arizona","All_Suicide","TTM","1550","20.90000000000000","2026-05-14T00:00:00.000","January, 2025 to December, 2025"
"04","Arizona","Drug_OD","2019","1756","24.10000000000000","2026-05-14T00:00:00.000",
"04","Arizona","Drug_OD","2020","2427","33.80000000000000","2026-05-14T00:00:00.000",
"04","Arizona","Drug_OD","2021","2604","35.80000000000000","2026-05-14T00:00:00.000",
"04","Arizona","Drug_OD","2022","2486","33.80000000000000","2026-05-14T00:00:00.000",
"04","Arizona","Drug_OD","2023","2479","33.40000000000000","2026-05-14T00:00:00.000",
"04","Arizona","Drug_OD","2024","2324","31.30000000000000","2026-05-14T00:00:00.000",
"04","Arizona","Drug_OD","TTM","2746","37.00000000000000","2026-05-14T00:00:00.000","November, 2024 to October, 2025"
"04","Arizona","FA_Deaths","2019","1136","15.60000000000000","2026-05-14T00:00:00.000",
"04","Arizona","FA_Deaths","2020","1265","17.60000000000000","2026-05-14T00:00:00.000",
"04","Arizona","FA_Deaths","2021","1365","18.80000000000000","2026-05-14T00:00:00.000",
"04","Arizona","FA_Deaths","2022","1535","20.80000000000000","2026-05-14T00:00:00.000",
"04","Arizona","FA_Deaths","2023","1419","19.10000000000000","2026-05-14T00:00:00.000",
"04","Arizona","FA_Deaths","2024","1331","17.90000000000000","2026-05-14T00:00:00.000",
"04","Arizona","FA_Deaths","TTM","1366","18.40000000000000","2026-05-14T00:00:00.000","January, 2025 to December, 2025"
"04","Arizona","FA_Homicide","2019","285","3.900000000000000","2026-05-14T00:00:00.000",
"04","Arizona","FA_Homicide","2020","382","5.300000000000000","2026-05-14T00:00:00.000",
"04","Arizona","FA_Homicide","2021","430","5.900000000000000","2026-05-14T00:00:00.000",
"04","Arizona","FA_Homicide","2022","490","6.700000000000000","2026-05-14T00:00:00.000",
"04","Arizona","FA_Homicide","2023","410","5.500000000000000","2026-05-14T00:00:00.000",
"04","Arizona","FA_Homicide","2024","329","4.400000000000000","2026-05-14T00:00:00.000",
"04","Arizona","FA_Homicide","TTM","311","4.200000000000000","2026-05-14T00:00:00.000","January, 2025 to December, 2025"
"04","Arizona","FA_Suicide","2019","809","11.10000000000000","2026-05-14T00:00:00.000",
"04","Arizona","FA_Suicide","2020","830","11.50000000000000","2026-05-14T00:00:00.000",
"04","Arizona","FA_Suicide","2021","879","12.10000000000000","2026-05-14T00:00:00.000",
"04","Arizona","FA_Suicide","2022","982","13.30000000000000","2026-05-14T00:00:00.000",
"04","Arizona","FA_Suicide","2023","951","12.80000000000000","2026-05-14T00:00:00.000",
"04","Arizona","FA_Suicide","2024","933","12.60000000000000","2026-05-14T00:00:00.000",
"04","Arizona","FA_Suicide","TTM","976","13.10000000000000","2026-05-14T00:00:00.000","January, 2025 to December, 2025"
"05","Arkansas","All_Homicide","2019","270","8.900000000000000","2026-05-14T00:00:00.000",
"05","Arkansas","All_Homicide","2020","371","12.30000000000000","2026-05-14T00:00:00.000",
"05","Arkansas","All_Homicide","2021","335","11.10000000000000","2026-05-14T00:00:00.000",
"05","Arkansas","All_Homicide","2022","345","11.30000000000000","2026-05-14T00:00:00.000",
"05","Arkansas","All_Homicide","2023","325","10.60000000000000","2026-05-14T00:00:00.000",
"05","Arkansas","All_Homicide","2024","247","8.100000000000000","2026-05-14T00:00:00.000",
"05","Arkansas","All_Homicide","TTM","238","7.800000000000000","2026-05-14T00:00:00.000","January, 2025 to December, 2025"
"05","Arkansas","All_Suicide","2019","548","18.20000000000000","2026-05-14T00:00:00.000",
"05","Arkansas","All_Suicide","2020","583","19.30000000000000","2026-05-14T00:00:00.000",
"05","Arkansas","All_Suicide","2021","618","20.40000000000000","2026-05-14T00:00:00.000",
"05","Arkansas","All_Suicide","2022","547","18.00000000000000","2026-05-14T00:00:00.000",
"05","Arkansas","All_Suicide","2023","626","20.40000000000000","2026-05-14T00:00:00.000",
"05","Arkansas","All_Suicide","2024","592","19.30000000000000","2026-05-14T00:00:00.000",
"05","Arkansas","All_Suicide","TTM","567","18.50000000000000","2026-05-14T00:00:00.000","January, 2025 to December, 2025"
"05","Arkansas","Drug_OD","2019","352","11.70000000000000","2026-05-14T00:00:00.000",
"05","Arkansas","Drug_OD","2020","493","16.40000000000000","2026-05-14T00:00:00.000",
"05","Arkansas","Drug_OD","2021","592","19.50000000000000","2026-05-14T00:00:00.000",
"05","Arkansas","Drug_OD","2022","576","18.90000000000000","2026-05-14T00:00:00.000",
"05","Arkansas","Drug_OD","2023","473","15.40000000000000","2026-05-14T00:00:00.000",
"05","Arkansas","Drug_OD","2024","382","12.50000000000000","2026-05-14T00:00:00.000",
"05","Arkansas","Drug_OD","TTM","340","11.10000000000000","2026-05-14T00:00:00.000","November, 2024 to October, 2025"
"05","Arkansas","FA_Deaths","2019","580","19.20000000000000","2026-05-14T00:00:00.000",
