"week_end","condition","percent_visits","age_group"
"2023-12-09T00:00:00.000","Acute upper respiratory infection","1.1","Seniors 65+"
"2023-12-09T00:00:00.000","Acute upper respiratory infection","3.5","Overall"
"2023-12-16T00:00:00.000","Acute upper respiratory infection","14.4","Infants 0-1"
"2023-12-16T00:00:00.000","Acute upper respiratory infection","13.1","Kids 2-4"
"2023-12-16T00:00:00.000","Acute upper respiratory infection","7.7","Kids 5-17"
"2023-12-16T00:00:00.000","Acute upper respiratory infection","2.9","Adults 18-49"
"2023-12-16T00:00:00.000","Acute upper respiratory infection","1.8","Adults 50-64"
"2023-12-16T00:00:00.000","Acute upper respiratory infection","1.1","Seniors 65+"
"2023-12-16T00:00:00.000","Acute upper respiratory infection","3.8","Overall"
"2023-12-23T00:00:00.000","Acute upper respiratory infection","14.1","Infants 0-1"
"2023-12-23T00:00:00.000","Acute upper respiratory infection","12.9","Kids 2-4"
"2023-12-23T00:00:00.000","Acute upper respiratory infection","7.9","Kids 5-17"
"2023-12-23T00:00:00.000","Acute upper respiratory infection","3.2","Adults 18-49"
"2023-12-23T00:00:00.000","Acute upper respiratory infection","2.1","Adults 50-64"
"2023-12-23T00:00:00.000","Acute upper respiratory infection","1.3","Seniors 65+"
"2023-12-23T00:00:00.000","Acute upper respiratory infection","4.0","Overall"
"2023-12-30T00:00:00.000","Acute upper respiratory infection","14.8","Infants 0-1"
"2023-12-30T00:00:00.000","Acute upper respiratory infection","12.7","Kids 2-4"
"2023-12-30T00:00:00.000","Acute upper respiratory infection","7.3","Kids 5-17"
"2023-12-30T00:00:00.000","Acute upper respiratory infection","3.4","Adults 18-49"
"2023-12-30T00:00:00.000","Acute upper respiratory infection","2.4","Adults 50-64"
"2023-12-30T00:00:00.000","Acute upper respiratory infection","1.6","Seniors 65+"
"2023-12-30T00:00:00.000","Acute upper respiratory infection","4.1","Overall"
"2024-01-06T00:00:00.000","Acute upper respiratory infection","14.9","Infants 0-1"
"2024-01-06T00:00:00.000","Acute upper respiratory infection","11.7","Kids 2-4"
"2024-01-06T00:00:00.000","Acute upper respiratory infection","5.8","Kids 5-17"
"2024-01-06T00:00:00.000","Acute upper respiratory infection","3.4","Adults 18-49"
"2024-01-06T00:00:00.000","Acute upper respiratory infection","2.4","Adults 50-64"
"2024-01-06T00:00:00.000","Acute upper respiratory infection","1.6","Seniors 65+"
"2024-01-06T00:00:00.000","Acute upper respiratory infection","3.8","Overall"
"2024-01-13T00:00:00.000","Acute upper respiratory infection","13.5","Infants 0-1"
"2024-01-13T00:00:00.000","Acute upper respiratory infection","10.7","Kids 2-4"
"2024-01-13T00:00:00.000","Acute upper respiratory infection","5.0","Kids 5-17"
"2024-01-13T00:00:00.000","Acute upper respiratory infection","2.8","Adults 18-49"
"2024-01-13T00:00:00.000","Acute upper respiratory infection","1.9","Adults 50-64"
"2024-01-13T00:00:00.000","Acute upper respiratory infection","1.2","Seniors 65+"
"2024-01-13T00:00:00.000","Acute upper respiratory infection","3.1","Overall"
"2024-01-20T00:00:00.000","Acute upper respiratory infection","13.1","Infants 0-1"
"2024-01-20T00:00:00.000","Acute upper respiratory infection","10.4","Kids 2-4"
"2024-01-20T00:00:00.000","Acute upper respiratory infection","5.2","Kids 5-17"
"2024-01-20T00:00:00.000","Acute upper respiratory infection","2.4","Adults 18-49"
"2024-01-20T00:00:00.000","Acute upper respiratory infection","1.6","Adults 50-64"
"2024-01-20T00:00:00.000","Acute upper respiratory infection","0.9","Seniors 65+"
"2024-01-20T00:00:00.000","Acute upper respiratory infection","2.8","Overall"
"2024-01-27T00:00:00.000","Acute upper respiratory infection","12.3","Infants 0-1"
"2024-01-27T00:00:00.000","Acute upper respiratory infection","10.0","Kids 2-4"
"2024-01-27T00:00:00.000","Acute upper respiratory infection","5.1","Kids 5-17"
"2024-01-27T00:00:00.000","Acute upper respiratory infection","2.2","Adults 18-49"
"2024-01-27T00:00:00.000","Acute upper respiratory infection","1.5","Adults 50-64"
"2024-01-27T00:00:00.000","Acute upper respiratory infection","0.8","Seniors 65+"
"2024-01-27T00:00:00.000","Acute upper respiratory infection","2.6","Overall"
"2024-02-03T00:00:00.000","Acute upper respiratory infection","12.5","Infants 0-1"
"2024-02-03T00:00:00.000","Acute upper respiratory infection","10.5","Kids 2-4"
"2024-02-03T00:00:00.000","Acute upper respiratory infection","5.8","Kids 5-17"
