"influenza_season","start_date","end_date","reporting_timeframe","week","week_sort_order","current_season_week_ending_label","cumulative_flu_doses","current_through"
"2018-2019","2018-11-04T00:00:00.000","2018-11-10T00:00:00.000","2018-11-04 - 2018-11-10","44","15","2023-11-11T00:00:00.000","160.55","2023-03-04T00:00:00.000"
"2018-2019","2018-11-11T00:00:00.000","2018-11-17T00:00:00.000","2018-11-11 - 2018-11-17","45","16","2023-11-18T00:00:00.000","162.96","2023-03-04T00:00:00.000"
"2018-2019","2018-11-18T00:00:00.000","2018-11-24T00:00:00.000","2018-11-18 - 2018-11-24","46","17","2023-11-25T00:00:00.000","163.95","2023-03-04T00:00:00.000"
"2018-2019","2018-11-25T00:00:00.000","2018-12-01T00:00:00.000","2018-11-25 - 2018-12-01","47","18","2023-12-02T00:00:00.000","165.5","2023-03-04T00:00:00.000"
"2018-2019","2018-12-02T00:00:00.000","2018-12-08T00:00:00.000","2018-12-02 - 2018-12-08","48","19","2023-12-09T00:00:00.000","166.54","2023-03-04T00:00:00.000"
"2018-2019","2018-12-09T00:00:00.000","2018-12-15T00:00:00.000","2018-12-09 - 2018-12-15","49","20","2023-12-16T00:00:00.000","167.79","2023-03-04T00:00:00.000"
"2018-2019","2018-12-16T00:00:00.000","2018-12-22T00:00:00.000","2018-12-16 - 2018-12-22","50","21","2023-12-23T00:00:00.000","168.26","2023-03-04T00:00:00.000"
"2018-2019","2018-12-23T00:00:00.000","2018-12-29T00:00:00.000","2018-12-23 - 2018-12-29","51","22","2023-12-30T00:00:00.000","168.4","2023-03-04T00:00:00.000"
"2018-2019","2018-12-30T00:00:00.000","2019-01-05T00:00:00.000","2018-12-30 - 2019-01-05","52","23","2024-01-06T00:00:00.000","168.85","2023-03-04T00:00:00.000"
"2018-2019","2019-01-06T00:00:00.000","2019-01-12T00:00:00.000","2019-01-06 - 2019-01-12","1","24","2024-01-13T00:00:00.000","169.3","2023-03-04T00:00:00.000"
"2018-2019","2019-01-13T00:00:00.000","2019-01-19T00:00:00.000","2019-01-13 - 2019-01-19","2","25","2024-01-20T00:00:00.000","169.66","2023-03-04T00:00:00.000"
"2018-2019","2019-01-20T00:00:00.000","2019-01-26T00:00:00.000","2019-01-20 - 2019-01-26","3","26","2024-01-27T00:00:00.000","169.89","2023-03-04T00:00:00.000"
"2018-2019","2019-01-27T00:00:00.000","2019-02-02T00:00:00.000","2019-01-27 - 2019-02-02","4","27","2024-02-03T00:00:00.000","170.09","2023-03-04T00:00:00.000"
