"influenza_season","start_date","end_date","reporting_timeframe","week","week_sort_order","current_season_week_ending_label","cumulative_flu_doses","current_through"
"2022-2023","2022-12-11T00:00:00.000","2022-12-17T00:00:00.000","2022-12-11 - 2022-12-17","50","21","2023-12-16T00:00:00.000","169.75","2024-03-09T00:00:00.000"
"2022-2023","2022-12-18T00:00:00.000","2022-12-24T00:00:00.000","2022-12-18 - 2022-12-24","51","22","2023-12-23T00:00:00.000","170.37","2024-03-09T00:00:00.000"
"2022-2023","2022-12-25T00:00:00.000","2022-12-31T00:00:00.000","2022-12-25 - 2022-12-31","52","23","2023-12-30T00:00:00.000","170.71","2024-03-09T00:00:00.000"
"2022-2023","2023-01-01T00:00:00.000","2023-01-07T00:00:00.000","2023-01-01 - 2023-01-07","1","24","2024-01-06T00:00:00.000","171.19","2024-03-09T00:00:00.000"
"2022-2023","2023-01-08T00:00:00.000","2023-01-14T00:00:00.000","2023-01-08 - 2023-01-14","2","25","2024-01-13T00:00:00.000","171.52","2024-03-09T00:00:00.000"
"2022-2023","2023-01-15T00:00:00.000","2023-01-21T00:00:00.000","2023-01-15 - 2023-01-21","3","26","2024-01-20T00:00:00.000","171.8","2024-03-09T00:00:00.000"
"2022-2023","2023-01-22T00:00:00.000","2023-01-28T00:00:00.000","2023-01-22 - 2023-01-28","4","27","2024-01-27T00:00:00.000","171.97","2024-03-09T00:00:00.000"
"2022-2023","2023-01-29T00:00:00.000","2023-02-04T00:00:00.000","2023-01-29 - 2023-02-04","5","28","2024-02-03T00:00:00.000","172.76","2024-03-09T00:00:00.000"
"2022-2023","2023-02-05T00:00:00.000","2023-02-11T00:00:00.000","2023-02-05 - 2023-02-11","6","29","2024-02-10T00:00:00.000","173.02","2024-03-09T00:00:00.000"
"2022-2023","2023-02-12T00:00:00.000","2023-02-18T00:00:00.000","2023-02-12 - 2023-02-18","7","30","2024-02-17T00:00:00.000","173.16","2024-03-09T00:00:00.000"
"2022-2023","2023-02-19T00:00:00.000","2023-02-25T00:00:00.000","2023-02-19 - 2023-02-25","8","31","2024-02-24T00:00:00.000","173.26","2024-03-09T00:00:00.000"
"2022-2023","2023-02-26T00:00:00.000","2023-03-04T00:00:00.000","2023-02-26 - 2023-03-04","9","32","2024-03-02T00:00:00.000","173.37","2024-03-09T00:00:00.000"
"2023-2024","2023-07-23T00:00:00.000","2023-07-29T00:00:00.000","2023-07-23 - 2023-07-29","30","1","2023-07-29T00:00:00.000","4.65","2024-03-09T00:00:00.000"
"2023-2024","2023-07-30T00:00:00.000","2023-08-05T00:00:00.000","2023-07-30 - 2023-08-05","31","2","2023-08-05T00:00:00.000","12.17","2024-03-09T00:00:00.000"
"2023-2024","2023-08-06T00:00:00.000","2023-08-12T00:00:00.000","2023-08-06 - 2023-08-12","32","3","2023-08-12T00:00:00.000","19.21","2024-03-09T00:00:00.000"
"2023-2024","2023-08-13T00:00:00.000","2023-08-19T00:00:00.000","2023-08-13 - 2023-08-19","33","4","2023-08-19T00:00:00.000","30.38","2024-03-09T00:00:00.000"
"2023-2024","2023-08-20T00:00:00.000","2023-08-26T00:00:00.000","2023-08-20 - 2023-08-26","34","5","2023-08-26T00:00:00.000","42.93","2024-03-09T00:00:00.000"
"2023-2024","2023-08-27T00:00:00.000","2023-09-02T00:00:00.000","2023-08-27 - 2023-09-02","35","6","2023-09-02T00:00:00.000","54.54","2024-03-09T00:00:00.000"
"2023-2024","2023-09-03T00:00:00.000","2023-09-09T00:00:00.000","2023-09-03 - 2023-09-09","36","7","2023-09-09T00:00:00.000","68.65","2024-03-09T00:00:00.000"
"2023-2024","2023-09-10T00:00:00.000","2023-09-16T00:00:00.000","2023-09-10 - 2023-09-16","37","8","2023-09-16T00:00:00.000","83.59","2024-03-09T00:00:00.000"
"2023-2024","2023-09-17T00:00:00.000","2023-09-23T00:00:00.000","2023-09-17 - 2023-09-23","38","9","2023-09-23T00:00:00.000","100.51","2024-03-09T00:00:00.000"
"2023-2024","2023-09-24T00:00:00.000","2023-09-30T00:00:00.000","2023-09-24 - 2023-09-30","39","10","2023-09-30T00:00:00.000","116.29","2024-03-09T00:00:00.000"
"2023-2024","2023-10-01T00:00:00.000","2023-10-07T00:00:00.000","2023-10-01 - 2023-10-07","40","11","2023-10-07T00:00:00.000","128.35","2024-03-09T00:00:00.000"
"2023-2024","2023-10-08T00:00:00.000","2023-10-14T00:00:00.000","2023-10-08 - 2023-10-14","41","12","2023-10-14T00:00:00.000","136.94","2024-03-09T00:00:00.000"
"2023-2024","2023-10-15T00:00:00.000","2023-10-21T00:00:00.000","2023-10-15 - 2023-10-21","42","13","2023-10-21T00:00:00.000","142.16","2024-03-09T00:00:00.000"
"2023-2024","2023-10-22T00:00:00.000","2023-10-28T00:00:00.000","2023-10-22 - 2023-10-28","43","14","2023-10-28T00:00:00.000","145.42","2024-03-09T00:00:00.000"
"2023-2024","2023-10-29T00:00:00.000","2023-11-04T00:00:00.000","2023-10-29 - 2023-11-04","44","15","2023-11-04T00:00:00.000","147.47","2024-03-09T00:00:00.000"
"2023-2024","2023-11-05T00:00:00.000","2023-11-11T00:00:00.000","2023-11-05 - 2023-11-11","45","16","2023-11-11T00:00:00.000","148.95","2024-03-09T00:00:00.000"
"2023-2024","2023-11-12T00:00:00.000","2023-11-18T00:00:00.000","2023-11-12 - 2023-11-18","46","17","2023-11-18T00:00:00.000","150.63","2024-03-09T00:00:00.000"
"2023-2024","2023-11-19T00:00:00.000","2023-11-25T00:00:00.000","2023-11-19 - 2023-11-25","47","18","2023-11-25T00:00:00.000","151.3","2024-03-09T00:00:00.000"
"2023-2024","2023-11-26T00:00:00.000","2023-12-02T00:00:00.000","2023-11-26 - 2023-12-02","48","19","2023-12-02T00:00:00.000","152.42","2024-03-09T00:00:00.000"
"2023-2024","2023-12-03T00:00:00.000","2023-12-09T00:00:00.000","2023-12-03 - 2023-12-09","49","20","2023-12-09T00:00:00.000","153.62","2024-03-09T00:00:00.000"
"2023-2024","2023-12-10T00:00:00.000","2023-12-16T00:00:00.000","2023-12-10 - 2023-12-16","50","21","2023-12-16T00:00:00.000","154.38","2024-03-09T00:00:00.000"
"2023-2024","2023-12-17T00:00:00.000","2023-12-23T00:00:00.000","2023-12-17 - 2023-12-23","51","22","2023-12-23T00:00:00.000","155.2","2024-03-09T00:00:00.000"
"2023-2024","2023-12-24T00:00:00.000","2023-12-31T00:00:00.000","2023-12-24 - 2023-12-31","52","23","2023-12-30T00:00:00.000","155.36","2024-03-09T00:00:00.000"
"2023-2024","2024-01-01T00:00:00.000","2024-01-06T00:00:00.000","2024-01-01 - 2024-01-06","1","24","2024-01-06T00:00:00.000","156.26","2024-01-13T00:00:00.000"
"2023-2024","2024-01-01T00:00:00.000","2024-01-13T00:00:00.000","2024-01-01 - 2024-01-13","1","25","2024-01-13T00:00:00.000","156.26","2024-03-09T00:00:00.000"
"2023-2024","2024-01-14T00:00:00.000","2024-01-20T00:00:00.000","2024-01-14 - 2024-01-20","2","25","2024-01-20T00:00:00.000","156.42","2024-03-09T00:00:00.000"
"2023-2024","2024-01-21T00:00:00.000","2024-01-27T00:00:00.000","2024-01-21 - 2024-01-27","3","26","2024-01-27T00:00:00.000","156.76","2024-03-09T00:00:00.000"
"2023-2024","2024-01-28T00:00:00.000","2024-02-03T00:00:00.000","2024-01-28 - 2024-02-03","4","27","2024-02-03T00:00:00.000","156.96","2024-03-09T00:00:00.000"
"2023-2024","2024-02-04T00:00:00.000","2024-02-10T00:00:00.000","2024-02-04 - 2024-02-10","5","28","2024-02-10T00:00:00.000","157.19","2024-03-09T00:00:00.000"
"2023-2024","2024-02-11T00:00:00.000","2024-02-17T00:00:00.000","2024-02-11 - 2024-02-17","6","29","2024-02-17T00:00:00.000","157.35","2024-03-09T00:00:00.000"
"2023-2024","2024-02-18T00:00:00.000","2024-02-24T00:00:00.000","2024-02-18 - 2024-02-24","7","30","2024-02-24T00:00:00.000","157.52","2024-03-09T00:00:00.000"
"2023-2024","2024-02-25T00:00:00.000","2024-03-02T00:00:00.000","2024-02-25 - 2024-03-02","8","31","2024-03-02T00:00:00.000","157.62","2024-03-09T00:00:00.000"
"2023-2024","2024-03-03T00:00:00.000","2024-03-09T00:00:00.000","2024-03-03 - 2024-03-09","9","32","2024-03-09T00:00:00.000","157.72","2024-03-09T00:00:00.000"
