"season","week","virus","region","age_gp","number_pos","number_tested","percent_pos"
"2021-22","202147","RSV","Region 2","25-49 years","2","38","5.26"
"2021-22","202147","RSV","Region 2","50-64 years","0","25","0"
"2021-22","202147","RSV","Region 2","65+ years","3","26","11.54"
"2021-22","202147","RSV","Region 3","0-4 years","14","50","28"
"2021-22","202147","RSV","Region 3","5-17 years","3","18","16.67"
"2021-22","202147","RSV","Region 3","18-24 years","0","10","0"
"2021-22","202147","RSV","Region 3","25-49 years","0","22","0"
"2021-22","202147","RSV","Region 3","50-64 years","0","38","0"
"2021-22","202147","RSV","Region 3","65+ years","2","54","3.7"
"2021-22","202147","RSV","Region 5","0-4 years","0","0","0"
"2021-22","202147","RSV","Region 5","5-17 years","0","0","0"
"2021-22","202147","RSV","Region 5","18-24 years","0","1","0"
"2021-22","202147","RSV","Region 5","25-49 years","0","1","0"
"2021-22","202147","RSV","Region 5","50-64 years","1","3","33.33"
"2021-22","202147","RSV","Region 5","65+ years","0","6","0"
"2021-22","202147","RSV","Region 6","0-4 years","2","5","40"
"2021-22","202147","RSV","Region 6","5-17 years","0","2","0"
"2021-22","202147","RSV","Region 6","18-24 years","1","12","8.33"
"2021-22","202147","RSV","Region 6","25-49 years","0","59","0"
"2021-22","202147","RSV","Region 6","50-64 years","1","49","2.04"
"2021-22","202147","RSV","Region 6","65+ years","2","39","5.13"
"2021-22","202147","RSV","Region 8","0-4 years","351","668","52.54"
"2021-22","202147","RSV","Region 8","5-17 years","52","206","25.24"
"2021-22","202147","RSV","Region 8","18-24 years","12","85","14.12"
"2021-22","202147","RSV","Region 8","25-49 years","31","343","9.04"
"2021-22","202147","RSV","Region 8","50-64 years","29","262","11.07"
"2021-22","202147","RSV","Region 8","65+ years","34","414","8.21"
"2021-22","202147","RSV","Region 9","0-4 years","0","0","0"
"2021-22","202147","RSV","Region 9","5-17 years","0","0","0"
"2021-22","202147","RSV","Region 9","18-24 years","0","0","0"
"2021-22","202147","RSV","Region 9","25-49 years","0","0","0"
"2021-22","202147","RSV","Region 9","50-64 years","0","0","0"
"2021-22","202147","RSV","Region 9","65+ years","0","1","0"
"2021-22","202148","SARS-CoV-2","Region 1","0-4 years","0","0","0"
"2021-22","202148","SARS-CoV-2","Region 1","5-17 years","0","0","0"
"2021-22","202148","SARS-CoV-2","Region 1","18-24 years","0","0","0"
"2021-22","202148","SARS-CoV-2","Region 1","25-49 years","0","0","0"
"2021-22","202148","SARS-CoV-2","Region 1","50-64 years","0","0","0"
"2021-22","202148","SARS-CoV-2","Region 1","65+ years","0","1","0"
"2021-22","202148","SARS-CoV-2","Region 2","0-4 years","0","11","0"
"2021-22","202148","SARS-CoV-2","Region 2","5-17 years","2","19","10.53"
"2021-22","202148","SARS-CoV-2","Region 2","18-24 years","3","22","13.64"
"2021-22","202148","SARS-CoV-2","Region 2","25-49 years","38","132","28.79"
"2021-22","202148","SARS-CoV-2","Region 2","50-64 years","27","92","29.35"
"2021-22","202148","SARS-CoV-2","Region 2","65+ years","22","114","19.3"
"2021-22","202148","SARS-CoV-2","Region 3","0-4 years","22","89","24.72"
"2021-22","202148","SARS-CoV-2","Region 3","5-17 years","8","37","21.62"
"2021-22","202148","SARS-CoV-2","Region 3","18-24 years","8","38","21.05"
"2021-22","202148","SARS-CoV-2","Region 3","25-49 years","36","95","37.89"
"2021-22","202148","SARS-CoV-2","Region 3","50-64 years","28","73","38.36"
"2021-22","202148","SARS-CoV-2","Region 3","65+ years","45","127","35.43"
"2021-22","202148","SARS-CoV-2","Region 5","0-4 years","19","131","14.5"
"2021-22","202148","SARS-CoV-2","Region 5","5-17 years","14","49","28.57"
"2021-22","202148","SARS-CoV-2","Region 5","18-24 years","15","53","28.3"
"2021-22","202148","SARS-CoV-2","Region 5","25-49 years","75","167","44.91"
"2021-22","202148","SARS-CoV-2","Region 5","50-64 years","67","142","47.18"
"2021-22","202148","SARS-CoV-2","Region 5","65+ years","63","219","28.77"
"2021-22","202148","SARS-CoV-2","Region 6","0-4 years","0","4","0"
"2021-22","202148","SARS-CoV-2","Region 6","5-17 years","0","3","0"
"2021-22","202148","SARS-CoV-2","Region 6","18-24 years","1","14","7.14"
"2021-22","202148","SARS-CoV-2","Region 6","25-49 years","10","60","16.67"
"2021-22","202148","SARS-CoV-2","Region 6","50-64 years","14","84","16.67"
"2021-22","202148","SARS-CoV-2","Region 6","65+ years","9","42","21.43"
"2021-22","202148","SARS-CoV-2","Region 7","0-4 years","9","143","6.29"
"2021-22","202148","SARS-CoV-2","Region 7","5-17 years","7","61","11.48"
"2021-22","202148","SARS-CoV-2","Region 7","18-24 years","4","18","22.22"
"2021-22","202148","SARS-CoV-2","Region 7","25-49 years","17","52","32.69"
"2021-22","202148","SARS-CoV-2","Region 7","50-64 years","13","52","25"
"2021-22","202148","SARS-CoV-2","Region 7","65+ years","13","59","22.03"
"2021-22","202148","SARS-CoV-2","Region 8","0-4 years","40","616","6.49"
"2021-22","202148","SARS-CoV-2","Region 8","5-17 years","42","282","14.89"
