"season","week","virus","region","age_gp","number_pos","number_tested","percent_pos"
"2021-22","202228","RSV","Region 10","18-24 years","0","0","0"
"2021-22","202228","RSV","Region 10","25-49 years","0","2","0"
"2021-22","202228","RSV","Region 10","50-64 years","0","2","0"
"2021-22","202228","RSV","Region 10","65+ years","0","15","0"
"2021-22","202229","SARS-CoV-2","Region 1","0-4 years","3","17","17.65"
"2021-22","202229","SARS-CoV-2","Region 1","5-17 years","0","11","0"
"2021-22","202229","SARS-CoV-2","Region 1","18-24 years","0","7","0"
"2021-22","202229","SARS-CoV-2","Region 1","25-49 years","14","46","30.43"
"2021-22","202229","SARS-CoV-2","Region 1","50-64 years","10","34","29.41"
"2021-22","202229","SARS-CoV-2","Region 1","65+ years","18","63","28.57"
"2021-22","202229","SARS-CoV-2","Region 2","0-4 years","0","0","0"
"2021-22","202229","SARS-CoV-2","Region 2","5-17 years","6","19","31.58"
"2021-22","202229","SARS-CoV-2","Region 2","18-24 years","3","16","18.75"
"2021-22","202229","SARS-CoV-2","Region 2","25-49 years","49","115","42.61"
"2021-22","202229","SARS-CoV-2","Region 2","50-64 years","48","94","51.06"
"2021-22","202229","SARS-CoV-2","Region 2","65+ years","86","122","70.49"
"2021-22","202229","SARS-CoV-2","Region 3","0-4 years","19","53","35.85"
"2021-22","202229","SARS-CoV-2","Region 3","5-17 years","13","27","48.15"
"2021-22","202229","SARS-CoV-2","Region 3","18-24 years","6","18","33.33"
"2021-22","202229","SARS-CoV-2","Region 3","25-49 years","41","89","46.07"
"2021-22","202229","SARS-CoV-2","Region 3","50-64 years","20","66","30.3"
"2021-22","202229","SARS-CoV-2","Region 3","65+ years","36","118","30.51"
"2021-22","202229","SARS-CoV-2","Region 4","0-4 years","17","62","27.42"
"2021-22","202229","SARS-CoV-2","Region 4","5-17 years","6","12","50"
"2021-22","202229","SARS-CoV-2","Region 4","18-24 years","2","4","50"
"2021-22","202229","SARS-CoV-2","Region 4","25-49 years","5","19","26.32"
"2021-22","202229","SARS-CoV-2","Region 4","50-64 years","2","24","8.33"
"2021-22","202229","SARS-CoV-2","Region 4","65+ years","5","18","27.78"
"2021-22","202229","SARS-CoV-2","Region 5","0-4 years","37","121","30.58"
"2021-22","202229","SARS-CoV-2","Region 5","5-17 years","14","46","30.43"
"2021-22","202229","SARS-CoV-2","Region 5","18-24 years","24","62","38.71"
"2021-22","202229","SARS-CoV-2","Region 5","25-49 years","89","196","45.41"
"2021-22","202229","SARS-CoV-2","Region 5","50-64 years","51","122","41.8"
"2021-22","202229","SARS-CoV-2","Region 5","65+ years","50","157","31.85"
"2021-22","202229","SARS-CoV-2","Region 6","0-4 years","26","80","32.5"
"2021-22","202229","SARS-CoV-2","Region 6","5-17 years","19","37","51.35"
"2021-22","202229","SARS-CoV-2","Region 6","18-24 years","22","51","43.14"
"2021-22","202229","SARS-CoV-2","Region 6","25-49 years","108","233","46.35"
"2021-22","202229","SARS-CoV-2","Region 6","50-64 years","94","192","48.96"
"2021-22","202229","SARS-CoV-2","Region 6","65+ years","77","175","44"
"2021-22","202229","SARS-CoV-2","Region 7","0-4 years","40","150","26.67"
"2021-22","202229","SARS-CoV-2","Region 7","5-17 years","12","40","30"
"2021-22","202229","SARS-CoV-2","Region 7","18-24 years","5","14","35.71"
"2021-22","202229","SARS-CoV-2","Region 7","25-49 years","32","78","41.03"
"2021-22","202229","SARS-CoV-2","Region 7","50-64 years","17","67","25.37"
"2021-22","202229","SARS-CoV-2","Region 7","65+ years","17","65","26.15"
"2021-22","202229","SARS-CoV-2","Region 8","0-4 years","72","173","41.62"
"2021-22","202229","SARS-CoV-2","Region 8","5-17 years","44","88","50"
"2021-22","202229","SARS-CoV-2","Region 8","18-24 years","36","69","52.17"
"2021-22","202229","SARS-CoV-2","Region 8","25-49 years","126","242","52.07"
"2021-22","202229","SARS-CoV-2","Region 8","50-64 years","66","142","46.48"
"2021-22","202229","SARS-CoV-2","Region 8","65+ years","156","343","45.48"
"2021-22","202229","SARS-CoV-2","Region 9","0-4 years","1","1","100"
"2021-22","202229","SARS-CoV-2","Region 9","5-17 years","2","2","100"
"2021-22","202229","SARS-CoV-2","Region 9","18-24 years","2","7","28.57"
"2021-22","202229","SARS-CoV-2","Region 9","25-49 years","27","51","52.94"
"2021-22","202229","SARS-CoV-2","Region 9","50-64 years","18","37","48.65"
"2021-22","202229","SARS-CoV-2","Region 9","65+ years","25","52","48.08"
"2021-22","202229","SARS-CoV-2","Region 10","0-4 years","8","19","42.11"
"2021-22","202229","SARS-CoV-2","Region 10","5-17 years","1","5","20"
"2021-22","202229","SARS-CoV-2","Region 10","18-24 years","4","7","57.14"
"2021-22","202229","SARS-CoV-2","Region 10","25-49 years","2","9","22.22"
"2021-22","202229","SARS-CoV-2","Region 10","50-64 years","2","12","16.67"
"2021-22","202229","SARS-CoV-2","Region 10","65+ years","3","16","18.75"
"2021-22","202229","Influenza","Region 1","0-4 years","0","14","0"
"2021-22","202229","Influenza","Region 1","5-17 years","0","8","0"
"2021-22","202229","Influenza","Region 1","18-24 years","0","3","0"
"2021-22","202229","Influenza","Region 1","25-49 years","0","8","0"
"2021-22","202229","Influenza","Region 1","50-64 years","0","4","0"
"2021-22","202229","Influenza","Region 1","65+ years","0","11","0"
"2021-22","202229","Influenza","Region 2","0-4 years","0","0","0"
"2021-22","202229","Influenza","Region 2","5-17 years","0","7","0"
"2021-22","202229","Influenza","Region 2","18-24 years","0","5","0"
"2021-22","202229","Influenza","Region 2","25-49 years","1","58","1.72"
"2021-22","202229","Influenza","Region 2","50-64 years","0","58","0"
"2021-22","202229","Influenza","Region 2","65+ years","0","90","0"
"2021-22","202229","Influenza","Region 3","0-4 years","0","46","0"
"2021-22","202229","Influenza","Region 3","5-17 years","0","21","0"
"2021-22","202229","Influenza","Region 3","18-24 years","0","17","0"
"2021-22","202229","Influenza","Region 3","25-49 years","0","81","0"
"2021-22","202229","Influenza","Region 3","50-64 years","0","60","0"
"2021-22","202229","Influenza","Region 3","65+ years","0","97","0"
"2021-22","202229","Influenza","Region 4","0-4 years","0","98","0"
"2021-22","202229","Influenza","Region 4","5-17 years","0","21","0"
"2021-22","202229","Influenza","Region 4","18-24 years","0","4","0"
"2021-22","202229","Influenza","Region 4","25-49 years","0","22","0"
"2021-22","202229","Influenza","Region 4","50-64 years","0","23","0"
"2021-22","202229","Influenza","Region 4","65+ years","0","19","0"
"2021-22","202229","Influenza","Region 5","0-4 years","1","88","1.14"
"2021-22","202229","Influenza","Region 5","5-17 years","0","22","0"
"2021-22","202229","Influenza","Region 5","18-24 years","0","26","0"
"2021-22","202229","Influenza","Region 5","25-49 years","0","83","0"
"2021-22","202229","Influenza","Region 5","50-64 years","0","54","0"
"2021-22","202229","Influenza","Region 5","65+ years","0","57","0"
"2021-22","202229","Influenza","Region 6","0-4 years","1","74","1.35"
"2021-22","202229","Influenza","Region 6","5-17 years","0","27","0"
"2021-22","202229","Influenza","Region 6","18-24 years","1","39","2.56"
"2021-22","202229","Influenza","Region 6","25-49 years","0","154","0"
"2021-22","202229","Influenza","Region 6","50-64 years","1","139","0.72"
"2021-22","202229","Influenza","Region 6","65+ years","0","106","0"
"2021-22","202229","Influenza","Region 7","0-4 years","0","150","0"
"2021-22","202229","Influenza","Region 7","5-17 years","0","40","0"
"2021-22","202229","Influenza","Region 7","18-24 years","0","10","0"
"2021-22","202229","Influenza","Region 7","25-49 years","0","66","0"
"2021-22","202229","Influenza","Region 7","50-64 years","0","51","0"
"2021-22","202229","Influenza","Region 7","65+ years","0","52","0"
"2021-22","202229","Influenza","Region 8","0-4 years","0","175","0"
"2021-22","202229","Influenza","Region 8","5-17 years","0","87","0"
"2021-22","202229","Influenza","Region 8","18-24 years","0","65","0"
"2021-22","202229","Influenza","Region 8","25-49 years","0","229","0"
"2021-22","202229","Influenza","Region 8","50-64 years","1","136","0.74"
"2021-22","202229","Influenza","Region 8","65+ years","1","323","0.31"
"2021-22","202229","Influenza","Region 9","0-4 years","0","1","0"
"2021-22","202229","Influenza","Region 9","5-17 years","0","2","0"
"2021-22","202229","Influenza","Region 9","18-24 years","0","7","0"
"2021-22","202229","Influenza","Region 9","25-49 years","2","51","3.92"
"2021-22","202229","Influenza","Region 9","50-64 years","0","37","0"
"2021-22","202229","Influenza","Region 9","65+ years","0","52","0"
"2021-22","202229","Influenza","Region 10","0-4 years","0","17","0"
"2021-22","202229","Influenza","Region 10","5-17 years","0","3","0"
"2021-22","202229","Influenza","Region 10","18-24 years","0","2","0"
"2021-22","202229","Influenza","Region 10","25-49 years","1","5","20"
"2021-22","202229","Influenza","Region 10","50-64 years","0","7","0"
"2021-22","202229","Influenza","Region 10","65+ years","0","6","0"
"2021-22","202229","RSV","Region 1","0-4 years","1","14","7.14"
"2021-22","202229","RSV","Region 1","5-17 years","0","8","0"
"2021-22","202229","RSV","Region 1","18-24 years","0","3","0"
"2021-22","202229","RSV","Region 1","25-49 years","0","8","0"
"2021-22","202229","RSV","Region 1","50-64 years","0","4","0"
"2021-22","202229","RSV","Region 1","65+ years","0","11","0"
"2021-22","202229","RSV","Region 2","0-4 years","0","0","0"
"2021-22","202229","RSV","Region 2","5-17 years","1","7","14.29"
"2021-22","202229","RSV","Region 2","18-24 years","0","3","0"
"2021-22","202229","RSV","Region 2","25-49 years","0","12","0"
"2021-22","202229","RSV","Region 2","50-64 years","0","6","0"
"2021-22","202229","RSV","Region 2","65+ years","0","3","0"
"2021-22","202229","RSV","Region 3","0-4 years","5","37","13.51"
"2021-22","202229","RSV","Region 3","5-17 years","0","18","0"
"2021-22","202229","RSV","Region 3","18-24 years","0","10","0"
"2021-22","202229","RSV","Region 3","25-49 years","0","34","0"
"2021-22","202229","RSV","Region 3","50-64 years","0","21","0"
"2021-22","202229","RSV","Region 3","65+ years","0","62","0"
"2021-22","202229","RSV","Region 4","0-4 years","14","35","40"
"2021-22","202229","RSV","Region 4","5-17 years","0","7","0"
"2021-22","202229","RSV","Region 4","18-24 years","0","4","0"
"2021-22","202229","RSV","Region 4","25-49 years","0","16","0"
"2021-22","202229","RSV","Region 4","50-64 years","1","21","4.76"
"2021-22","202229","RSV","Region 4","65+ years","0","17","0"
"2021-22","202229","RSV","Region 5","0-4 years","3","82","3.66"
"2021-22","202229","RSV","Region 5","5-17 years","0","17","0"
"2021-22","202229","RSV","Region 5","18-24 years","0","11","0"
"2021-22","202229","RSV","Region 5","25-49 years","0","36","0"
"2021-22","202229","RSV","Region 5","50-64 years","0","28","0"
"2021-22","202229","RSV","Region 5","65+ years","0","37","0"
"2021-22","202229","RSV","Region 6","0-4 years","0","2","0"
"2021-22","202229","RSV","Region 6","5-17 years","0","1","0"
"2021-22","202229","RSV","Region 6","18-24 years","0","20","0"
"2021-22","202229","RSV","Region 6","25-49 years","0","106","0"
"2021-22","202229","RSV","Region 6","50-64 years","1","102","0.98"
"2021-22","202229","RSV","Region 6","65+ years","2","88","2.27"
"2021-22","202229","RSV","Region 7","0-4 years","17","146","11.64"
"2021-22","202229","RSV","Region 7","5-17 years","1","35","2.86"
"2021-22","202229","RSV","Region 7","18-24 years","0","9","0"
"2021-22","202229","RSV","Region 7","25-49 years","2","64","3.13"
"2021-22","202229","RSV","Region 7","50-64 years","0","51","0"
"2021-22","202229","RSV","Region 7","65+ years","0","52","0"
"2021-22","202229","RSV","Region 8","0-4 years","9","169","5.33"
"2021-22","202229","RSV","Region 8","5-17 years","1","88","1.14"
"2021-22","202229","RSV","Region 8","18-24 years","1","65","1.54"
"2021-22","202229","RSV","Region 8","25-49 years","0","229","0"
"2021-22","202229","RSV","Region 8","50-64 years","1","133","0.75"
"2021-22","202229","RSV","Region 8","65+ years","0","322","0"
"2021-22","202229","RSV","Region 9","0-4 years","0","0","0"
"2021-22","202229","RSV","Region 9","5-17 years","0","0","0"
"2021-22","202229","RSV","Region 9","18-24 years","0","1","0"
"2021-22","202229","RSV","Region 9","25-49 years","0","8","0"
"2021-22","202229","RSV","Region 9","50-64 years","0","3","0"
"2021-22","202229","RSV","Region 9","65+ years","0","9","0"
"2021-22","202229","RSV","Region 10","0-4 years","2","15","13.33"
"2021-22","202229","RSV","Region 10","5-17 years","0","2","0"
"2021-22","202229","RSV","Region 10","18-24 years","0","0","0"
"2021-22","202229","RSV","Region 10","25-49 years","0","2","0"
"2021-22","202229","RSV","Region 10","50-64 years","0","5","0"
"2021-22","202229","RSV","Region 10","65+ years","0","3","0"
"2021-22","202230","SARS-CoV-2","Region 1","0-4 years","4","11","36.36"
"2021-22","202230","SARS-CoV-2","Region 1","5-17 years","1","5","20"
"2021-22","202230","SARS-CoV-2","Region 1","18-24 years","1","4","25"
"2021-22","202230","SARS-CoV-2","Region 1","25-49 years","3","29","10.34"
"2021-22","202230","SARS-CoV-2","Region 1","50-64 years","9","32","28.13"
"2021-22","202230","SARS-CoV-2","Region 1","65+ years","17","58","29.31"
"2021-22","202230","SARS-CoV-2","Region 2","0-4 years","0","0","0"
"2021-22","202230","SARS-CoV-2","Region 2","5-17 years","3","21","14.29"
"2021-22","202230","SARS-CoV-2","Region 2","18-24 years","6","17","35.29"
"2021-22","202230","SARS-CoV-2","Region 2","25-49 years","53","120","44.17"
"2021-22","202230","SARS-CoV-2","Region 2","50-64 years","28","61","45.9"
"2021-22","202230","SARS-CoV-2","Region 2","65+ years","38","82","46.34"
"2021-22","202230","SARS-CoV-2","Region 3","0-4 years","22","55","40"
"2021-22","202230","SARS-CoV-2","Region 3","5-17 years","5","24","20.83"
"2021-22","202230","SARS-CoV-2","Region 3","18-24 years","10","20","50"
"2021-22","202230","SARS-CoV-2","Region 3","25-49 years","48","99","48.48"
"2021-22","202230","SARS-CoV-2","Region 3","50-64 years","31","80","38.75"
"2021-22","202230","SARS-CoV-2","Region 3","65+ years","46","126","36.51"
"2021-22","202230","SARS-CoV-2","Region 4","0-4 years","15","83","18.07"
"2021-22","202230","SARS-CoV-2","Region 4","5-17 years","7","27","25.93"
"2021-22","202230","SARS-CoV-2","Region 4","18-24 years","2","8","25"
"2021-22","202230","SARS-CoV-2","Region 4","25-49 years","9","32","28.13"
"2021-22","202230","SARS-CoV-2","Region 4","50-64 years","2","24","8.33"
"2021-22","202230","SARS-CoV-2","Region 4","65+ years","13","30","43.33"
"2021-22","202230","SARS-CoV-2","Region 5","0-4 years","50","217","23.04"
"2021-22","202230","SARS-CoV-2","Region 5","5-17 years","20","92","21.74"
"2021-22","202230","SARS-CoV-2","Region 5","18-24 years","30","66","45.45"
"2021-22","202230","SARS-CoV-2","Region 5","25-49 years","101","220","45.91"
"2021-22","202230","SARS-CoV-2","Region 5","50-64 years","63","172","36.63"
"2021-22","202230","SARS-CoV-2","Region 5","65+ years","66","217","30.41"
"2021-22","202230","SARS-CoV-2","Region 6","0-4 years","21","52","40.38"
"2021-22","202230","SARS-CoV-2","Region 6","5-17 years","15","26","57.69"
"2021-22","202230","SARS-CoV-2","Region 6","18-24 years","23","57","40.35"
"2021-22","202230","SARS-CoV-2","Region 6","25-49 years","92","200","46"
"2021-22","202230","SARS-CoV-2","Region 6","50-64 years","77","187","41.18"
"2021-22","202230","SARS-CoV-2","Region 6","65+ years","68","161","42.24"
"2021-22","202230","SARS-CoV-2","Region 7","0-4 years","28","129","21.71"
"2021-22","202230","SARS-CoV-2","Region 7","5-17 years","13","38","34.21"
"2021-22","202230","SARS-CoV-2","Region 7","18-24 years","8","12","66.67"
"2021-22","202230","SARS-CoV-2","Region 7","25-49 years","32","55","58.18"
"2021-22","202230","SARS-CoV-2","Region 7","50-64 years","16","50","32"
"2021-22","202230","SARS-CoV-2","Region 7","65+ years","17","68","25"
"2021-22","202230","SARS-CoV-2","Region 8","0-4 years","93","206","45.15"
"2021-22","202230","SARS-CoV-2","Region 8","5-17 years","33","75","44"
"2021-22","202230","SARS-CoV-2","Region 8","18-24 years","49","83","59.04"
"2021-22","202230","SARS-CoV-2","Region 8","25-49 years","117","230","50.87"
"2021-22","202230","SARS-CoV-2","Region 8","50-64 years","67","165","40.61"
"2021-22","202230","SARS-CoV-2","Region 8","65+ years","149","323","46.13"
"2021-22","202230","SARS-CoV-2","Region 9","0-4 years","2","5","40"
"2021-22","202230","SARS-CoV-2","Region 9","5-17 years","0","2","0"
"2021-22","202230","SARS-CoV-2","Region 9","18-24 years","3","13","23.08"
"2021-22","202230","SARS-CoV-2","Region 9","25-49 years","17","44","38.64"
"2021-22","202230","SARS-CoV-2","Region 9","50-64 years","17","48","35.42"
"2021-22","202230","SARS-CoV-2","Region 9","65+ years","22","49","44.9"
"2021-22","202230","SARS-CoV-2","Region 10","0-4 years","8","22","36.36"
"2021-22","202230","SARS-CoV-2","Region 10","5-17 years","4","9","44.44"
"2021-22","202230","SARS-CoV-2","Region 10","18-24 years","1","3","33.33"
"2021-22","202230","SARS-CoV-2","Region 10","25-49 years","9","21","42.86"
"2021-22","202230","SARS-CoV-2","Region 10","50-64 years","3","11","27.27"
"2021-22","202230","SARS-CoV-2","Region 10","65+ years","10","30","33.33"
"2021-22","202230","Influenza","Region 1","0-4 years","0","10","0"
"2021-22","202230","Influenza","Region 1","5-17 years","0","3","0"
"2021-22","202230","Influenza","Region 1","18-24 years","0","1","0"
"2021-22","202230","Influenza","Region 1","25-49 years","0","4","0"
"2021-22","202230","Influenza","Region 1","50-64 years","0","9","0"
"2021-22","202230","Influenza","Region 1","65+ years","0","14","0"
"2021-22","202230","Influenza","Region 2","0-4 years","0","0","0"
"2021-22","202230","Influenza","Region 2","5-17 years","0","13","0"
"2021-22","202230","Influenza","Region 2","18-24 years","0","7","0"
"2021-22","202230","Influenza","Region 2","25-49 years","0","60","0"
"2021-22","202230","Influenza","Region 2","50-64 years","0","42","0"
"2021-22","202230","Influenza","Region 2","65+ years","0","53","0"
"2021-22","202230","Influenza","Region 3","0-4 years","0","52","0"
"2021-22","202230","Influenza","Region 3","5-17 years","0","21","0"
"2021-22","202230","Influenza","Region 3","18-24 years","1","16","6.25"
"2021-22","202230","Influenza","Region 3","25-49 years","0","79","0"
"2021-22","202230","Influenza","Region 3","50-64 years","0","65","0"
"2021-22","202230","Influenza","Region 3","65+ years","0","97","0"
"2021-22","202230","Influenza","Region 4","0-4 years","0","90","0"
"2021-22","202230","Influenza","Region 4","5-17 years","1","28","3.57"
"2021-22","202230","Influenza","Region 4","18-24 years","0","8","0"
"2021-22","202230","Influenza","Region 4","25-49 years","0","26","0"
"2021-22","202230","Influenza","Region 4","50-64 years","0","14","0"
"2021-22","202230","Influenza","Region 4","65+ years","0","18","0"
"2021-22","202230","Influenza","Region 5","0-4 years","0","168","0"
"2021-22","202230","Influenza","Region 5","5-17 years","0","43","0"
"2021-22","202230","Influenza","Region 5","18-24 years","0","25","0"
"2021-22","202230","Influenza","Region 5","25-49 years","0","78","0"
"2021-22","202230","Influenza","Region 5","50-64 years","0","71","0"
"2021-22","202230","Influenza","Region 5","65+ years","0","69","0"
"2021-22","202230","Influenza","Region 6","0-4 years","2","50","4"
"2021-22","202230","Influenza","Region 6","5-17 years","0","24","0"
"2021-22","202230","Influenza","Region 6","18-24 years","0","31","0"
"2021-22","202230","Influenza","Region 6","25-49 years","1","148","0.68"
"2021-22","202230","Influenza","Region 6","50-64 years","0","132","0"
"2021-22","202230","Influenza","Region 6","65+ years","0","101","0"
"2021-22","202230","Influenza","Region 7","0-4 years","0","123","0"
"2021-22","202230","Influenza","Region 7","5-17 years","0","37","0"
"2021-22","202230","Influenza","Region 7","18-24 years","0","9","0"
"2021-22","202230","Influenza","Region 7","25-49 years","0","48","0"
"2021-22","202230","Influenza","Region 7","50-64 years","0","44","0"
"2021-22","202230","Influenza","Region 7","65+ years","0","61","0"
"2021-22","202230","Influenza","Region 8","0-4 years","0","205","0"
"2021-22","202230","Influenza","Region 8","5-17 years","1","75","1.33"
"2021-22","202230","Influenza","Region 8","18-24 years","0","82","0"
"2021-22","202230","Influenza","Region 8","25-49 years","1","229","0.44"
"2021-22","202230","Influenza","Region 8","50-64 years","0","159","0"
"2021-22","202230","Influenza","Region 8","65+ years","0","304","0"
"2021-22","202230","Influenza","Region 9","0-4 years","0","4","0"
"2021-22","202230","Influenza","Region 9","5-17 years","1","2","50"
"2021-22","202230","Influenza","Region 9","18-24 years","1","13","7.69"
"2021-22","202230","Influenza","Region 9","25-49 years","0","44","0"
"2021-22","202230","Influenza","Region 9","50-64 years","0","47","0"
"2021-22","202230","Influenza","Region 9","65+ years","0","48","0"
"2021-22","202230","Influenza","Region 10","0-4 years","0","15","0"
"2021-22","202230","Influenza","Region 10","5-17 years","0","4","0"
"2021-22","202230","Influenza","Region 10","18-24 years","0","0","0"
"2021-22","202230","Influenza","Region 10","25-49 years","0","3","0"
"2021-22","202230","Influenza","Region 10","50-64 years","0","5","0"
"2021-22","202230","Influenza","Region 10","65+ years","0","14","0"
"2021-22","202230","RSV","Region 1","0-4 years","3","10","30"
"2021-22","202230","RSV","Region 1","5-17 years","0","3","0"
"2021-22","202230","RSV","Region 1","18-24 years","0","1","0"
"2021-22","202230","RSV","Region 1","25-49 years","0","4","0"
"2021-22","202230","RSV","Region 1","50-64 years","0","9","0"
"2021-22","202230","RSV","Region 1","65+ years","0","14","0"
"2021-22","202230","RSV","Region 2","0-4 years","0","0","0"
"2021-22","202230","RSV","Region 2","5-17 years","0","12","0"
"2021-22","202230","RSV","Region 2","18-24 years","0","1","0"
"2021-22","202230","RSV","Region 2","25-49 years","0","13","0"
"2021-22","202230","RSV","Region 2","50-64 years","0","5","0"
"2021-22","202230","RSV","Region 2","65+ years","0","4","0"
"2021-22","202230","RSV","Region 3","0-4 years","4","44","9.09"
"2021-22","202230","RSV","Region 3","5-17 years","0","16","0"
"2021-22","202230","RSV","Region 3","18-24 years","0","11","0"
"2021-22","202230","RSV","Region 3","25-49 years","0","41","0"
"2021-22","202230","RSV","Region 3","50-64 years","0","30","0"
"2021-22","202230","RSV","Region 3","65+ years","0","48","0"
"2021-22","202230","RSV","Region 4","0-4 years","15","36","41.67"
"2021-22","202230","RSV","Region 4","5-17 years","0","10","0"
"2021-22","202230","RSV","Region 4","18-24 years","0","3","0"
"2021-22","202230","RSV","Region 4","25-49 years","0","24","0"
"2021-22","202230","RSV","Region 4","50-64 years","0","13","0"
"2021-22","202230","RSV","Region 4","65+ years","0","18","0"
"2021-22","202230","RSV","Region 5","0-4 years","9","155","5.81"
"2021-22","202230","RSV","Region 5","5-17 years","0","42","0"
"2021-22","202230","RSV","Region 5","18-24 years","0","9","0"
"2021-22","202230","RSV","Region 5","25-49 years","0","39","0"
"2021-22","202230","RSV","Region 5","50-64 years","0","41","0"
"2021-22","202230","RSV","Region 5","65+ years","0","45","0"
"2021-22","202230","RSV","Region 6","0-4 years","0","4","0"
"2021-22","202230","RSV","Region 6","5-17 years","0","4","0"
"2021-22","202230","RSV","Region 6","18-24 years","0","15","0"
"2021-22","202230","RSV","Region 6","25-49 years","2","92","2.17"
"2021-22","202230","RSV","Region 6","50-64 years","2","93","2.15"
"2021-22","202230","RSV","Region 6","65+ years","0","80","0"
"2021-22","202230","RSV","Region 7","0-4 years","21","117","17.95"
"2021-22","202230","RSV","Region 7","5-17 years","1","33","3.03"
"2021-22","202230","RSV","Region 7","18-24 years","0","9","0"
"2021-22","202230","RSV","Region 7","25-49 years","0","48","0"
"2021-22","202230","RSV","Region 7","50-64 years","0","42","0"
"2021-22","202230","RSV","Region 7","65+ years","0","61","0"
"2021-22","202230","RSV","Region 8","0-4 years","14","200","7"
"2021-22","202230","RSV","Region 8","5-17 years","0","75","0"
"2021-22","202230","RSV","Region 8","18-24 years","0","83","0"
"2021-22","202230","RSV","Region 8","25-49 years","0","225","0"
"2021-22","202230","RSV","Region 8","50-64 years","0","157","0"
"2021-22","202230","RSV","Region 8","65+ years","2","300","0.67"
"2021-22","202230","RSV","Region 9","0-4 years","0","1","0"
"2021-22","202230","RSV","Region 9","5-17 years","0","0","0"
"2021-22","202230","RSV","Region 9","18-24 years","0","3","0"
"2021-22","202230","RSV","Region 9","25-49 years","0","2","0"
"2021-22","202230","RSV","Region 9","50-64 years","0","10","0"
"2021-22","202230","RSV","Region 9","65+ years","0","11","0"
"2021-22","202230","RSV","Region 10","0-4 years","0","15","0"
"2021-22","202230","RSV","Region 10","5-17 years","0","2","0"
"2021-22","202230","RSV","Region 10","18-24 years","0","0","0"
"2021-22","202230","RSV","Region 10","25-49 years","0","3","0"
"2021-22","202230","RSV","Region 10","50-64 years","0","4","0"
"2021-22","202230","RSV","Region 10","65+ years","0","9","0"
"2021-22","202231","SARS-CoV-2","Region 1","0-4 years","2","6","33.33"
"2021-22","202231","SARS-CoV-2","Region 1","5-17 years","3","8","37.5"
"2021-22","202231","SARS-CoV-2","Region 1","18-24 years","1","6","16.67"
"2021-22","202231","SARS-CoV-2","Region 1","25-49 years","7","30","23.33"
"2021-22","202231","SARS-CoV-2","Region 1","50-64 years","8","35","22.86"
"2021-22","202231","SARS-CoV-2","Region 1","65+ years","7","44","15.91"
"2021-22","202231","SARS-CoV-2","Region 2","0-4 years","0","3","0"
"2021-22","202231","SARS-CoV-2","Region 2","5-17 years","5","14","35.71"
"2021-22","202231","SARS-CoV-2","Region 2","18-24 years","10","29","34.48"
"2021-22","202231","SARS-CoV-2","Region 2","25-49 years","40","90","44.44"
"2021-22","202231","SARS-CoV-2","Region 2","50-64 years","37","74","50"
"2021-22","202231","SARS-CoV-2","Region 2","65+ years","54","86","62.79"
"2021-22","202231","SARS-CoV-2","Region 3","0-4 years","19","48","39.58"
"2021-22","202231","SARS-CoV-2","Region 3","5-17 years","7","16","43.75"
"2021-22","202231","SARS-CoV-2","Region 3","18-24 years","4","10","40"
"2021-22","202231","SARS-CoV-2","Region 3","25-49 years","32","73","43.84"
"2021-22","202231","SARS-CoV-2","Region 3","50-64 years","10","55","18.18"
"2021-22","202231","SARS-CoV-2","Region 3","65+ years","31","96","32.29"
"2021-22","202231","SARS-CoV-2","Region 4","0-4 years","20","92","21.74"
"2021-22","202231","SARS-CoV-2","Region 4","5-17 years","4","26","15.38"
"2021-22","202231","SARS-CoV-2","Region 4","18-24 years","2","9","22.22"
"2021-22","202231","SARS-CoV-2","Region 4","25-49 years","9","23","39.13"
"2021-22","202231","SARS-CoV-2","Region 4","50-64 years","5","22","22.73"
"2021-22","202231","SARS-CoV-2","Region 4","65+ years","4","21","19.05"
"2021-22","202231","SARS-CoV-2","Region 5","0-4 years","78","286","27.27"
"2021-22","202231","SARS-CoV-2","Region 5","5-17 years","61","158","38.61"
"2021-22","202231","SARS-CoV-2","Region 5","18-24 years","43","127","33.86"
"2021-22","202231","SARS-CoV-2","Region 5","25-49 years","217","504","43.06"
"2021-22","202231","SARS-CoV-2","Region 5","50-64 years","121","305","39.67"
"2021-22","202231","SARS-CoV-2","Region 5","65+ years","184","480","38.33"
"2021-22","202231","SARS-CoV-2","Region 6","0-4 years","12","46","26.09"
"2021-22","202231","SARS-CoV-2","Region 6","5-17 years","12","29","41.38"
"2021-22","202231","SARS-CoV-2","Region 6","18-24 years","19","45","42.22"
"2021-22","202231","SARS-CoV-2","Region 6","25-49 years","83","171","48.54"
"2021-22","202231","SARS-CoV-2","Region 6","50-64 years","69","146","47.26"
"2021-22","202231","SARS-CoV-2","Region 6","65+ years","51","157","32.48"
"2021-22","202231","SARS-CoV-2","Region 7","0-4 years","28","130","21.54"
"2021-22","202231","SARS-CoV-2","Region 7","5-17 years","9","41","21.95"
"2021-22","202231","SARS-CoV-2","Region 7","18-24 years","11","20","55"
"2021-22","202231","SARS-CoV-2","Region 7","25-49 years","22","54","40.74"
"2021-22","202231","SARS-CoV-2","Region 7","50-64 years","20","66","30.3"
"2021-22","202231","SARS-CoV-2","Region 7","65+ years","24","83","28.92"
