"round","topic","indicator","full_indicator","demographic_variable","demographic_variable_label","estimate","confidence_interval"
"1","Long COVID","Beliefs on Long COVID: Believe employers should accommodate for Long COVID","Percentage of adults who have heard of Long COVID and at least somewhat agree that employers should provide reasonable accomodations for people with Long COVID","Age group","65 years and older","74.4","71.8, 76.9"
"1","Long COVID","Prior knowledge: Ever heard of Long COVID","Percentage of adults who have heard of Long COVID","Age group","18-44 years","64.8","62.5, 67.1"
"1","Long COVID","Prior knowledge: Ever heard of Long COVID","Percentage of adults who have heard of Long COVID","Age group","45-64 years","69.5","67.2, 71.7"
"1","Long COVID","Prior knowledge: Ever heard of Long COVID","Percentage of adults who have heard of Long COVID","Age group","65 years and older","70.8","68.4, 73.2"
"1","Long COVID","Beliefs on Long COVID: Believe media exaggerates Long COVID","Percentage of adults who have heard of Long COVID and at least somewhat agree that the media and news exaggerate the problems that people with Long COVID face","Age group","18-44 years","29.7","27.1, 32.2"
"1","Long COVID","Beliefs on Long COVID: Believe media exaggerates Long COVID","Percentage of adults who have heard of Long COVID and at least somewhat agree that the media and news exaggerate the problems that people with Long COVID face","Age group","45-64 years","31.4","29.1, 33.8"
"1","Long COVID","Beliefs on Long COVID: Believe media exaggerates Long COVID","Percentage of adults who have heard of Long COVID and at least somewhat agree that the media and news exaggerate the problems that people with Long COVID face","Age group","65 years and older","27.9","25.3, 30.6"
"1","Long COVID","Beliefs on Long COVID: Believe Long COVID is just normal aches/pains","Percentage of adults who have heard of Long COVID and at least somewhat agree that Long COVID symptoms are often just the normal aches and pains of life","Age group","18-44 years","21.7","19.5, 24.1"
"1","Long COVID","Beliefs on Long COVID: Believe Long COVID is just normal aches/pains","Percentage of adults who have heard of Long COVID and at least somewhat agree that Long COVID symptoms are often just the normal aches and pains of life","Age group","45-64 years","21.1","19, 23.5"
"1","Long COVID","Beliefs on Long COVID: Believe Long COVID is just normal aches/pains","Percentage of adults who have heard of Long COVID and at least somewhat agree that Long COVID symptoms are often just the normal aches and pains of life","Age group","65 years and older","16.9","14.8, 19.3"
"1","Long COVID","Beliefs on Long COVID: Believe Long COVID can be passed between people","Percentage of adults who have heard of Long COVID and at least somewhat agree that Long COVID can be passed from one person to another","Age group","18-44 years","11","9.2, 13"
"1","Long COVID","Beliefs on Long COVID: Believe Long COVID can be passed between people","Percentage of adults who have heard of Long COVID and at least somewhat agree that Long COVID can be passed from one person to another","Age group","45-64 years","10.4","8.8, 12.3"
