"round","topic","indicator","full_indicator","demographic_variable","demographic_variable_label","estimate","confidence_interval"
"1","Gynecological Medical Procedures","Gynecological Medical Procedures: Had fallopian tubes tied","Percentage of women who have had their fallopian tubes tied","Region","South","20.1","17.7, 22.7"
"1","Gynecological Medical Procedures","Gynecological Medical Procedures: Had fallopian tubes tied","Percentage of women who have had their fallopian tubes tied","Region","West","14.1","11.5, 17"
"1","Long COVID","Beliefs on Long COVID: Believe those with Long COVID may just be depressed","Percentage of adults who have heard of Long COVID and at least somewhat agree that those with Long COVID may just be depressed","Region","Northeast","24.7","21.7, 28"
"1","Long COVID","Beliefs on Long COVID: Believe those with Long COVID may just be depressed","Percentage of adults who have heard of Long COVID and at least somewhat agree that those with Long COVID may just be depressed","Region","Midwest","23.6","20.8, 26.6"
"1","Long COVID","Beliefs on Long COVID: Believe those with Long COVID may just be depressed","Percentage of adults who have heard of Long COVID and at least somewhat agree that those with Long COVID may just be depressed","Region","South","24.4","21.9, 27"
"1","Long COVID","Beliefs on Long COVID: Believe those with Long COVID may just be depressed","Percentage of adults who have heard of Long COVID and at least somewhat agree that those with Long COVID may just be depressed","Region","West","21.9","19.1, 24.9"
"1","Long COVID","Beliefs on Long COVID: Believe employers should accommodate for Long COVID","Percentage of adults who have heard of Long COVID and at least somewhat agree that employers should provide reasonable accomodations for people with Long COVID","Region","Northeast","73.4","69.6, 77"
"1","Long COVID","Beliefs on Long COVID: Believe employers should accommodate for Long COVID","Percentage of adults who have heard of Long COVID and at least somewhat agree that employers should provide reasonable accomodations for people with Long COVID","Region","Midwest","73.6","70.6, 76.5"
"1","Long COVID","Beliefs on Long COVID: Believe employers should accommodate for Long COVID","Percentage of adults who have heard of Long COVID and at least somewhat agree that employers should provide reasonable accomodations for people with Long COVID","Region","South","70.9","68.3, 73.4"
"1","Long COVID","Beliefs on Long COVID: Believe employers should accommodate for Long COVID","Percentage of adults who have heard of Long COVID and at least somewhat agree that employers should provide reasonable accomodations for people with Long COVID","Region","West","74.5","71.4, 77.4"
"1","Long COVID","Prior knowledge: Ever heard of Long COVID","Percentage of adults who have heard of Long COVID","Region","Northeast","73","69.9, 75.8"
"1","Long COVID","Prior knowledge: Ever heard of Long COVID","Percentage of adults who have heard of Long COVID","Region","Midwest","69.5","66.4, 72.5"
"1","Long COVID","Prior knowledge: Ever heard of Long COVID","Percentage of adults who have heard of Long COVID","Region","South","64","61.5, 66.4"
"1","Long COVID","Prior knowledge: Ever heard of Long COVID","Percentage of adults who have heard of Long COVID","Region","West","67.7","64.6, 70.8"
"1","Long COVID","Beliefs on Long COVID: Believe media exaggerates Long COVID","Percentage of adults who have heard of Long COVID and at least somewhat agree that the media and news exaggerate the problems that people with Long COVID face","Region","Northeast","29.2","25.4, 33.2"
"1","Long COVID","Beliefs on Long COVID: Believe media exaggerates Long COVID","Percentage of adults who have heard of Long COVID and at least somewhat agree that the media and news exaggerate the problems that people with Long COVID face","Region","Midwest","28","25.1, 31"
"1","Long COVID","Beliefs on Long COVID: Believe media exaggerates Long COVID","Percentage of adults who have heard of Long COVID and at least somewhat agree that the media and news exaggerate the problems that people with Long COVID face","Region","South","31.2","28.6, 33.9"
"1","Long COVID","Beliefs on Long COVID: Believe media exaggerates Long COVID","Percentage of adults who have heard of Long COVID and at least somewhat agree that the media and news exaggerate the problems that people with Long COVID face","Region","West","29.8","26.7, 33"
"1","Long COVID","Beliefs on Long COVID: Believe Long COVID is just normal aches/pains","Percentage of adults who have heard of Long COVID and at least somewhat agree that Long COVID symptoms are often just the normal aches and pains of life","Region","Northeast","20.1","17.1, 23.5"
"1","Long COVID","Beliefs on Long COVID: Believe Long COVID is just normal aches/pains","Percentage of adults who have heard of Long COVID and at least somewhat agree that Long COVID symptoms are often just the normal aches and pains of life","Region","Midwest","19.9","17.5, 22.6"
"1","Long COVID","Beliefs on Long COVID: Believe Long COVID is just normal aches/pains","Percentage of adults who have heard of Long COVID and at least somewhat agree that Long COVID symptoms are often just the normal aches and pains of life","Region","South","21.7","19.5, 24.1"
"1","Long COVID","Beliefs on Long COVID: Believe Long COVID is just normal aches/pains","Percentage of adults who have heard of Long COVID and at least somewhat agree that Long COVID symptoms are often just the normal aches and pains of life","Region","West","19.1","16.4, 22"
"1","Long COVID","Beliefs on Long COVID: Believe Long COVID can be passed between people","Percentage of adults who have heard of Long COVID and at least somewhat agree that Long COVID can be passed from one person to another","Region","Northeast","9.2","6.9, 12"
"1","Long COVID","Beliefs on Long COVID: Believe Long COVID can be passed between people","Percentage of adults who have heard of Long COVID and at least somewhat agree that Long COVID can be passed from one person to another","Region","Midwest","8.5","6.6, 10.7"
"1","Long COVID","Beliefs on Long COVID: Believe Long COVID can be passed between people","Percentage of adults who have heard of Long COVID and at least somewhat agree that Long COVID can be passed from one person to another","Region","South","12.3","10.4, 14.3"
"1","Long COVID","Beliefs on Long COVID: Believe Long COVID can be passed between people","Percentage of adults who have heard of Long COVID and at least somewhat agree that Long COVID can be passed from one person to another","Region","West","11.3","9.1, 13.9"
"1","Long COVID","Beliefs on Long COVID: Believe Long COVID is a real illness","Percentage of adults who have heard of Long COVID and at least somewhat agree that Long COVID is a real illness","Region","Northeast","82.1","78.7, 85.2"
"1","Long COVID","Beliefs on Long COVID: Believe Long COVID is a real illness","Percentage of adults who have heard of Long COVID and at least somewhat agree that Long COVID is a real illness","Region","Midwest","85.1","82.5, 87.4"
"1","Long COVID","Beliefs on Long COVID: Believe Long COVID is a real illness","Percentage of adults who have heard of Long COVID and at least somewhat agree that Long COVID is a real illness","Region","South","78.7","76.4, 80.9"
"1","Long COVID","Beliefs on Long COVID: Believe Long COVID is a real illness","Percentage of adults who have heard of Long COVID and at least somewhat agree that Long COVID is a real illness","Region","West","84","81.4, 86.5"
"1","Long COVID","Beliefs on Long COVID: Believe Long COVID can be debilitating","Percentage of adults who have heard of Long COVID and at least somewhat agree that Long COVID can be debilitating and should be taken seriously","Region","Northeast","80.9","77.3, 84.2"
"1","Long COVID","Beliefs on Long COVID: Believe Long COVID can be debilitating","Percentage of adults who have heard of Long COVID and at least somewhat agree that Long COVID can be debilitating and should be taken seriously","Region","Midwest","81.2","78.4, 83.8"
"1","Long COVID","Beliefs on Long COVID: Believe Long COVID can be debilitating","Percentage of adults who have heard of Long COVID and at least somewhat agree that Long COVID can be debilitating and should be taken seriously","Region","South","77.9","75.5, 80"
"1","Long COVID","Beliefs on Long COVID: Believe Long COVID can be debilitating","Percentage of adults who have heard of Long COVID and at least somewhat agree that Long COVID can be debilitating and should be taken seriously","Region","West","82.2","79.5, 84.6"
"1","Genetic Tests","Concerns about impacts of genetic tests: Concern it will impact long-term care/disability insurance","Among adults who have heard of genetic testing for cancer, the percentage of adults who were at least a little concerned that the results of genetic testing for higher risk of cancer would impact their long-term care or disability insurance","Region","Northeast","60.5","55.9, 65"
"1","Breast cancer screening","Breast cancer screening - breast density: Had dense breast tissue","Percentage who were told they had dense breast tissue, among women aged 30 and older who received information about their breast density after their recent mammogram","Urbanicity","Large central metro","71.8","66.6, 76.7"
"1","Genetic Tests","Concerns about impacts of genetic tests: Concern it will impact long-term care/disability insurance","Among adults who have heard of genetic testing for cancer, the percentage of adults who were at least a little concerned that the results of genetic testing for higher risk of cancer would impact their long-term care or disability insurance","Region","Midwest","61.6","57.6, 65.5"
"1","Genetic Tests","Concerns about impacts of genetic tests: Concern it will impact long-term care/disability insurance","Among adults who have heard of genetic testing for cancer, the percentage of adults who were at least a little concerned that the results of genetic testing for higher risk of cancer would impact their long-term care or disability insurance","Region","South","60.5","57.3, 63.6"
"1","Genetic Tests","Concerns about impacts of genetic tests: Concern it will impact long-term care/disability insurance","Among adults who have heard of genetic testing for cancer, the percentage of adults who were at least a little concerned that the results of genetic testing for higher risk of cancer would impact their long-term care or disability insurance","Region","West","65.3","61.4, 69"
"1","Genetic Tests","Concerns about impacts of genetic tests: Concern it will impact health insurance","Among adults who have heard of genetic testing for cancer, the percentage of adults who were at least a little concerned that the results of genetic testing for higher risk of cancer would impact their health insurance","Region","Northeast","59.6","55.2, 63.9"
"1","Genetic Tests","Concerns about impacts of genetic tests: Concern it will impact health insurance","Among adults who have heard of genetic testing for cancer, the percentage of adults who were at least a little concerned that the results of genetic testing for higher risk of cancer would impact their health insurance","Region","Midwest","62.5","58.8, 66.1"
"1","Genetic Tests","Concerns about impacts of genetic tests: Concern it will impact health insurance","Among adults who have heard of genetic testing for cancer, the percentage of adults who were at least a little concerned that the results of genetic testing for higher risk of cancer would impact their health insurance","Region","South","60.4","57, 63.8"
"1","Genetic Tests","Concerns about impacts of genetic tests: Concern it will impact health insurance","Among adults who have heard of genetic testing for cancer, the percentage of adults who were at least a little concerned that the results of genetic testing for higher risk of cancer would impact their health insurance","Region","West","63.3","59.3, 67.1"
"1","Genetic Tests","Personal experience with genetic tests: Ever heard of genetic test for risk of cancer","Percentage of adults who have ever heard of genetic testing to determine if a person is at greater risk of developing cancer","Region","Northeast","50","46.5, 53.4"
"1","Genetic Tests","Personal experience with genetic tests: Ever heard of genetic test for risk of cancer","Percentage of adults who have ever heard of genetic testing to determine if a person is at greater risk of developing cancer","Region","Midwest","48.8","46.1, 51.6"
"1","Genetic Tests","Personal experience with genetic tests: Ever heard of genetic test for risk of cancer","Percentage of adults who have ever heard of genetic testing to determine if a person is at greater risk of developing cancer","Region","South","47.3","44.9, 49.6"
"1","Genetic Tests","Personal experience with genetic tests: Ever heard of genetic test for risk of cancer","Percentage of adults who have ever heard of genetic testing to determine if a person is at greater risk of developing cancer","Region","West","43.6","40.8, 46.4"
"1","Genetic Tests","Concerns about privacy of genetic tests: Concern it will impact employment","Among adults who have heard of genetic testing for cancer, the percentage of adults who were at least a little concerned that the results of genetic testing for higher risk of cancer would impact their employment","Region","Northeast","35.5","31, 40.2"
"1","Genetic Tests","Concerns about privacy of genetic tests: Concern it will impact employment","Among adults who have heard of genetic testing for cancer, the percentage of adults who were at least a little concerned that the results of genetic testing for higher risk of cancer would impact their employment","Region","Midwest","33.3","29.8, 37"
"1","Genetic Tests","Concerns about privacy of genetic tests: Concern it will impact employment","Among adults who have heard of genetic testing for cancer, the percentage of adults who were at least a little concerned that the results of genetic testing for higher risk of cancer would impact their employment","Region","South","37.4","34.1, 40.7"
"1","Genetic Tests","Concerns about privacy of genetic tests: Concern it will impact employment","Among adults who have heard of genetic testing for cancer, the percentage of adults who were at least a little concerned that the results of genetic testing for higher risk of cancer would impact their employment","Region","West","34.8","30.7, 39.1"
"1","Genetic Tests","Concerns about impacts of genetic tests: Concern it will impact life insurance","Among adults who have heard of genetic testing for cancer, the percentage of adults who were at least a little concerned that the results of genetic testing for higher risk of cancer would impact their life insurance","Region","Northeast","58.5","53.9, 63.1"
"1","Genetic Tests","Concerns about impacts of genetic tests: Concern it will impact life insurance","Among adults who have heard of genetic testing for cancer, the percentage of adults who were at least a little concerned that the results of genetic testing for higher risk of cancer would impact their life insurance","Region","Midwest","61","57.1, 64.7"
"1","Genetic Tests","Concerns about impacts of genetic tests: Concern it will impact life insurance","Among adults who have heard of genetic testing for cancer, the percentage of adults who were at least a little concerned that the results of genetic testing for higher risk of cancer would impact their life insurance","Region","South","58.6","55.4, 61.7"
"1","Genetic Tests","Concerns about impacts of genetic tests: Concern it will impact life insurance","Among adults who have heard of genetic testing for cancer, the percentage of adults who were at least a little concerned that the results of genetic testing for higher risk of cancer would impact their life insurance","Region","West","62.6","58.4, 66.8"
"1","Genetic Tests","Personal experience with genetic tests: Ever had genetic test for risk of cancer","Percentage of adults who have ever had a genetic test to determine if they are at greater risk of developing cancer in the future","Region","Northeast","6.4","4.8, 8.3"
"1","Genetic Tests","Personal experience with genetic tests: Ever had genetic test for risk of cancer","Percentage of adults who have ever had a genetic test to determine if they are at greater risk of developing cancer in the future","Region","Midwest","6.8","5.6, 8.2"
"1","Genetic Tests","Personal experience with genetic tests: Ever had genetic test for risk of cancer","Percentage of adults who have ever had a genetic test to determine if they are at greater risk of developing cancer in the future","Region","South","6.1","5.1, 7.2"
"1","Genetic Tests","Personal experience with genetic tests: Ever had genetic test for risk of cancer","Percentage of adults who have ever had a genetic test to determine if they are at greater risk of developing cancer in the future","Region","West","6","4.9, 7.4"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe affordability of sunscreen is at least moderately important","Percentage of adults who believe that affordability is at least moderately important when purchasing sunscreen","Region","Northeast","55.9","52.4, 59.3"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe affordability of sunscreen is at least moderately important","Percentage of adults who believe that affordability is at least moderately important when purchasing sunscreen","Region","Midwest","53.2","50.4, 56"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe affordability of sunscreen is at least moderately important","Percentage of adults who believe that affordability is at least moderately important when purchasing sunscreen","Region","South","54.8","52.5, 57.1"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe affordability of sunscreen is at least moderately important","Percentage of adults who believe that affordability is at least moderately important when purchasing sunscreen","Region","West","57.8","54.9, 60.6"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe thereï¿½s no need to worry about the sun on cloudy days","Percentage of adults who at least somewhat agree that on cloudy days they don't need to worry about the sun","Region","Northeast","27.1","24, 30.3"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe thereï¿½s no need to worry about the sun on cloudy days","Percentage of adults who at least somewhat agree that on cloudy days they don't need to worry about the sun","Region","Midwest","22.9","20.3, 25.5"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe thereï¿½s no need to worry about the sun on cloudy days","Percentage of adults who at least somewhat agree that on cloudy days they don't need to worry about the sun","Region","South","26.4","24.2, 28.6"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe thereï¿½s no need to worry about the sun on cloudy days","Percentage of adults who at least somewhat agree that on cloudy days they don't need to worry about the sun","Region","West","23.1","20.6, 25.8"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe how sunscreen feels on skin is at least moderately important","Percentage of adults who believe that how sunscreen feels on their skin is at least moderately important when purchasing sunscreen","Region","Northeast","54.9","51.5, 58.3"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe how sunscreen feels on skin is at least moderately important","Percentage of adults who believe that how sunscreen feels on their skin is at least moderately important when purchasing sunscreen","Region","Midwest","50.9","48.1, 53.7"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe how sunscreen feels on skin is at least moderately important","Percentage of adults who believe that how sunscreen feels on their skin is at least moderately important when purchasing sunscreen","Region","South","55.2","52.9, 57.6"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe how sunscreen feels on skin is at least moderately important","Percentage of adults who believe that how sunscreen feels on their skin is at least moderately important when purchasing sunscreen","Region","West","56.9","54.1, 59.7"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe sunscreenï¿½s ingredients are at least moderately important","Percentage of adults who believe that the ingredients are at least moderately important when purchasing sunscreen","Region","Northeast","64.7","61, 68.2"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe sunscreenï¿½s ingredients are at least moderately important","Percentage of adults who believe that the ingredients are at least moderately important when purchasing sunscreen","Region","Midwest","58.5","55.5, 61.4"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe sunscreenï¿½s ingredients are at least moderately important","Percentage of adults who believe that the ingredients are at least moderately important when purchasing sunscreen","Region","South","60.3","58, 62.5"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe sunscreenï¿½s ingredients are at least moderately important","Percentage of adults who believe that the ingredients are at least moderately important when purchasing sunscreen","Region","West","67.8","65, 70.4"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe sunburn is not really harmful","Percentage of adults who at least somewhat agree that sunburn is not really harmful in the long run","Region","Northeast","17.3","14.4, 20.6"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe sunburn is not really harmful","Percentage of adults who at least somewhat agree that sunburn is not really harmful in the long run","Region","Midwest","16.8","14.6, 19.2"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe sunburn is not really harmful","Percentage of adults who at least somewhat agree that sunburn is not really harmful in the long run","Region","South","19.2","17.4, 21.2"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe sunburn is not really harmful","Percentage of adults who at least somewhat agree that sunburn is not really harmful in the long run","Region","West","17.7","15.3, 20.2"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe itï¿½s a hassle to reapply sunscreen","Percentage of adults who at least somewhat agree that itï¿½s a hassle to reapply sunscreen","Region","Northeast","63","59.9, 66.1"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe itï¿½s a hassle to reapply sunscreen","Percentage of adults who at least somewhat agree that itï¿½s a hassle to reapply sunscreen","Region","Midwest","60.9","58.1, 63.6"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe itï¿½s a hassle to reapply sunscreen","Percentage of adults who at least somewhat agree that itï¿½s a hassle to reapply sunscreen","Region","South","58.6","56.2, 61"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe itï¿½s a hassle to reapply sunscreen","Percentage of adults who at least somewhat agree that itï¿½s a hassle to reapply sunscreen","Region","West","61.9","59.1, 64.8"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Have concern about safety of ingredients in sunscreen","Percentage of adults who at least somewhat agree that they are concerned about the safety of ingredients in sunscreen","Region","Northeast","53.9","50.4, 57.2"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Have concern about safety of ingredients in sunscreen","Percentage of adults who at least somewhat agree that they are concerned about the safety of ingredients in sunscreen","Region","Midwest","47.3","44.4, 50.1"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Have concern about safety of ingredients in sunscreen","Percentage of adults who at least somewhat agree that they are concerned about the safety of ingredients in sunscreen","Region","South","53","50.8, 55.2"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Have concern about safety of ingredients in sunscreen","Percentage of adults who at least somewhat agree that they are concerned about the safety of ingredients in sunscreen","Region","West","54.8","51.8, 57.7"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe sunscreenï¿½s ability to be sprayed on is at least moderately important","Percentage of adults who believe that the ability of sunscreen to be sprayed on the skin is at least moderately important when purchasing sunscreen","Region","Northeast","35.7","32.1, 39.5"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe sunscreenï¿½s ability to be sprayed on is at least moderately important","Percentage of adults who believe that the ability of sunscreen to be sprayed on the skin is at least moderately important when purchasing sunscreen","Region","Midwest","34.4","31.7, 37.2"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe sunscreenï¿½s ability to be sprayed on is at least moderately important","Percentage of adults who believe that the ability of sunscreen to be sprayed on the skin is at least moderately important when purchasing sunscreen","Region","South","40.1","37.8, 42.5"
"1","Sunscreen","Attitudes and beliefs on sunscreen: Believe sunscreenï¿½s ability to be sprayed on is at least moderately important","Percentage of adults who believe that the ability of sunscreen to be sprayed on the skin is at least moderately important when purchasing sunscreen","Region","West","37.6","34.8, 40.4"
"1","Sunscreen","Sunscreen use: Wear sunscreen on face and other skin outdoors","Percentage of adults who wear sunscreen on their face and other exposed skin when outdoors in the sun during warm weather always or most of the time","Region","Northeast","22.2","19.4, 25.2"
"1","Sunscreen","Sunscreen use: Wear sunscreen on face and other skin outdoors","Percentage of adults who wear sunscreen on their face and other exposed skin when outdoors in the sun during warm weather always or most of the time","Region","Midwest","20.9","18.8, 23.2"
"1","Sunscreen","Sunscreen use: Wear sunscreen on face and other skin outdoors","Percentage of adults who wear sunscreen on their face and other exposed skin when outdoors in the sun during warm weather always or most of the time","Region","South","21.1","19, 23.2"
"1","Sunscreen","Sunscreen use: Wear sunscreen on face and other skin outdoors","Percentage of adults who wear sunscreen on their face and other exposed skin when outdoors in the sun during warm weather always or most of the time","Region","West","25.6","23.2, 28.1"
"1","Sunscreen","Sunscreen use: Wear sunscreen on face outdoors","Percentage of adults who wear sunscreen on their face when outdoors in the sun during warm weather always or most of the time","Region","Northeast","28.7","25.7, 31.9"
"1","Sunscreen","Sunscreen use: Wear sunscreen on face outdoors","Percentage of adults who wear sunscreen on their face when outdoors in the sun during warm weather always or most of the time","Region","Midwest","26.7","24.3, 29.2"
"1","Sunscreen","Sunscreen use: Wear sunscreen on face outdoors","Percentage of adults who wear sunscreen on their face when outdoors in the sun during warm weather always or most of the time","Region","South","27.4","25.3, 29.6"
"1","Sunscreen","Sunscreen use: Wear sunscreen on face outdoors","Percentage of adults who wear sunscreen on their face when outdoors in the sun during warm weather always or most of the time","Region","West","33.3","30.7, 36"
"1","Sunscreen","Sunscreen use: Wear sunscreen on other skin outdoors","Percentage of adults who wear sunscreen on other exposed skin when outdoors in the sun during warm weather always or most of the time","Region","Northeast","26.3","23.5, 29.3"
"1","Sunscreen","Sunscreen use: Wear sunscreen on other skin outdoors","Percentage of adults who wear sunscreen on other exposed skin when outdoors in the sun during warm weather always or most of the time","Region","Midwest","23.8","21.5, 26.1"
"1","Sunscreen","Sunscreen use: Wear sunscreen on other skin outdoors","Percentage of adults who wear sunscreen on other exposed skin when outdoors in the sun during warm weather always or most of the time","Region","South","24.3","22.2, 26.5"
"1","Sunscreen","Sunscreen use: Wear sunscreen on other skin outdoors","Percentage of adults who wear sunscreen on other exposed skin when outdoors in the sun during warm weather always or most of the time","Region","West","28.9","26.4, 31.5"
"1","Air Cleaners or Purifiers","Reasons for using portable air cleaner or purifier: To remove dust, pollen, mold, or other allergens","Among all adults, percentage who use a device to remove dust, pollen, or other allergens in the air","Region","Northeast","33.2","30.1, 36.5"
"1","Air Cleaners or Purifiers","Reasons for using portable air cleaner or purifier: To remove dust, pollen, mold, or other allergens","Among all adults, percentage who use a device to remove dust, pollen, or other allergens in the air","Region","Midwest","32.9","30.4, 35.5"
"1","Air Cleaners or Purifiers","Reasons for using portable air cleaner or purifier: To remove dust, pollen, mold, or other allergens","Among all adults, percentage who use a device to remove dust, pollen, or other allergens in the air","Region","South","33.6","31.3, 36"
"1","Air Cleaners or Purifiers","Reasons for using portable air cleaner or purifier: To remove dust, pollen, mold, or other allergens","Among all adults, percentage who use a device to remove dust, pollen, or other allergens in the air","Region","West","33.7","31, 36.4"
"1","Air Cleaners or Purifiers","Reasons does not use air cleaner or purifier: Too expensive","Among all adults, percentage who don't use a portable air cleaner or purifier because they are too expensive","Region","Northeast","36.4","33.2, 39.6"
"1","Air Cleaners or Purifiers","Reasons does not use air cleaner or purifier: Too expensive","Among all adults, percentage who don't use a portable air cleaner or purifier because they are too expensive","Region","Midwest","36.3","33.7, 39.1"
"1","Air Cleaners or Purifiers","Reasons does not use air cleaner or purifier: Too expensive","Among all adults, percentage who don't use a portable air cleaner or purifier because they are too expensive","Region","South","36.3","34.1, 38.6"
"1","Air Cleaners or Purifiers","Reasons does not use air cleaner or purifier: Too expensive","Among all adults, percentage who don't use a portable air cleaner or purifier because they are too expensive","Region","West","35.1","32.3, 37.9"
"1","Air Cleaners or Purifiers","Reasons does not use air cleaner or purifier: Too noisy","Among all adults, percentage who don't use a portable air cleaner or purifier because they are too noisy","Region","Northeast","19","16.5, 21.6"
"1","Air Cleaners or Purifiers","Reasons does not use air cleaner or purifier: Too noisy","Among all adults, percentage who don't use a portable air cleaner or purifier because they are too noisy","Region","Midwest","18.3","16.2, 20.5"
"1","Air Cleaners or Purifiers","Reasons does not use air cleaner or purifier: Too noisy","Among all adults, percentage who don't use a portable air cleaner or purifier because they are too noisy","Region","South","18.3","16.5, 20.1"
"1","Air Cleaners or Purifiers","Reasons does not use air cleaner or purifier: Too noisy","Among all adults, percentage who don't use a portable air cleaner or purifier because they are too noisy","Region","West","18.2","16, 20.5"
"1","Air Cleaners or Purifiers","Reasons does not use air cleaner or purifier: Didn't think one was needed","Among all adults, percentage who don't use a portable air cleaner or purifier because they didn't think one was needed","Region","Northeast","43","39.7, 46.5"
"1","Air Cleaners or Purifiers","Reasons does not use air cleaner or purifier: Didn't think one was needed","Among all adults, percentage who don't use a portable air cleaner or purifier because they didn't think one was needed","Region","Midwest","41.2","38.4, 44"
"1","Air Cleaners or Purifiers","Reasons does not use air cleaner or purifier: Didn't think one was needed","Among all adults, percentage who don't use a portable air cleaner or purifier because they didn't think one was needed","Region","South","39.9","37.4, 42.4"
"1","Air Cleaners or Purifiers","Reasons does not use air cleaner or purifier: Didn't think one was needed","Among all adults, percentage who don't use a portable air cleaner or purifier because they didn't think one was needed","Region","West","39.9","37.1, 42.7"
"1","Air Cleaners or Purifiers","Reasons does not use air cleaner or purifier: Some other reason","Among all adults, percentage who don't use a portable air cleaner or purifier for some other reason","Region","Northeast","13.6","11.5, 16"
"1","Air Cleaners or Purifiers","Reasons does not use air cleaner or purifier: Some other reason","Among all adults, percentage who don't use a portable air cleaner or purifier for some other reason","Region","Midwest","15","13, 17.1"
"1","Air Cleaners or Purifiers","Reasons does not use air cleaner or purifier: Some other reason","Among all adults, percentage who don't use a portable air cleaner or purifier for some other reason","Region","South","12.8","11.2, 14.4"
"1","Air Cleaners or Purifiers","Reasons does not use air cleaner or purifier: Some other reason","Among all adults, percentage who don't use a portable air cleaner or purifier for some other reason","Region","West","13.2","11.3, 15.4"
"1","Air Cleaners or Purifiers","Reasons for using portable air cleaner or purifier: Some other reason","Among all adults, percentage who use a portable air cleaner or purifier in their home for some other reason","Region","Northeast","13","10.9, 15.4"
"1","Air Cleaners or Purifiers","Reasons for using portable air cleaner or purifier: Some other reason","Among all adults, percentage who use a portable air cleaner or purifier in their home for some other reason","Region","Midwest","12.5","10.8, 14.4"
"1","Air Cleaners or Purifiers","Reasons for using portable air cleaner or purifier: Some other reason","Among all adults, percentage who use a portable air cleaner or purifier in their home for some other reason","Region","South","13.6","12, 15.4"
"1","Air Cleaners or Purifiers","Reasons for using portable air cleaner or purifier: Some other reason","Among all adults, percentage who use a portable air cleaner or purifier in their home for some other reason","Region","West","14.1","12.1, 16.4"
"1","Air Cleaners or Purifiers","Reasons for using portable air cleaner or purifier: To remove smoke particles from the air","Among all adults, percentage who use a portable air cleaner or purifier in their home to remove smoke particles from the air","Region","Northeast","14.8","12.4, 17.3"
"1","Air Cleaners or Purifiers","Reasons for using portable air cleaner or purifier: To remove smoke particles from the air","Among all adults, percentage who use a portable air cleaner or purifier in their home to remove smoke particles from the air","Region","Midwest","12.6","10.7, 14.6"
"1","Air Cleaners or Purifiers","Reasons for using portable air cleaner or purifier: To remove smoke particles from the air","Among all adults, percentage who use a portable air cleaner or purifier in their home to remove smoke particles from the air","Region","South","12.8","11.2, 14.5"
"1","Air Cleaners or Purifiers","Reasons for using portable air cleaner or purifier: To remove smoke particles from the air","Among all adults, percentage who use a portable air cleaner or purifier in their home to remove smoke particles from the air","Region","West","18","15.7, 20.4"
"1","Air Cleaners or Purifiers","Reasons for using portable air cleaner or purifier: To remove virus particles that people exhale","Among all adults, percentage who use a portable air cleaner or purifier in their home to remove virus particles that people exhale","Region","Northeast","18.8","16.1, 21.7"
"1","Air Cleaners or Purifiers","Reasons for using portable air cleaner or purifier: To remove virus particles that people exhale","Among all adults, percentage who use a portable air cleaner or purifier in their home to remove virus particles that people exhale","Region","Midwest","18.8","16.7, 21"
"1","Air Cleaners or Purifiers","Reasons for using portable air cleaner or purifier: To remove virus particles that people exhale","Among all adults, percentage who use a portable air cleaner or purifier in their home to remove virus particles that people exhale","Region","South","20","18, 22"
"1","Air Cleaners or Purifiers","Reasons for using portable air cleaner or purifier: To remove virus particles that people exhale","Among all adults, percentage who use a portable air cleaner or purifier in their home to remove virus particles that people exhale","Region","West","19.1","16.8, 21.5"
"1","Air Cleaners or Purifiers","Ventilation device use: Ever uses a portable air cleaner or purifier with a HEPA filter","Among all adults, percentage who use a portable air cleaner or purifier with a HEPA filter","Region","Northeast","18","15.6, 20.7"
