"state","season","week_ending_date","age_category","sex","race","rate","cumulative_rate","type"
"RSV-NET","2021-22","2022-05-21","40-49 years","All","All","0.1","3.3","Crude Rate"
"RSV-NET","2021-22","2022-05-28","40-49 years","All","All","0.1","3.4","Crude Rate"
"RSV-NET","2021-22","2022-06-04","40-49 years","All","All","0.0","3.4","Crude Rate"
"RSV-NET","2021-22","2022-06-11","40-49 years","All","All","0.1","3.4","Crude Rate"
"RSV-NET","2021-22","2022-06-18","40-49 years","All","All","0.0","3.5","Crude Rate"
"RSV-NET","2021-22","2022-06-25","40-49 years","All","All","0.0","3.5","Crude Rate"
"RSV-NET","2021-22","2022-07-02","40-49 years","All","All","0.0","3.5","Crude Rate"
"RSV-NET","2021-22","2022-07-09","40-49 years","All","All","0.1","3.5","Crude Rate"
"RSV-NET","2021-22","2022-07-16","40-49 years","All","All","0.0","3.6","Crude Rate"
"RSV-NET","2021-22","2022-07-23","40-49 years","All","All","0.1","3.6","Crude Rate"
"RSV-NET","2021-22","2022-07-30","40-49 years","All","All","0.1","3.7","Crude Rate"
"RSV-NET","2021-22","2022-08-06","40-49 years","All","All","0.0","3.7","Crude Rate"
"RSV-NET","2021-22","2022-08-13","40-49 years","All","All","0.0","3.7","Crude Rate"
"RSV-NET","2021-22","2022-08-20","40-49 years","All","All","0.1","3.7","Crude Rate"
"RSV-NET","2021-22","2022-08-27","40-49 years","All","All","0.1","3.8","Crude Rate"
"RSV-NET","2021-22","2022-09-03","40-49 years","All","All","0.1","3.9","Crude Rate"
"RSV-NET","2021-22","2022-09-10","40-49 years","All","All","0.0","3.9","Crude Rate"
"RSV-NET","2021-22","2022-09-17","40-49 years","All","All","0.2","4.1","Crude Rate"
"RSV-NET","2021-22","2022-09-24","40-49 years","All","All","0.1","4.2","Crude Rate"
"RSV-NET","2021-22","2022-10-01","40-49 years","All","All","0.2","4.5","Crude Rate"
"California","2021-22","2021-10-09","40-49 years","All","All","0.0","0.0","Crude Rate"
"California","2021-22","2021-10-16","40-49 years","All","All","0.0","0.0","Crude Rate"
"California","2021-22","2021-10-23","40-49 years","All","All","0.0","0.0","Crude Rate"
"California","2021-22","2021-10-30","40-49 years","All","All","0.0","0.0","Crude Rate"
"California","2021-22","2021-11-06","40-49 years","All","All","0.0","0.0","Crude Rate"
"California","2021-22","2021-11-13","40-49 years","All","All","0.0","0.0","Crude Rate"
"California","2021-22","2021-11-20","40-49 years","All","All","0.2","0.2","Crude Rate"
"California","2021-22","2021-11-27","40-49 years","All","All","0.2","0.4","Crude Rate"
"California","2021-22","2021-12-04","40-49 years","All","All","0.8","1.2","Crude Rate"
"California","2021-22","2021-12-11","40-49 years","All","All","0.2","1.4","Crude Rate"
"California","2021-22","2021-12-18","40-49 years","All","All","0.0","1.4","Crude Rate"
"California","2021-22","2021-12-25","40-49 years","All","All","0.8","2.2","Crude Rate"
"California","2021-22","2022-01-01","40-49 years","All","All","0.2","2.4","Crude Rate"
"California","2021-22","2022-01-08","40-49 years","All","All","0.4","2.8","Crude Rate"
"California","2021-22","2022-01-15","40-49 years","All","All","0.0","2.8","Crude Rate"
"California","2021-22","2022-01-22","40-49 years","All","All","0.0","2.8","Crude Rate"
"California","2021-22","2022-01-29","40-49 years","All","All","0.6","3.4","Crude Rate"
"California","2021-22","2022-02-05","40-49 years","All","All","0.0","3.4","Crude Rate"
"California","2021-22","2022-02-12","40-49 years","All","All","0.0","3.4","Crude Rate"
"California","2021-22","2022-02-19","40-49 years","All","All","0.0","3.4","Crude Rate"
"California","2021-22","2022-02-26","40-49 years","All","All","0.0","3.4","Crude Rate"
"California","2021-22","2022-03-05","40-49 years","All","All","0.0","3.4","Crude Rate"
"California","2021-22","2022-03-12","40-49 years","All","All","0.0","3.4","Crude Rate"
"California","2021-22","2022-03-19","40-49 years","All","All","0.2","3.6","Crude Rate"
"California","2021-22","2022-03-26","40-49 years","All","All","0.0","3.6","Crude Rate"
"California","2021-22","2022-04-02","40-49 years","All","All","0.0","3.6","Crude Rate"
"California","2021-22","2022-04-09","40-49 years","All","All","0.0","3.6","Crude Rate"
"California","2021-22","2022-04-16","40-49 years","All","All","0.0","3.6","Crude Rate"
"California","2021-22","2022-04-23","40-49 years","All","All","0.0","3.6","Crude Rate"
"California","2021-22","2022-04-30","40-49 years","All","All","0.0","3.6","Crude Rate"
"California","2021-22","2022-05-07","40-49 years","All","All","0.0","3.6","Crude Rate"
"California","2021-22","2022-05-14","40-49 years","All","All","0.0","3.6","Crude Rate"
"California","2021-22","2022-05-21","40-49 years","All","All","0.0","3.6","Crude Rate"
"California","2021-22","2022-05-28","40-49 years","All","All","0.0","3.6","Crude Rate"
"California","2021-22","2022-06-04","40-49 years","All","All","0.0","3.6","Crude Rate"
"California","2021-22","2022-06-11","40-49 years","All","All","0.0","3.6","Crude Rate"
"California","2021-22","2022-06-18","40-49 years","All","All","0.0","3.6","Crude Rate"
"California","2021-22","2022-06-25","40-49 years","All","All","0.0","3.6","Crude Rate"
"California","2021-22","2022-07-02","40-49 years","All","All","0.0","3.6","Crude Rate"
"California","2021-22","2022-07-09","40-49 years","All","All","0.0","3.6","Crude Rate"
"California","2021-22","2022-07-16","40-49 years","All","All","0.0","3.6","Crude Rate"
"California","2021-22","2022-07-23","40-49 years","All","All","0.0","3.6","Crude Rate"
"California","2021-22","2022-07-30","40-49 years","All","All","0.0","3.6","Crude Rate"
"California","2021-22","2022-08-06","40-49 years","All","All","0.2","3.8","Crude Rate"
"California","2021-22","2022-08-13","40-49 years","All","All","0.0","3.8","Crude Rate"
"California","2021-22","2022-08-20","40-49 years","All","All","0.0","3.8","Crude Rate"
"California","2021-22","2022-08-27","40-49 years","All","All","0.0","3.8","Crude Rate"
"California","2021-22","2022-09-03","40-49 years","All","All","0.0","3.8","Crude Rate"
"California","2021-22","2022-09-10","40-49 years","All","All","0.2","4.0","Crude Rate"
"California","2021-22","2022-09-17","40-49 years","All","All","0.0","4.0","Crude Rate"
"California","2021-22","2022-09-24","40-49 years","All","All","0.0","4.0","Crude Rate"
"California","2021-22","2022-10-01","40-49 years","All","All","0.0","4.0","Crude Rate"
"RSV-NET","2021-22","2021-10-09","75-84 years","All","All","0.5","0.5","Crude Rate"
"RSV-NET","2021-22","2021-10-16","75-84 years","All","All","1.2","1.7","Crude Rate"
"RSV-NET","2021-22","2021-10-23","75-84 years","All","All","1.1","2.8","Crude Rate"
"RSV-NET","2021-22","2021-10-30","75-84 years","All","All","1.1","3.9","Crude Rate"
"RSV-NET","2021-22","2021-11-06","75-84 years","All","All","1.3","5.2","Crude Rate"
"RSV-NET","2021-22","2021-11-13","75-84 years","All","All","2.6","7.9","Crude Rate"
"RSV-NET","2021-22","2021-11-20","75-84 years","All","All","1.4","9.3","Crude Rate"
"RSV-NET","2021-22","2021-11-27","75-84 years","All","All","1.3","10.6","Crude Rate"
"RSV-NET","2021-22","2021-12-04","75-84 years","All","All","2.5","13.1","Crude Rate"
"RSV-NET","2021-22","2021-12-11","75-84 years","All","All","3.2","16.3","Crude Rate"
"RSV-NET","2021-22","2021-12-18","75-84 years","All","All","2.8","19.0","Crude Rate"
"RSV-NET","2021-22","2021-12-25","75-84 years","All","All","2.1","21.1","Crude Rate"
"RSV-NET","2021-22","2022-01-01","75-84 years","All","All","2.3","23.4","Crude Rate"
"RSV-NET","2021-22","2022-01-08","75-84 years","All","All","2.8","26.2","Crude Rate"
"RSV-NET","2021-22","2022-01-15","75-84 years","All","All","1.2","27.4","Crude Rate"
"RSV-NET","2021-22","2022-01-22","75-84 years","All","All","1.0","28.4","Crude Rate"
"RSV-NET","2021-22","2022-01-29","75-84 years","All","All","0.4","28.8","Crude Rate"
"RSV-NET","2021-22","2022-02-05","75-84 years","All","All","0.8","29.6","Crude Rate"
"RSV-NET","2021-22","2022-02-12","75-84 years","All","All","0.3","29.9","Crude Rate"
"RSV-NET","2021-22","2022-02-19","75-84 years","All","All","0.3","30.2","Crude Rate"
"RSV-NET","2021-22","2022-02-26","75-84 years","All","All","0.2","30.4","Crude Rate"
"RSV-NET","2021-22","2022-03-05","75-84 years","All","All","0.2","30.5","Crude Rate"
"RSV-NET","2021-22","2022-03-12","75-84 years","All","All","0.6","31.1","Crude Rate"
"RSV-NET","2021-22","2022-03-19","75-84 years","All","All","0.2","31.3","Crude Rate"
"RSV-NET","2021-22","2022-03-26","75-84 years","All","All","0.4","31.7","Crude Rate"
"RSV-NET","2021-22","2022-04-02","75-84 years","All","All","0.5","32.2","Crude Rate"
"RSV-NET","2021-22","2022-04-09","75-84 years","All","All","0.2","32.4","Crude Rate"
"RSV-NET","2021-22","2022-04-16","75-84 years","All","All","0.4","32.8","Crude Rate"
"RSV-NET","2021-22","2022-04-23","75-84 years","All","All","0.3","33.1","Crude Rate"
"RSV-NET","2021-22","2022-04-30","75-84 years","All","All","0.7","33.9","Crude Rate"
"RSV-NET","2021-22","2022-05-07","75-84 years","All","All","0.3","34.2","Crude Rate"
"RSV-NET","2021-22","2022-05-14","75-84 years","All","All","0.3","34.5","Crude Rate"
"RSV-NET","2021-22","2022-05-21","75-84 years","All","All","0.2","34.7","Crude Rate"
"RSV-NET","2021-22","2022-05-28","75-84 years","All","All","0.2","35.0","Crude Rate"
"RSV-NET","2021-22","2022-06-04","75-84 years","All","All","0.2","35.2","Crude Rate"
"RSV-NET","2021-22","2022-06-11","75-84 years","All","All","0.1","35.3","Crude Rate"
"RSV-NET","2021-22","2022-06-18","75-84 years","All","All","0.6","35.9","Crude Rate"
"RSV-NET","2021-22","2022-06-25","75-84 years","All","All","0.2","36.1","Crude Rate"
"RSV-NET","2021-22","2022-07-02","75-84 years","All","All","0.5","36.6","Crude Rate"
"RSV-NET","2021-22","2022-07-09","75-84 years","All","All","0.5","37.0","Crude Rate"
"RSV-NET","2021-22","2022-07-16","75-84 years","All","All","0.4","37.4","Crude Rate"
"RSV-NET","2021-22","2022-07-23","75-84 years","All","All","0.3","37.7","Crude Rate"
"RSV-NET","2021-22","2022-07-30","75-84 years","All","All","0.4","38.1","Crude Rate"
"RSV-NET","2021-22","2022-08-06","75-84 years","All","All","0.2","38.3","Crude Rate"
"RSV-NET","2021-22","2022-08-13","75-84 years","All","All","0.3","38.6","Crude Rate"
"RSV-NET","2021-22","2022-08-20","75-84 years","All","All","0.5","39.1","Crude Rate"
"RSV-NET","2021-22","2022-08-27","75-84 years","All","All","0.4","39.5","Crude Rate"
"RSV-NET","2021-22","2022-09-03","75-84 years","All","All","0.6","40.0","Crude Rate"
"RSV-NET","2021-22","2022-09-10","75-84 years","All","All","0.3","40.4","Crude Rate"
"RSV-NET","2021-22","2022-09-17","75-84 years","All","All","0.9","41.2","Crude Rate"
"RSV-NET","2021-22","2022-09-24","75-84 years","All","All","0.8","42.0","Crude Rate"
"RSV-NET","2021-22","2022-10-01","75-84 years","All","All","1.3","43.3","Crude Rate"
"California","2021-22","2021-10-09","75-84 years","All","All","0.0","0.0","Crude Rate"
"California","2021-22","2021-10-16","75-84 years","All","All","0.0","0.0","Crude Rate"
"California","2021-22","2021-10-23","75-84 years","All","All","0.0","0.0","Crude Rate"
"California","2021-22","2021-10-30","75-84 years","All","All","1.2","1.2","Crude Rate"
"California","2021-22","2021-11-06","75-84 years","All","All","0.0","1.2","Crude Rate"
"California","2021-22","2021-11-13","75-84 years","All","All","1.8","3.0","Crude Rate"
"California","2021-22","2021-11-20","75-84 years","All","All","0.6","3.6","Crude Rate"
"California","2021-22","2021-11-27","75-84 years","All","All","1.2","4.8","Crude Rate"
"California","2021-22","2021-12-04","75-84 years","All","All","3.6","8.4","Crude Rate"
"California","2021-22","2021-12-11","75-84 years","All","All","6.0","14.4","Crude Rate"
"California","2021-22","2021-12-18","75-84 years","All","All","7.8","22.2","Crude Rate"
"California","2021-22","2021-12-25","75-84 years","All","All","4.2","26.4","Crude Rate"
"California","2021-22","2022-01-01","75-84 years","All","All","2.4","28.8","Crude Rate"
"California","2021-22","2022-01-08","75-84 years","All","All","4.8","33.6","Crude Rate"
"California","2021-22","2022-01-15","75-84 years","All","All","2.4","36.0","Crude Rate"
"California","2021-22","2022-01-22","75-84 years","All","All","1.2","37.2","Crude Rate"
"California","2021-22","2022-01-29","75-84 years","All","All","0.0","37.2","Crude Rate"
"California","2021-22","2022-02-05","75-84 years","All","All","1.2","38.4","Crude Rate"
"California","2021-22","2022-02-12","75-84 years","All","All","0.0","38.4","Crude Rate"
"California","2021-22","2022-02-19","75-84 years","All","All","0.0","38.4","Crude Rate"
"California","2021-22","2022-02-26","75-84 years","All","All","0.0","38.4","Crude Rate"
"California","2021-22","2022-03-05","75-84 years","All","All","0.0","38.4","Crude Rate"
"California","2021-22","2022-03-12","75-84 years","All","All","1.8","40.2","Crude Rate"
"California","2021-22","2022-03-19","75-84 years","All","All","0.6","40.8","Crude Rate"
"California","2021-22","2022-03-26","75-84 years","All","All","0.6","41.4","Crude Rate"
"California","2021-22","2022-04-02","75-84 years","All","All","0.0","41.4","Crude Rate"
"California","2021-22","2022-04-09","75-84 years","All","All","0.6","42.0","Crude Rate"
"California","2021-22","2022-04-16","75-84 years","All","All","0.6","42.6","Crude Rate"
"California","2021-22","2022-04-23","75-84 years","All","All","1.2","43.8","Crude Rate"
"California","2021-22","2022-04-30","75-84 years","All","All","0.6","44.4","Crude Rate"
"California","2021-22","2022-05-07","75-84 years","All","All","0.0","44.4","Crude Rate"
"California","2021-22","2022-05-14","75-84 years","All","All","0.0","44.4","Crude Rate"
"California","2021-22","2022-05-21","75-84 years","All","All","0.6","45.0","Crude Rate"
"California","2021-22","2022-05-28","75-84 years","All","All","0.6","45.6","Crude Rate"
"California","2021-22","2022-06-04","75-84 years","All","All","0.0","45.6","Crude Rate"
"California","2021-22","2022-06-11","75-84 years","All","All","0.6","46.2","Crude Rate"
"California","2021-22","2022-06-18","75-84 years","All","All","1.2","47.4","Crude Rate"
"California","2021-22","2022-06-25","75-84 years","All","All","0.0","47.4","Crude Rate"
"California","2021-22","2022-07-02","75-84 years","All","All","0.0","47.4","Crude Rate"
"California","2021-22","2022-07-09","75-84 years","All","All","0.0","47.4","Crude Rate"
"California","2021-22","2022-07-16","75-84 years","All","All","0.0","47.4","Crude Rate"
"California","2021-22","2022-07-23","75-84 years","All","All","0.0","47.4","Crude Rate"
"California","2021-22","2022-07-30","75-84 years","All","All","0.0","47.4","Crude Rate"
"California","2021-22","2022-08-06","75-84 years","All","All","0.0","47.4","Crude Rate"
"California","2021-22","2022-08-13","75-84 years","All","All","0.0","47.4","Crude Rate"
"California","2021-22","2022-08-20","75-84 years","All","All","0.0","47.4","Crude Rate"
"California","2021-22","2022-08-27","75-84 years","All","All","0.0","47.4","Crude Rate"
"California","2021-22","2022-09-03","75-84 years","All","All","0.6","48.0","Crude Rate"
"California","2021-22","2022-09-10","75-84 years","All","All","0.0","48.0","Crude Rate"
"California","2021-22","2022-09-17","75-84 years","All","All","0.0","48.0","Crude Rate"
"California","2021-22","2022-09-24","75-84 years","All","All","0.0","48.0","Crude Rate"
"California","2021-22","2022-10-01","75-84 years","All","All","0.6","48.6","Crude Rate"
"RSV-NET","2021-22","2021-10-09","1-4 years","All","All","4.9","4.9","Crude Rate"
"RSV-NET","2021-22","2021-10-16","1-4 years","All","All","6.7","11.6","Crude Rate"
"RSV-NET","2021-22","2021-10-23","1-4 years","All","All","6.5","18.1","Crude Rate"
"RSV-NET","2021-22","2021-10-30","1-4 years","All","All","7.1","25.2","Crude Rate"
"RSV-NET","2021-22","2021-11-06","1-4 years","All","All","6.1","31.3","Crude Rate"
"RSV-NET","2021-22","2021-11-13","1-4 years","All","All","5.8","37.1","Crude Rate"
"RSV-NET","2021-22","2021-11-20","1-4 years","All","All","7.0","44.1","Crude Rate"
"RSV-NET","2021-22","2021-11-27","1-4 years","All","All","6.5","50.6","Crude Rate"
"RSV-NET","2021-22","2021-12-04","1-4 years","All","All","6.1","56.7","Crude Rate"
"RSV-NET","2021-22","2021-12-11","1-4 years","All","All","7.4","64.1","Crude Rate"
"RSV-NET","2021-22","2021-12-18","1-4 years","All","All","6.8","70.9","Crude Rate"
"RSV-NET","2021-22","2021-12-25","1-4 years","All","All","4.4","75.3","Crude Rate"
"RSV-NET","2021-22","2022-01-01","1-4 years","All","All","5.8","81.1","Crude Rate"
"RSV-NET","2021-22","2022-01-08","1-4 years","All","All","3.4","84.4","Crude Rate"
"RSV-NET","2021-22","2022-01-15","1-4 years","All","All","1.8","86.2","Crude Rate"
"RSV-NET","2021-22","2022-01-22","1-4 years","All","All","1.5","87.7","Crude Rate"
"RSV-NET","2021-22","2022-01-29","1-4 years","All","All","1.0","88.8","Crude Rate"
"RSV-NET","2021-22","2022-02-05","1-4 years","All","All","1.0","89.8","Crude Rate"
"RSV-NET","2021-22","2022-02-12","1-4 years","All","All","0.3","90.1","Crude Rate"
"RSV-NET","2021-22","2022-02-19","1-4 years","All","All","0.7","90.8","Crude Rate"
"RSV-NET","2021-22","2022-02-26","1-4 years","All","All","0.8","91.6","Crude Rate"
"RSV-NET","2021-22","2022-03-05","1-4 years","All","All","0.7","92.3","Crude Rate"
"RSV-NET","2021-22","2022-03-12","1-4 years","All","All","1.0","93.3","Crude Rate"
"RSV-NET","2021-22","2022-03-19","1-4 years","All","All","1.0","94.3","Crude Rate"
"RSV-NET","2021-22","2022-03-26","1-4 years","All","All","0.7","95.0","Crude Rate"
"RSV-NET","2021-22","2022-04-02","1-4 years","All","All","0.9","95.9","Crude Rate"
"RSV-NET","2021-22","2022-04-09","1-4 years","All","All","0.7","96.6","Crude Rate"
"RSV-NET","2021-22","2022-04-16","1-4 years","All","All","1.0","97.7","Crude Rate"
"RSV-NET","2021-22","2022-04-23","1-4 years","All","All","0.7","98.4","Crude Rate"
"RSV-NET","2021-22","2022-04-30","1-4 years","All","All","1.8","100.2","Crude Rate"
"RSV-NET","2021-22","2022-05-07","1-4 years","All","All","0.8","101.0","Crude Rate"
"RSV-NET","2021-22","2022-05-14","1-4 years","All","All","1.5","102.5","Crude Rate"
"RSV-NET","2021-22","2022-05-21","1-4 years","All","All","1.3","103.9","Crude Rate"
"RSV-NET","2021-22","2022-05-28","1-4 years","All","All","1.9","105.8","Crude Rate"
"RSV-NET","2021-22","2022-06-04","1-4 years","All","All","1.9","107.7","Crude Rate"
"RSV-NET","2021-22","2022-06-11","1-4 years","All","All","2.4","110.1","Crude Rate"
"RSV-NET","2021-22","2022-06-18","1-4 years","All","All","2.9","113.0","Crude Rate"
"RSV-NET","2021-22","2022-06-25","1-4 years","All","All","2.3","115.3","Crude Rate"
"RSV-NET","2021-22","2022-07-02","1-4 years","All","All","1.5","116.8","Crude Rate"
"RSV-NET","2021-22","2022-07-09","1-4 years","All","All","2.7","119.5","Crude Rate"
