"states","year","week","label","m1","m1_flag","m2","m2_flag","m3","m3_flag","m4","m4_flag","location1","location2","sort_order","geocode"
"US RESIDENTS","2022","1","Anthrax",,"-","0","-",,"-",,"-",,"US RESIDENTS","20220100001",
"NEW ENGLAND","2022","1","Anthrax",,"-","0","-",,"-",,"-",,"NEW ENGLAND","20220100002",
"CONNECTICUT","2022","1","Anthrax",,"-","0","-",,"-",,"-","CONNECTICUT",,"20220100003","POINT (-72.738288 41.575155)"
"MAINE","2022","1","Anthrax",,"-","0","-",,"-",,"-","MAINE",,"20220100004","POINT (-69.06137 45.117911)"
"MASSACHUSETTS","2022","1","Anthrax",,"-","0","-",,"-",,"-","MASSACHUSETTS",,"20220100005","POINT (-71.481104 42.151077)"
"NEW HAMPSHIRE","2022","1","Anthrax",,"-","0","-",,"-",,"-","NEW HAMPSHIRE",,"20220100006","POINT (-71.57139 43.680429)"
"RHODE ISLAND","2022","1","Anthrax",,"-","0","-",,"-",,"-","RHODE ISLAND",,"20220100007","POINT (-71.534637 41.572574)"
"VERMONT","2022","1","Anthrax",,"-","0","-",,"-",,"-","VERMONT",,"20220100008","POINT (-72.662695 44.075252)"
"MIDDLE ATLANTIC","2022","1","Anthrax",,"-","0","-",,"-",,"-",,"MIDDLE ATLANTIC","20220100009",
"NEW JERSEY","2022","1","Anthrax",,"-","0","-",,"-",,"-","NEW JERSEY",,"20220100010","POINT (-74.655514 40.110253)"
"NEW YORK","2022","1","Anthrax",,"-","0","-",,"-",,"-","NEW YORK",,"20220100011","POINT (-75.59655 42.921241)"
"NEW YORK CITY","2022","1","Anthrax",,"-","0","-",,"-",,"-","NEW YORK CITY",,"20220100012",
"PENNSYLVANIA","2022","1","Anthrax",,"-","0","-",,"-",,"-","PENNSYLVANIA",,"20220100013","POINT (-77.838886 40.896694)"
"EAST NORTH CENTRAL","2022","1","Anthrax",,"-","0","-",,"-",,"-",,"EAST NORTH CENTRAL","20220100014",
"ILLINOIS","2022","1","Anthrax",,"-","0","-",,"-",,"-","ILLINOIS",,"20220100015","POINT (-89.148632 40.124144)"
"INDIANA","2022","1","Anthrax",,"-","0","-",,"-",,"-","INDIANA",,"20220100016","POINT (-86.2818 39.919991)"
"MICHIGAN","2022","1","Anthrax",,"-","0","-",,"-",,"-","MICHIGAN",,"20220100017","POINT (-85.730977 44.874798)"
"OHIO","2022","1","Anthrax",,"-","0","-",,"-",,"-","OHIO",,"20220100018","POINT (-82.70936 40.415534)"
"WISCONSIN","2022","1","Anthrax",,"-","0","-",,"-",,"-","WISCONSIN",,"20220100019","POINT (-89.732969 44.639954)"
"WEST NORTH CENTRAL","2022","1","Anthrax",,"-","0","-",,"-",,"-",,"WEST NORTH CENTRAL","20220100020",
"IOWA","2022","1","Anthrax",,"-","0","-",,"-",,"-","IOWA",,"20220100021","POINT (-93.500061 42.074659)"
"KANSAS","2022","1","Anthrax",,"-","0","-",,"-",,"-","KANSAS",,"20220100022","POINT (-98.38018 38.484729)"
"MINNESOTA","2022","1","Anthrax",,"-","0","-",,"-",,"-","MINNESOTA",,"20220100023","POINT (-94.198308 46.349153)"
"MISSOURI","2022","1","Anthrax",,"-","0","-",,"-",,"-","MISSOURI",,"20220100024","POINT (-92.477244 38.3675)"
"NEBRASKA","2022","1","Anthrax",,"-","0","-",,"-",,"-","NEBRASKA",,"20220100025","POINT (-99.810595 41.527099)"
"NORTH DAKOTA","2022","1","Anthrax",,"-","0","-",,"-",,"-","NORTH DAKOTA",,"20220100026","POINT (-100.46931 47.446305)"
"SOUTH DAKOTA","2022","1","Anthrax",,"-","0","-",,"-",,"-","SOUTH DAKOTA",,"20220100027","POINT (-100.230491 44.43614)"
"SOUTH ATLANTIC","2022","1","Anthrax",,"-","0","-",,"-",,"-",,"SOUTH ATLANTIC","20220100028",
"DELAWARE","2022","1","Anthrax",,"-","0","-",,"-",,"-","DELAWARE",,"20220100029","POINT (-75.452394 38.994926)"
"DISTRICT OF COLUMBIA","2022","1","Anthrax",,"-","0","-",,"-",,"-","DISTRICT OF COLUMBIA",,"20220100030","POINT (-77.016275 38.904785)"
"FLORIDA","2022","1","Anthrax",,"-","0","-",,"-",,"-","FLORIDA",,"20220100031","POINT (-82.420978 28.260731)"
"GEORGIA","2022","1","Anthrax",,"-","0","-",,"-",,"-","GEORGIA",,"20220100032","POINT (-83.426574 32.638481)"
"MARYLAND","2022","1","Anthrax",,"-","0","-",,"-",,"-","MARYLAND",,"20220100033","POINT (-76.687282 38.946466)"
"NORTH CAROLINA","2022","1","Anthrax",,"-","0","-",,"-",,"-","NORTH CAROLINA",,"20220100034","POINT (-79.130883 35.52603)"
"SOUTH CAROLINA","2022","1","Anthrax",,"-","0","-",,"-",,"-","SOUTH CAROLINA",,"20220100035","POINT (-80.864614 33.878572)"
"VIRGINIA","2022","1","Anthrax",,"-","0","-",,"-",,"-","VIRGINIA",,"20220100036","POINT (-78.666382 37.510861)"
"WEST VIRGINIA","2022","1","Anthrax",,"-","0","-",,"-",,"-","WEST VIRGINIA",,"20220100037","POINT (-80.613729 38.642579)"
"EAST SOUTH CENTRAL","2022","1","Anthrax",,"-","0","-",,"-",,"-",,"EAST SOUTH CENTRAL","20220100038",
"ALABAMA","2022","1","Anthrax",,"-","0","-",,"-",,"-","ALABAMA",,"20220100039","POINT (-86.844516 32.756889)"
"KENTUCKY","2022","1","Anthrax",,"-","0","-",,"-",,"-","KENTUCKY",,"20220100040","POINT (-85.290484 37.526683)"
"MISSISSIPPI","2022","1","Anthrax",,"-","0","-",,"-",,"-","MISSISSIPPI",,"20220100041","POINT (-89.65344 32.713378)"
"TENNESSEE","2022","1","Anthrax",,"-","0","-",,"-",,"-","TENNESSEE",,"20220100042","POINT (-86.343226 35.842998)"
"WEST SOUTH CENTRAL","2022","1","Anthrax",,"-","0","-",,"-",,"-",,"WEST SOUTH CENTRAL","20220100043",
"ARKANSAS","2022","1","Anthrax",,"-","0","-",,"-",,"-","ARKANSAS",,"20220100044","POINT (-92.439162 34.899825)"
"LOUISIANA","2022","1","Anthrax",,"-","0","-",,"-",,"-","LOUISIANA",,"20220100045","POINT (-91.840238 30.921314)"
"OKLAHOMA","2022","1","Anthrax",,"-","0","-",,"-",,"-","OKLAHOMA",,"20220100046","POINT (-97.508297 35.583449)"
"TEXAS","2022","1","Anthrax",,"-","0","-",,"-",,"-","TEXAS",,"20220100047","POINT (-99.317341 31.447238)"
"MOUNTAIN","2022","1","Anthrax",,"-","0","-",,"-",,"-",,"MOUNTAIN","20220100048",
"ARIZONA","2022","1","Anthrax",,"-","0","-",,"-",,"-","ARIZONA",,"20220100049","POINT (-111.664616 34.293239)"
"COLORADO","2022","1","Anthrax",,"-","0","-",,"-",,"-","COLORADO",,"20220100050","POINT (-105.547832 38.998552)"
