"states","year","week","label","m1","m1_flag","m2","m2_flag","m3","m3_flag","m4","m4_flag","location1","location2","sort_order","geocode"
"IDAHO","2022","1","Anthrax",,"-","0","-",,"-",,"-","IDAHO",,"20220100051","POINT (-114.659366 44.389073)"
"MONTANA","2022","1","Anthrax",,"-","0","-",,"-",,"-","MONTANA",,"20220100052","POINT (-109.645127 47.033521)"
"NEVADA","2022","1","Anthrax",,"-","0","-",,"-",,"-","NEVADA",,"20220100053","POINT (-114.916992 39.283294)"
"NEW MEXICO","2022","1","Anthrax",,"-","0","-",,"-",,"-","NEW MEXICO",,"20220100054","POINT (-106.108388 34.421369)"
"UTAH","2022","1","Anthrax",,"-","0","-",,"-",,"-","UTAH",,"20220100055","POINT (-111.678222 39.323779)"
"WYOMING","2022","1","Anthrax",,"-","0","-",,"-",,"-","WYOMING",,"20220100056","POINT (-107.55145 42.999627)"
"PACIFIC","2022","1","Anthrax",,"-","0","-",,"-",,"-",,"PACIFIC","20220100057",
"ALASKA","2022","1","Anthrax",,"-","0","-",,"-",,"-","ALASKA",,"20220100058","POINT (-151.631889 63.631126)"
"CALIFORNIA","2022","1","Anthrax",,"-","0","-",,"-",,"-","CALIFORNIA",,"20220100059","POINT (-119.662127 37.211164)"
"HAWAII","2022","1","Anthrax",,"-","0","-",,"-",,"-","HAWAII",,"20220100060","POINT (-157.854309 21.361013)"
"OREGON","2022","1","Anthrax",,"-","0","-",,"-",,"-","OREGON",,"20220100061","POINT (-120.605279 43.940449)"
"WASHINGTON","2022","1","Anthrax",,"-","0","-",,"-",,"-","WASHINGTON",,"20220100062","POINT (-120.592492 47.411715)"
"US TERRITORIES","2022","1","Anthrax",,"-","0","-",,"-",,"-",,"US TERRITORIES","20220100063",
"AMERICAN SAMOA","2022","1","Anthrax",,"-","0","-",,"-",,"-","AMERICAN SAMOA",,"20220100064",
"NORTHERN MARIANA ISLANDS","2022","1","Anthrax",,"-","0","-",,"-",,"-","NORTHERN MARIANA ISLANDS",,"20220100065","POINT (145.725693 15.1834)"
"GUAM","2022","1","Anthrax",,"-","0","-",,"-",,"-","GUAM",,"20220100066","POINT (144.653198 13.3532)"
"PUERTO RICO","2022","1","Anthrax",,"-","0","-",,"-",,"-","PUERTO RICO",,"20220100067","POINT (-66.414655 18.215692)"
"U.S. VIRGIN ISLANDS","2022","1","Anthrax",,"-","0","-",,"-",,"-","U.S. VIRGIN ISLANDS",,"20220100068",
"NON-US RESIDENTS","2022","1","Anthrax",,"-","0","-",,"-",,"-",,"NON-US RESIDENTS","20220100069",
"TOTAL","2022","1","Anthrax",,"-","0","-",,"-",,"-",,"TOTAL","20220100070",
"US RESIDENTS","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","2","-",,"-",,"-",,"US RESIDENTS","20220100071",
"NEW ENGLAND","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","1","-",,"-",,"-",,"NEW ENGLAND","20220100072",
"CONNECTICUT","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","0","-",,"-",,"-","CONNECTICUT",,"20220100073","POINT (-72.738288 41.575155)"
"MAINE","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","0","-",,"-",,"-","MAINE",,"20220100074","POINT (-69.06137 45.117911)"
"MASSACHUSETTS","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","1","-",,"-",,"-","MASSACHUSETTS",,"20220100075","POINT (-71.481104 42.151077)"
"NEW HAMPSHIRE","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","0","-",,"-",,"-","NEW HAMPSHIRE",,"20220100076","POINT (-71.57139 43.680429)"
"RHODE ISLAND","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","0","-",,"-",,"-","RHODE ISLAND",,"20220100077","POINT (-71.534637 41.572574)"
"VERMONT","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","0","-",,"-",,"-","VERMONT",,"20220100078","POINT (-72.662695 44.075252)"
"MIDDLE ATLANTIC","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","1","-",,"-",,"-",,"MIDDLE ATLANTIC","20220100079",
"NEW JERSEY","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","1","-",,"-",,"-","NEW JERSEY",,"20220100080","POINT (-74.655514 40.110253)"
"NEW YORK","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","0","-",,"-",,"-","NEW YORK",,"20220100081","POINT (-75.59655 42.921241)"
"NEW YORK CITY","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","0","-",,"-",,"-","NEW YORK CITY",,"20220100082",
"PENNSYLVANIA","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","0","-",,"-",,"-","PENNSYLVANIA",,"20220100083","POINT (-77.838886 40.896694)"
"EAST NORTH CENTRAL","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","1","-",,"-",,"-",,"EAST NORTH CENTRAL","20220100084",
"ILLINOIS","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","1","-",,"-",,"-","ILLINOIS",,"20220100085","POINT (-89.148632 40.124144)"
"INDIANA","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","1","-",,"-",,"-","INDIANA",,"20220100086","POINT (-86.2818 39.919991)"
"MICHIGAN","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","0","-",,"-",,"-","MICHIGAN",,"20220100087","POINT (-85.730977 44.874798)"
"OHIO","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","0","-",,"-",,"-","OHIO",,"20220100088","POINT (-82.70936 40.415534)"
"WISCONSIN","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","0","-",,"-",,"-","WISCONSIN",,"20220100089","POINT (-89.732969 44.639954)"
"WEST NORTH CENTRAL","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","1","-",,"-",,"-",,"WEST NORTH CENTRAL","20220100090",
"IOWA","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","0","-",,"-",,"-","IOWA",,"20220100091","POINT (-93.500061 42.074659)"
"KANSAS","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","0","-",,"-",,"-","KANSAS",,"20220100092","POINT (-98.38018 38.484729)"
"MINNESOTA","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","1","-",,"-",,"-","MINNESOTA",,"20220100093","POINT (-94.198308 46.349153)"
"MISSOURI","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","1","-",,"-",,"-","MISSOURI",,"20220100094","POINT (-92.477244 38.3675)"
"NEBRASKA","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","0","-",,"-",,"-","NEBRASKA",,"20220100095","POINT (-99.810595 41.527099)"
"NORTH DAKOTA","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","0","-",,"-",,"-","NORTH DAKOTA",,"20220100096","POINT (-100.46931 47.446305)"
"SOUTH DAKOTA","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","0","-",,"-",,"-","SOUTH DAKOTA",,"20220100097","POINT (-100.230491 44.43614)"
"SOUTH ATLANTIC","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","1","-",,"-",,"-",,"SOUTH ATLANTIC","20220100098",
"DELAWARE","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","0","-",,"-",,"-","DELAWARE",,"20220100099","POINT (-75.452394 38.994926)"
"DISTRICT OF COLUMBIA","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","0","-",,"-",,"-","DISTRICT OF COLUMBIA",,"20220100100","POINT (-77.016275 38.904785)"
"FLORIDA","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","1","-",,"-",,"-","FLORIDA",,"20220100101","POINT (-82.420978 28.260731)"
"GEORGIA","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","0","-",,"-",,"-","GEORGIA",,"20220100102","POINT (-83.426574 32.638481)"
"MARYLAND","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","0","-",,"-",,"-","MARYLAND",,"20220100103","POINT (-76.687282 38.946466)"
"NORTH CAROLINA","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","1","-",,"-",,"-","NORTH CAROLINA",,"20220100104","POINT (-79.130883 35.52603)"
"SOUTH CAROLINA","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","1","-",,"-",,"-","SOUTH CAROLINA",,"20220100105","POINT (-80.864614 33.878572)"
"VIRGINIA","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","0","-",,"-",,"-","VIRGINIA",,"20220100106","POINT (-78.666382 37.510861)"
"WEST VIRGINIA","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","0","-",,"-",,"-","WEST VIRGINIA",,"20220100107","POINT (-80.613729 38.642579)"
"EAST SOUTH CENTRAL","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","1","-",,"-",,"-",,"EAST SOUTH CENTRAL","20220100108",
"ALABAMA","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","0","-",,"-",,"-","ALABAMA",,"20220100109","POINT (-86.844516 32.756889)"
"KENTUCKY","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","1","-",,"-",,"-","KENTUCKY",,"20220100110","POINT (-85.290484 37.526683)"
"MISSISSIPPI","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","0","-",,"-",,"-","MISSISSIPPI",,"20220100111","POINT (-89.65344 32.713378)"
"TENNESSEE","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","0","-",,"-",,"-","TENNESSEE",,"20220100112","POINT (-86.343226 35.842998)"
"WEST SOUTH CENTRAL","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","1","-",,"-",,"-",,"WEST SOUTH CENTRAL","20220100113",
"ARKANSAS","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","0","-",,"-",,"-","ARKANSAS",,"20220100114","POINT (-92.439162 34.899825)"
"LOUISIANA","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","1","-",,"-",,"-","LOUISIANA",,"20220100115","POINT (-91.840238 30.921314)"
"OKLAHOMA","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","0","-",,"-",,"-","OKLAHOMA",,"20220100116","POINT (-97.508297 35.583449)"
"TEXAS","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","0","-",,"-",,"-","TEXAS",,"20220100117","POINT (-99.317341 31.447238)"
"MOUNTAIN","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","1","-",,"-",,"-",,"MOUNTAIN","20220100118",
"ARIZONA","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","0","-",,"-",,"-","ARIZONA",,"20220100119","POINT (-111.664616 34.293239)"
"COLORADO","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","1","-",,"-",,"-","COLORADO",,"20220100120","POINT (-105.547832 38.998552)"
"IDAHO","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","0","-",,"-",,"-","IDAHO",,"20220100121","POINT (-114.659366 44.389073)"
"MONTANA","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","0","-",,"-",,"-","MONTANA",,"20220100122","POINT (-109.645127 47.033521)"
"NEVADA","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","0","-",,"-",,"-","NEVADA",,"20220100123","POINT (-114.916992 39.283294)"
"NEW MEXICO","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","1","-",,"-",,"-","NEW MEXICO",,"20220100124","POINT (-106.108388 34.421369)"
"UTAH","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","0","-",,"-",,"-","UTAH",,"20220100125","POINT (-111.678222 39.323779)"
"WYOMING","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","0","-",,"-",,"-","WYOMING",,"20220100126","POINT (-107.55145 42.999627)"
"PACIFIC","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","1","-",,"-",,"-",,"PACIFIC","20220100127",
"ALASKA","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","0","-",,"-",,"-","ALASKA",,"20220100128","POINT (-151.631889 63.631126)"
"CALIFORNIA","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","1","-",,"-",,"-","CALIFORNIA",,"20220100129","POINT (-119.662127 37.211164)"
"HAWAII","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","0","-",,"-",,"-","HAWAII",,"20220100130","POINT (-157.854309 21.361013)"
"OREGON","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","1","-",,"-",,"-","OREGON",,"20220100131","POINT (-120.605279 43.940449)"
"WASHINGTON","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","1","-",,"-",,"-","WASHINGTON",,"20220100132","POINT (-120.592492 47.411715)"
"US TERRITORIES","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","0","-",,"-",,"-",,"US TERRITORIES","20220100133",
"AMERICAN SAMOA","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","0","-",,"-",,"-","AMERICAN SAMOA",,"20220100134",
"NORTHERN MARIANA ISLANDS","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","0","-",,"-",,"-","NORTHERN MARIANA ISLANDS",,"20220100135","POINT (145.725693 15.1834)"
"GUAM","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","0","-",,"-",,"-","GUAM",,"20220100136","POINT (144.653198 13.3532)"
"PUERTO RICO","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","0","-",,"-",,"-","PUERTO RICO",,"20220100137","POINT (-66.414655 18.215692)"
"U.S. VIRGIN ISLANDS","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","0","-",,"-",,"-","U.S. VIRGIN ISLANDS",,"20220100138",
"NON-US RESIDENTS","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","0","-",,"-",,"-",,"NON-US RESIDENTS","20220100139",
"TOTAL","2022","1","Arboviral diseases, Chikungunya virus disease",,"-","2","-",,"-",,"-",,"TOTAL","20220100140",
"US RESIDENTS","2022","1","Arboviral diseases, Eastern equine encephalitis virus disease",,"-","1","-",,"-",,"-",,"US RESIDENTS","20220100141",
"NEW ENGLAND","2022","1","Arboviral diseases, Eastern equine encephalitis virus disease",,"-","0","-",,"-",,"-",,"NEW ENGLAND","20220100142",
"CONNECTICUT","2022","1","Arboviral diseases, Eastern equine encephalitis virus disease",,"-","0","-",,"-",,"-","CONNECTICUT",,"20220100143","POINT (-72.738288 41.575155)"
"MAINE","2022","1","Arboviral diseases, Eastern equine encephalitis virus disease",,"-","0","-",,"-",,"-","MAINE",,"20220100144","POINT (-69.06137 45.117911)"
"MASSACHUSETTS","2022","1","Arboviral diseases, Eastern equine encephalitis virus disease",,"-","0","-",,"-",,"-","MASSACHUSETTS",,"20220100145","POINT (-71.481104 42.151077)"
"NEW HAMPSHIRE","2022","1","Arboviral diseases, Eastern equine encephalitis virus disease",,"-","0","-",,"-",,"-","NEW HAMPSHIRE",,"20220100146","POINT (-71.57139 43.680429)"
"RHODE ISLAND","2022","1","Arboviral diseases, Eastern equine encephalitis virus disease",,"-","0","-",,"-",,"-","RHODE ISLAND",,"20220100147","POINT (-71.534637 41.572574)"
"VERMONT","2022","1","Arboviral diseases, Eastern equine encephalitis virus disease",,"-","0","-",,"-",,"-","VERMONT",,"20220100148","POINT (-72.662695 44.075252)"
"MIDDLE ATLANTIC","2022","1","Arboviral diseases, Eastern equine encephalitis virus disease",,"-","0","-",,"-",,"-",,"MIDDLE ATLANTIC","20220100149",
"NEW JERSEY","2022","1","Arboviral diseases, Eastern equine encephalitis virus disease",,"-","0","-",,"-",,"-","NEW JERSEY",,"20220100150","POINT (-74.655514 40.110253)"
"NEW YORK","2022","1","Arboviral diseases, Eastern equine encephalitis virus disease",,"-","0","-",,"-",,"-","NEW YORK",,"20220100151","POINT (-75.59655 42.921241)"
"NEW YORK CITY","2022","1","Arboviral diseases, Eastern equine encephalitis virus disease",,"-","0","-",,"-",,"-","NEW YORK CITY",,"20220100152",
"PENNSYLVANIA","2022","1","Arboviral diseases, Eastern equine encephalitis virus disease",,"-","0","-",,"-",,"-","PENNSYLVANIA",,"20220100153","POINT (-77.838886 40.896694)"
"EAST NORTH CENTRAL","2022","1","Arboviral diseases, Eastern equine encephalitis virus disease",,"-","1","-",,"-",,"-",,"EAST NORTH CENTRAL","20220100154",
"ILLINOIS","2022","1","Arboviral diseases, Eastern equine encephalitis virus disease",,"-","0","-",,"-",,"-","ILLINOIS",,"20220100155","POINT (-89.148632 40.124144)"
"INDIANA","2022","1","Arboviral diseases, Eastern equine encephalitis virus disease",,"-","0","-",,"-",,"-","INDIANA",,"20220100156","POINT (-86.2818 39.919991)"
"MICHIGAN","2022","1","Arboviral diseases, Eastern equine encephalitis virus disease",,"-","1","-",,"-",,"-","MICHIGAN",,"20220100157","POINT (-85.730977 44.874798)"
"OHIO","2022","1","Arboviral diseases, Eastern equine encephalitis virus disease",,"-","0","-",,"-",,"-","OHIO",,"20220100158","POINT (-82.70936 40.415534)"
"WISCONSIN","2022","1","Arboviral diseases, Eastern equine encephalitis virus disease",,"-","0","-",,"-",,"-","WISCONSIN",,"20220100159","POINT (-89.732969 44.639954)"
"WEST NORTH CENTRAL","2022","1","Arboviral diseases, Eastern equine encephalitis virus disease",,"-","0","-",,"-",,"-",,"WEST NORTH CENTRAL","20220100160",
"IOWA","2022","1","Arboviral diseases, Eastern equine encephalitis virus disease",,"-","0","-",,"-",,"-","IOWA",,"20220100161","POINT (-93.500061 42.074659)"
"KANSAS","2022","1","Arboviral diseases, Eastern equine encephalitis virus disease",,"-","0","-",,"-",,"-","KANSAS",,"20220100162","POINT (-98.38018 38.484729)"
"MINNESOTA","2022","1","Arboviral diseases, Eastern equine encephalitis virus disease",,"-","0","-",,"-",,"-","MINNESOTA",,"20220100163","POINT (-94.198308 46.349153)"
"MISSOURI","2022","1","Arboviral diseases, Eastern equine encephalitis virus disease",,"-","0","-",,"-",,"-","MISSOURI",,"20220100164","POINT (-92.477244 38.3675)"
"NEBRASKA","2022","1","Arboviral diseases, Eastern equine encephalitis virus disease",,"-","0","-",,"-",,"-","NEBRASKA",,"20220100165","POINT (-99.810595 41.527099)"
"NORTH DAKOTA","2022","1","Arboviral diseases, Eastern equine encephalitis virus disease",,"-","0","-",,"-",,"-","NORTH DAKOTA",,"20220100166","POINT (-100.46931 47.446305)"
"SOUTH DAKOTA","2022","1","Arboviral diseases, Eastern equine encephalitis virus disease",,"-","0","-",,"-",,"-","SOUTH DAKOTA",,"20220100167","POINT (-100.230491 44.43614)"
"SOUTH ATLANTIC","2022","1","Arboviral diseases, Eastern equine encephalitis virus disease",,"-","1","-",,"-",,"-",,"SOUTH ATLANTIC","20220100168",
"DELAWARE","2022","1","Arboviral diseases, Eastern equine encephalitis virus disease",,"-","0","-",,"-",,"-","DELAWARE",,"20220100169","POINT (-75.452394 38.994926)"
"DISTRICT OF COLUMBIA","2022","1","Arboviral diseases, Eastern equine encephalitis virus disease",,"-","0","-",,"-",,"-","DISTRICT OF COLUMBIA",,"20220100170","POINT (-77.016275 38.904785)"
"FLORIDA","2022","1","Arboviral diseases, Eastern equine encephalitis virus disease",,"-","0","-",,"-",,"-","FLORIDA",,"20220100171","POINT (-82.420978 28.260731)"
"GEORGIA","2022","1","Arboviral diseases, Eastern equine encephalitis virus disease",,"-","1","-",,"-",,"-","GEORGIA",,"20220100172","POINT (-83.426574 32.638481)"
"MARYLAND","2022","1","Arboviral diseases, Eastern equine encephalitis virus disease",,"-","0","-",,"-",,"-","MARYLAND",,"20220100173","POINT (-76.687282 38.946466)"
"NORTH CAROLINA","2022","1","Arboviral diseases, Eastern equine encephalitis virus disease",,"-","1","-",,"-",,"-","NORTH CAROLINA",,"20220100174","POINT (-79.130883 35.52603)"
"SOUTH CAROLINA","2022","1","Arboviral diseases, Eastern equine encephalitis virus disease",,"-","0","-",,"-",,"-","SOUTH CAROLINA",,"20220100175","POINT (-80.864614 33.878572)"
"VIRGINIA","2022","1","Arboviral diseases, Eastern equine encephalitis virus disease",,"-","0","-",,"-",,"-","VIRGINIA",,"20220100176","POINT (-78.666382 37.510861)"
"WEST VIRGINIA","2022","1","Arboviral diseases, Eastern equine encephalitis virus disease",,"-","0","-",,"-",,"-","WEST VIRGINIA",,"20220100177","POINT (-80.613729 38.642579)"
"EAST SOUTH CENTRAL","2022","1","Arboviral diseases, Eastern equine encephalitis virus disease",,"-","0","-",,"-",,"-",,"EAST SOUTH CENTRAL","20220100178",
"ALABAMA","2022","1","Arboviral diseases, Eastern equine encephalitis virus disease",,"-","0","-",,"-",,"-","ALABAMA",,"20220100179","POINT (-86.844516 32.756889)"
"KENTUCKY","2022","1","Arboviral diseases, Eastern equine encephalitis virus disease",,"-","0","-",,"-",,"-","KENTUCKY",,"20220100180","POINT (-85.290484 37.526683)"
"MISSISSIPPI","2022","1","Arboviral diseases, Eastern equine encephalitis virus disease",,"-","0","-",,"-",,"-","MISSISSIPPI",,"20220100181","POINT (-89.65344 32.713378)"
