"mmwr_week_end","pathogen","pct_positive","footnote","age_group","mmwr_week"
"2026-05-09T00:00:00.000","PIV","8.62",,"All","18"
"2026-05-09T00:00:00.000","PIV","5.59",,"5-17 years","18"
"2026-05-09T00:00:00.000","PIV","9.29",,"12-59 months","18"
"2026-05-09T00:00:00.000","PIV","13.85",,"0-11 months","18"
"2026-05-09T00:00:00.000","PIV","12.9",,"--- 6-11 months","18"
"2026-05-09T00:00:00.000","PIV","18.75",,"--- 3-5 months","18"
"2026-05-09T00:00:00.000","PIV","10.84",,"--- 24-59 months","18"
"2026-05-09T00:00:00.000","PIV","7.02",,"--- 12-23 months","18"
"2026-05-09T00:00:00.000","PIV","2.5",,"--- 12-17 years","18"
"2026-05-09T00:00:00.000","PIV","11.11",,"--- 0-2 months","18"
"2026-05-09T00:00:00.000","Influenza","0",,"0-11 months","18"
"2026-05-09T00:00:00.000","Influenza","3.16",,"All","18"
"2026-05-09T00:00:00.000","Influenza","0",,"--- 0-2 months","18"
"2026-05-09T00:00:00.000","Influenza","0",,"--- 3-5 months","18"
"2026-05-09T00:00:00.000","Influenza","1.43",,"12-59 months","18"
"2026-05-09T00:00:00.000","Influenza","2.41",,"--- 24-59 months","18"
"2026-05-09T00:00:00.000","Influenza","0",,"--- 6-11 months","18"
"2026-05-09T00:00:00.000","Influenza","0",,"--- 12-23 months","18"
"2026-05-09T00:00:00.000","Influenza","6.8",,"--- 5-11 years","18"
"2026-05-09T00:00:00.000","Influenza","6.29",,"5-17 years","18"
"2026-05-09T00:00:00.000","Influenza","5",,"--- 12-17 years","18"
"2026-05-09T00:00:00.000","HMPV","3.08",,"0-11 months","18"
"2026-05-09T00:00:00.000","HMPV","9.51",,"All","18"
"2026-05-09T00:00:00.000","HMPV","12.5",,"--- 12-23 months","18"
"2026-05-09T00:00:00.000","HMPV","17.99",,"12-59 months","18"
"2026-05-09T00:00:00.000","HMPV","0",,"--- 0-2 months","18"
"2026-05-09T00:00:00.000","HMPV","6.45",,"--- 6-11 months","18"
"2026-05-09T00:00:00.000","HMPV","5",,"--- 12-17 years","18"
"2026-05-09T00:00:00.000","HMPV","21.69",,"--- 24-59 months","18"
"2026-05-09T00:00:00.000","HMPV","0",,"--- 3-5 months","18"
"2026-05-09T00:00:00.000","HMPV","4.2",,"5-17 years","18"
"2026-05-09T00:00:00.000","HMPV","3.88",,"--- 5-11 years","18"
"2026-05-09T00:00:00.000","HCOV","2.14",,"12-59 months","18"
"2026-05-09T00:00:00.000","HCOV","3.08",,"0-11 months","18"
"2026-05-09T00:00:00.000","HCOV","0.97",,"--- 5-11 years","18"
"2026-05-09T00:00:00.000","HCOV","1.72",,"All","18"
"2026-05-09T00:00:00.000","HCOV","0.7",,"5-17 years","18"
"2026-05-09T00:00:00.000","HCOV","0",,"--- 6-11 months","18"
"2026-05-09T00:00:00.000","HCOV","6.25",,"--- 3-5 months","18"
"2026-05-09T00:00:00.000","HCOV","0",,"--- 12-23 months","18"
"2026-05-09T00:00:00.000","HCOV","3.61",,"--- 24-59 months","18"
"2026-05-09T00:00:00.000","HCOV","5.56",,"--- 0-2 months","18"
"2026-05-09T00:00:00.000","HCOV","0",,"--- 12-17 years","18"
"2026-05-09T00:00:00.000","EV-D68","0",,"--- 24-59 months","18"
"2026-05-09T00:00:00.000","EV-D68","0",,"12-59 months","18"
"2026-05-09T00:00:00.000","EV-D68","0",,"--- 12-23 months","18"
"2026-05-09T00:00:00.000","EV-D68","0","Calculation is based on fewer than 10 patients in the denominator","--- 3-5 months","18"
"2026-05-09T00:00:00.000","EV-D68","0","Calculation is based on fewer than 10 patients in the denominator","--- 0-2 months","18"
"2026-05-09T00:00:00.000","EV-D68","0",,"--- 6-11 months","18"
"2026-05-09T00:00:00.000","EV-D68","0",,"5-17 years","18"
"2026-05-09T00:00:00.000","EV-D68","0",,"All","18"
"2026-05-09T00:00:00.000","EV-D68","0",,"--- 12-17 years","18"
"2026-05-09T00:00:00.000","EV-D68","0",,"0-11 months","18"
"2026-05-09T00:00:00.000","EV-D68","0",,"--- 5-11 years","18"
"2026-05-09T00:00:00.000","Adenovirus","2.1",,"5-17 years","18"
"2026-05-09T00:00:00.000","Adenovirus","2.91",,"--- 5-11 years","18"
"2026-05-09T00:00:00.000","Adenovirus","5.71",,"12-59 months","18"
"2026-05-09T00:00:00.000","Adenovirus","19.35",,"--- 6-11 months","18"
"2026-05-09T00:00:00.000","Adenovirus","12.5",,"--- 3-5 months","18"
"2026-05-09T00:00:00.000","Adenovirus","3.61",,"--- 24-59 months","18"
"2026-05-09T00:00:00.000","Adenovirus","8.77",,"--- 12-23 months","18"
"2026-05-09T00:00:00.000","Adenovirus","5.75",,"All","18"
"2026-05-09T00:00:00.000","Adenovirus","0",,"--- 12-17 years","18"
"2026-05-09T00:00:00.000","Adenovirus","5.56",,"--- 0-2 months","18"
"2026-05-09T00:00:00.000","Adenovirus","13.85",,"0-11 months","18"
"2026-05-02T00:00:00.000","SARS-CoV-2","0",,"--- 6-11 months","17"
"2026-05-02T00:00:00.000","SARS-CoV-2","0",,"--- 24-59 months","17"
"2026-05-02T00:00:00.000","SARS-CoV-2","1.59",,"0-11 months","17"
"2026-05-02T00:00:00.000","SARS-CoV-2","0",,"--- 12-17 years","17"
"2026-05-02T00:00:00.000","SARS-CoV-2","0",,"12-59 months","17"
"2026-05-02T00:00:00.000","SARS-CoV-2","1.26",,"All","17"
"2026-05-02T00:00:00.000","SARS-CoV-2","0",,"--- 12-23 months","17"
"2026-05-02T00:00:00.000","SARS-CoV-2","0",,"--- 0-2 months","17"
"2026-05-02T00:00:00.000","SARS-CoV-2","12.5","Calculation is based on fewer than 10 patients in the denominator","--- 3-5 months","17"
"2026-05-02T00:00:00.000","SARS-CoV-2","3.12",,"--- 5-11 years","17"
"2026-05-02T00:00:00.000","SARS-CoV-2","2.26",,"5-17 years","17"
"2026-05-02T00:00:00.000","RV/EV","50.53",,"--- 5-11 years","17"
"2026-05-02T00:00:00.000","RV/EV","47.3",,"All","17"
"2026-05-02T00:00:00.000","RV/EV","11.11",,"--- 0-2 months","17"
"2026-05-02T00:00:00.000","RV/EV","43.24",,"--- 12-17 years","17"
"2026-05-02T00:00:00.000","RV/EV","48.48",,"5-17 years","17"
"2026-05-02T00:00:00.000","RV/EV","37.84",,"--- 6-11 months","17"
"2026-05-02T00:00:00.000","RV/EV","57.41",,"--- 12-23 months","17"
"2026-05-02T00:00:00.000","RV/EV","53.33",,"12-59 months","17"
"2026-05-02T00:00:00.000","RV/EV","50",,"--- 24-59 months","17"
"2026-05-02T00:00:00.000","RV/EV","62.5","Calculation is based on fewer than 10 patients in the denominator","--- 3-5 months","17"
"2026-05-02T00:00:00.000","RV/EV","33.33",,"0-11 months","17"
"2026-05-02T00:00:00.000","RSV","5.41",,"--- 6-11 months","17"
"2026-05-02T00:00:00.000","RSV","14.29",,"0-11 months","17"
"2026-05-02T00:00:00.000","RSV","1.5",,"5-17 years","17"
"2026-05-02T00:00:00.000","RSV","0","Calculation is based on fewer than 10 patients in the denominator","--- 3-5 months","17"
"2026-05-02T00:00:00.000","RSV","38.89",,"--- 0-2 months","17"
"2026-05-02T00:00:00.000","RSV","0",,"--- 12-17 years","17"
"2026-05-02T00:00:00.000","RSV","2.08",,"--- 5-11 years","17"
"2026-05-02T00:00:00.000","RSV","1.52",,"--- 24-59 months","17"
"2026-05-02T00:00:00.000","RSV","7.27",,"--- 12-23 months","17"
"2026-05-02T00:00:00.000","RSV","5.05",,"All","17"
"2026-05-02T00:00:00.000","RSV","4.13",,"12-59 months","17"
"2026-05-02T00:00:00.000","PIV","8.26",,"12-59 months","17"
"2026-05-02T00:00:00.000","PIV","5.56",,"--- 0-2 months","17"
"2026-05-02T00:00:00.000","PIV","7.57",,"All","17"
"2026-05-02T00:00:00.000","PIV","4.51",,"5-17 years","17"
"2026-05-02T00:00:00.000","PIV","12.7",,"0-11 months","17"
"2026-05-02T00:00:00.000","PIV","16.22",,"--- 6-11 months","17"
"2026-05-02T00:00:00.000","PIV","6.25",,"--- 5-11 years","17"
"2026-05-02T00:00:00.000","PIV","12.5","Calculation is based on fewer than 10 patients in the denominator","--- 3-5 months","17"
"2026-05-02T00:00:00.000","PIV","4.55",,"--- 24-59 months","17"
"2026-05-02T00:00:00.000","PIV","12.73",,"--- 12-23 months","17"
"2026-05-02T00:00:00.000","PIV","0",,"--- 12-17 years","17"
"2026-05-02T00:00:00.000","Influenza","0",,"--- 24-59 months","17"
"2026-05-02T00:00:00.000","Influenza","0.83",,"12-59 months","17"
"2026-05-02T00:00:00.000","Influenza","0","Calculation is based on fewer than 10 patients in the denominator","--- 3-5 months","17"
"2026-05-02T00:00:00.000","Influenza","2.7",,"--- 6-11 months","17"
"2026-05-02T00:00:00.000","Influenza","1.59",,"0-11 months","17"
"2026-05-02T00:00:00.000","Influenza","0",,"--- 12-17 years","17"
"2026-05-02T00:00:00.000","Influenza","4.17",,"--- 5-11 years","17"
"2026-05-02T00:00:00.000","Influenza","1.89",,"All","17"
"2026-05-02T00:00:00.000","Influenza","3.01",,"5-17 years","17"
"2026-05-02T00:00:00.000","Influenza","1.82",,"--- 12-23 months","17"
"2026-05-02T00:00:00.000","Influenza","0",,"--- 0-2 months","17"
"2026-05-02T00:00:00.000","HMPV","6.31",,"All","17"
"2026-05-02T00:00:00.000","HMPV","4.76",,"0-11 months","17"
"2026-05-02T00:00:00.000","HMPV","3.12",,"--- 5-11 years","17"
"2026-05-02T00:00:00.000","HMPV","12.5","Calculation is based on fewer than 10 patients in the denominator","--- 3-5 months","17"
"2026-05-02T00:00:00.000","HMPV","11.57",,"12-59 months","17"
"2026-05-02T00:00:00.000","HMPV","5.56",,"--- 0-2 months","17"
"2026-05-02T00:00:00.000","HMPV","15.15",,"--- 24-59 months","17"
"2026-05-02T00:00:00.000","HMPV","2.26",,"5-17 years","17"
"2026-05-02T00:00:00.000","HMPV","7.27",,"--- 12-23 months","17"
"2026-05-02T00:00:00.000","HMPV","0",,"--- 12-17 years","17"
"2026-05-02T00:00:00.000","HMPV","2.7",,"--- 6-11 months","17"
"2026-05-02T00:00:00.000","HCOV","1.52",,"--- 24-59 months","17"
"2026-05-02T00:00:00.000","HCOV","0",,"--- 12-17 years","17"
"2026-05-02T00:00:00.000","HCOV","3.64",,"--- 12-23 months","17"
"2026-05-02T00:00:00.000","HCOV","3.15",,"All","17"
"2026-05-02T00:00:00.000","HCOV","5.41",,"--- 6-11 months","17"
"2026-05-02T00:00:00.000","HCOV","4.17",,"--- 5-11 years","17"
"2026-05-02T00:00:00.000","HCOV","2.48",,"12-59 months","17"
"2026-05-02T00:00:00.000","HCOV","0","Calculation is based on fewer than 10 patients in the denominator","--- 3-5 months","17"
"2026-05-02T00:00:00.000","HCOV","3.01",,"5-17 years","17"
"2026-05-02T00:00:00.000","HCOV","4.76",,"0-11 months","17"
"2026-05-02T00:00:00.000","HCOV","5.56",,"--- 0-2 months","17"
"2026-05-02T00:00:00.000","EV-D68","0",,"12-59 months","17"
"2026-05-02T00:00:00.000","EV-D68","2.7",,"0-11 months","17"
