"yearstart","yearend","locationabbr","locationdesc","datasource","topic","question","response","datavalueunit","datavaluetype","datavalue","datavaluealt","datavaluefootnotesymbol","datavaluefootnote","lowconfidencelimit","highconfidencelimit","stratificationcategory1","stratification1","stratificationcategory2","stratification2","stratificationcategory3","stratification3","geolocation","locationid","topicid","questionid","responseid","datavaluetypeid","stratificationcategoryid1","stratificationid1","stratificationcategoryid2","stratificationid2","stratificationcategoryid3","stratificationid3"
"2020","2020","AR","Arkansas","NVSS","Asthma","Asthma mortality among all people, underlying cause",,"Number","Number","20.0","20.0",,,,,"Sex","Female",,,,,"POINT (-92.27449074 34.74865012400045)","05","AST","AST01",,"NMBR","SEX","SEXF",,,,
"2019","2019","IA","Iowa","NVSS","Asthma","Asthma mortality among all people, underlying cause",,"Number","Number","32.0","32.0",,,,,"Sex","Female",,,,,"POINT (-93.81649056 42.46940091300047)","19","AST","AST01",,"NMBR","SEX","SEXF",,,,
"2021","2021","CO","Colorado","BRFSS","Asthma","Current asthma among adults",,"%","Crude Prevalence","8.1","8.1",,,"7.2","9.0","Sex","Male",,,,,"POINT (-106.1336109 38.843840757000464)","08","AST","AST02",,"CRDPREV","SEX","SEXM",,,,
"2023","2023","KY","Kentucky","BRFSS","Asthma","Current asthma among adults",,"%","Crude Prevalence",,,"*","No data available",,,"Age","Age >=65",,,,,"POINT (-84.77497105 37.645970271000465)","21","AST","AST02",,"CRDPREV","AGE","AGE65P",,,,
"2023","2023","MD","Maryland","BRFSS","Asthma","Current asthma among adults",,"%","Crude Prevalence","10.1","10.1",,,"8.8","11.6","Age","Age >=65",,,,,"POINT (-76.60926011 39.29058096400047)","24","AST","AST02",,"CRDPREV","AGE","AGE65P",,,,
"2015","2019","VA","Virginia","US Cancer DVT","Cancer","Invasive cancer (all sites combined), incidence",,"Number","Number","21053.0","21053.0",,,,,"Sex","Male",,,,,"POINT (-78.45789046 37.54268067400045)","51","CAN","CAN07",,"NMBR","SEX","SEXM",,,,
"2017","2021","CO","Colorado","US Cancer DVT","Cancer","Invasive cancer (all sites combined) mortality among all people, underlying cause",,"Number","Number","3793.0","3793.0",,,,,"Sex","Female",,,,,"POINT (-106.1336109 38.843840757000464)","08","CAN","CAN08",,"NMBR","SEX","SEXF",,,,
"2016","2020","NV","Nevada","US Cancer DVT","Cancer","Invasive cancer (all sites combined) mortality among all people, underlying cause",,"Number","Number","2466.0","2466.0",,,,,"Sex","Female",,,,,"POINT (-117.0718406 39.493240390000494)","32","CAN","CAN08",,"NMBR","SEX","SEXF",,,,
"2017","2021","WI","Wisconsin","US Cancer DVT","Cancer","Invasive cancer (all sites combined) mortality among all people, underlying cause",,"Number","Number","11454.0","11454.0",,,,,"Overall","Overall",,,,,"POINT (-89.81637074 44.39319117400049)","55","CAN","CAN08",,"NMBR","OVERALL","OVR",,,,
"2020","2020","US","United States","BRFSS","Cancer","Mammography use among women aged 50-74 years",,"%","Crude Prevalence","73.9","73.9",,,"72.1","75.6","Race/Ethnicity","White, non-Hispanic",,,,,,"59","CAN","CAN09",,"CRDPREV","RACE","WHT",,,,
"2023","2023","NY","New York","BRFSS","Cardiovascular Disease","High blood pressure among adults",,"%","Crude Prevalence","33.6","33.6",,,"32.1","35.2","Sex","Male",,,,,"POINT (-75.54397043 42.82700103200045)","36","CVD","CVD01",,"CRDPREV","SEX","SEXM",,,,
"2021","2021","OK","Oklahoma","BRFSS","Cardiovascular Disease","High blood pressure among adults",,"%","Crude Prevalence","38.9","38.9",,,"37.3","40.5","Overall","Overall",,,,,"POINT (-97.52107021 35.47203135600046)","40","CVD","CVD01",,"CRDPREV","OVERALL","OVR",,,,
"2021","2021","VA","Virginia","BRFSS","Cardiovascular Disease","High blood pressure among adults",,"%","Crude Prevalence","32.0","32.0",,,"30.3","33.7","Sex","Female",,,,,"POINT (-78.45789046 37.54268067400045)","51","CVD","CVD01",,"CRDPREV","SEX","SEXF",,,,
"2021","2021","AZ","Arizona","NVSS","Cardiovascular Disease","Coronary heart disease mortality among all people, underlying cause",,"Number","Number","8500.0","8500.0",,,,,"Overall","Overall",,,,,"POINT (-111.7638113 34.865970280000454)","04","CVD","CVD08",,"NMBR","OVERALL","OVR",,,,
"2020","2020","ME","Maine","NVSS","Cardiovascular Disease","Coronary heart disease mortality among all people, underlying cause",,"Number","Number","216.0","216.0",,,,,"Age","Age 45-64",,,,,"POINT (-68.98503134 45.254228894000505)","23","CVD","CVD08",,"NMBR","AGE","AGE4564",,,,
"2019","2019","NV","Nevada","NVSS","Cardiovascular Disease","Coronary heart disease mortality among all people, underlying cause",,"Number","Number","1336.0","1336.0",,,,,"Sex","Female",,,,,"POINT (-117.0718406 39.493240390000494)","32","CVD","CVD08",,"NMBR","SEX","SEXF",,,,
"2022","2022","OR","Oregon","NVSS","Cardiovascular Disease","Coronary heart disease mortality among all people, underlying cause",,"Number","Number","2395.0","2395.0",,,,,"Sex","Male",,,,,"POINT (-120.1550313 44.56744942400047)","41","CVD","CVD08",,"NMBR","SEX","SEXM",,,,
"2023","2023","US","United States","BRFSS","Diabetes","Diabetes among adults",,"%","Crude Prevalence","23.5","23.5",,,"23.0","24.0","Age","Age >=65",,,,,,"59","DIA","DIA01",,"CRDPREV","AGE","AGE65P",,,,
"2021","2021","FL","Florida","BRFSS","Disability","Adults with any disability",,"%","Crude Prevalence",,,"*","No data available",,,"Sex","Male",,,,,"POINT (-81.92896054 28.932040377000476)","12","DIS","DIS01",,"CRDPREV","SEX","SEXM",,,,
"2021","2021","ID","Idaho","BRFSS","Disability","Adults with any disability",,"%","Crude Prevalence","28.9","28.9",,,"27.0","30.8","Sex","Male",,,,,"POINT (-114.36373 43.682630005000476)","16","DIS","DIS01",,"CRDPREV","SEX","SEXM",,,,
"2023","2023","KY","Kentucky","BRFSS","Disability","Adults with any disability",,"%","Crude Prevalence",,,"*","No data available",,,"Sex","Male",,,,,"POINT (-84.77497105 37.645970271000465)","21","DIS","DIS01",,"CRDPREV","SEX","SEXM",,,,
"2020","2020","ME","Maine","BRFSS","Disability","Adults with any disability",,"%","Crude Prevalence","28.2","28.2",,,"26.3","30.3","Sex","Male",,,,,"POINT (-68.98503134 45.254228894000505)","23","DIS","DIS01",,"CRDPREV","SEX","SEXM",,,,
"2022","2022","OH","Ohio","BRFSS","Disability","Adults with any disability",,"%","Crude Prevalence","30.3","30.3",,,"28.7","32.0","Sex","Male",,,,,"POINT (-82.40426006 40.06021014100048)","39","DIS","DIS01",,"CRDPREV","SEX","SEXM",,,,
"2023","2023","GU","Guam","BRFSS","Disability","Adults with any disability",,"%","Crude Prevalence","55.0","55.0",,,"47.0","62.9","Age","Age >=65",,,,,"POINT (144.793731 13.444304)","66","DIS","DIS01",,"CRDPREV","AGE","AGE65P",,,,
"2021","2021","US","United States","BRFSS","Health Status","Frequent physical distress among adults",,"%","Crude Prevalence","11.0","11.0",,,"10.4","11.6","Race/Ethnicity","Hispanic",,,,,,"59","HEA","HEA03",,"CRDPREV","RACE","HIS",,,,
"2020","2020","US","United States","NVSS","Health Status","Life expectancy at birth",,"Years","Number","79.9","79.9",,,,,"Sex","Female",,,,,,"59","HEA","HEA06",,"NMBR","SEX","SEXF",,,,
"2022","2022","GU","Guam","BRFSS","Immunization","Influenza vaccination among adults",,"%","Crude Prevalence","43.1","43.1",,,"37.4","49.1","Sex","Male",,,,,"POINT (144.793731 13.444304)","66","IMM","IMM01",,"CRDPREV","SEX","SEXM",,,,
"2020","2020","AK","Alaska","BRFSS","Mental Health","Depression among adults",,"%","Crude Prevalence","23.0","23.0",,,"20.0","26.3","Sex","Female",,,,,"POINT (-147.722059 64.84507995700051)","02","MEN","MEN02",,"CRDPREV","SEX","SEXF",,,,
"2023","2023","US","United States","BRFSS","Mental Health","Depression among adults",,"%","Crude Prevalence","16.3","16.3",,,"15.6","17.0","Race/Ethnicity","Hispanic",,,,,,"59","MEN","MEN02",,"CRDPREV","RACE","HIS",,,,
"2023","2023","US","United States","BRFSS","Mental Health","Depression among adults",,"%","Crude Prevalence","25.4","25.4",,,"25.0","25.8","Sex","Female",,,,,,"59","MEN","MEN02",,"CRDPREV","SEX","SEXF",,,,
"2022","2022","UT","Utah","BRFSS","Oral Health","Visited dentist or dental clinic in the past year among adults",,"%","Crude Prevalence","68.8","68.8",,,"67.1","70.5","Sex","Male",,,,,"POINT (-111.5871306 39.360700171000474)","49","ORH","ORH06",,"CRDPREV","SEX","SEXM",,,,
"2021","2021","TX","Texas","ACS","Non-Medical Factors","High school completion among adults aged 18-24",,"%","Crude Prevalence","84.1","84.1",,,"83.4","84.9","Sex","Male",,,,,"POINT (-99.42677021 31.827240407000488)","48","NMED","NMED02",,"CRDPREV","SEX","SEXM",,,,
"2019","2019","VA","Virginia","ACS","Non-Medical Factors","High school completion among adults aged 18-24",,"%","Crude Prevalence","90.0","90.0",,,"89.1","90.9","Overall","Overall",,,,,"POINT (-78.45789046 37.54268067400045)","51","NMED","NMED02",,"CRDPREV","OVERALL","OVR",,,,
"2022","2022","ME","Maine","BRFSS","Non-Medical Factors","Lack of social and emotional support needed among adults",,"%","Crude Prevalence","9.0","9.0",,,"7.8","10.4","Sex","Male",,,,,"POINT (-68.98503134 45.254228894000505)","23","NMED","NMED07",,"CRDPREV","SEX","SEXM",,,,
"2022","2022","UT","Utah","BRFSS","Non-Medical Factors","Routine checkup within the past year among adults",,"%","Crude Prevalence","65.0","65.0",,,"63.2","66.8","Sex","Male",,,,,"POINT (-111.5871306 39.360700171000474)","49","NMED","NMED12",,"CRDPREV","SEX","SEXM",,,,
"2020","2020","US","United States","BRFSS","Alcohol","Binge drinking intensity among adults who binge drink",,"Number","Crude Median","4.5","4.5",,,"4.3","4.6","Age","Age >=65",,,,,,"59","ALC","ALC05",,"CRDMEDN","AGE","AGE65P",,,,
"2021","2021","GU","Guam","YRBSS","Alcohol","Alcohol use among high school students",,"%","Crude Prevalence",,,"*","No data available",,,"Grade","Grade 12",,,,,"POINT (144.793731 13.444304)","66","ALC","ALC01",,"CRDPREV","GRADE","GRD12",,,,
"2019","2019","WV","West Virginia","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude Median",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","Multiracial, non-Hispanic",,,,,"POINT (-80.71264013 38.66551020200046)","54","ALC","ALC04",,"CRDMEDN","RACE","MRC",,,,
"2019","2019","IA","Iowa","YRBSS","Alcohol","Alcohol use among high school students",,"%","Crude Prevalence",,,"~","Data suppressed; too few respondents or cases",,,"Race/Ethnicity","American Indian or Alaska Native, non-Hispanic",,,,,"POINT (-93.81649056 42.46940091300047)","19","ALC","ALC01",,"CRDPREV","RACE","AIAN",,,,
"2019","2019","OH","Ohio","BRFSS","Alcohol","Binge drinking intensity among adults who binge drink",,"Number","Crude 75th percentile","9.7","9.7",,,"9.3","11.0","Age","Age 18-44",,,,,"POINT (-82.40426006 40.06021014100048)","39","ALC","ALC05",,"CRD75TH","AGE","AGE1844",,,,
"2021","2021","MA","Massachusetts","YRBSS","Alcohol","Alcohol use among high school students",,"%","Crude Prevalence","7.7","7.7",,,"5.7","10.3","Grade","Grade 9",,,,,"POINT (-72.08269067 42.27687047000046)","25","ALC","ALC01",,"CRDPREV","GRADE","GRD9",,,,
"2019","2019","AK","Alaska","YRBSS","Alcohol","Alcohol use among high school students",,"%","Crude Prevalence","19.9","19.9",,,"14.3","27.0","Race/Ethnicity","Multiracial, non-Hispanic",,,,,"POINT (-147.722059 64.84507995700051)","02","ALC","ALC01",,"CRDPREV","RACE","MRC",,,,
"2020","2020","GA","Georgia","BRFSS","Alcohol","Binge drinking intensity among adults who binge drink",,"Number","Crude Median","5.4","5.4",,,"5.0","5.8","Race/Ethnicity","White, non-Hispanic",,,,,"POINT (-83.62758035 32.83968109300048)","13","ALC","ALC05",,"CRDMEDN","RACE","WHT",,,,
"2022","2022","MN","Minnesota","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude 75th percentile","3.7","3.7",,,"3.2","4.2","Sex","Female",,,,,"POINT (-94.7942005 46.35564873600049)","27","ALC","ALC04",,"CRD75TH","SEX","SEXF",,,,
"2022","2022","NE","Nebraska","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude Median","1.9","1.9",,,"1.6","2.4","Age","Age 45-64",,,,,"POINT (-99.36572062 41.64104099)","31","ALC","ALC04",,"CRDMEDN","AGE","AGE4564",,,,
"2022","2022","RI","Rhode Island","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude 75th percentile","4.5","4.5",,,"3.2","7.2","Age","Age >=65",,,,,"POINT (-71.52247031 41.70828019300046)","44","ALC","ALC04",,"CRD75TH","AGE","AGE65P",,,,
"2021","2021","MO","Missouri","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude Median","1.9","1.9",,,"1.6","2.3","Sex","Male",,,,,"POINT (-92.56630005 38.635790776000476)","29","ALC","ALC04",,"CRDMEDN","SEX","SEXM",,,,
"2022","2022","AR","Arkansas","BRFSS","Alcohol","Binge drinking intensity among adults who binge drink",,"Number","Crude 75th percentile","11.1","11.1",,,"9.6","11.9","Sex","Male",,,,,"POINT (-92.27449074 34.74865012400045)","05","ALC","ALC05",,"CRD75TH","SEX","SEXM",,,,
"2019","2019","LA","Louisiana","BRFSS","Alcohol","Binge drinking intensity among adults who binge drink",,"Number","Crude 75th percentile","5.6","5.6",,,"5.2","6.1","Sex","Female",,,,,"POINT (-92.44568007 31.31266064400046)","22","ALC","ALC05",,"CRD75TH","SEX","SEXF",,,,
"2019","2019","NE","Nebraska","BRFSS","Alcohol","Binge drinking intensity among adults who binge drink",,"Number","Crude 75th percentile","7.3","7.3",,,"6.9","7.7","Age","Age 45-64",,,,,"POINT (-99.36572062 41.64104099)","31","ALC","ALC05",,"CRD75TH","AGE","AGE4564",,,,
"2021","2021","PR","Puerto Rico","YRBSS","Alcohol","Alcohol use among high school students",,"%","Crude Prevalence","16.1","16.1",,,"10.7","23.5","Grade","Grade 10",,,,,"POINT (-66.590149 18.220833)","72","ALC","ALC01",,"CRDPREV","GRADE","GRD10",,,,
"2019","2019","UT","Utah","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude 75th percentile",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","Black, non-Hispanic",,,,,"POINT (-111.5871306 39.360700171000474)","49","ALC","ALC04",,"CRD75TH","RACE","BLK",,,,
"2023","2023","CO","Colorado","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude Median",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","Multiracial, non-Hispanic",,,,,"POINT (-106.1336109 38.843840757000464)","08","ALC","ALC04",,"CRDMEDN","RACE","MRC",,,,
"2019","2019","NY","New York","BRFSS","Alcohol","Binge drinking intensity among adults who binge drink",,"Number","Crude 75th percentile",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","Native Hawaiian or Other Pacific Islander, non-Hispanic",,,,,"POINT (-75.54397043 42.82700103200045)","36","ALC","ALC05",,"CRD75TH","RACE","HAPI",,,,
"2023","2023","WV","West Virginia","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude 75th percentile","7.2","7.2",,,"4.3","12.6","Age","Age 45-64",,,,,"POINT (-80.71264013 38.66551020200046)","54","ALC","ALC04",,"CRD75TH","AGE","AGE4564",,,,
"2019","2019","MS","Mississippi","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude Median","2.0","2.0",,,"1.6","2.9","Overall","Overall",,,,,"POINT (-89.53803082 32.745510099000455)","28","ALC","ALC04",,"CRDMEDN","OVERALL","OVR",,,,
"2023","2023","NM","New Mexico","YRBSS","Alcohol","Alcohol use among high school students",,"%","Crude Prevalence","14.8","14.8",,,"7.5","27.2","Race/Ethnicity","Asian, non-Hispanic",,,,,"POINT (-106.240581 34.52088095200048)","35","ALC","ALC01",,"CRDPREV","RACE","ASN",,,,
"2019","2019","RI","Rhode Island","YRBSS","Alcohol","Alcohol use among high school students",,"%","Crude Prevalence","30.1","30.1",,,"19.8","42.8","Race/Ethnicity","Multiracial, non-Hispanic",,,,,"POINT (-71.52247031 41.70828019300046)","44","ALC","ALC01",,"CRDPREV","RACE","MRC",,,,
"2021","2021","MS","Mississippi","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude Median","2.0","2.0",,,"1.6","2.8","Race/Ethnicity","White, non-Hispanic",,,,,"POINT (-89.53803082 32.745510099000455)","28","ALC","ALC04",,"CRDMEDN","RACE","WHT",,,,
"2023","2023","MT","Montana","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude 75th percentile","4.1","4.1",,,"3.2","7.4","Age","Age >=65",,,,,"POINT (-109.4244206 47.06652897200047)","30","ALC","ALC04",,"CRD75TH","AGE","AGE65P",,,,
"2021","2021","MS","Mississippi","YRBSS","Alcohol","Alcohol use among high school students",,"%","Crude Prevalence","37.3","37.3",,,"20.1","58.5","Race/Ethnicity","Multiracial, non-Hispanic",,,,,"POINT (-89.53803082 32.745510099000455)","28","ALC","ALC01",,"CRDPREV","RACE","MRC",,,,
"2020","2020","CA","California","BRFSS","Alcohol","Binge drinking intensity among adults who binge drink",,"Number","Crude Median",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","American Indian or Alaska Native, non-Hispanic",,,,,"POINT (-120.9999995 37.63864012300047)","06","ALC","ALC05",,"CRDMEDN","RACE","AIAN",,,,
"2019","2019","CA","California","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude 75th percentile","4.3","4.3",,,"2.9","5.4","Age","Age >=65",,,,,"POINT (-120.9999995 37.63864012300047)","06","ALC","ALC04",,"CRD75TH","AGE","AGE65P",,,,
"2021","2021","PA","Pennsylvania","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude 75th percentile",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","Multiracial, non-Hispanic",,,,,"POINT (-77.86070029 40.79373015200048)","42","ALC","ALC04",,"CRD75TH","RACE","MRC",,,,
"2020","2020","CA","California","BRFSS","Alcohol","Binge drinking intensity among adults who binge drink",,"Number","Crude 75th percentile","9.2","9.2",,,"7.4","9.8","Race/Ethnicity","Hispanic",,,,,"POINT (-120.9999995 37.63864012300047)","06","ALC","ALC05",,"CRD75TH","RACE","HIS",,,,
"2023","2023","GU","Guam","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude Median",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","Multiracial, non-Hispanic",,,,,"POINT (144.793731 13.444304)","66","ALC","ALC04",,"CRDMEDN","RACE","MRC",,,,
"2022","2022","AZ","Arizona","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude Median",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","Multiracial, non-Hispanic",,,,,"POINT (-111.7638113 34.865970280000454)","04","ALC","ALC04",,"CRDMEDN","RACE","MRC",,,,
"2023","2023","NV","Nevada","BRFSS","Alcohol","Binge drinking intensity among adults who binge drink",,"Number","Crude 75th percentile","9.2","9.2",,,"7.3","10.0","Age","Age 18-44",,,,,"POINT (-117.0718406 39.493240390000494)","32","ALC","ALC05",,"CRD75TH","AGE","AGE1844",,,,
"2022","2022","NH","New Hampshire","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude 75th percentile","4.5","4.5",,,"3.8","5.2","Overall","Overall",,,,,"POINT (-71.50036092 43.65595011300047)","33","ALC","ALC04",,"CRD75TH","OVERALL","OVR",,,,
"2022","2022","NH","New Hampshire","BRFSS","Alcohol","Binge drinking intensity among adults who binge drink",,"Number","Crude Median",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","Multiracial, non-Hispanic",,,,,"POINT (-71.50036092 43.65595011300047)","33","ALC","ALC05",,"CRDMEDN","RACE","MRC",,,,
"2020","2020","ID","Idaho","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude 75th percentile","4.2","4.2",,,"3.6","4.9","Overall","Overall",,,,,"POINT (-114.36373 43.682630005000476)","16","ALC","ALC04",,"CRD75TH","OVERALL","OVR",,,,
"2020","2020","HI","Hawaii","BRFSS","Alcohol","Binge drinking intensity among adults who binge drink",,"Number","Crude 75th percentile","11.9","11.9",,,"9.3","14.7","Race/Ethnicity","Hispanic",,,,,"POINT (-157.8577494 21.304850435000446)","15","ALC","ALC05",,"CRD75TH","RACE","HIS",,,,
"2020","2020","IN","Indiana","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude Median",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","Multiracial, non-Hispanic",,,,,"POINT (-86.14996019 39.766910452000445)","18","ALC","ALC04",,"CRDMEDN","RACE","MRC",,,,
"2023","2023","OR","Oregon","YRBSS","Alcohol","Alcohol use among high school students",,"%","Crude Prevalence",,,"*","No data available",,,"Race/Ethnicity","Native Hawaiian or Other Pacific Islander, non-Hispanic",,,,,"POINT (-120.1550313 44.56744942400047)","41","ALC","ALC01",,"CRDPREV","RACE","HAPI",,,,
"2020","2020","WV","West Virginia","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude Median",,,"*","No data available",,,"Race/Ethnicity","Native Hawaiian or Other Pacific Islander, non-Hispanic",,,,,"POINT (-80.71264013 38.66551020200046)","54","ALC","ALC04",,"CRDMEDN","RACE","HAPI",,,,
"2021","2021","OH","Ohio","YRBSS","Alcohol","Alcohol use among high school students",,"%","Crude Prevalence",,,"~","Data suppressed; too few respondents or cases",,,"Race/Ethnicity","Native Hawaiian or Other Pacific Islander, non-Hispanic",,,,,"POINT (-82.40426006 40.06021014100048)","39","ALC","ALC01",,"CRDPREV","RACE","HAPI",,,,
"2023","2023","IN","Indiana","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude Median",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","Native Hawaiian or Other Pacific Islander, non-Hispanic",,,,,"POINT (-86.14996019 39.766910452000445)","18","ALC","ALC04",,"CRDMEDN","RACE","HAPI",,,,
"2019","2019","AK","Alaska","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude 75th percentile",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","American Indian or Alaska Native, non-Hispanic",,,,,"POINT (-147.722059 64.84507995700051)","02","ALC","ALC04",,"CRD75TH","RACE","AIAN",,,,
"2022","2022","US","United States","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude Median","2.1","2.1",,,"1.7","2.9","Race/Ethnicity","American Indian or Alaska Native, non-Hispanic",,,,,,"59","ALC","ALC04",,"CRDMEDN","RACE","AIAN",,,,
"2022","2022","VI","Virgin Islands","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude 75th percentile",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","White, non-Hispanic",,,,,"POINT (-64.896335 18.335765)","78","ALC","ALC04",,"CRD75TH","RACE","WHT",,,,
"2023","2023","ME","Maine","YRBSS","Alcohol","Alcohol use among high school students",,"%","Crude Prevalence","10.8","10.8",,,"8.7","13.5","Grade","Grade 9",,,,,"POINT (-68.98503134 45.254228894000505)","23","ALC","ALC01",,"CRDPREV","GRADE","GRD9",,,,
"2021","2021","WY","Wyoming","YRBSS","Alcohol","Alcohol use among high school students",,"%","Crude Prevalence",,,"*","No data available",,,"Sex","Female",,,,,"POINT (-108.1098304 43.23554134300048)","56","ALC","ALC01",,"CRDPREV","SEX","SEXF",,,,
"2020","2020","RI","Rhode Island","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude 75th percentile","3.2","3.2",,,"2.0","4.5","Age","Age >=65",,,,,"POINT (-71.52247031 41.70828019300046)","44","ALC","ALC04",,"CRD75TH","AGE","AGE65P",,,,
"2022","2022","US","United States","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude Median","2.0","2.0",,,"1.9","2.1","Age","Age 45-64",,,,,,"59","ALC","ALC04",,"CRDMEDN","AGE","AGE4564",,,,
"2022","2022","KY","Kentucky","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude Median",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","Black, non-Hispanic",,,,,"POINT (-84.77497105 37.645970271000465)","21","ALC","ALC04",,"CRDMEDN","RACE","BLK",,,,
"2023","2023","TN","Tennessee","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude 75th percentile","5.6","5.6",,,"3.6","9.7","Age","Age >=65",,,,,"POINT (-85.77449091 35.68094058000048)","47","ALC","ALC04",,"CRD75TH","AGE","AGE65P",,,,
"2020","2020","NE","Nebraska","BRFSS","Alcohol","Binge drinking intensity among adults who binge drink",,"Number","Crude Median","5.8","5.8",,,"5.7","6.0","Race/Ethnicity","White, non-Hispanic",,,,,"POINT (-99.36572062 41.64104099)","31","ALC","ALC05",,"CRDMEDN","RACE","WHT",,,,
"2019","2019","KS","Kansas","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude Median",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","Multiracial, non-Hispanic",,,,,"POINT (-98.20078123 38.34774030000045)","20","ALC","ALC04",,"CRDMEDN","RACE","MRC",,,,
"2019","2019","ID","Idaho","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude 75th percentile","3.6","3.6",,,"2.7","4.6","Sex","Male",,,,,"POINT (-114.36373 43.682630005000476)","16","ALC","ALC04",,"CRD75TH","SEX","SEXM",,,,
"2023","2023","VT","Vermont","YRBSS","Alcohol","Alcohol use among high school students",,"%","Crude Prevalence","33.7","33.7",,,"24.8","43.9","Race/Ethnicity","American Indian or Alaska Native, non-Hispanic",,,,,"POINT (-72.51764079 43.62538123900049)","50","ALC","ALC01",,"CRDPREV","RACE","AIAN",,,,
"2019","2019","MS","Mississippi","BRFSS","Alcohol","Binge drinking frequency among adults who binge drink",,"Number","Crude 75th percentile",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Age","Age >=65",,,,,"POINT (-89.53803082 32.745510099000455)","28","ALC","ALC04",,"CRD75TH","AGE","AGE65P",,,,
"2020","2020","IA","Iowa","BRFSS","Alcohol","Binge drinking intensity among adults who binge drink",,"Number","Crude Median","5.9","5.9",,,"5.8","6.2","Race/Ethnicity","White, non-Hispanic",,,,,"POINT (-93.81649056 42.46940091300047)","19","ALC","ALC05",,"CRDMEDN","RACE","WHT",,,,
"2023","2023","NM","New Mexico","YRBSS","Alcohol","Alcohol use among high school students",,"%","Crude Prevalence","13.8","13.8",,,"10.8","17.4","Race/Ethnicity","White, non-Hispanic",,,,,"POINT (-106.240581 34.52088095200048)","35","ALC","ALC01",,"CRDPREV","RACE","WHT",,,,
"2022","2022","FL","Florida","BRFSS","Alcohol","Binge drinking intensity among adults who binge drink",,"Number","Crude 75th percentile","5.6","5.6",,,"4.9","7.4","Age","Age >=65",,,,,"POINT (-81.92896054 28.932040377000476)","12","ALC","ALC05",,"CRD75TH","AGE","AGE65P",,,,
