"yearstart","yearend","locationabbr","locationdesc","datasource","topic","question","response","datavalueunit","datavaluetype","datavalue","datavaluealt","datavaluefootnotesymbol","datavaluefootnote","lowconfidencelimit","highconfidencelimit","stratificationcategory1","stratification1","stratificationcategory2","stratification2","stratificationcategory3","stratification3","geolocation","locationid","topicid","questionid","responseid","datavaluetypeid","stratificationcategoryid1","stratificationid1","stratificationcategoryid2","stratificationid2","stratificationcategoryid3","stratificationid3"
"2022","2022","MI","Michigan","BRFSS","Arthritis","Physical inactivity among adults with arthritis",,"%","Age-adjusted Prevalence","22.8","22.8",,,"20.1","25.8","Race/Ethnicity","White, non-Hispanic",,,,,"POINT (-84.71439027 44.66131954)","26","ART","ART05",,"AGEADJPREV","RACE","WHT",,,,
"2019","2019","SC","South Carolina","BRFSS","Arthritis","Received health care provider counseling for physical activity among adults with arthritis",,"%","Age-adjusted Prevalence","73.7","73.7",,,"67.9","78.7","Sex","Female",,,,,"POINT (-81.04537121 33.998821303000454)","45","ART","ART06",,"AGEADJPREV","SEX","SEXF",,,,
"2021","2021","RI","Rhode Island","BRFSS","Arthritis","Physical inactivity among adults with arthritis",,"%","Age-adjusted Prevalence","36.9","36.9",,,"27.3","47.7","Race/Ethnicity","Hispanic",,,,,"POINT (-71.52247031 41.70828019300046)","44","ART","ART05",,"AGEADJPREV","RACE","HIS",,,,
"2021","2021","NH","New Hampshire","BRFSS","Arthritis","Severe joint pain among adults with arthritis",,"%","Crude Prevalence","22.7","22.7",,,"18.5","27.4","Sex","Male",,,,,"POINT (-71.50036092 43.65595011300047)","33","ART","ART03",,"CRDPREV","SEX","SEXM",,,,
"2019","2019","LA","Louisiana","BRFSS","Arthritis","Physical inactivity among adults with arthritis",,"%","Crude Prevalence","41.9","41.9",,,"38.0","46.0","Sex","Female",,,,,"POINT (-92.44568007 31.31266064400046)","22","ART","ART05",,"CRDPREV","SEX","SEXF",,,,
"2020","2020","CA","California","BRFSS","Arthritis","Physical inactivity among adults with arthritis",,"%","Crude Prevalence","30.1","30.1",,,"24.5","36.3","Age","Age >=65",,,,,"POINT (-120.9999995 37.63864012300047)","06","ART","ART05",,"CRDPREV","AGE","AGE65P",,,,
"2023","2023","NC","North Carolina","BRFSS","Arthritis","Physical inactivity among adults with arthritis",,"%","Crude Prevalence","28.8","28.8",,,"24.9","33.1","Race/Ethnicity","White, non-Hispanic",,,,,"POINT (-79.15925046 35.466220975000454)","37","ART","ART05",,"CRDPREV","RACE","WHT",,,,
"2019","2019","WA","Washington","BRFSS","Arthritis","Severe joint pain among adults with arthritis",,"%","Age-adjusted Prevalence","50.4","50.4",,,"38.4","62.2","Race/Ethnicity","Black, non-Hispanic",,,,,"POINT (-120.4700108 47.52227862900048)","53","ART","ART03",,"AGEADJPREV","RACE","BLK",,,,
"2021","2021","TX","Texas","BRFSS","Arthritis","Physical inactivity among adults with arthritis",,"%","Age-adjusted Prevalence","35.1","35.1",,,"20.4","53.3","Race/Ethnicity","Multiracial, non-Hispanic",,,,,"POINT (-99.42677021 31.827240407000488)","48","ART","ART05",,"AGEADJPREV","RACE","MRC",,,,
"2023","2023","OK","Oklahoma","BRFSS","Arthritis","Physical inactivity among adults with arthritis",,"%","Crude Prevalence","42.9","42.9",,,"32.0","54.6","Race/Ethnicity","Black, non-Hispanic",,,,,"POINT (-97.52107021 35.47203135600046)","40","ART","ART05",,"CRDPREV","RACE","BLK",,,,
"2019","2019","AZ","Arizona","BRFSS","Arthritis","Received health care provider counseling for physical activity among adults with arthritis",,"%","Age-adjusted Prevalence","67.6","67.6",,,"61.1","73.4","Overall","Overall",,,,,"POINT (-111.7638113 34.865970280000454)","04","ART","ART06",,"AGEADJPREV","OVERALL","OVR",,,,
"2022","2022","IA","Iowa","BRFSS","Arthritis","Physical inactivity among adults with arthritis",,"%","Crude Prevalence","36.6","36.6",,,"33.5","39.8","Age","Age >=65",,,,,"POINT (-93.81649056 42.46940091300047)","19","ART","ART05",,"CRDPREV","AGE","AGE65P",,,,
"2020","2020","KY","Kentucky","BRFSS","Arthritis","Physical inactivity among adults with arthritis",,"%","Crude Prevalence","40.6","40.6",,,"36.1","45.2","Age","Age >=65",,,,,"POINT (-84.77497105 37.645970271000465)","21","ART","ART05",,"CRDPREV","AGE","AGE65P",,,,
"2019","2019","PA","Pennsylvania","BRFSS","Arthritis","Physical inactivity among adults with arthritis",,"%","Crude Prevalence",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","Asian, non-Hispanic",,,,,"POINT (-77.86070029 40.79373015200048)","42","ART","ART05",,"CRDPREV","RACE","ASN",,,,
"2019","2019","LA","Louisiana","BRFSS","Arthritis","Work limitation due to arthritis among adults aged 18-64 years with arthritis",,"%","Age-adjusted Prevalence",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","American Indian or Alaska Native, non-Hispanic",,,,,"POINT (-92.44568007 31.31266064400046)","22","ART","ART04",,"AGEADJPREV","RACE","AIAN",,,,
"2019","2019","DC","District of Columbia","BRFSS","Arthritis","Have taken an educational class to learn how to manage arthritis symptoms among adults with arthritis",,"%","Crude Prevalence","16.0","16.0",,,"11.2","22.3","Age","Age 45-64",,,,,"POINT (-77.036871 38.907192)","11","ART","ART07",,"CRDPREV","AGE","AGE4564",,,,
"2022","2022","RI","Rhode Island","BRFSS","Arthritis","Physical inactivity among adults with arthritis",,"%","Age-adjusted Prevalence",,,"****","Data suppressed; denominator < 50 or relative standard error > 30%",,,"Race/Ethnicity","Native Hawaiian or Other Pacific Islander, non-Hispanic",,,,,"POINT (-71.52247031 41.70828019300046)","44","ART","ART05",,"AGEADJPREV","RACE","HAPI",,,,
"2019","2019","FL","Florida","BRFSS","Arthritis","Have taken an educational class to learn how to manage arthritis symptoms among adults with arthritis",,"%","Age-adjusted Prevalence","27.3","27.3",,,"19.1","37.4","Sex","Male",,,,,"POINT (-81.92896054 28.932040377000476)","12","ART","ART07",,"AGEADJPREV","SEX","SEXM",,,,
"2021","2021","ME","Maine","BRFSS","Arthritis","Received health care provider counseling for physical activity among adults with arthritis",,"%","Crude Prevalence","64.9","64.9",,,"62.3","67.5","Age","Age >=65",,,,,"POINT (-68.98503134 45.254228894000505)","23","ART","ART06",,"CRDPREV","AGE","AGE65P",,,,
