"year_and_quarter","topic","topic_subgroup","indicator","race_ethnicity","rate","unit","significant"
"2026 Q1","Birth Rates","Age-specific Birth Rates","45+ years","Non-Hispanic Black","1.5","per 1,000 population",
"2026 Q1","Birth Rates","Age-specific Birth Rates","45+ years","Non-Hispanic White","0.9","per 1,000 population",
"2026 Q1","Method of Delivery","Cesarean Delivery Rates","Cesarean","All races and origins","32.5","per 100 births","*"
"2026 Q1","Method of Delivery","Cesarean Delivery Rates","Cesarean","Hispanic","32.7","per 100 births","*"
"2026 Q1","Method of Delivery","Cesarean Delivery Rates","Cesarean","Non-Hispanic Black","38.1","per 100 births","*"
"2026 Q1","Method of Delivery","Cesarean Delivery Rates","Cesarean","Non-Hispanic White","30.8","per 100 births","*"
"2026 Q1","Method of Delivery","Cesarean Delivery Rates","Low-risk Cesarean","All races and origins","26.9","per 100 births","*"
"2026 Q1","Method of Delivery","Cesarean Delivery Rates","Low-risk Cesarean","Hispanic","26.7","per 100 births","*"
"2026 Q1","Method of Delivery","Cesarean Delivery Rates","Low-risk Cesarean","Non-Hispanic Black","32.6","per 100 births","*"
"2026 Q1","Method of Delivery","Cesarean Delivery Rates","Low-risk Cesarean","Non-Hispanic White","25.3","per 100 births","*"
"2026 Q1","Method of Delivery","Vaginal Birth After Cesarean Delivery Rates","Vaginal Birth After Cesarean Delivery","All races and origins","16.1","per 100 births","*"
"2026 Q1","Method of Delivery","Vaginal Birth After Cesarean Delivery Rates","Vaginal Birth After Cesarean Delivery","Hispanic","15.3","per 100 births",
"2026 Q1","Method of Delivery","Vaginal Birth After Cesarean Delivery Rates","Vaginal Birth After Cesarean Delivery","Non-Hispanic Black","15.1","per 100 births",
"2026 Q1","Method of Delivery","Vaginal Birth After Cesarean Delivery Rates","Vaginal Birth After Cesarean Delivery","Non-Hispanic White","16.7","per 100 births","*"
"2026 Q1","Gestational Age","Preterm Birth Rates","Total preterm (<37 weeks)","All races and origins","10.43","per 100 births","*"
"2026 Q1","Gestational Age","Preterm Birth Rates","Total preterm (<37 weeks)","Hispanic","10.24","per 100 births","*"
"2026 Q1","Gestational Age","Preterm Birth Rates","Total preterm (<37 weeks)","Non-Hispanic Black","14.99","per 100 births","*"
"2026 Q1","Gestational Age","Preterm Birth Rates","Total preterm (<37 weeks)","Non-Hispanic White","9.45","per 100 births",
"2026 Q1","Gestational Age","Preterm Birth Rates","Early preterm (<34 weeks)","All races and origins","2.68","per 100 births","*"
"2026 Q1","Gestational Age","Preterm Birth Rates","Early preterm (<34 weeks)","Hispanic","2.61","per 100 births",
"2026 Q1","Gestational Age","Preterm Birth Rates","Early preterm (<34 weeks)","Non-Hispanic Black","4.80","per 100 births",
"2026 Q1","Gestational Age","Preterm Birth Rates","Early preterm (<34 weeks)","Non-Hispanic White","2.20","per 100 births","*"
"2026 Q1","Gestational Age","Term Birth Rates","Early term (37-38 weeks)","All races and origins","30.89","per 100 births","*"
"2026 Q1","Gestational Age","Term Birth Rates","Early term (37-38 weeks)","Hispanic","31.58","per 100 births","*"
"2026 Q1","Gestational Age","Term Birth Rates","Early term (37-38 weeks)","Non-Hispanic Black","34.51","per 100 births","*"
"2026 Q1","Gestational Age","Term Birth Rates","Early term (37-38 weeks)","Non-Hispanic White","29.35","per 100 births","*"
"2026 Q1","Gestational Age","Term Birth Rates","Full term (39-40 weeks)","All races and origins","54.01","per 100 births","*"
"2026 Q1","Gestational Age","Term Birth Rates","Full term (39-40 weeks)","Hispanic","54.22","per 100 births","*"
"2026 Q1","Gestational Age","Term Birth Rates","Full term (39-40 weeks)","Non-Hispanic Black","47.10","per 100 births","*"
"2026 Q1","Gestational Age","Term Birth Rates","Full term (39-40 weeks)","Non-Hispanic White","55.65","per 100 births","*"
"2026 Q1","Gestational Age","Preterm Birth Rates","Late preterm (34-36 weeks)","All races and origins","7.75","per 100 births","*"
"2026 Q1","Gestational Age","Preterm Birth Rates","Late preterm (34-36 weeks)","Hispanic","7.63","per 100 births","*"
"2026 Q1","Gestational Age","Preterm Birth Rates","Late preterm (34-36 weeks)","Non-Hispanic Black","10.20","per 100 births","*"
"2026 Q1","Gestational Age","Preterm Birth Rates","Late preterm (34-36 weeks)","Non-Hispanic White","7.25","per 100 births",
"2026 Q1","Gestational Age","Term Birth Rates","Late term (41 weeks)","All races and origins","4.67","per 100 births","*"
"2026 Q1","Gestational Age","Term Birth Rates","Late term (41 weeks)","Hispanic","3.96","per 100 births","*"
"2026 Q1","Gestational Age","Term Birth Rates","Late term (41 weeks)","Non-Hispanic Black","3.40","per 100 births",
"2026 Q1","Gestational Age","Term Birth Rates","Late term (41 weeks)","Non-Hispanic White","5.54","per 100 births","*"
"2026 Q1","Birthweight","Low Birthweight Rates","Low birthweight (Less than 2,500g)","All races and origins","8.39","per 100 births","*"
"2026 Q1","Birthweight","Low Birthweight Rates","Low birthweight (Less than 2,500g)","Hispanic","7.87","per 100 births",
"2026 Q1","Birthweight","Low Birthweight Rates","Low birthweight (Less than 2,500g)","Non-Hispanic Black","14.88","per 100 births",
"2026 Q1","Birthweight","Low Birthweight Rates","Low birthweight (Less than 2,500g)","Non-Hispanic White","6.83","per 100 births","*"
"2026 Q1","Source of Payment for the Delivery","Medicaid","Medicaid","All races and origins","38.6","per 100 births","*"
"2026 Q1","Source of Payment for the Delivery","Medicaid","Medicaid","Hispanic","55.5","per 100 births","*"
"2026 Q1","Source of Payment for the Delivery","Medicaid","Medicaid","Non-Hispanic Black","61.0","per 100 births","*"
"2026 Q1","Source of Payment for the Delivery","Medicaid","Medicaid","Non-Hispanic White","25.5","per 100 births","*"
"2026 Q1","NICU Admission","NICU Admission Rates","NICU Admission","All races and origins","10.2","per 100 births","*"
"2026 Q1","NICU Admission","NICU Admission Rates","NICU Admission","Hispanic","9.3","per 100 births","*"
"2026 Q1","NICU Admission","NICU Admission Rates","NICU Admission","Non-Hispanic Black","13.7","per 100 births","*"
"2026 Q1","NICU Admission","NICU Admission Rates","NICU Admission","Non-Hispanic White","9.9","per 100 births","*"
"2025 Q4","Birth Rates","Teen Birth Rates","10-14 years","All races and origins","0.1","per 1,000 population",
"2025 Q4","Birth Rates","Teen Birth Rates","10-14 years","Hispanic","0.2","per 1,000 population",
"2025 Q4","Birth Rates","Teen Birth Rates","10-14 years","Non-Hispanic Black","0.3","per 1,000 population",
"2025 Q4","Birth Rates","Teen Birth Rates","10-14 years","Non-Hispanic White","0.1","per 1,000 population",
"2025 Q4","Birth Rates","Teen Birth Rates","15-17 years","All races and origins","4.6","per 1,000 population",
"2025 Q4","Birth Rates","Teen Birth Rates","15-17 years","Hispanic","7.4","per 1,000 population",
"2025 Q4","Birth Rates","Teen Birth Rates","15-17 years","Non-Hispanic Black","7.3","per 1,000 population",
"2025 Q4","Birth Rates","Teen Birth Rates","15-17 years","Non-Hispanic White","2.7","per 1,000 population",
"2025 Q4","Birth Rates","Teen Birth Rates","18-19 years","All races and origins","21.7","per 1,000 population",
"2025 Q4","Birth Rates","Teen Birth Rates","18-19 years","Hispanic","32.1","per 1,000 population",
"2025 Q4","Birth Rates","Teen Birth Rates","18-19 years","Non-Hispanic Black","29.3","per 1,000 population",
"2025 Q4","Birth Rates","Teen Birth Rates","18-19 years","Non-Hispanic White","15.7","per 1,000 population",
