"year_and_quarter","topic","topic_subgroup","indicator","race_ethnicity","rate","unit","significant"
"2025 Q3","Birth Rates","Age-specific Birth Rates","40-44 years","Non-Hispanic Black","14.2","per 1,000 population",
"2025 Q3","Birth Rates","Age-specific Birth Rates","40-44 years","Non-Hispanic White","11.0","per 1,000 population",
"2025 Q3","Birth Rates","Age-specific Birth Rates","45+ years","All races and origins","1.1","per 1,000 population",
"2025 Q3","Birth Rates","Age-specific Birth Rates","45+ years","Hispanic","1.1","per 1,000 population",
"2025 Q3","Birth Rates","Age-specific Birth Rates","45+ years","Non-Hispanic Black","1.5","per 1,000 population",
"2025 Q3","Birth Rates","Age-specific Birth Rates","45+ years","Non-Hispanic White","0.9","per 1,000 population",
"2025 Q3","Method of Delivery","Cesarean Delivery Rates","Cesarean","All races and origins","32.4","per 100 births",
"2025 Q3","Method of Delivery","Cesarean Delivery Rates","Cesarean","Hispanic","32.4","per 100 births",
"2025 Q3","Method of Delivery","Cesarean Delivery Rates","Cesarean","Non-Hispanic Black","37.8","per 100 births",
"2025 Q3","Method of Delivery","Cesarean Delivery Rates","Cesarean","Non-Hispanic White","30.9","per 100 births",
"2025 Q3","Method of Delivery","Cesarean Delivery Rates","Low-risk Cesarean","All races and origins","26.8","per 100 births",
"2025 Q3","Method of Delivery","Cesarean Delivery Rates","Low-risk Cesarean","Hispanic","26.3","per 100 births",
"2025 Q3","Method of Delivery","Cesarean Delivery Rates","Low-risk Cesarean","Non-Hispanic Black","32.2","per 100 births",
"2025 Q3","Method of Delivery","Cesarean Delivery Rates","Low-risk Cesarean","Non-Hispanic White","25.4","per 100 births",
"2025 Q3","Method of Delivery","Vaginal Birth After Cesarean Delivery Rates","Vaginal Birth After Cesarean Delivery","All races and origins","15.8","per 100 births",
"2025 Q3","Method of Delivery","Vaginal Birth After Cesarean Delivery Rates","Vaginal Birth After Cesarean Delivery","Hispanic","15.3","per 100 births",
"2025 Q3","Method of Delivery","Vaginal Birth After Cesarean Delivery Rates","Vaginal Birth After Cesarean Delivery","Non-Hispanic Black","15.0","per 100 births",
"2025 Q3","Method of Delivery","Vaginal Birth After Cesarean Delivery Rates","Vaginal Birth After Cesarean Delivery","Non-Hispanic White","16.3","per 100 births",
"2025 Q3","Gestational Age","Preterm Birth Rates","Total preterm (<37 weeks)","All races and origins","10.40","per 100 births",
"2025 Q3","Gestational Age","Preterm Birth Rates","Total preterm (<37 weeks)","Hispanic","10.15","per 100 births",
"2025 Q3","Gestational Age","Preterm Birth Rates","Total preterm (<37 weeks)","Non-Hispanic Black","14.89","per 100 births",
"2025 Q3","Gestational Age","Preterm Birth Rates","Total preterm (<37 weeks)","Non-Hispanic White","9.45","per 100 births",
"2025 Q3","Gestational Age","Preterm Birth Rates","Early preterm (<34 weeks)","All races and origins","2.70","per 100 births",
"2025 Q3","Gestational Age","Preterm Birth Rates","Early preterm (<34 weeks)","Hispanic","2.63","per 100 births",
"2025 Q3","Gestational Age","Preterm Birth Rates","Early preterm (<34 weeks)","Non-Hispanic Black","4.83","per 100 births",
"2025 Q3","Gestational Age","Preterm Birth Rates","Early preterm (<34 weeks)","Non-Hispanic White","2.22","per 100 births",
"2025 Q3","Gestational Age","Term Birth Rates","Early term (37-38 weeks)","All races and origins","30.62","per 100 births",
"2025 Q3","Gestational Age","Term Birth Rates","Early term (37-38 weeks)","Hispanic","31.28","per 100 births",
"2025 Q3","Gestational Age","Term Birth Rates","Early term (37-38 weeks)","Non-Hispanic Black","34.27","per 100 births",
"2025 Q3","Gestational Age","Term Birth Rates","Early term (37-38 weeks)","Non-Hispanic White","29.09","per 100 births",
"2025 Q3","Gestational Age","Term Birth Rates","Full term (39-40 weeks)","All races and origins","54.29","per 100 births",
"2025 Q3","Gestational Age","Term Birth Rates","Full term (39-40 weeks)","Hispanic","54.51","per 100 births",
"2025 Q3","Gestational Age","Term Birth Rates","Full term (39-40 weeks)","Non-Hispanic Black","47.34","per 100 births",
"2025 Q3","Gestational Age","Term Birth Rates","Full term (39-40 weeks)","Non-Hispanic White","55.97","per 100 births",
"2025 Q3","Gestational Age","Preterm Birth Rates","Late preterm (34-36 weeks)","All races and origins","7.70","per 100 births",
"2025 Q3","Gestational Age","Preterm Birth Rates","Late preterm (34-36 weeks)","Hispanic","7.52","per 100 births",
"2025 Q3","Gestational Age","Preterm Birth Rates","Late preterm (34-36 weeks)","Non-Hispanic Black","10.06","per 100 births",
"2025 Q3","Gestational Age","Preterm Birth Rates","Late preterm (34-36 weeks)","Non-Hispanic White","7.23","per 100 births",
"2025 Q3","Gestational Age","Term Birth Rates","Late term (41 weeks)","All races and origins","4.69","per 100 births",
"2025 Q3","Gestational Age","Term Birth Rates","Late term (41 weeks)","Hispanic","4.07","per 100 births",
"2025 Q3","Gestational Age","Term Birth Rates","Late term (41 weeks)","Non-Hispanic Black","3.50","per 100 births",
"2025 Q3","Gestational Age","Term Birth Rates","Late term (41 weeks)","Non-Hispanic White","5.50","per 100 births",
"2025 Q3","Birthweight","Low Birthweight Rates","Low birthweight (Less than 2,500g)","All races and origins","8.45","per 100 births",
"2025 Q3","Birthweight","Low Birthweight Rates","Low birthweight (Less than 2,500g)","Hispanic","7.88","per 100 births",
"2025 Q3","Birthweight","Low Birthweight Rates","Low birthweight (Less than 2,500g)","Non-Hispanic Black","14.93","per 100 births",
"2025 Q3","Birthweight","Low Birthweight Rates","Low birthweight (Less than 2,500g)","Non-Hispanic White","6.88","per 100 births",
"2025 Q3","Source of Payment for the Delivery","Medicaid","Medicaid","All races and origins","39.4","per 100 births",
"2025 Q3","Source of Payment for the Delivery","Medicaid","Medicaid","Hispanic","56.5","per 100 births",
"2025 Q3","Source of Payment for the Delivery","Medicaid","Medicaid","Non-Hispanic Black","61.7","per 100 births",
"2025 Q3","Source of Payment for the Delivery","Medicaid","Medicaid","Non-Hispanic White","25.9","per 100 births",
"2025 Q3","NICU Admission","NICU Admission Rates","NICU Admission","All races and origins","10.0","per 100 births",
"2025 Q3","NICU Admission","NICU Admission Rates","NICU Admission","Hispanic","9.0","per 100 births",
"2025 Q3","NICU Admission","NICU Admission Rates","NICU Admission","Non-Hispanic Black","13.6","per 100 births",
"2025 Q3","NICU Admission","NICU Admission Rates","NICU Admission","Non-Hispanic White","9.7","per 100 births",
"2025 Q2","Birth Rates","Teen Birth Rates","10-14 years","All races and origins","0.1","per 1,000 population",
"2025 Q2","Birth Rates","Teen Birth Rates","10-14 years","Hispanic","0.3","per 1,000 population",
"2025 Q2","Birth Rates","Teen Birth Rates","10-14 years","Non-Hispanic Black","0.3","per 1,000 population",
"2025 Q2","Birth Rates","Teen Birth Rates","10-14 years","Non-Hispanic White","0.1","per 1,000 population",
"2025 Q2","Birth Rates","Teen Birth Rates","15-17 years","All races and origins","5.0","per 1,000 population",
"2025 Q2","Birth Rates","Teen Birth Rates","15-17 years","Hispanic","8.2","per 1,000 population",
"2025 Q2","Birth Rates","Teen Birth Rates","15-17 years","Non-Hispanic Black","7.8","per 1,000 population",
"2025 Q2","Birth Rates","Teen Birth Rates","15-17 years","Non-Hispanic White","2.8","per 1,000 population",
"2025 Q2","Birth Rates","Teen Birth Rates","18-19 years","All races and origins","22.8","per 1,000 population",
"2025 Q2","Birth Rates","Teen Birth Rates","18-19 years","Hispanic","35.4","per 1,000 population",
"2025 Q2","Birth Rates","Teen Birth Rates","18-19 years","Non-Hispanic Black","30.9","per 1,000 population",
"2025 Q2","Birth Rates","Teen Birth Rates","18-19 years","Non-Hispanic White","15.8","per 1,000 population",
"2025 Q2","Birth Rates","Teen Birth Rates","15-19 years","All races and origins","12.2","per 1,000 population",
"2025 Q2","Birth Rates","Teen Birth Rates","15-19 years","Hispanic","19.1","per 1,000 population",
"2025 Q2","Birth Rates","Teen Birth Rates","15-19 years","Non-Hispanic Black","17.0","per 1,000 population",
"2025 Q2","Birth Rates","Teen Birth Rates","15-19 years","Non-Hispanic White","8.1","per 1,000 population",
"2025 Q2","Birth Rates","General Fertility Rates","15-44 years","All races and origins","53.7","per 1,000 population",
"2025 Q2","Birth Rates","General Fertility Rates","15-44 years","Hispanic","63.9","per 1,000 population",
"2025 Q2","Birth Rates","General Fertility Rates","15-44 years","Non-Hispanic Black","50.1","per 1,000 population",
"2025 Q2","Birth Rates","General Fertility Rates","15-44 years","Non-Hispanic White","51.7","per 1,000 population",
"2025 Q2","Birth Rates","Age-specific Birth Rates","10-14 years","All races and origins","0.1","per 1,000 population",
"2025 Q2","Birth Rates","Age-specific Birth Rates","10-14 years","Hispanic","0.3","per 1,000 population",
"2025 Q2","Birth Rates","Age-specific Birth Rates","10-14 years","Non-Hispanic Black","0.3","per 1,000 population",
"2025 Q2","Birth Rates","Age-specific Birth Rates","10-14 years","Non-Hispanic White","0.1","per 1,000 population",
"2025 Q2","Birth Rates","Age-specific Birth Rates","15-19 years","All races and origins","12.2","per 1,000 population",
"2025 Q2","Birth Rates","Age-specific Birth Rates","15-19 years","Hispanic","19.1","per 1,000 population",
"2025 Q2","Birth Rates","Age-specific Birth Rates","15-19 years","Non-Hispanic Black","17.0","per 1,000 population",
"2025 Q2","Birth Rates","Age-specific Birth Rates","15-19 years","Non-Hispanic White","8.1","per 1,000 population",
"2025 Q2","Birth Rates","Age-specific Birth Rates","20-24 years","All races and origins","54.8","per 1,000 population",
"2025 Q2","Birth Rates","Age-specific Birth Rates","20-24 years","Hispanic","78.0","per 1,000 population",
"2025 Q2","Birth Rates","Age-specific Birth Rates","20-24 years","Non-Hispanic Black","62.5","per 1,000 population",
"2025 Q2","Birth Rates","Age-specific Birth Rates","20-24 years","Non-Hispanic White","46.5","per 1,000 population",
"2025 Q2","Birth Rates","Age-specific Birth Rates","25-29 years","All races and origins","89.4","per 1,000 population",
"2025 Q2","Birth Rates","Age-specific Birth Rates","25-29 years","Hispanic","110.2","per 1,000 population",
"2025 Q2","Birth Rates","Age-specific Birth Rates","25-29 years","Non-Hispanic Black","79.0","per 1,000 population",
"2025 Q2","Birth Rates","Age-specific Birth Rates","25-29 years","Non-Hispanic White","89.1","per 1,000 population",
"2025 Q2","Birth Rates","Age-specific Birth Rates","30-34 years","All races and origins","94.4","per 1,000 population",
"2025 Q2","Birth Rates","Age-specific Birth Rates","30-34 years","Hispanic","100.2","per 1,000 population",
"2025 Q2","Birth Rates","Age-specific Birth Rates","30-34 years","Non-Hispanic Black","73.1","per 1,000 population",
"2025 Q2","Birth Rates","Age-specific Birth Rates","30-34 years","Non-Hispanic White","98.4","per 1,000 population",
"2025 Q2","Birth Rates","Age-specific Birth Rates","35-39 years","All races and origins","54.6","per 1,000 population",
"2025 Q2","Birth Rates","Age-specific Birth Rates","35-39 years","Hispanic","58.4","per 1,000 population",
"2025 Q2","Birth Rates","Age-specific Birth Rates","35-39 years","Non-Hispanic Black","48.1","per 1,000 population",
"2025 Q2","Birth Rates","Age-specific Birth Rates","35-39 years","Non-Hispanic White","52.9","per 1,000 population",
"2025 Q2","Birth Rates","Age-specific Birth Rates","40-44 years","All races and origins","12.7","per 1,000 population",
"2025 Q2","Birth Rates","Age-specific Birth Rates","40-44 years","Hispanic","15.0","per 1,000 population",
"2025 Q2","Birth Rates","Age-specific Birth Rates","40-44 years","Non-Hispanic Black","14.2","per 1,000 population",
"2025 Q2","Birth Rates","Age-specific Birth Rates","40-44 years","Non-Hispanic White","10.9","per 1,000 population",
"2025 Q2","Birth Rates","Age-specific Birth Rates","45+ years","All races and origins","1.1","per 1,000 population",
"2025 Q2","Birth Rates","Age-specific Birth Rates","45+ years","Hispanic","1.1","per 1,000 population",
"2025 Q2","Birth Rates","Age-specific Birth Rates","45+ years","Non-Hispanic Black","1.4","per 1,000 population",
"2025 Q2","Birth Rates","Age-specific Birth Rates","45+ years","Non-Hispanic White","0.9","per 1,000 population",
"2025 Q2","Method of Delivery","Cesarean Delivery Rates","Cesarean","All races and origins","32.4","per 100 births",
"2025 Q2","Method of Delivery","Cesarean Delivery Rates","Cesarean","Hispanic","32.3","per 100 births",
"2025 Q2","Method of Delivery","Cesarean Delivery Rates","Cesarean","Non-Hispanic Black","37.7","per 100 births",
"2025 Q2","Method of Delivery","Cesarean Delivery Rates","Cesarean","Non-Hispanic White","30.9","per 100 births",
"2025 Q2","Method of Delivery","Cesarean Delivery Rates","Low-risk Cesarean","All races and origins","26.7","per 100 births",
"2025 Q2","Method of Delivery","Cesarean Delivery Rates","Low-risk Cesarean","Hispanic","26.0","per 100 births",
"2025 Q2","Method of Delivery","Cesarean Delivery Rates","Low-risk Cesarean","Non-Hispanic Black","31.9","per 100 births",
"2025 Q2","Method of Delivery","Cesarean Delivery Rates","Low-risk Cesarean","Non-Hispanic White","25.4","per 100 births",
"2025 Q2","Method of Delivery","Vaginal Birth After Cesarean Delivery Rates","Vaginal Birth After Cesarean Delivery","All races and origins","15.7","per 100 births",
"2025 Q2","Method of Delivery","Vaginal Birth After Cesarean Delivery Rates","Vaginal Birth After Cesarean Delivery","Hispanic","15.4","per 100 births",
"2025 Q2","Method of Delivery","Vaginal Birth After Cesarean Delivery Rates","Vaginal Birth After Cesarean Delivery","Non-Hispanic Black","15.0","per 100 births",
"2025 Q2","Method of Delivery","Vaginal Birth After Cesarean Delivery Rates","Vaginal Birth After Cesarean Delivery","Non-Hispanic White","16.1","per 100 births",
"2025 Q2","Gestational Age","Preterm Birth Rates","Total preterm (<37 weeks)","All races and origins","10.40","per 100 births",
"2025 Q2","Gestational Age","Preterm Birth Rates","Total preterm (<37 weeks)","Hispanic","10.09","per 100 births",
"2025 Q2","Gestational Age","Preterm Birth Rates","Total preterm (<37 weeks)","Non-Hispanic Black","14.79","per 100 births",
"2025 Q2","Gestational Age","Preterm Birth Rates","Total preterm (<37 weeks)","Non-Hispanic White","9.48","per 100 births",
"2025 Q2","Gestational Age","Preterm Birth Rates","Early preterm (<34 weeks)","All races and origins","2.72","per 100 births",
"2025 Q2","Gestational Age","Preterm Birth Rates","Early preterm (<34 weeks)","Hispanic","2.61","per 100 births",
"2025 Q2","Gestational Age","Preterm Birth Rates","Early preterm (<34 weeks)","Non-Hispanic Black","4.84","per 100 births",
"2025 Q2","Gestational Age","Preterm Birth Rates","Early preterm (<34 weeks)","Non-Hispanic White","2.24","per 100 births",
"2025 Q2","Gestational Age","Term Birth Rates","Early term (37-38 weeks)","All races and origins","30.53","per 100 births",
"2025 Q2","Gestational Age","Term Birth Rates","Early term (37-38 weeks)","Hispanic","31.17","per 100 births",
"2025 Q2","Gestational Age","Term Birth Rates","Early term (37-38 weeks)","Non-Hispanic Black","34.13","per 100 births",
"2025 Q2","Gestational Age","Term Birth Rates","Early term (37-38 weeks)","Non-Hispanic White","29.01","per 100 births",
"2025 Q2","Gestational Age","Term Birth Rates","Full term (39-40 weeks)","All races and origins","54.40","per 100 births",
"2025 Q2","Gestational Age","Term Birth Rates","Full term (39-40 weeks)","Hispanic","54.65","per 100 births",
"2025 Q2","Gestational Age","Term Birth Rates","Full term (39-40 weeks)","Non-Hispanic Black","47.54","per 100 births",
"2025 Q2","Gestational Age","Term Birth Rates","Full term (39-40 weeks)","Non-Hispanic White","56.06","per 100 births",
"2025 Q2","Gestational Age","Preterm Birth Rates","Late preterm (34-36 weeks)","All races and origins","7.68","per 100 births",
"2025 Q2","Gestational Age","Preterm Birth Rates","Late preterm (34-36 weeks)","Hispanic","7.48","per 100 births",
"2025 Q2","Gestational Age","Preterm Birth Rates","Late preterm (34-36 weeks)","Non-Hispanic Black","9.95","per 100 births",
"2025 Q2","Gestational Age","Preterm Birth Rates","Late preterm (34-36 weeks)","Non-Hispanic White","7.24","per 100 births",
"2025 Q2","Gestational Age","Term Birth Rates","Late term (41 weeks)","All races and origins","4.67","per 100 births",
"2025 Q2","Gestational Age","Term Birth Rates","Late term (41 weeks)","Hispanic","4.10","per 100 births",
"2025 Q2","Gestational Age","Term Birth Rates","Late term (41 weeks)","Non-Hispanic Black","3.54","per 100 births",
"2025 Q2","Gestational Age","Term Birth Rates","Late term (41 weeks)","Non-Hispanic White","5.45","per 100 births",
"2025 Q2","Birthweight","Low Birthweight Rates","Low birthweight (Less than 2,500g)","All races and origins","8.48","per 100 births",
"2025 Q2","Birthweight","Low Birthweight Rates","Low birthweight (Less than 2,500g)","Hispanic","7.87","per 100 births",
"2025 Q2","Birthweight","Low Birthweight Rates","Low birthweight (Less than 2,500g)","Non-Hispanic Black","14.93","per 100 births",
"2025 Q2","Birthweight","Low Birthweight Rates","Low birthweight (Less than 2,500g)","Non-Hispanic White","6.91","per 100 births",
"2025 Q2","Source of Payment for the Delivery","Medicaid","Medicaid","All races and origins","39.7","per 100 births",
"2025 Q2","Source of Payment for the Delivery","Medicaid","Medicaid","Hispanic","56.9","per 100 births",
"2025 Q2","Source of Payment for the Delivery","Medicaid","Medicaid","Non-Hispanic Black","61.9","per 100 births",
"2025 Q2","Source of Payment for the Delivery","Medicaid","Medicaid","Non-Hispanic White","26.1","per 100 births",
"2025 Q2","NICU Admission","NICU Admission Rates","NICU Admission","All races and origins","9.9","per 100 births",
"2025 Q2","NICU Admission","NICU Admission Rates","NICU Admission","Hispanic","8.9","per 100 births",
"2025 Q2","NICU Admission","NICU Admission Rates","NICU Admission","Non-Hispanic Black","13.5","per 100 births",
"2025 Q2","NICU Admission","NICU Admission Rates","NICU Admission","Non-Hispanic White","9.7","per 100 births",
"2025 Q1","Birth Rates","Teen Birth Rates","10-14 years","All races and origins","0.2","per 1,000 population",
"2025 Q1","Birth Rates","Teen Birth Rates","10-14 years","Hispanic","0.3","per 1,000 population",
"2025 Q1","Birth Rates","Teen Birth Rates","10-14 years","Non-Hispanic Black","0.3","per 1,000 population",
"2025 Q1","Birth Rates","Teen Birth Rates","10-14 years","Non-Hispanic White","0.1","per 1,000 population",
"2025 Q1","Birth Rates","Teen Birth Rates","15-17 years","All races and origins","5.2","per 1,000 population",
"2025 Q1","Birth Rates","Teen Birth Rates","15-17 years","Hispanic","8.7","per 1,000 population",
"2025 Q1","Birth Rates","Teen Birth Rates","15-17 years","Non-Hispanic Black","8.0","per 1,000 population",
"2025 Q1","Birth Rates","Teen Birth Rates","15-17 years","Non-Hispanic White","2.9","per 1,000 population",
"2025 Q1","Birth Rates","Teen Birth Rates","18-19 years","All races and origins","23.4","per 1,000 population",
"2025 Q1","Birth Rates","Teen Birth Rates","18-19 years","Hispanic","37.2","per 1,000 population",
"2025 Q1","Birth Rates","Teen Birth Rates","18-19 years","Non-Hispanic Black","31.7","per 1,000 population",
"2025 Q1","Birth Rates","Teen Birth Rates","18-19 years","Non-Hispanic White","15.9","per 1,000 population",
"2025 Q1","Birth Rates","Teen Birth Rates","15-19 years","All races and origins","12.5","per 1,000 population",
"2025 Q1","Birth Rates","Teen Birth Rates","15-19 years","Hispanic","20.0","per 1,000 population",
"2025 Q1","Birth Rates","Teen Birth Rates","15-19 years","Non-Hispanic Black","17.4","per 1,000 population",
"2025 Q1","Birth Rates","Teen Birth Rates","15-19 years","Non-Hispanic White","8.1","per 1,000 population",
"2025 Q1","Birth Rates","General Fertility Rates","15-44 years","All races and origins","54.5","per 1,000 population",
"2025 Q1","Birth Rates","General Fertility Rates","15-44 years","Hispanic","65.9","per 1,000 population",
"2025 Q1","Birth Rates","General Fertility Rates","15-44 years","Non-Hispanic Black","50.9","per 1,000 population",
"2025 Q1","Birth Rates","General Fertility Rates","15-44 years","Non-Hispanic White","51.6","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","10-14 years","All races and origins","0.2","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","10-14 years","Hispanic","0.3","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","10-14 years","Non-Hispanic Black","0.3","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","10-14 years","Non-Hispanic White","0.1","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","15-19 years","All races and origins","12.5","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","15-19 years","Hispanic","20.0","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","15-19 years","Non-Hispanic Black","17.4","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","15-19 years","Non-Hispanic White","8.1","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","20-24 years","All races and origins","56.1","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","20-24 years","Hispanic","81.3","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","20-24 years","Non-Hispanic Black","64.0","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","20-24 years","Non-Hispanic White","46.7","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","25-29 years","All races and origins","91.1","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","25-29 years","Hispanic","114.4","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","25-29 years","Non-Hispanic Black","80.8","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","25-29 years","Non-Hispanic White","89.1","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","30-34 years","All races and origins","95.6","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","30-34 years","Hispanic","103.2","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","30-34 years","Non-Hispanic Black","74.2","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","30-34 years","Non-Hispanic White","98.1","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","35-39 years","All races and origins","55.1","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","35-39 years","Hispanic","60.0","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","35-39 years","Non-Hispanic Black","48.4","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","35-39 years","Non-Hispanic White","52.7","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","40-44 years","All races and origins","12.8","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","40-44 years","Hispanic","15.3","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","40-44 years","Non-Hispanic Black","14.1","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","40-44 years","Non-Hispanic White","10.8","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","45+ years","All races and origins","1.1","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","45+ years","Hispanic","1.1","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","45+ years","Non-Hispanic Black","1.5","per 1,000 population",
"2025 Q1","Birth Rates","Age-specific Birth Rates","45+ years","Non-Hispanic White","0.9","per 1,000 population",
"2025 Q1","Method of Delivery","Cesarean Delivery Rates","Cesarean","All races and origins","32.4","per 100 births",
"2025 Q1","Method of Delivery","Cesarean Delivery Rates","Cesarean","Hispanic","32.2","per 100 births",
"2025 Q1","Method of Delivery","Cesarean Delivery Rates","Cesarean","Non-Hispanic Black","37.6","per 100 births",
"2025 Q1","Method of Delivery","Cesarean Delivery Rates","Cesarean","Non-Hispanic White","31.0","per 100 births",
"2025 Q1","Method of Delivery","Cesarean Delivery Rates","Low-risk Cesarean","All races and origins","26.7","per 100 births",
"2025 Q1","Method of Delivery","Cesarean Delivery Rates","Low-risk Cesarean","Hispanic","25.9","per 100 births",
"2025 Q1","Method of Delivery","Cesarean Delivery Rates","Low-risk Cesarean","Non-Hispanic Black","31.7","per 100 births",
"2025 Q1","Method of Delivery","Cesarean Delivery Rates","Low-risk Cesarean","Non-Hispanic White","25.5","per 100 births",
"2025 Q1","Method of Delivery","Vaginal Birth After Cesarean Delivery Rates","Vaginal Birth After Cesarean Delivery","All races and origins","15.6","per 100 births",
"2025 Q1","Method of Delivery","Vaginal Birth After Cesarean Delivery Rates","Vaginal Birth After Cesarean Delivery","Hispanic","15.3","per 100 births",
"2025 Q1","Method of Delivery","Vaginal Birth After Cesarean Delivery Rates","Vaginal Birth After Cesarean Delivery","Non-Hispanic Black","15.1","per 100 births",
"2025 Q1","Method of Delivery","Vaginal Birth After Cesarean Delivery Rates","Vaginal Birth After Cesarean Delivery","Non-Hispanic White","15.8","per 100 births",
"2025 Q1","Gestational Age","Preterm Birth Rates","Total preterm (<37 weeks)","All races and origins","10.39","per 100 births",
"2025 Q1","Gestational Age","Preterm Birth Rates","Total preterm (<37 weeks)","Hispanic","10.06","per 100 births",
"2025 Q1","Gestational Age","Preterm Birth Rates","Total preterm (<37 weeks)","Non-Hispanic Black","14.82","per 100 births",
"2025 Q1","Gestational Age","Preterm Birth Rates","Total preterm (<37 weeks)","Non-Hispanic White","9.47","per 100 births",
"2025 Q1","Gestational Age","Preterm Birth Rates","Early preterm (<34 weeks)","All races and origins","2.72","per 100 births",
"2025 Q1","Gestational Age","Preterm Birth Rates","Early preterm (<34 weeks)","Hispanic","2.58","per 100 births",
"2025 Q1","Gestational Age","Preterm Birth Rates","Early preterm (<34 weeks)","Non-Hispanic Black","4.87","per 100 births",
"2025 Q1","Gestational Age","Preterm Birth Rates","Early preterm (<34 weeks)","Non-Hispanic White","2.24","per 100 births",
"2025 Q1","Gestational Age","Term Birth Rates","Early term (37-38 weeks)","All races and origins","30.39","per 100 births",
"2025 Q1","Gestational Age","Term Birth Rates","Early term (37-38 weeks)","Hispanic","30.98","per 100 births",
"2025 Q1","Gestational Age","Term Birth Rates","Early term (37-38 weeks)","Non-Hispanic Black","33.98","per 100 births",
"2025 Q1","Gestational Age","Term Birth Rates","Early term (37-38 weeks)","Non-Hispanic White","28.88","per 100 births",
"2025 Q1","Gestational Age","Term Birth Rates","Full term (39-40 weeks)","All races and origins","54.54","per 100 births",
"2025 Q1","Gestational Age","Term Birth Rates","Full term (39-40 weeks)","Hispanic","54.80","per 100 births",
"2025 Q1","Gestational Age","Term Birth Rates","Full term (39-40 weeks)","Non-Hispanic Black","47.64","per 100 births",
"2025 Q1","Gestational Age","Term Birth Rates","Full term (39-40 weeks)","Non-Hispanic White","56.21","per 100 births",
"2025 Q1","Gestational Age","Preterm Birth Rates","Late preterm (34-36 weeks)","All races and origins","7.68","per 100 births",
"2025 Q1","Gestational Age","Preterm Birth Rates","Late preterm (34-36 weeks)","Hispanic","7.48","per 100 births",
"2025 Q1","Gestational Age","Preterm Birth Rates","Late preterm (34-36 weeks)","Non-Hispanic Black","9.95","per 100 births",
"2025 Q1","Gestational Age","Preterm Birth Rates","Late preterm (34-36 weeks)","Non-Hispanic White","7.23","per 100 births",
"2025 Q1","Gestational Age","Term Birth Rates","Late term (41 weeks)","All races and origins","4.68","per 100 births",
"2025 Q1","Gestational Age","Term Birth Rates","Late term (41 weeks)","Hispanic","4.16","per 100 births",
"2025 Q1","Gestational Age","Term Birth Rates","Late term (41 weeks)","Non-Hispanic Black","3.57","per 100 births",
"2025 Q1","Gestational Age","Term Birth Rates","Late term (41 weeks)","Non-Hispanic White","5.43","per 100 births",
"2025 Q1","Birthweight","Low Birthweight Rates","Low birthweight (Less than 2,500g)","All races and origins","8.50","per 100 births",
"2025 Q1","Birthweight","Low Birthweight Rates","Low birthweight (Less than 2,500g)","Hispanic","7.83","per 100 births",
"2025 Q1","Birthweight","Low Birthweight Rates","Low birthweight (Less than 2,500g)","Non-Hispanic Black","15.00","per 100 births",
"2025 Q1","Birthweight","Low Birthweight Rates","Low birthweight (Less than 2,500g)","Non-Hispanic White","6.94","per 100 births",
"2025 Q1","Source of Payment for the Delivery","Medicaid","Medicaid","All races and origins","39.9","per 100 births",
"2025 Q1","Source of Payment for the Delivery","Medicaid","Medicaid","Hispanic","57.1","per 100 births",
