"level","perc_diff","pcr_percent_positive","percent_pos_2_week","percent_pos_4_week","pcr_detections","detections_2_week","detections_4_week","pcr_tests","posted","mmwrweek_end"
"National","-0.6","1","1.5","1.3","151","1259","5269",,"2023-09-21T23:36:00.000","2020-04-11T00:00:00.000"
"National","-0.3","0.6","0.9","1.4","75","493","3255",,"2023-09-21T23:36:00.000","2020-04-18T00:00:00.000"
"National","-0.2","0.5","0.6","1.1","50","226","1485",,"2023-09-21T23:36:00.000","2020-04-25T00:00:00.000"
"National","-0.1","0.5","0.3","0.6","40","125","618",,"2023-09-21T23:36:00.000","2020-05-02T00:00:00.000"
"National","-0.1","0.3","0.3","0.3","20","90","316",,"2023-09-21T23:36:00.000","2020-05-09T00:00:00.000"
"National","-0.1","0.2","0.2","0.2","14","60","185",,"2023-09-21T23:36:00.000","2020-05-16T00:00:00.000"
"National","0","0.2","0.1","0.1","12","34","124",,"2023-09-21T23:36:00.000","2020-05-23T00:00:00.000"
"National","0","0.2","0.1","0.1","13","26","86",,"2023-09-21T23:36:00.000","2020-05-30T00:00:00.000"
"National","0","0.1","0.1","0.1","8","25","59",,"2023-09-21T23:36:00.000","2020-06-06T00:00:00.000"
"National","0","0.2","0.1","0.1","11","21","47",,"2023-09-21T23:36:00.000","2020-06-13T00:00:00.000"
"National","0","0.3","0.1","0.1","19","19","44",,"2023-09-21T23:36:00.000","2020-06-20T00:00:00.000"
"National","0","0.1","0.1","0.1","7","30","51",,"2023-09-21T23:36:00.000","2020-06-27T00:00:00.000"
"National","-0.1","0.1","0.2","0","6","26","45",,"2023-09-21T23:36:00.000","2020-07-04T00:00:00.000"
"National","0","0.2","0.1","0","12","13","43",,"2023-09-21T23:36:00.000","2020-07-11T00:00:00.000"
"National","0","0.3","0","0.1","21","18","44",,"2023-09-21T23:36:00.000","2020-07-18T00:00:00.000"
"National","0","0.1","0.1","0","10","33","46",,"2023-09-21T23:36:00.000","2020-07-25T00:00:00.000"
"National","-0.1","0.1","0.1","0","10","31","49",,"2023-09-21T23:36:00.000","2020-08-01T00:00:00.000"
"National","0","0.1","0.1","0","5","20","53",,"2023-09-21T23:36:00.000","2020-08-08T00:00:00.000"
"National","0","0.1","0.1","0.1","6","15","46",,"2023-09-21T23:36:00.000","2020-08-15T00:00:00.000"
"National","0","0.1","0","0","6","11","31",,"2023-09-21T23:36:00.000","2020-08-22T00:00:00.000"
"National","0","0.1","0","0","10","12","27",,"2023-09-21T23:36:00.000","2020-08-29T00:00:00.000"
"National","0","0","0","0","1","16","27",,"2023-09-21T23:36:00.000","2020-09-05T00:00:00.000"
"National","0","0.1","0.1","0","6","11","23",,"2023-09-21T23:36:00.000","2020-09-12T00:00:00.000"
"National","0","0.1","0","0","5","7","23",,"2023-09-21T23:36:00.000","2020-09-19T00:00:00.000"
"National","0","0.1","0","0","8","11","22",,"2023-09-21T23:36:00.000","2020-09-26T00:00:00.000"
"National","0","0","0","0","5","13","20",,"2023-09-21T23:36:00.000","2020-10-03T00:00:00.000"
"National","0","0.1","0","0","14","13","24",,"2023-09-21T23:36:00.000","2020-10-10T00:00:00.000"
"National","0","0.1","0","0","15","19","32",,"2023-09-21T23:36:00.000","2020-10-17T00:00:00.000"
"National","0","0","0.1","0","6","29","42",,"2023-09-21T23:36:00.000","2020-10-24T00:00:00.000"
"National","0","0.1","0.1","0","22","21","40",,"2023-09-21T23:36:00.000","2020-10-31T00:00:00.000"
"National","0","0.1","0","0","13","28","57",,"2023-09-21T23:36:00.000","2020-11-07T00:00:00.000"
"National","0","0.1","0.1","0","13","35","56",,"2023-09-21T23:36:00.000","2020-11-14T00:00:00.000"
"National","0","0","0","0","7","26","54",,"2023-09-21T23:36:00.000","2020-11-21T00:00:00.000"
"National","0","0","0","0","6","20","55",,"2023-09-21T23:36:00.000","2020-11-28T00:00:00.000"
"National","0.1","0.1","0","0","21","13","39",,"2023-09-21T23:36:00.000","2020-12-05T00:00:00.000"
"National","0","0.2","0","0","58","27","47",,"2023-09-21T23:36:00.000","2020-12-12T00:00:00.000"
"National","0","0.1","0","0","13","79","92",,"2023-09-21T23:36:00.000","2020-12-19T00:00:00.000"
"National","-0.1","0","0.1","0","8","71","98",,"2023-09-21T23:36:00.000","2020-12-26T00:00:00.000"
"National","0","0.1","0","0","17","21","100",,"2023-09-21T23:36:00.000","2021-01-02T00:00:00.000"
"National","0","0.1","0","0.1","19","25","96",,"2023-09-21T23:36:00.000","2021-01-09T00:00:00.000"
"National","0","0.1","0","0","17","36","57",,"2023-09-21T23:36:00.000","2021-01-16T00:00:00.000"
"National","0","0.1","0","0","28","36","61",,"2023-09-21T23:36:00.000","2021-01-23T00:00:00.000"
"National","0","0.1","0","0","30","45","81",,"2023-09-21T23:36:00.000","2021-01-30T00:00:00.000"
"National","0","0.1","0.1","0","29","58","94",,"2023-09-21T23:36:00.000","2021-02-06T00:00:00.000"
"National","0","0.1","0.1","0","32","59","104",,"2023-09-21T23:36:00.000","2021-02-13T00:00:00.000"
"National","0","0.2","0.1","0","34","61","119",,"2023-09-21T23:36:00.000","2021-02-20T00:00:00.000"
"National","0","0.2","0.1","0","41","66","125",,"2023-09-21T23:36:00.000","2021-02-27T00:00:00.000"
"National","0.1","0.3","0.1","0","57","75","136",,"2023-09-21T23:36:00.000","2021-03-06T00:00:00.000"
"National","0","0.3","0.1","0","74","98","164",,"2023-09-21T23:36:00.000","2021-03-13T00:00:00.000"
"National","0.1","0.3","0.1","0","74","131","206",,"2023-09-21T23:36:00.000","2021-03-20T00:00:00.000"
"National","0.1","0.6","0.2","0","145","148","246",,"2023-09-21T23:36:00.000","2021-03-27T00:00:00.000"
"National","0.2","0.6","0.2","0.1","154","219","350",,"2023-09-21T23:36:00.000","2021-04-03T00:00:00.000"
"National","0.2","0.8","0.3","0.1","199","299","447",,"2023-09-21T23:36:00.000","2021-04-10T00:00:00.000"
"National","0.2","1.1","0.3","0.1","249","353","572",,"2023-09-21T23:36:00.000","2021-04-17T00:00:00.000"
"National","0.2","1.3","0.4","0.2","303","448","747",,"2023-09-21T23:36:00.000","2021-04-24T00:00:00.000"
"National","0.2","1.5","0.5","0.2","336","552","905",,"2023-09-21T23:36:00.000","2021-05-01T00:00:00.000"
"National","0.3","1.7","0.7","0.2","369","639","1087",,"2023-09-21T23:36:00.000","2021-05-08T00:00:00.000"
"National","0.4","2.3","0.8","0.3","462","705","1257",,"2023-09-21T23:36:00.000","2021-05-15T00:00:00.000"
"National","0.4","2.6","0.9","0.3","514","831","1470",,"2023-09-21T23:36:00.000","2021-05-22T00:00:00.000"
"National","0.7","3","1.2","0.4","527","976","1681",,"2023-09-21T23:36:00.000","2021-05-29T00:00:00.000"
"National","0.7","4.3","1.4","0.5","719","1041","1872",,"2023-09-21T23:36:00.000","2021-06-05T00:00:00.000"
"National","1.1","4.7","1.5","0.6","805","1246","2222",,"2023-09-21T23:36:00.000","2021-06-12T00:00:00.000"
"National","1.3","6.3","2.1","0.7","1148","1524","2565",,"2023-09-21T23:36:00.000","2021-06-19T00:00:00.000"
"National","1.6","8.2","2.3","0.8","1396","1953","3199",,"2023-09-21T23:36:00.000","2021-06-26T00:00:00.000"
"National","1.1","9.6","3.3","1","1574","2544","4068",,"2023-09-21T23:36:00.000","2021-07-03T00:00:00.000"
"National","0.8","9.8","4.2","1.2","2059","2970","4923",,"2023-09-21T23:36:00.000","2021-07-10T00:00:00.000"
"National","1","10.6","4.2","1.6","2403","3633","6177",,"2023-09-21T23:36:00.000","2021-07-17T00:00:00.000"
"National","1.4","12.5","4.7","1.8","2904","4462","7432",,"2023-09-21T23:36:00.000","2021-07-24T00:00:00.000"
"National","1","14","5.2","1.9","3390","5307","8940",,"2023-09-21T23:36:00.000","2021-07-31T00:00:00.000"
"National","0.3","13.5","6.1","2.3","3411","6294","10756",,"2023-09-21T23:36:00.000","2021-08-07T00:00:00.000"
"National","0.2","13.5","6.9","2.5","3695","6801","12108",,"2023-09-21T23:36:00.000","2021-08-14T00:00:00.000"
"National","-0.1","14.7","6.5","2.9","4013","7106","13400",,"2023-09-21T23:36:00.000","2021-08-21T00:00:00.000"
"National","0","13.3","6.8","3.3","4237","7708","14509",,"2023-09-21T23:36:00.000","2021-08-28T00:00:00.000"
"National","-0.5","13.4","6.8","3.1","4225","8250","15356",,"2023-09-21T23:36:00.000","2021-09-04T00:00:00.000"
"National","-0.2","13.1","6.7","3.1","4297","8462","16170",,"2023-09-21T23:36:00.000","2021-09-11T00:00:00.000"
"National","-0.2","12.8","6.6","3.3","4523","8522","16772",,"2023-09-21T23:36:00.000","2021-09-18T00:00:00.000"
"National","-0.2","12.7","6.3","3.2","4405","8820","17282",,"2023-09-21T23:36:00.000","2021-09-25T00:00:00.000"
"National","-0.2","12.6","6.5","3.1","4639","8928","17450",,"2023-09-21T23:36:00.000","2021-10-02T00:00:00.000"
"National","-0.7","12.2","6.2","3.1","4652","9044","17864",,"2023-09-21T23:36:00.000","2021-10-09T00:00:00.000"
"National","-0.7","10.7","6.2","3.1","4001","9291","18219",,"2023-09-21T23:36:00.000","2021-10-16T00:00:00.000"
"National","-1","10.5","6.2","3","4191","8653","17697",,"2023-09-21T23:36:00.000","2021-10-23T00:00:00.000"
"National","-0.6","9.2","5.2","3.1","3866","8192","17483",,"2023-09-21T23:36:00.000","2021-10-30T00:00:00.000"
"National","-0.7","9","5.1","3","4179","8057","16710",,"2023-09-21T23:36:00.000","2021-11-06T00:00:00.000"
"National","-0.6","8.4","4.4","2.4","4166","8045","16237",,"2023-09-21T23:36:00.000","2021-11-13T00:00:00.000"
"National","-0.7","7.6","4.3","2.4","4374","8345","16402",,"2023-09-21T23:36:00.000","2021-11-20T00:00:00.000"
"National","-0.5","7","3.9","2","4118","8540","16585",,"2023-09-21T23:36:00.000","2021-11-27T00:00:00.000"
"National","-0.5","6.8","3.7","2","4402","8492","16837",,"2023-09-21T23:36:00.000","2021-12-04T00:00:00.000"
"National","-0.7","5.9","3.3","1.8","4474","8520","17060",,"2023-09-21T23:36:00.000","2021-12-11T00:00:00.000"
"National","-0.9","5","3.1","1.7","4283","8876","17368",,"2023-09-21T23:36:00.000","2021-12-18T00:00:00.000"
"National","-0.8","4.3","2.8","1.4","4076","8757","17277",,"2023-09-21T23:36:00.000","2021-12-25T00:00:00.000"
"National","-0.6","3.4","2.4","1.4","3488","8359","17235",,"2023-09-21T23:36:00.000","2022-01-01T00:00:00.000"
"National","-0.7","3.2","2.1","1.2","3371","7564","16321",,"2023-09-21T23:36:00.000","2022-01-08T00:00:00.000"
"National","-0.5","2.2","1.7","1.1","1969","6859","15218",,"2023-09-21T23:36:00.000","2022-01-15T00:00:00.000"
"National","-0.5","2.1","1.7","1","1413","5340","12904",,"2023-09-21T23:36:00.000","2022-01-22T00:00:00.000"
"National","-0.2","1.7","1.3","1","947","3382","10241",,"2023-09-21T23:36:00.000","2022-01-29T00:00:00.000"
"National","-0.2","1.5","1.1","1.1","747","2360","7700",,"2023-09-21T23:36:00.000","2022-02-05T00:00:00.000"
"National","-0.1","1.4","0.9","0.8","633","1694","5076",,"2023-09-21T23:36:00.000","2022-02-12T00:00:00.000"
"National","-0.1","1.3","0.8","0.7","575","1380","3740",,"2023-09-21T23:36:00.000","2022-02-19T00:00:00.000"
"National","-0.1","1.2","0.7","0.5","497","1208","2902",,"2023-09-21T23:36:00.000","2022-02-26T00:00:00.000"
"National","0","1.1","0.7","0.4","452","1072","2452",,"2023-09-21T23:36:00.000","2022-03-05T00:00:00.000"
"National","0","1.2","0.6","0.4","517","949","2157",,"2023-09-21T23:36:00.000","2022-03-12T00:00:00.000"
"National","0","1.1","0.5","0.3","479","969","2041",,"2023-09-21T23:36:00.000","2022-03-19T00:00:00.000"
"National","0","1","0.6","0.3","457","996","1945",,"2023-09-21T23:36:00.000","2022-03-26T00:00:00.000"
"National","0","1","0.5","0.3","466","936","1905",,"2023-09-21T23:36:00.000","2022-04-02T00:00:00.000"
"National","0","1","0.5","0.3","509","923","1919",,"2023-09-21T23:36:00.000","2022-04-09T00:00:00.000"
"National","0","1.1","0.5","0.3","529","975","1911",,"2023-09-21T23:36:00.000","2022-04-16T00:00:00.000"
"National","0.1","1.1","0.5","0.2","566","1038","1961",,"2023-09-21T23:36:00.000","2022-04-23T00:00:00.000"
"National","0.1","1.4","0.5","0.2","737","1095","2070",,"2023-09-21T23:36:00.000","2022-04-30T00:00:00.000"
"National","0.2","1.3","0.5","0.3","748","1303","2341",,"2023-09-21T23:36:00.000","2022-05-07T00:00:00.000"
"National","0.1","1.6","0.7","0.3","999","1485","2580",,"2023-09-21T23:36:00.000","2022-05-14T00:00:00.000"
"National","0.2","1.8","0.6","0.3","1091","1747","3050",,"2023-09-21T23:36:00.000","2022-05-21T00:00:00.000"
"National","0.3","2","0.8","0.3","1223","2090","3575",,"2023-09-21T23:36:00.000","2022-05-28T00:00:00.000"
"National","0.3","2.6","0.9","0.3","1505","2314","4061",,"2023-09-21T23:36:00.000","2022-06-04T00:00:00.000"
"National","0.4","2.7","1","0.4","1558","2728","4818",,"2023-09-21T23:36:00.000","2022-06-11T00:00:00.000"
"National","0.1","3.1","1.3","0.5","1520","3063","5377",,"2023-09-21T23:36:00.000","2022-06-18T00:00:00.000"
"National","0.2","3.1","1.5","0.5","1450","3078","5806",,"2023-09-21T23:36:00.000","2022-06-25T00:00:00.000"
"National","0","3.3","1.6","0.7","1432","2970","6033",,"2023-09-21T23:36:00.000","2022-07-02T00:00:00.000"
"National","-0.1","3.1","1.6","0.8","1435","2882","5960",,"2023-09-21T23:36:00.000","2022-07-09T00:00:00.000"
"National","-0.1","2.8","1.6","0.8","1297","2867","5837",,"2023-09-21T23:36:00.000","2022-07-16T00:00:00.000"
"National","0","3.1","1.5","0.8","1473","2732","5614",,"2023-09-21T23:36:00.000","2022-07-23T00:00:00.000"
"National","0.1","3","1.4","0.8","1310","2770","5637",,"2023-09-21T23:36:00.000","2022-07-30T00:00:00.000"
"National","0","3","1.6","0.8","1258","2783","5515",,"2023-09-21T23:36:00.000","2022-08-06T00:00:00.000"
"National","0","3.2","1.5","0.7","1309","2568","5338",,"2023-09-21T23:36:00.000","2022-08-13T00:00:00.000"
"National","0.2","3.1","1.5","0.8","1312","2567","5350",,"2023-09-21T23:36:00.000","2022-08-20T00:00:00.000"
"National","0.3","3.7","1.6","0.8","1634","2621","5189",,"2023-09-21T23:36:00.000","2022-08-27T00:00:00.000"
"National","0.7","4.2","1.5","0.7","1953","2946","5513",,"2023-09-21T23:36:00.000","2022-09-03T00:00:00.000"
"National","0.9","5.3","1.8","0.7","2502","3587","6208",,"2023-09-21T23:36:00.000","2022-09-10T00:00:00.000"
"National","1.4","6.4","2.1","0.7","3148","4455","7401",,"2023-09-21T23:36:00.000","2022-09-17T00:00:00.000"
"National","1.7","8.2","2.6","0.9","4381","5650","9237",,"2023-09-21T23:36:00.000","2022-09-24T00:00:00.000"
"National","2.1","10.4","3.1","1","5472","7529","11984",,"2023-09-21T23:36:00.000","2022-10-01T00:00:00.000"
"National","2.2","12.7","4.1","1.2","6986","9853","15503",,"2023-09-21T23:36:00.000","2022-10-08T00:00:00.000"
"National","2.1","14.9","5.1","1.5","9006","12458","19987",,"2023-09-21T23:36:00.000","2022-10-15T00:00:00.000"
"National","1.9","16.7","6","2","11413","15992","25845",,"2023-09-21T23:36:00.000","2022-10-22T00:00:00.000"
"National","1.4","18.5","7","2.3","14985","20419","32877",,"2023-09-21T23:36:00.000","2022-10-29T00:00:00.000"
"National","0.9","19.2","7.6","2.6","18421","26398","42390",,"2023-09-21T23:36:00.000","2022-11-05T00:00:00.000"
"National","-0.6","19.5","8.5","2.9","20196","33406","53825",,"2023-09-21T23:36:00.000","2022-11-12T00:00:00.000"
"National","-1.9","16.6","9.2","3.3","19148","38617","65015",,"2023-09-21T23:36:00.000","2022-11-19T00:00:00.000"
"National","-3","13.4","9.2","3.8","15652","39344","72750",,"2023-09-21T23:36:00.000","2022-11-26T00:00:00.000"
"National","-2.9","10.4","8.3","4.3","14526","34800","73417",,"2023-09-21T23:36:00.000","2022-12-03T00:00:00.000"
"National","-2.2","7.9","6.1","4.3","10549","30178","69522",,"2023-09-21T23:36:00.000","2022-12-10T00:00:00.000"
"National","-1.6","6.7","5.3","3.8","8533","25075","59875",,"2023-09-21T23:36:00.000","2022-12-17T00:00:00.000"
"National","-0.9","5.6","4","3","6052","19082","49260",,"2023-09-21T23:36:00.000","2022-12-24T00:00:00.000"
"National","-0.6","5.1","3.6","2.8","5282","14585","39660",,"2023-09-21T23:36:00.000","2022-12-31T00:00:00.000"
"National","-0.5","4.9","2.9","2.2","4412","11334","30416",,"2023-09-21T23:36:00.000","2023-01-07T00:00:00.000"
"National","-0.6","4.1","2.7","2","3234","9694","24279",,"2023-09-21T23:36:00.000","2023-01-14T00:00:00.000"
"National","-0.8","3.3","2.6","1.6","2396","7646","18980",,"2023-09-21T23:36:00.000","2023-01-21T00:00:00.000"
"National","-0.6","2.5","2.1","1.5","1813","5630","15324",,"2023-09-21T23:36:00.000","2023-01-28T00:00:00.000"
"National","-0.5","2.2","1.7","1.4","1577","4209","11855",,"2023-09-21T23:36:00.000","2023-02-04T00:00:00.000"
"National","-0.3","1.8","1.3","1.1","1292","3390","9020",,"2023-09-21T23:36:00.000","2023-02-11T00:00:00.000"
"National","-0.3","1.6","1.1","0.8","1098","2869","7078",,"2023-09-21T23:36:00.000","2023-02-18T00:00:00.000"
"National","-0.2","1.4","0.9","0.6","907","2390","5780",,"2023-09-21T23:36:00.000","2023-02-25T00:00:00.000"
"National","-0.2","1.2","0.8","0.6","801","2005","4874",,"2023-09-21T23:36:00.000","2023-03-04T00:00:00.000"
"National","-0.1","1.1","0.7","0.5","660","1708","4098",,"2023-09-21T23:36:00.000","2023-03-11T00:00:00.000"
"National","-0.1","0.9","0.6","0.4","569","1461","3466",,"2023-09-21T23:36:00.000","2023-03-18T00:00:00.000"
"National","-0.1","0.8","0.5","0.4","492","1229","2937",,"2023-09-21T23:36:00.000","2023-03-25T00:00:00.000"
"National","-0.1","0.7","0.5","0.3","416","1061","2522",,"2023-09-21T23:36:00.000","2023-04-01T00:00:00.000"
"National","-0.1","0.6","0.4","0.3","335","908","2137",,"2023-09-21T23:36:00.000","2023-04-08T00:00:00.000"
"National","-0.1","0.6","0.4","0.2","261","751","1812",,"2023-09-21T23:36:00.000","2023-04-15T00:00:00.000"
"National","0","0.6","0.3","0.2","232","596","1504",,"2023-09-21T23:36:00.000","2023-04-22T00:00:00.000"
"National","0","0.5","0.3","0.2","197","493","1244",,"2023-09-21T23:36:00.000","2023-04-29T00:00:00.000"
"National","0","0.5","0.3","0.2","175","429","1025",,"2023-09-21T23:36:00.000","2023-05-06T00:00:00.000"
"National","0","0.5","0.3","0.2","186","372","865",,"2023-09-21T23:36:00.000","2023-05-13T00:00:00.000"
"National","0","0.5","0.2","0.1","169","361","790",,"2023-09-21T23:36:00.000","2023-05-20T00:00:00.000"
"National","0","0.4","0.3","0.1","139","355","727",,"2023-09-21T23:36:00.000","2023-05-27T00:00:00.000"
"National","0","0.5","0.2","0.1","174","308","669",,"2023-09-21T23:36:00.000","2023-06-03T00:00:00.000"
"National","0","0.5","0.2","0.1","145","313","668",,"2023-09-21T23:36:00.000","2023-06-10T00:00:00.000"
"National","0","0.5","0.3","0.1","125","319","627",,"2023-09-21T23:36:00.000","2023-06-17T00:00:00.000"
"National","0.1","0.6","0.3","0.1","158","270","583",,"2023-09-21T23:36:00.000","2023-06-24T00:00:00.000"
"National","0","0.6","0.2","0.2","147","283","602",,"2023-09-21T23:36:00.000","2023-07-01T00:00:00.000"
"National","0","0.6","0.3","0.1","134","305","575",,"2023-09-21T23:36:00.000","2023-07-08T00:00:00.000"
"National","0","0.6","0.3","0.1","148","281","564",,"2023-09-21T23:36:00.000","2023-07-15T00:00:00.000"
"National","0.1","0.8","0.3","0.2","183","282","587",,"2023-09-21T23:36:00.000","2023-07-22T00:00:00.000"
"National","0.1","0.8","0.3","0.2","198","331","612",,"2023-09-21T23:36:00.000","2023-07-29T00:00:00.000"
"National","0","0.9","0.4","0.1","225","381","663",,"2023-09-21T23:36:00.000","2023-08-05T00:00:00.000"
"National","0","0.9","0.4","0.2","227","423","754",,"2023-09-21T23:36:00.000","2023-08-12T00:00:00.000"
"National","0.1","0.8","0.4","0.2","237","452","833",,"2023-09-21T23:36:00.000","2023-08-19T00:00:00.000"
"National","0.1","1.2","0.4","0.2","421","464","887",,"2023-09-21T23:36:00.000","2023-08-26T00:00:00.000"
"National","0.1","1","0.4","0.2","375","658","1110",,"2023-09-21T23:36:00.000","2023-09-02T00:00:00.000"
"National","0","1.2","0.6","0.2","460","796","1260",,"2023-09-21T23:36:00.000","2023-09-09T00:00:00.000"
"National","0.1","1.3","0.5","0.2","359","835","1493",,"2023-09-21T23:36:00.000","2023-09-16T00:00:00.000"
"Region 1","-0.2","1","1.7","1","12.6","92","249.7","997","2023-09-21T23:52:00.000","2020-04-11T00:00:00.000"
"Region 1","-0.4","0.6","1.5","1","6.6","47.2","174.6","701.3","2023-09-21T23:52:00.000","2020-04-18T00:00:00.000"
"Region 1","-0.2","0.4","0.8","1.2","3.2","19.2","111.2","560.7","2023-09-21T23:52:00.000","2020-04-25T00:00:00.000"
"Region 1","-0.4","0.1","0.5","1","1.8","9.8","57","411","2023-09-21T23:52:00.000","2020-05-02T00:00:00.000"
"Region 1","0","0.1","0.3","0.5","0.2","5","24.2","317.3","2023-09-21T23:52:00.000","2020-05-09T00:00:00.000"
"Region 1","-0.1","0","0.3","0.3","0.2","2","11.8","281.3","2023-09-21T23:52:00.000","2020-05-16T00:00:00.000"
"Region 1","0","0","0","0.2","0","0.4","5.4","256","2023-09-21T23:52:00.000","2020-05-23T00:00:00.000"
"Region 1","0","0","0","0.1","0","0.2","2.2","239.7","2023-09-21T23:52:00.000","2020-05-30T00:00:00.000"
"Region 1","0","0","0","0","0","0","0.4","206.7","2023-09-21T23:52:00.000","2020-06-06T00:00:00.000"
"Region 1","0","0","0","0","0","0","0.2","182.3","2023-09-21T23:52:00.000","2020-06-13T00:00:00.000"
"Region 1","0","0","0","0","0","0","0","157.7","2023-09-21T23:52:00.000","2020-06-20T00:00:00.000"
"Region 1","0","0","0","0","0.4","0","0","144.3","2023-09-21T23:52:00.000","2020-06-27T00:00:00.000"
"Region 1","0.5","0.5","0","0","0.4","0.4","0.4","133.3","2023-09-21T23:52:00.000","2020-07-04T00:00:00.000"
"Region 1","0","0.5","0.1","0","0.4","0.8","0.8","132.7","2023-09-21T23:52:00.000","2020-07-11T00:00:00.000"
"Region 1","0","0.5","0.2","0","0.4","0.8","1.2","137","2023-09-21T23:52:00.000","2020-07-18T00:00:00.000"
"Region 1","-0.5","0","0.1","0.1","0.4","0.8","1.6","135.7","2023-09-21T23:52:00.000","2020-07-25T00:00:00.000"
"Region 1","0","0","0.1","0.1","0","0.8","1.6","124.3","2023-09-21T23:52:00.000","2020-08-01T00:00:00.000"
"Region 1","0","0","0.2","0.1","0.4","0.4","1.2","116.3","2023-09-21T23:52:00.000","2020-08-08T00:00:00.000"
"Region 1","0.4","0.4","0","0.1","0.6","0.4","1.2","125","2023-09-21T23:52:00.000","2020-08-15T00:00:00.000"
"Region 1","0.2","0.7","0.2","0.1","0.6","1","1.4","138.7","2023-09-21T23:52:00.000","2020-08-22T00:00:00.000"
"Region 1","0","0.7","0.2","0","0.6","1.2","1.6","153","2023-09-21T23:52:00.000","2020-08-29T00:00:00.000"
"Region 1","-0.4","0.2","0.2","0.1","0.6","1.2","2.2","172.3","2023-09-21T23:52:00.000","2020-09-05T00:00:00.000"
"Region 1","-0.2","0","0.2","0.1","0.2","1.2","2.4","195.7","2023-09-21T23:52:00.000","2020-09-12T00:00:00.000"
"Region 1","0","0","0.2","0.1","0.2","0.8","2","241","2023-09-21T23:52:00.000","2020-09-19T00:00:00.000"
"Region 1","0.1","0.1","0","0.1","0.2","0.4","1.6","281","2023-09-21T23:52:00.000","2020-09-26T00:00:00.000"
"Region 1","0","0.1","0","0.1","0.4","0.4","1.2","350.3","2023-09-21T23:52:00.000","2020-10-03T00:00:00.000"
"Region 1","0.1","0.2","0","0","0.4","0.6","1","390.7","2023-09-21T23:52:00.000","2020-10-10T00:00:00.000"
"Region 1","-0.1","0.1","0.1","0","0.4","0.8","1.2","446.3","2023-09-21T23:52:00.000","2020-10-17T00:00:00.000"
"Region 1","0","0.1","0","0","0.2","0.8","1.4","475","2023-09-21T23:52:00.000","2020-10-24T00:00:00.000"
"Region 1","-0.1","0","0","0","0.2","0.6","1.4","542","2023-09-21T23:52:00.000","2020-10-31T00:00:00.000"
"Region 1","0","0","0","0","0.2","0.4","1.2","583.3","2023-09-21T23:52:00.000","2020-11-07T00:00:00.000"
"Region 1","0","0","0","0","0.2","0.4","1","666","2023-09-21T23:52:00.000","2020-11-14T00:00:00.000"
"Region 1","0","0","0","0","0.6","0.4","0.8","804","2023-09-21T23:52:00.000","2020-11-21T00:00:00.000"
"Region 1","0.1","0.1","0","0","0.8","0.8","1.2","986.7","2023-09-21T23:52:00.000","2020-11-28T00:00:00.000"
"Region 1","0","0.1","0","0","1.2","1.4","1.8","1059","2023-09-21T23:52:00.000","2020-12-05T00:00:00.000"
"Region 1","0.1","0.2","0","0","1","2","2.8","1071","2023-09-21T23:52:00.000","2020-12-12T00:00:00.000"
"Region 1","-0.1","0.1","0.1","0","1.4","2.2","3.6","1091.3","2023-09-21T23:52:00.000","2020-12-19T00:00:00.000"
"Region 1","0","0.1","0","0","1","2.4","4.4","1120.7","2023-09-21T23:52:00.000","2020-12-26T00:00:00.000"
"Region 1","-0.1","0.1","0.1","0","0.8","2.4","4.6","1114","2023-09-21T23:52:00.000","2021-01-02T00:00:00.000"
"Region 1","0","0.1","0","0","0.6","1.8","4.2","1071.7","2023-09-21T23:52:00.000","2021-01-09T00:00:00.000"
"Region 1","0","0","0","0","1","1.4","3.8","1041.3","2023-09-21T23:52:00.000","2021-01-16T00:00:00.000"
"Region 1","0.1","0.1","0","0","0.8","1.6","3.4","1017.3","2023-09-21T23:52:00.000","2021-01-23T00:00:00.000"
"Region 1","0","0.1","0","0","1","1.8","3.2","956.3","2023-09-21T23:52:00.000","2021-01-30T00:00:00.000"
"Region 1","0","0.1","0","0","1.2","1.8","3.4","941.3","2023-09-21T23:52:00.000","2021-02-06T00:00:00.000"
"Region 1","0","0.1","0.1","0","1","2.2","4","906","2023-09-21T23:52:00.000","2021-02-13T00:00:00.000"
"Region 1","0","0.1","0.1","0","0.8","2.2","4","906.3","2023-09-21T23:52:00.000","2021-02-20T00:00:00.000"
"Region 1","0","0.1","0.1","0","0.6","1.8","4","890.7","2023-09-21T23:52:00.000","2021-02-27T00:00:00.000"
"Region 1","0","0","0","0","0.6","1.4","3.6","935.3","2023-09-21T23:52:00.000","2021-03-06T00:00:00.000"
"Region 1","0","0.1","0","0","1","1.2","3","936.3","2023-09-21T23:52:00.000","2021-03-13T00:00:00.000"
"Region 1","0.1","0.1","0","0","1.4","1.6","3","949.3","2023-09-21T23:52:00.000","2021-03-20T00:00:00.000"
"Region 1","0.1","0.2","0.1","0","1.6","2.4","3.6","930","2023-09-21T23:52:00.000","2021-03-27T00:00:00.000"
"Region 1","0","0.2","0.1","0","3","3","4.6","943.3","2023-09-21T23:52:00.000","2021-04-03T00:00:00.000"
"Region 1","0.2","0.4","0.1","0","3.8","4.6","7","926.3","2023-09-21T23:52:00.000","2021-04-10T00:00:00.000"
"Region 1","0.1","0.5","0.2","0","3.8","6.8","9.8","885","2023-09-21T23:52:00.000","2021-04-17T00:00:00.000"
