"week_ending_date","state","avg_adm_all_covid_confirmed","pct_chg_avg_adm_all_covid","total_adm_all_covid_confirmed","total_adm_all_covid_confirmed_1","sum_adm_all_covid_confirmed","avg_total_patients","avg_percent_inpatient_beds","abs_chg_avg_percent_inpatient","avg_percent_staff_icu_beds","abs_chg_avg_percent_staff"
"2023-09-23T00:00:00.000","Region 5","389.14285714285717","5.909797822706078","2724","5.1844176731317155","1032508","2050.285714285714","1.870273923891379","0.09361361930724477","1.437423295641672","0.04724889876464955"
"2023-09-30T00:00:00.000","Region 5","375.85714285714283","-3.4140969162995747","2631","5.0074166292252364","1035139","2106.1428571428573","1.9274535302144318","0.057179606323052745","1.5570681075018744","0.11964481186020248"
"2023-10-07T00:00:00.000","Region 5","360.0","-4.218928164196109","2520","4.7961573187562125","1037659","1943.7142857142858","1.7633294499028263","-0.16412408031160552","1.5608692235020274","0.003801116000152982"
"2023-10-14T00:00:00.000","Region 5","325.85714285714283","-9.484126984126997","2281","4.341283668286874","1039940","1770.7142857142858","1.609312428299571","-0.15401702160325526","1.262150378770791","-0.29871884473123633"
"2023-10-21T00:00:00.000","Region 5","368.57142857142856","13.108285839544076","2580","4.9103515406313605","1042520","1944.5714285714287","1.7694992022337719","0.1601867739342009","1.371293655129038","0.10914327635824694"
"2023-10-28T00:00:00.000","Region 5","408.85714285714283","10.93023255813952","2862","5.447064383444555","1045382","2067.1428571428573","1.8794973082993032","0.10999810606553129","1.5073536391413227","0.1360599840122847"
"2023-11-04T00:00:00.000","Region 5","366.0","-10.482180293501038","2562","4.876093274068816","1047944","2035.2857142857142","1.8502976283950703","-0.02919967990423289","1.5353243726621817","0.027970733520858992"
"2023-11-11T00:00:00.000","Region 5","435.57142857142856","19.00858704137392","3049","5.802969708288766","1050993","2283.714285714286","2.0770904231708234","0.2267927947757531","1.6626075008592065","0.1272831281970248"
"2023-11-18T00:00:00.000","Region 5","522.7142857142857","20.006559527714","3659","6.9639442973527705","1054652","2602.714285714286","2.3644888217674387","0.2873983985966153","1.8124808812931497","0.14987338043394316"
"2023-11-25T00:00:00.000","Region 5","592.7142857142857","13.391637059305827","4149","7.896530442666479","1058801","3092.714285714286","2.8167682456186083","0.4522794238511696","2.1285849942148487","0.31610411292169904"
"2023-12-02T00:00:00.000","Region 5","757.1428571428571","27.741624487828403","5300","10.087156265638066","1064101","3798.5714285714284","3.4333762556381617","0.6166080100195535","2.7448000016977216","0.616215007482873"
"2023-12-09T00:00:00.000","Region 5","742.5714285714286","-1.924528301886808","5198","9.893026088450315","1069299","4019.5714285714284","3.626923047766989","0.19354679212882742","2.8597872289511406","0.11498722725341892"
"2023-12-16T00:00:00.000","Region 5","770.0","3.6937283570604085","5390","10.258447598450788","1074689","4172.571428571428","3.7564034320428257","0.12948038427583652","3.171161460546028","0.31137423159488753"
"2023-12-23T00:00:00.000","Region 5","865.0","12.337662337662346","6055","11.524100224233678","1080744","4415.714285714285","3.9721968472070612","0.21579341516423556","3.3560703698599315","0.18490890931390336"
"2023-12-30T00:00:00.000","Region 5","1009.5714285714286","16.713459950454155","7067","13.450176099861173","1087811","4986.285714285715","4.532206886560995","0.5600100393539336","3.714623817068452","0.35855344720852056"
"2024-01-06T00:00:00.000","Region 5","896.5714285714286","-11.192868260931084","6276","11.944715608140472","1094087","5357.142857142857","4.814476946919959","0.2822700603589645","4.0445546805464065","0.32993086347795453"
"2024-01-13T00:00:00.000","Region 5","744.8571428571429","-16.921606118546837","5214","9.923477880950355","1099301","4651.0","4.160714255048291","-0.6537626918716679","3.7267953736015555","-0.317759306944851"
"2024-01-20T00:00:00.000","Region 5","564.2857142857143","-24.24242424242424","3950","7.517786273447238","1103251","3804.285714285714","3.41207150671062","-0.7486427483376712","3.049954849891172","-0.6768405237103834"
"2024-01-27T00:00:00.000","Region 5","464.42857142857144","-17.69620253164557","3251","6.187423588601765","1106502","3020.0","2.7120335935522926","-0.7000379131583276","2.4562509528057475","-0.5937038970854247"
"2024-02-03T00:00:00.000","Region 5","421.42857142857144","-9.258689633958788","2950","5.614549242194773","1109452","2665.1428571428573","2.397946273885825","-0.31408731966646775","2.219248423012884","-0.2370025297928633"
"2024-02-10T00:00:00.000","Region 5","396.57142857142856","-5.8983050847457505","2776","5.2833859987568434","1112228","2361.5714285714284","2.154893383399834","-0.24305289048599077","2.0313534264442583","-0.18789499656862585"
"2024-02-17T00:00:00.000","Region 5","393.85714285714283","-0.684438040345841","2757","5.247224495163047","1114985","2233.714285714286","2.020566486901411","-0.13432689649842322","1.7978904822852126","-0.23346294415904567"
"2024-02-24T00:00:00.000","Region 5","381.7142857142857","-3.083061298512853","2672","5.085449347506588","1117657","2133.5714285714284","1.9410592067285293","-0.07950728017288156","1.7232662727518633","-0.07462420953334936"
"2024-03-02T00:00:00.000","Region 5","331.57142857142856","-13.136227544910195","2321","4.417413149536972","1119978","1983.4285714285713","1.8007497459096946","-0.14030946081883466","1.6360269411231514","-0.08723933162871189"
"2024-03-09T00:00:00.000","Region 5","283.0","-14.648858250753976","1981","3.770312558911134","1121959","1723.7142857142858","1.5571575355582468","-0.24359221035144785","1.3427305089496622","-0.2932964321734892"
"2024-03-16T00:00:00.000","Region 5","245.14285714285714","-13.37708228167593","1716","3.2659547456292306","1123675","1454.2857142857142","1.3176695372140783","-0.23948799834416845","1.2018278573974872","-0.14090265155217496"
"2024-03-23T00:00:00.000","Region 5","200.85714285714286","-18.065268065268054","1406","2.675951265940966","1125081","1188.7142857142858","1.0788849733353876","-0.23878456387869074","1.0595284041365016","-0.1422994532609856"
"2024-03-30T00:00:00.000","Region 5","176.42857142857142","-12.16216216216218","1235","2.3504977335967947","1126316","1067.142857142857","0.9657292776401727","-0.11315569569521489","0.8532740432433273","-0.20625436089317428"
"2024-04-06T00:00:00.000","Region 5","171.57142857142858","-2.753036437246942","1201","2.2857876745342107","1127517","969.2857142857143","0.8841562848137344","-0.08157299282643826","0.8196292739111921","-0.03364476933213523"
"2024-04-13T00:00:00.000","Region 5","143.57142857142858","-16.319733555370536","1005","1.9127532164087275","1128522","855.8571428571429","0.7838261998893535","-0.10033008492438089","0.6888968842761903","-0.13073238963500178"
"2024-04-20T00:00:00.000","Region 5","120.71428571428571","-15.920398009950254","845","1.608235291408333","1129367","748.5714285714286","0.6881491401790837","-0.09567705971026985","0.6463048793841579","-0.04259200489203241"
"2024-04-27T00:00:00.000","Region 5","99.71428571428571","-17.396449704142007","698","1.3284594478142209","1130065","595.7142857142857","0.5529846642519016","-0.13516447592718206","0.45431513370920723","-0.1919897456749507"
"2020-08-08T00:00:00.000","Region 6","1030.2857142857142","-10.454432580084436","7212","16.883493058934278","8332","8171.0","9.978913670634311","-0.6449096053798389","23.683488161957502","-0.10074513313329447"
"2020-08-15T00:00:00.000","Region 6","908.2857142857143","-11.841375485302269","6358","14.884255250790922","14690","8052.428571428572","9.303086066575602","-0.6758276040587088","21.395428814118137","-2.288059347839365"
"2020-08-22T00:00:00.000","Region 6","825.7142857142857","-9.090909090909102","5780","13.531141137082656","20470","7497.285714285715","8.494207666355619","-0.8088784002199834","18.28601868509725","-3.109410129020887"
"2020-08-29T00:00:00.000","Region 6","739.2857142857143","-10.467128027681651","5175","12.114819270657915","25645","6266.0","7.0506113038068365","-1.4435963625487824","15.953584591723441","-2.3324340933738092"
"2020-09-05T00:00:00.000","Region 6","670.1428571428571","-9.35265700483093","4691","10.981761777518122","30336","5560.571428571428","6.179234538901199","-0.8713767649056372","14.299092931874545","-1.6544916598488957"
