"state","year","month","period","indicator","data_value","percent_complete","percent_pending_investigation","state_name","footnote","footnote_symbol","predicted_value"
"AL","2017","November","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.162666972863321","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2017","December","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.141472460664921","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2018","January","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.150636438954583","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2018","February","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.152024173720463","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2018","March","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.15404846890851","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2018","April","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.16149628182979","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2018","May","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.180146368924751","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2018","June","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.191100702576112","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2018","July","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.207561988107259","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2018","August","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.207476635514019","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2018","September","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.206054248463959","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2018","October","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.19286222521814","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2018","November","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.17047264007793","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2018","December","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.174497148003603","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2019","January","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.169414093729775","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2019","February","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.169743667989014","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2019","March","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.175134682378024","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2019","April","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.184494826536823","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2019","May","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.184067706554328","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2019","June","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.179975371791229","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2019","July","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.164464356604095","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2019","August","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.177274870344177","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2019","September","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.192231582518234","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2019","October","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.203497135966235","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2019","November","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.214257522506437","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2019","December","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.219883480548769","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2020","January","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.216458364704111","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2020","February","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.224626558346749","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2020","March","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.216810272321178","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2020","April","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.211095474409303","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2020","May","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.201321400464869","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2020","June","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.204343659017342","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2020","July","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.213637487199407","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2020","August","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.203140063352155","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2020","September","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.19806338028169","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2020","October","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.19840277430434","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2020","November","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.221021611001965","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2020","December","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.217796155424387","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2021","January","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.210672043819785","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2021","February","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.19590092162479","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2021","March","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.193497880385814","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2021","April","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.184376659389934","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2021","May","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.18047871238794","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2021","June","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.164703089295783","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2021","July","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.151663037765598","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2021","August","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.145217455730903","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2021","September","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.140293024399416","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2021","October","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.133732133099422","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2021","November","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.108656283955089","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2021","December","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"100","0.0980348469319549","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
"AL","2022","January","12 month-ending","Psychostimulants with abuse potential (T43.6)",,"99.5","0.101213045908425","Alabama","Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.","**",
