"data_as_of","start_date","end_date","group","year","month","state","condition_group","condition","icd10_codes","age_group","covid_19_deaths","number_of_mentions","flag"
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","45-54","3286","3398",
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","55-64","12772","13418",
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","65-74","27920","29359",
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","75-84","36068","37747",
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","85+","27866","28796",
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","Not stated","1","1",
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","All Ages","109697","114540",
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Respiratory diseases","Adult respiratory distress syndrome","J80","0-24","485","485",
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Respiratory diseases","Adult respiratory distress syndrome","J80","25-34","1807","1807",
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Respiratory diseases","Adult respiratory distress syndrome","J80","35-44","4728","4728",
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Respiratory diseases","Adult respiratory distress syndrome","J80","45-54","11480","11480",
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Respiratory diseases","Adult respiratory distress syndrome","J80","55-64","22949","22949",
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Respiratory diseases","Adult respiratory distress syndrome","J80","65-74","30138","30138",
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Respiratory diseases","Adult respiratory distress syndrome","J80","75-84","22814","22814",
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Respiratory diseases","Adult respiratory distress syndrome","J80","85+","12246","12246",
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Respiratory diseases","Adult respiratory distress syndrome","J80","Not stated","1","1",
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Respiratory diseases","Adult respiratory distress syndrome","J80","All Ages","106648","106648",
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Respiratory diseases","Respiratory failure","J96","0-24","1049","1098",
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Respiratory diseases","Respiratory failure","J96","25-34","4055","4131",
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Respiratory diseases","Respiratory failure","J96","35-44","10875","11070",
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Respiratory diseases","Respiratory failure","J96","45-54","28229","28740",
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Respiratory diseases","Respiratory failure","J96","55-64","66066","67862",
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Respiratory diseases","Respiratory failure","J96","65-74","108175","112137",
"2023-09-24T00:00:00.000","2020-01-01T00:00:00.000","2023-09-23T00:00:00.000","By Total",,,"United States","Respiratory diseases","Respiratory failure","J96","75-84","118914","123711",
