name,county,city,state,zip,phone,website,facebook,twitter,has_email,address
Autauga County Health Department,Autauga,Prattville,AL,36067,(334) 850-6001,http://www.alabamapublichealth.gov/autauga/index.html,https://www.facebook.com/Autauga-County-Health-Department-344912558993384/,,True,"219 N Court ST Prattville, AL 36067-3003"
Baldwin County Health Department,Baldwin,Robertsdale,AL,36567,(251) 947-1645,http://www.alabamapublichealth.gov/baldwin/index.html,https://www.facebook.com/BaldwinCHD,https://twitter.com/BaldwinEMA,True,"PO BOX 369 Robertsdale, AL 36567-0369"
Barbour County Health Department,Barbour,Eufaula,AL,36072,(334) 687-4808,http://www.alabamapublichealth.gov/barbour/index.html,https://www.facebook.com/Barbour-County-Health-Department-330166737141764/?fref=ts,,True,"PO BOX 238 Eufaula, AL 36072-0238"
Bibb County Health Department,Bibb,Centreville,AL,35042,(205) 926-9702,http://www.alabamapublichealth.gov/bibb/index.html,https://www.facebook.com/BibbCHD,,True,"281 Alexander Ave Centreville, AL 35042-2953"
Blount County Health Department,Blount,Oneonta,AL,35121,(256) 547-6311,http://www.alabamapublichealth.gov/blount/index.html,https://www.facebook.com/BlountCHD,,True,"1001 Lincoln Ave Oneonta, AL 35121-2533"
Bullock County Health Department,Bullock,Springs,AL,36089,(334) 850-6001,http://www.alabamapublichealth.gov/bullock/index.html,https://www.facebook.com/Bullock-County-Health-Department-1479182995662986/,https://twitter.com/alpublichealth,True,"674 Hicks Industrial Blvd Union Springs, AL 36089-7332"
Butler County Health Department,Butler,Greenville,AL,36037,(334) 687-4808,http://www.alabamapublichealth.gov/butler/index.html,https://www.facebook.com/ButlerCHD,,True,"350 Airport Rd Greenville, AL 36037-8822"
Calhoun County Health Department,Calhoun,Anniston,AL,36201,(256) 547-6311,http://www.alabamapublichealth.gov/calhoun/index.html,https://www.facebook.com/CalhounCHD,https://twitter.com/annistonalgov,True,"3400 Mcclellan Blvd Anniston, AL 36201-2128"
Chambers County Health Department,Chambers,Valley,AL,36854,(334) 756-0758,http://www.alabamapublichealth.gov/chambers/index.html,https://www.facebook.com/ChambersCHD,,True,"5 Medical Park Valley, AL 36854-3665"
Cherokee County Health Department,Cherokee,Centre,AL,35960,(256) 927-3132,http://www.alabamapublichealth.gov/cherokee/index.html,https://www.facebook.com/CherokeeCHD,https://twitter.com/cherokee_ema,True,"833 Cedar Bluff Rd Centre, AL 35960-1005"
Chilton County Health Department,Chilton,Clanton,AL,35045,(205) 554-4500,http://www.alabamapublichealth.gov/chilton/index.html,https://www.facebook.com/ChiltonCHD,,True,"301 Health Center Dr Clanton, AL 35045-2349"
Choctaw County Health Department,Choctaw,Butler,AL,36904,(251) 947-1645,http://www.alabamapublichealth.gov/choctaw/index.html,https://www.facebook.com/Choctaw-County-Health-Department-1510747159203888/,,True,"1001 S Mulberry Ave Butler, AL 36904-2813"
Clarke County Health Department,Clarke,Hill,AL,36451,(251) 275-3772,http://www.alabamapublichealth.gov/clarke/index.html,https://www.facebook.com/ClarkeCHD/?fref=ts,,True,"PO BOX 477 Grove Hill, AL 36451-0477"
