date,hospitalizations,avg_daily,pct_inpatient_beds
2022-03-05,25201,3600.14,4.69
2022-03-12,18284,2612.0,3.36
2022-03-19,14068,2009.71,2.51
2022-03-26,11656,1665.14,1.98
2022-04-02,10206,1458.0,1.62
2022-04-09,9998,1428.29,1.46
2022-04-16,10740,1534.29,1.43
2022-04-23,12314,1759.14,1.53
2022-04-30,14460,2065.71,1.74
2022-05-07,17451,2493.0,2.01
2022-05-14,20706,2958.0,2.36
2022-05-21,24511,3501.57,2.84
2022-05-28,26471,3781.57,3.11
2022-06-04,28200,4028.57,3.39
2022-06-11,29495,4213.57,3.53
2022-06-18,30421,4345.86,3.66
2022-06-25,32756,4679.43,3.82
2022-07-02,35755,5107.86,4.16
2022-07-09,38874,5553.43,4.62
2022-07-16,42574,6082.0,5.06
2022-07-23,44730,6390.0,5.41
2022-07-30,44032,6290.29,5.54
2022-08-06,42819,6117.0,5.49
2022-08-13,41116,5873.71,5.31
2022-08-20,38158,5451.14,5.04
2022-08-27,36922,5274.57,4.77
2022-09-03,34549,4935.57,4.5
2022-09-10,31571,4510.14,4.27
2022-09-17,28918,4131.14,3.88
2022-09-24,26852,3836.0,3.58
2022-10-01,24295,3470.71,3.33
2022-10-08,23578,3368.29,3.17
2022-10-15,22887,3269.57,3.1
2022-10-22,22776,3253.71,3.09
2022-10-29,23311,3330.14,3.13
2022-11-05,23593,3370.43,3.14
2022-11-12,23803,3400.43,3.17
2022-11-19,24132,3447.43,3.17
2022-11-26,26461,3780.14,3.4
2022-12-03,33904,4843.43,4.15
2022-12-10,34932,4990.29,4.52
2022-12-17,36662,5237.43,4.79
2022-12-24,39025,5575.0,5.05
2022-12-31,44529,6361.29,5.52
2023-01-07,44386,6340.86,6.05
2023-01-14,37600,5371.43,5.45
2023-01-21,31679,4525.57,4.68
2023-01-28,28327,4046.71,4.07
2023-02-04,26499,3785.57,3.68
2023-02-11,26418,3774.0,3.46
2023-02-18,25491,3641.57,3.36
2023-02-25,24076,3439.43,3.23
2023-03-04,22395,3199.29,3.03
2023-03-11,20217,2888.14,2.75
2023-03-18,18174,2596.29,2.48
2023-03-25,17219,2459.86,2.29
2023-04-01,15815,2259.29,2.13
2023-04-08,14443,2063.29,1.94
2023-04-15,13276,1896.57,1.75
2023-04-22,11844,1692.0,1.62
2023-04-29,10205,1457.86,1.42
2023-05-06,9730,1390.0,1.3
2023-05-13,9344,1334.86,1.21
2023-05-20,8452,1207.43,1.11
2023-05-27,7847,1121.0,1.05
2023-06-03,7449,1064.14,1.0
2023-06-10,6974,996.29,0.94
2023-06-17,6690,955.71,0.89
2023-06-24,6325,903.57,0.82
2023-07-01,6483,926.14,0.79
2023-07-08,6448,921.14,0.8
2023-07-15,7203,1029.0,0.84
2023-07-22,8089,1155.57,0.91
2023-07-29,9088,1298.29,1.02
2023-08-05,10520,1502.86,1.21
2023-08-12,12744,1820.57,1.41
2023-08-19,15092,2156.0,1.66
2023-08-26,17448,2492.57,1.91
2023-09-02,19149,2735.57,2.17
2023-09-09,20700,2957.14,2.38
2023-09-16,19894,2842.0,2.4
2023-09-23,19442,2777.43,2.33
2023-09-30,18342,2620.29,2.3
2023-10-07,17169,2452.71,2.17
2023-10-14,16108,2301.14,2.03
2023-10-21,15919,2274.14,1.95
2023-10-28,16223,2317.57,1.93
2023-11-04,15088,2155.43,1.85
2023-11-11,16661,2380.14,1.94
2023-11-18,17828,2546.86,2.07
2023-11-25,19244,2749.14,2.28
2023-12-02,22911,3273.0,2.59
2023-12-09,23324,3332.0,2.76
2023-12-16,25212,3601.71,2.93
2023-12-23,29430,4204.29,3.27
2023-12-30,34928,4989.71,3.85
2024-01-06,35139,5019.86,4.34
2024-01-13,31193,4456.14,4.09
2024-01-20,25994,3713.43,3.68
2024-01-27,23328,3332.57,3.21
2024-02-03,21358,3051.14,2.88
2024-02-10,20248,2892.57,2.63
2024-02-17,19395,2770.71,2.46
2024-02-24,17664,2523.43,2.29
2024-03-02,15625,2232.14,2.09
2024-03-09,13679,1954.14,1.82
2024-03-16,10925,1560.71,1.51
2024-03-23,9492,1356.0,1.27
2024-03-30,8143,1163.29,1.1
2024-04-06,7478,1068.29,0.98
2024-04-13,6586,940.86,0.88
2024-04-20,5746,820.86,0.77
2024-04-27,5151,735.86,0.69
