stateabbr,measureid,data_value_type,data_value,population
CT,MAMMOUSE,AgeAdjPrv,79.1,3617176
CT,MAMMOUSE,CrdPrv,79.4,3617176
CT,MHLTH,AgeAdjPrv,16.7,3617176
CT,MHLTH,CrdPrv,15.8,3617176
CT,MOBILITY,AgeAdjPrv,9.7,3617176
CT,MOBILITY,CrdPrv,11.2,3617176
CT,OBESITY,AgeAdjPrv,30.7,3617176
CT,OBESITY,CrdPrv,30.5,3617176
CT,PHLTH,AgeAdjPrv,11.7,3617176
CT,PHLTH,CrdPrv,12.4,3617176
CT,SELFCARE,AgeAdjPrv,3.2,3617176
CT,SELFCARE,CrdPrv,3.5,3617176
CT,SHUTUTILITY,AgeAdjPrv,9.1,3617176
CT,SHUTUTILITY,CrdPrv,8.4,3617176
CT,SLEEP,AgeAdjPrv,36.7,3617176
CT,SLEEP,CrdPrv,35.8,3617176
CT,STROKE,AgeAdjPrv,2.7,3617176
CT,STROKE,CrdPrv,3.2,3617176
CT,TEETHLOST,AgeAdjPrv,10.0,3617176
CT,TEETHLOST,CrdPrv,9.8,3617176
CT,VISION,AgeAdjPrv,4.6,3617176
CT,VISION,CrdPrv,4.8,3617176
DC,ACCESS2,AgeAdjPrv,6.2,678972
DC,ACCESS2,CrdPrv,6.5,678972
DC,ARTHRITIS,AgeAdjPrv,18.7,678972
DC,ARTHRITIS,CrdPrv,17.4,678972
DC,BINGE,AgeAdjPrv,22.5,678972
DC,BINGE,CrdPrv,23.4,678972
DC,BPHIGH,AgeAdjPrv,30.3,678972
DC,BPHIGH,CrdPrv,28.5,678972
DC,BPMED,AgeAdjPrv,57.2,678972
DC,BPMED,CrdPrv,71.6,678972
DC,CANCER,AgeAdjPrv,6.0,678972
DC,CANCER,CrdPrv,5.6,678972
DC,CASTHMA,AgeAdjPrv,10.2,678972
DC,CASTHMA,CrdPrv,10.2,678972
DC,CHD,AgeAdjPrv,4.1,678972
DC,CHD,CrdPrv,3.8,678972
DC,CHECKUP,AgeAdjPrv,77.0,678972
DC,CHECKUP,CrdPrv,75.8,678972
DC,CHOLSCREEN,AgeAdjPrv,90.2,678972
DC,CHOLSCREEN,CrdPrv,89.3,678972
DC,COGNITION,AgeAdjPrv,11.6,678972
DC,COGNITION,CrdPrv,12.0,678972
DC,COLON_SCREEN,AgeAdjPrv,66.0,678972
DC,COLON_SCREEN,CrdPrv,69.4,678972
DC,COPD,AgeAdjPrv,4.2,678972
DC,COPD,CrdPrv,4.0,678972
DC,CSMOKING,AgeAdjPrv,9.5,678972
DC,CSMOKING,CrdPrv,9.4,678972
DC,DENTAL,AgeAdjPrv,69.3,678972
DC,DENTAL,CrdPrv,69.0,678972
DC,DEPRESSION,AgeAdjPrv,21.0,678972
DC,DEPRESSION,CrdPrv,21.6,678972
DC,DIABETES,AgeAdjPrv,8.5,678972
DC,DIABETES,CrdPrv,7.8,678972
DC,DISABILITY,AgeAdjPrv,22.0,678972
DC,DISABILITY,CrdPrv,21.6,678972
DC,EMOTIONSPT,AgeAdjPrv,22.7,678972
DC,EMOTIONSPT,CrdPrv,22.9,678972
DC,FOODINSECU,AgeAdjPrv,13.8,678972
DC,FOODINSECU,CrdPrv,13.9,678972
DC,FOODSTAMP,AgeAdjPrv,12.8,678972
DC,FOODSTAMP,CrdPrv,13.0,678972
DC,GHLTH,AgeAdjPrv,13.5,678972
DC,GHLTH,CrdPrv,13.1,678972
DC,HEARING,AgeAdjPrv,4.1,678972
DC,HEARING,CrdPrv,3.9,678972
DC,HIGHCHOL,AgeAdjPrv,33.3,678972
DC,HIGHCHOL,CrdPrv,32.8,678972
DC,HOUSINSECU,AgeAdjPrv,12.0,678972
DC,HOUSINSECU,CrdPrv,12.2,678972
DC,INDEPLIVE,AgeAdjPrv,6.5,678972
DC,INDEPLIVE,CrdPrv,6.4,678972
DC,LACKTRPT,AgeAdjPrv,7.8,678972
DC,LACKTRPT,CrdPrv,8.0,678972
DC,LONELINESS,AgeAdjPrv,36.2,678972
DC,LONELINESS,CrdPrv,37.0,678972
DC,LPA,AgeAdjPrv,15.3,678972
DC,LPA,CrdPrv,14.9,678972
DC,MAMMOUSE,AgeAdjPrv,77.0,678972
DC,MAMMOUSE,CrdPrv,77.4,678972
DC,MHLTH,AgeAdjPrv,13.7,678972
DC,MHLTH,CrdPrv,14.1,678972
DC,MOBILITY,AgeAdjPrv,9.9,678972
DC,MOBILITY,CrdPrv,9.2,678972
DC,OBESITY,AgeAdjPrv,25.1,678972
DC,OBESITY,CrdPrv,24.7,678972
DC,PHLTH,AgeAdjPrv,9.6,678972
DC,PHLTH,CrdPrv,9.2,678972
DC,SELFCARE,AgeAdjPrv,3.2,678972
DC,SELFCARE,CrdPrv,2.9,678972
DC,SHUTUTILITY,AgeAdjPrv,7.8,678972
DC,SHUTUTILITY,CrdPrv,7.8,678972
DC,SLEEP,AgeAdjPrv,32.8,678972
DC,SLEEP,CrdPrv,32.8,678972
DC,STROKE,AgeAdjPrv,3.0,678972
DC,STROKE,CrdPrv,2.8,678972
DC,TEETHLOST,AgeAdjPrv,7.3,678972
DC,TEETHLOST,CrdPrv,7.3,678972
DC,VISION,AgeAdjPrv,4.3,678972
DC,VISION,CrdPrv,4.1,678972
DE,ACCESS2,AgeAdjPrv,9.5,1031890
DE,ACCESS2,CrdPrv,9.0,1031890
DE,ARTHRITIS,AgeAdjPrv,23.3,1031890
DE,ARTHRITIS,CrdPrv,28.4,1031890
DE,BINGE,AgeAdjPrv,16.0,1031890
DE,BINGE,CrdPrv,14.2,1031890
DE,BPHIGH,AgeAdjPrv,33.0,1031890
DE,BPHIGH,CrdPrv,38.1,1031890
DE,BPMED,AgeAdjPrv,58.6,1031890
DE,BPMED,CrdPrv,78.0,1031890
DE,CANCER,AgeAdjPrv,7.0,1031890
DE,CANCER,CrdPrv,9.1,1031890
DE,CASTHMA,AgeAdjPrv,10.9,1031890
DE,CASTHMA,CrdPrv,10.8,1031890
DE,CHD,AgeAdjPrv,5.2,1031890
DE,CHD,CrdPrv,6.8,1031890
DE,CHECKUP,AgeAdjPrv,78.4,1031890
DE,CHECKUP,CrdPrv,80.9,1031890
DE,CHOLSCREEN,AgeAdjPrv,85.8,1031890
DE,CHOLSCREEN,CrdPrv,87.9,1031890
DE,COGNITION,AgeAdjPrv,13.8,1031890
DE,COGNITION,CrdPrv,13.1,1031890
DE,COLON_SCREEN,AgeAdjPrv,59.9,1031890
DE,COLON_SCREEN,CrdPrv,67.2,1031890
DE,COPD,AgeAdjPrv,5.8,1031890
DE,COPD,CrdPrv,7.1,1031890
DE,CSMOKING,AgeAdjPrv,12.9,1031890
DE,CSMOKING,CrdPrv,12.6,1031890
DE,DENTAL,AgeAdjPrv,61.8,1031890
DE,DENTAL,CrdPrv,63.1,1031890
DE,DEPRESSION,AgeAdjPrv,22.1,1031890
DE,DEPRESSION,CrdPrv,21.1,1031890
DE,DIABETES,AgeAdjPrv,10.8,1031890
DE,DIABETES,CrdPrv,13.1,1031890
DE,DISABILITY,AgeAdjPrv,28.6,1031890
DE,DISABILITY,CrdPrv,30.6,1031890
DE,EMOTIONSPT,AgeAdjPrv,22.6,1031890
DE,EMOTIONSPT,CrdPrv,21.7,1031890
DE,FOODINSECU,AgeAdjPrv,14.9,1031890
DE,FOODINSECU,CrdPrv,13.9,1031890
DE,FOODSTAMP,AgeAdjPrv,12.5,1031890
DE,FOODSTAMP,CrdPrv,11.7,1031890
DE,GHLTH,AgeAdjPrv,17.7,1031890
DE,GHLTH,CrdPrv,18.8,1031890
DE,HEARING,AgeAdjPrv,5.4,1031890
DE,HEARING,CrdPrv,6.7,1031890
DE,HIGHCHOL,AgeAdjPrv,34.9,1031890
DE,HIGHCHOL,CrdPrv,41.1,1031890
DE,HOUSINSECU,AgeAdjPrv,13.0,1031890
DE,HOUSINSECU,CrdPrv,11.6,1031890
DE,INDEPLIVE,AgeAdjPrv,7.7,1031890
DE,INDEPLIVE,CrdPrv,7.8,1031890
DE,LACKTRPT,AgeAdjPrv,8.3,1031890
DE,LACKTRPT,CrdPrv,7.7,1031890
DE,LONELINESS,AgeAdjPrv,33.1,1031890
DE,LONELINESS,CrdPrv,31.7,1031890
DE,LPA,AgeAdjPrv,26.0,1031890
DE,LPA,CrdPrv,27.2,1031890
DE,MAMMOUSE,AgeAdjPrv,77.7,1031890
DE,MAMMOUSE,CrdPrv,78.5,1031890
DE,MHLTH,AgeAdjPrv,16.8,1031890
DE,MHLTH,CrdPrv,15.5,1031890
DE,MOBILITY,AgeAdjPrv,12.2,1031890
DE,MOBILITY,CrdPrv,14.8,1031890
DE,OBESITY,AgeAdjPrv,35.5,1031890
DE,OBESITY,CrdPrv,35.4,1031890
DE,PHLTH,AgeAdjPrv,12.3,1031890
DE,PHLTH,CrdPrv,13.3,1031890
DE,SELFCARE,AgeAdjPrv,3.3,1031890
DE,SELFCARE,CrdPrv,3.7,1031890
DE,SHUTUTILITY,AgeAdjPrv,8.3,1031890
DE,SHUTUTILITY,CrdPrv,7.5,1031890
DE,SLEEP,AgeAdjPrv,37.0,1031890
DE,SLEEP,CrdPrv,35.8,1031890
DE,STROKE,AgeAdjPrv,3.0,1031890
DE,STROKE,CrdPrv,3.7,1031890
DE,TEETHLOST,AgeAdjPrv,13.5,1031890
DE,TEETHLOST,CrdPrv,12.7,1031890
DE,VISION,AgeAdjPrv,4.6,1031890
DE,VISION,CrdPrv,4.9,1031890
FL,ACCESS2,AgeAdjPrv,16.6,22610726
FL,ACCESS2,CrdPrv,15.9,22610726
FL,ARTHRITIS,AgeAdjPrv,21.5,22610726
FL,ARTHRITIS,CrdPrv,26.5,22610726
FL,BINGE,AgeAdjPrv,16.7,22610726
FL,BINGE,CrdPrv,14.6,22610726
FL,BPHIGH,AgeAdjPrv,31.4,22610726
FL,BPHIGH,CrdPrv,36.6,22610726
FL,BPMED,AgeAdjPrv,58.5,22610726
FL,BPMED,CrdPrv,78.3,22610726
FL,CANCER,AgeAdjPrv,6.8,22610726
FL,CANCER,CrdPrv,9.1,22610726
FL,CASTHMA,AgeAdjPrv,9.5,22610726
FL,CASTHMA,CrdPrv,9.4,22610726
FL,CHD,AgeAdjPrv,5.6,22610726
FL,CHD,CrdPrv,7.4,22610726
FL,CHECKUP,AgeAdjPrv,75.5,22610726
FL,CHECKUP,CrdPrv,78.3,22610726
FL,CHOLSCREEN,AgeAdjPrv,84.6,22610726
FL,CHOLSCREEN,CrdPrv,87.0,22610726
FL,COGNITION,AgeAdjPrv,14.5,22610726
FL,COGNITION,CrdPrv,13.7,22610726
FL,COLON_SCREEN,AgeAdjPrv,59.8,22610726
FL,COLON_SCREEN,CrdPrv,65.6,22610726
FL,COPD,AgeAdjPrv,5.8,22610726
FL,COPD,CrdPrv,7.1,22610726
FL,CSMOKING,AgeAdjPrv,12.8,22610726
FL,CSMOKING,CrdPrv,12.5,22610726
FL,DENTAL,AgeAdjPrv,56.5,22610726
FL,DENTAL,CrdPrv,57.3,22610726
FL,DEPRESSION,AgeAdjPrv,17.9,22610726
FL,DEPRESSION,CrdPrv,17.1,22610726
FL,DIABETES,AgeAdjPrv,11.1,22610726
FL,DIABETES,CrdPrv,13.5,22610726
FL,DISABILITY,AgeAdjPrv,29.0,22610726
FL,DISABILITY,CrdPrv,31.3,22610726
FL,GHLTH,AgeAdjPrv,19.1,22610726
FL,GHLTH,CrdPrv,20.3,22610726
FL,HEARING,AgeAdjPrv,6.0,22610726
FL,HEARING,CrdPrv,7.6,22610726
FL,HIGHCHOL,AgeAdjPrv,32.9,22610726
FL,HIGHCHOL,CrdPrv,38.9,22610726
FL,INDEPLIVE,AgeAdjPrv,7.8,22610726
FL,INDEPLIVE,CrdPrv,8.0,22610726
FL,LPA,AgeAdjPrv,24.9,22610726
FL,LPA,CrdPrv,26.3,22610726
FL,MAMMOUSE,AgeAdjPrv,75.2,22610726
FL,MAMMOUSE,CrdPrv,76.1,22610726
FL,MHLTH,AgeAdjPrv,17.3,22610726
FL,MHLTH,CrdPrv,15.9,22610726
FL,MOBILITY,AgeAdjPrv,12.4,22610726
FL,MOBILITY,CrdPrv,15.1,22610726
FL,OBESITY,AgeAdjPrv,32.2,22610726
FL,OBESITY,CrdPrv,31.9,22610726
FL,PHLTH,AgeAdjPrv,13.2,22610726
FL,PHLTH,CrdPrv,14.2,22610726
FL,SELFCARE,AgeAdjPrv,3.6,22610726
FL,SELFCARE,CrdPrv,4.1,22610726
FL,SLEEP,AgeAdjPrv,38.8,22610726
FL,SLEEP,CrdPrv,37.4,22610726
FL,STROKE,AgeAdjPrv,3.0,22610726
FL,STROKE,CrdPrv,3.8,22610726
FL,TEETHLOST,AgeAdjPrv,12.8,22610726
FL,TEETHLOST,CrdPrv,12.7,22610726
FL,VISION,AgeAdjPrv,5.6,22610726
FL,VISION,CrdPrv,6.0,22610726
GA,ACCESS2,AgeAdjPrv,13.5,11029227
GA,ACCESS2,CrdPrv,13.1,11029227
GA,ARTHRITIS,AgeAdjPrv,22.6,11029227
GA,ARTHRITIS,CrdPrv,24.6,11029227
GA,BINGE,AgeAdjPrv,15.2,11029227
GA,BINGE,CrdPrv,14.5,11029227
GA,BPHIGH,AgeAdjPrv,35.3,11029227
GA,BPHIGH,CrdPrv,37.3,11029227
GA,BPMED,AgeAdjPrv,61.9,11029227
GA,BPMED,CrdPrv,77.4,11029227
GA,CANCER,AgeAdjPrv,6.3,11029227
GA,CANCER,CrdPrv,7.0,11029227
GA,CASTHMA,AgeAdjPrv,10.1,11029227
GA,CASTHMA,CrdPrv,10.1,11029227
GA,CHD,AgeAdjPrv,5.5,11029227
GA,CHD,CrdPrv,6.1,11029227
GA,CHECKUP,AgeAdjPrv,77.4,11029227
GA,CHECKUP,CrdPrv,78.4,11029227
GA,CHOLSCREEN,AgeAdjPrv,86.0,11029227
GA,CHOLSCREEN,CrdPrv,86.8,11029227
GA,COGNITION,AgeAdjPrv,14.6,11029227
GA,COGNITION,CrdPrv,14.4,11029227
GA,COLON_SCREEN,AgeAdjPrv,60.5,11029227
GA,COLON_SCREEN,CrdPrv,64.4,11029227
GA,COPD,AgeAdjPrv,5.9,11029227
GA,COPD,CrdPrv,6.5,11029227
GA,CSMOKING,AgeAdjPrv,13.8,11029227
GA,CSMOKING,CrdPrv,13.6,11029227
GA,DENTAL,AgeAdjPrv,58.8,11029227
GA,DENTAL,CrdPrv,59.2,11029227
GA,DEPRESSION,AgeAdjPrv,19.2,11029227
GA,DEPRESSION,CrdPrv,19.0,11029227
GA,DIABETES,AgeAdjPrv,12.1,11029227
GA,DIABETES,CrdPrv,13.3,11029227
GA,DISABILITY,AgeAdjPrv,28.9,11029227
GA,DISABILITY,CrdPrv,29.6,11029227
GA,EMOTIONSPT,AgeAdjPrv,25.0,11029227
GA,EMOTIONSPT,CrdPrv,24.7,11029227
GA,FOODINSECU,AgeAdjPrv,18.2,11029227
GA,FOODINSECU,CrdPrv,17.8,11029227
GA,FOODSTAMP,AgeAdjPrv,14.6,11029227
GA,FOODSTAMP,CrdPrv,14.2,11029227
GA,GHLTH,AgeAdjPrv,19.8,11029227
GA,GHLTH,CrdPrv,20.3,11029227
GA,HEARING,AgeAdjPrv,5.8,11029227
GA,HEARING,CrdPrv,6.2,11029227
GA,HIGHCHOL,AgeAdjPrv,33.4,11029227
GA,HIGHCHOL,CrdPrv,36.8,11029227
GA,HOUSINSECU,AgeAdjPrv,15.7,11029227
GA,HOUSINSECU,CrdPrv,15.0,11029227
GA,INDEPLIVE,AgeAdjPrv,8.6,11029227
GA,INDEPLIVE,CrdPrv,8.7,11029227
GA,LACKTRPT,AgeAdjPrv,9.8,11029227
GA,LACKTRPT,CrdPrv,9.5,11029227
GA,LONELINESS,AgeAdjPrv,37.9,11029227
GA,LONELINESS,CrdPrv,37.4,11029227
GA,LPA,AgeAdjPrv,26.1,11029227
GA,LPA,CrdPrv,26.6,11029227
GA,MAMMOUSE,AgeAdjPrv,75.5,11029227
GA,MAMMOUSE,CrdPrv,75.8,11029227
GA,MHLTH,AgeAdjPrv,17.4,11029227
GA,MHLTH,CrdPrv,16.9,11029227
GA,MOBILITY,AgeAdjPrv,12.9,11029227
GA,MOBILITY,CrdPrv,14.0,11029227
GA,OBESITY,AgeAdjPrv,35.3,11029227
GA,OBESITY,CrdPrv,35.3,11029227
GA,PHLTH,AgeAdjPrv,13.0,11029227
GA,PHLTH,CrdPrv,13.5,11029227
GA,SELFCARE,AgeAdjPrv,4.0,11029227
GA,SELFCARE,CrdPrv,4.2,11029227
GA,SHUTUTILITY,AgeAdjPrv,10.1,11029227
GA,SHUTUTILITY,CrdPrv,9.6,11029227
GA,SLEEP,AgeAdjPrv,38.9,11029227
GA,SLEEP,CrdPrv,38.4,11029227
GA,STROKE,AgeAdjPrv,3.3,11029227
GA,STROKE,CrdPrv,3.6,11029227
GA,TEETHLOST,AgeAdjPrv,14.9,11029227
GA,TEETHLOST,CrdPrv,14.5,11029227
GA,VISION,AgeAdjPrv,5.4,11029227
GA,VISION,CrdPrv,5.6,11029227
HI,ACCESS2,AgeAdjPrv,5.8,1435138
HI,ACCESS2,CrdPrv,5.6,1435138
HI,ARTHRITIS,AgeAdjPrv,19.4,1435138
HI,ARTHRITIS,CrdPrv,23.2,1435138
HI,BINGE,AgeAdjPrv,19.7,1435138
HI,BINGE,CrdPrv,17.4,1435138
HI,BPHIGH,AgeAdjPrv,27.1,1435138
HI,BPHIGH,CrdPrv,31.5,1435138
HI,BPMED,AgeAdjPrv,55.4,1435138
HI,BPMED,CrdPrv,76.9,1435138
HI,CANCER,AgeAdjPrv,5.3,1435138
HI,CANCER,CrdPrv,6.7,1435138
HI,CASTHMA,AgeAdjPrv,10.1,1435138
HI,CASTHMA,CrdPrv,9.8,1435138
HI,CHD,AgeAdjPrv,4.8,1435138
HI,CHD,CrdPrv,6.2,1435138
HI,CHECKUP,AgeAdjPrv,74.6,1435138
HI,CHECKUP,CrdPrv,77.3,1435138
HI,CHOLSCREEN,AgeAdjPrv,80.1,1435138
HI,CHOLSCREEN,CrdPrv,82.8,1435138
HI,COGNITION,AgeAdjPrv,13.3,1435138
HI,COGNITION,CrdPrv,12.5,1435138
HI,COLON_SCREEN,AgeAdjPrv,56.7,1435138
HI,COLON_SCREEN,CrdPrv,62.6,1435138
HI,COPD,AgeAdjPrv,4.4,1435138
HI,COPD,CrdPrv,5.3,1435138
HI,CSMOKING,AgeAdjPrv,11.4,1435138
HI,CSMOKING,CrdPrv,11.0,1435138
HI,DENTAL,AgeAdjPrv,67.6,1435138
HI,DENTAL,CrdPrv,68.3,1435138
HI,DEPRESSION,AgeAdjPrv,17.0,1435138
HI,DEPRESSION,CrdPrv,16.0,1435138
HI,DIABETES,AgeAdjPrv,10.2,1435138
HI,DIABETES,CrdPrv,12.4,1435138
HI,DISABILITY,AgeAdjPrv,27.0,1435138
HI,DISABILITY,CrdPrv,28.7,1435138
HI,EMOTIONSPT,AgeAdjPrv,30.8,1435138
HI,EMOTIONSPT,CrdPrv,30.1,1435138
HI,FOODINSECU,AgeAdjPrv,18.4,1435138
HI,FOODINSECU,CrdPrv,17.3,1435138
HI,FOODSTAMP,AgeAdjPrv,13.0,1435138
HI,FOODSTAMP,CrdPrv,12.2,1435138
HI,GHLTH,AgeAdjPrv,17.4,1435138
HI,GHLTH,CrdPrv,18.4,1435138
HI,HEARING,AgeAdjPrv,5.8,1435138
HI,HEARING,CrdPrv,7.2,1435138
HI,HIGHCHOL,AgeAdjPrv,30.1,1435138
HI,HIGHCHOL,CrdPrv,36.1,1435138
HI,HOUSINSECU,AgeAdjPrv,12.2,1435138
HI,HOUSINSECU,CrdPrv,10.9,1435138
HI,INDEPLIVE,AgeAdjPrv,7.0,1435138
HI,INDEPLIVE,CrdPrv,7.1,1435138
HI,LACKTRPT,AgeAdjPrv,8.1,1435138
HI,LACKTRPT,CrdPrv,7.5,1435138
HI,LONELINESS,AgeAdjPrv,33.3,1435138
HI,LONELINESS,CrdPrv,32.0,1435138
HI,LPA,AgeAdjPrv,21.6,1435138
HI,LPA,CrdPrv,23.0,1435138
HI,MAMMOUSE,AgeAdjPrv,77.5,1435138
HI,MAMMOUSE,CrdPrv,78.3,1435138
HI,MHLTH,AgeAdjPrv,15.9,1435138
HI,MHLTH,CrdPrv,14.5,1435138
HI,MOBILITY,AgeAdjPrv,11.1,1435138
HI,MOBILITY,CrdPrv,13.2,1435138
HI,OBESITY,AgeAdjPrv,26.1,1435138
HI,OBESITY,CrdPrv,25.6,1435138
HI,PHLTH,AgeAdjPrv,11.5,1435138
HI,PHLTH,CrdPrv,12.3,1435138
HI,SELFCARE,AgeAdjPrv,3.0,1435138
HI,SELFCARE,CrdPrv,3.4,1435138
HI,SHUTUTILITY,AgeAdjPrv,6.5,1435138
HI,SHUTUTILITY,CrdPrv,5.8,1435138
HI,SLEEP,AgeAdjPrv,47.0,1435138
HI,SLEEP,CrdPrv,45.7,1435138
HI,STROKE,AgeAdjPrv,3.0,1435138
HI,STROKE,CrdPrv,3.7,1435138
HI,TEETHLOST,AgeAdjPrv,8.5,1435138
HI,TEETHLOST,CrdPrv,8.5,1435138
HI,VISION,AgeAdjPrv,4.8,1435138
HI,VISION,CrdPrv,5.2,1435138
IA,ACCESS2,AgeAdjPrv,7.6,3207004
IA,ACCESS2,CrdPrv,7.3,3207004
IA,ARTHRITIS,AgeAdjPrv,23.5,3207004
IA,ARTHRITIS,CrdPrv,27.0,3207004
IA,BINGE,AgeAdjPrv,22.3,3207004
IA,BINGE,CrdPrv,20.4,3207004
IA,BPHIGH,AgeAdjPrv,30.5,3207004
IA,BPHIGH,CrdPrv,33.9,3207004
IA,BPMED,AgeAdjPrv,58.9,3207004
IA,BPMED,CrdPrv,77.9,3207004
IA,CANCER,AgeAdjPrv,7.2,3207004
IA,CANCER,CrdPrv,8.7,3207004
IA,CASTHMA,AgeAdjPrv,10.0,3207004
IA,CASTHMA,CrdPrv,9.9,3207004
IA,CHD,AgeAdjPrv,5.4,3207004
IA,CHD,CrdPrv,6.6,3207004
IA,CHECKUP,AgeAdjPrv,75.6,3207004
IA,CHECKUP,CrdPrv,77.5,3207004
IA,CHOLSCREEN,AgeAdjPrv,82.6,3207004
IA,CHOLSCREEN,CrdPrv,84.1,3207004
IA,COGNITION,AgeAdjPrv,14.0,3207004
IA,COGNITION,CrdPrv,13.5,3207004
IA,COLON_SCREEN,AgeAdjPrv,60.9,3207004
IA,COLON_SCREEN,CrdPrv,66.6,3207004
IA,COPD,AgeAdjPrv,6.0,3207004
IA,COPD,CrdPrv,6.9,3207004
IA,CSMOKING,AgeAdjPrv,15.0,3207004
IA,CSMOKING,CrdPrv,14.5,3207004
IA,DENTAL,AgeAdjPrv,66.0,3207004
IA,DENTAL,CrdPrv,66.7,3207004
IA,DEPRESSION,AgeAdjPrv,21.5,3207004
IA,DEPRESSION,CrdPrv,20.7,3207004
IA,DIABETES,AgeAdjPrv,9.7,3207004
IA,DIABETES,CrdPrv,11.2,3207004
IA,DISABILITY,AgeAdjPrv,26.5,3207004
IA,DISABILITY,CrdPrv,28.1,3207004
IA,EMOTIONSPT,AgeAdjPrv,24.0,3207004
IA,EMOTIONSPT,CrdPrv,23.3,3207004
IA,FOODINSECU,AgeAdjPrv,12.7,3207004
IA,FOODINSECU,CrdPrv,12.0,3207004
IA,FOODSTAMP,AgeAdjPrv,10.6,3207004
IA,FOODSTAMP,CrdPrv,10.0,3207004
IA,GHLTH,AgeAdjPrv,17.0,3207004
IA,GHLTH,CrdPrv,17.8,3207004
IA,HEARING,AgeAdjPrv,6.4,3207004
IA,HEARING,CrdPrv,7.4,3207004
IA,HIGHCHOL,AgeAdjPrv,30.6,3207004
IA,HIGHCHOL,CrdPrv,35.4,3207004
IA,HOUSINSECU,AgeAdjPrv,10.4,3207004
IA,HOUSINSECU,CrdPrv,9.4,3207004
IA,INDEPLIVE,AgeAdjPrv,7.2,3207004
IA,INDEPLIVE,CrdPrv,7.4,3207004
IA,LACKTRPT,AgeAdjPrv,7.2,3207004
IA,LACKTRPT,CrdPrv,6.8,3207004
IA,LONELINESS,AgeAdjPrv,33.1,3207004
IA,LONELINESS,CrdPrv,32.3,3207004
IA,LPA,AgeAdjPrv,23.9,3207004
IA,LPA,CrdPrv,24.8,3207004
IA,MAMMOUSE,AgeAdjPrv,78.1,3207004
IA,MAMMOUSE,CrdPrv,78.7,3207004
IA,MHLTH,AgeAdjPrv,17.3,3207004
IA,MHLTH,CrdPrv,16.4,3207004
IA,MOBILITY,AgeAdjPrv,10.9,3207004
IA,MOBILITY,CrdPrv,12.7,3207004
IA,OBESITY,AgeAdjPrv,38.2,3207004
IA,OBESITY,CrdPrv,37.7,3207004
IA,PHLTH,AgeAdjPrv,12.0,3207004
IA,PHLTH,CrdPrv,12.7,3207004
IA,SELFCARE,AgeAdjPrv,3.1,3207004
IA,SELFCARE,CrdPrv,3.4,3207004
IA,SHUTUTILITY,AgeAdjPrv,7.1,3207004
IA,SHUTUTILITY,CrdPrv,6.4,3207004
IA,SLEEP,AgeAdjPrv,33.6,3207004
IA,SLEEP,CrdPrv,32.5,3207004
IA,STROKE,AgeAdjPrv,2.8,3207004
IA,STROKE,CrdPrv,3.3,3207004
IA,TEETHLOST,AgeAdjPrv,11.8,3207004
IA,TEETHLOST,CrdPrv,11.6,3207004
IA,VISION,AgeAdjPrv,4.0,3207004
IA,VISION,CrdPrv,4.3,3207004
ID,ACCESS2,AgeAdjPrv,11.1,1964726
ID,ACCESS2,CrdPrv,10.8,1964726
ID,ARTHRITIS,AgeAdjPrv,23.9,1964726
ID,ARTHRITIS,CrdPrv,26.5,1964726
ID,BINGE,AgeAdjPrv,16.7,1964726
ID,BINGE,CrdPrv,15.5,1964726
ID,BPHIGH,AgeAdjPrv,28.9,1964726
ID,BPHIGH,CrdPrv,31.5,1964726
ID,BPMED,AgeAdjPrv,50.7,1964726
ID,BPMED,CrdPrv,70.5,1964726
ID,CANCER,AgeAdjPrv,7.1,1964726
ID,CANCER,CrdPrv,8.3,1964726
ID,CASTHMA,AgeAdjPrv,10.7,1964726
ID,CASTHMA,CrdPrv,10.7,1964726
ID,CHD,AgeAdjPrv,5.4,1964726
ID,CHD,CrdPrv,6.2,1964726
ID,CHECKUP,AgeAdjPrv,72.6,1964726
ID,CHECKUP,CrdPrv,74.2,1964726
ID,CHOLSCREEN,AgeAdjPrv,79.8,1964726
ID,CHOLSCREEN,CrdPrv,81.1,1964726
ID,COGNITION,AgeAdjPrv,16.4,1964726
ID,COGNITION,CrdPrv,16.0,1964726
ID,COLON_SCREEN,AgeAdjPrv,56.5,1964726
ID,COLON_SCREEN,CrdPrv,61.7,1964726
ID,COPD,AgeAdjPrv,5.9,1964726
ID,COPD,CrdPrv,6.6,1964726
ID,CSMOKING,AgeAdjPrv,12.5,1964726
ID,CSMOKING,CrdPrv,12.1,1964726
ID,DENTAL,AgeAdjPrv,65.9,1964726
ID,DENTAL,CrdPrv,66.5,1964726
ID,DEPRESSION,AgeAdjPrv,24.3,1964726
ID,DEPRESSION,CrdPrv,23.7,1964726
ID,DIABETES,AgeAdjPrv,9.1,1964726
ID,DIABETES,CrdPrv,10.2,1964726
ID,DISABILITY,AgeAdjPrv,33.5,1964726
ID,DISABILITY,CrdPrv,34.8,1964726
ID,EMOTIONSPT,AgeAdjPrv,20.1,1964726
ID,EMOTIONSPT,CrdPrv,19.6,1964726
ID,FOODINSECU,AgeAdjPrv,13.4,1964726
ID,FOODINSECU,CrdPrv,12.8,1964726
ID,FOODSTAMP,AgeAdjPrv,9.3,1964726
ID,FOODSTAMP,CrdPrv,8.8,1964726
ID,GHLTH,AgeAdjPrv,17.3,1964726
ID,GHLTH,CrdPrv,17.8,1964726
