stateabbr,measureid,data_value_type,data_value,population
AL,STROKE,AgeAdjPrv,3.5,5108468
AL,STROKE,CrdPrv,4.1,5108468
AL,TEETHLOST,AgeAdjPrv,15.8,5108468
AL,TEETHLOST,CrdPrv,15.4,5108468
AL,VISION,AgeAdjPrv,5.6,5108468
AL,VISION,CrdPrv,6.0,5108468
AR,ACCESS2,AgeAdjPrv,11.7,3067732
AR,ACCESS2,CrdPrv,11.3,3067732
AR,ARTHRITIS,AgeAdjPrv,25.1,3067732
AR,ARTHRITIS,CrdPrv,28.5,3067732
AR,BINGE,AgeAdjPrv,15.8,3067732
AR,BINGE,CrdPrv,14.6,3067732
AR,BPHIGH,AgeAdjPrv,38.0,3067732
AR,BPHIGH,CrdPrv,41.4,3067732
AR,BPMED,AgeAdjPrv,60.0,3067732
AR,BPMED,CrdPrv,76.8,3067732
AR,CANCER,AgeAdjPrv,6.9,3067732
AR,CANCER,CrdPrv,8.2,3067732
AR,CASTHMA,AgeAdjPrv,10.4,3067732
AR,CASTHMA,CrdPrv,10.3,3067732
AR,CHD,AgeAdjPrv,6.4,3067732
AR,CHD,CrdPrv,7.7,3067732
AR,CHECKUP,AgeAdjPrv,77.3,3067732
AR,CHECKUP,CrdPrv,79.0,3067732
AR,CHOLSCREEN,AgeAdjPrv,83.3,3067732
AR,CHOLSCREEN,CrdPrv,84.8,3067732
AR,COGNITION,AgeAdjPrv,18.7,3067732
AR,COGNITION,CrdPrv,18.1,3067732
AR,COLON_SCREEN,AgeAdjPrv,56.3,3067732
AR,COLON_SCREEN,CrdPrv,61.6,3067732
AR,COPD,AgeAdjPrv,7.5,3067732
AR,COPD,CrdPrv,8.6,3067732
AR,CSMOKING,AgeAdjPrv,16.3,3067732
AR,CSMOKING,CrdPrv,15.8,3067732
AR,DENTAL,AgeAdjPrv,54.1,3067732
AR,DENTAL,CrdPrv,54.8,3067732
AR,DEPRESSION,AgeAdjPrv,25.3,3067732
AR,DEPRESSION,CrdPrv,24.6,3067732
AR,DIABETES,AgeAdjPrv,11.5,3067732
AR,DIABETES,CrdPrv,13.3,3067732
AR,DISABILITY,AgeAdjPrv,36.5,3067732
AR,DISABILITY,CrdPrv,38.1,3067732
AR,EMOTIONSPT,AgeAdjPrv,27.6,3067732
AR,EMOTIONSPT,CrdPrv,27.0,3067732
AR,FOODINSECU,AgeAdjPrv,19.3,3067732
AR,FOODINSECU,CrdPrv,18.5,3067732
AR,FOODSTAMP,AgeAdjPrv,12.2,3067732
AR,FOODSTAMP,CrdPrv,11.6,3067732
AR,GHLTH,AgeAdjPrv,23.4,3067732
